"Status","Year","Ethnicity","Region_ITL1","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","West Midlands (England)","AA/AO","AO","1505","1340","21420","21250"
"In post","2022","Asian","West Midlands (England)","EO","EO","1700","1610","26860","27570"
"In post","2022","Asian","West Midlands (England)","G6/G7","G6","45","45","66530","65790"
"In post","2022","Asian","West Midlands (England)","G6/G7","G7","235","230","52510","51470"
"In post","2022","Asian","West Midlands (England)","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","West Midlands (England)","SEO/HEO","HEO","705","685","32750","33080"
"In post","2022","Asian","West Midlands (England)","SEO/HEO","SEO","395","385","39950","40180"
"In post","2022","Asian","West Midlands (England)","Unknown","Unknown","190","175","28420","24800"
"In post","2022","Asian","Yorkshire and The Humber","AA/AO","AA","30","25","[c]","[c]"
"In post","2022","Asian","Yorkshire and The Humber","AA/AO","AO","905","795","21510","21250"
"In post","2022","Asian","Yorkshire and The Humber","EO","EO","1050","990","26840","27570"
"In post","2022","Asian","Yorkshire and The Humber","G6/G7","G6","30","25","[c]","[c]"
"In post","2022","Asian","Yorkshire and The Humber","G6/G7","G7","155","150","52930","52070"
"In post","2022","Asian","Yorkshire and The Humber","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Yorkshire and The Humber","SEO/HEO","HEO","470","450","32500","33080"
"In post","2022","Asian","Yorkshire and The Humber","SEO/HEO","SEO","195","190","39890","40160"
"In post","2022","Asian","Yorkshire and The Humber","Unknown","Unknown","80","75","28140","28200"
"In post","2022","Black","East Midlands (England)","AA/AO","AA","20","20","[c]","[c]"
"In post","2022","Black","East Midlands (England)","AA/AO","AO","200","185","22540","21260"
"In post","2022","Black","East Midlands (England)","EO","EO","195","190","27080","27570"
"In post","2022","Black","East Midlands (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","East Midlands (England)","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Black","East Midlands (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","East Midlands (England)","SEO/HEO","HEO","60","55","33170","33080"
"In post","2022","Black","East Midlands (England)","SEO/HEO","SEO","45","45","41090","40180"
"In post","2022","Black","East Midlands (England)","Unknown","Unknown","70","65","27830","26650"
"In post","2022","Black","East of England","AA/AO","AA","25","25","[c]","[c]"
"In post","2022","Black","East of England","AA/AO","AO","130","125","24680","24250"
"In post","2022","Black","East of England","EO","EO","275","260","28820","29290"
"In post","2022","Black","East of England","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","East of England","G6/G7","G7","30","30","57760","55210"
"In post","2022","Black","East of England","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","East of England","SEO/HEO","HEO","75","70","34280","33370"
"In post","2022","Black","East of England","SEO/HEO","SEO","40","40","41660","40580"
"In post","2022","Black","East of England","Unknown","Unknown","60","55","29290","26310"
"In post","2022","Black","London","AA/AO","AA","295","275","23760","24080"
"In post","2022","Black","London","AA/AO","AO","1915","1785","26580","25110"
"In post","2022","Black","London","EO","EO","3540","3395","30340","31060"
"In post","2022","Black","London","G6/G7","G6","185","185","69570","68700"
"In post","2022","Black","London","G6/G7","G7","905","895","56710","54970"
"In post","2022","Black","London","SCS level","SCS level","70","70","88830","79510"
"In post","2022","Black","London","SEO/HEO","HEO","1820","1790","35850","35200"
"In post","2022","Black","London","SEO/HEO","SEO","1110","1100","43060","42000"
"In post","2022","Black","London","Unknown","Unknown","660","645","33460","32090"
"In post","2022","Black","North East (England)","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","North East (England)","AA/AO","AO","70","60","21360","21260"
"In post","2022","Black","North East (England)","EO","EO","45","40","27130","26820"
"In post","2022","Black","North East (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","North East (England)","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Black","North East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","North East (England)","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Black","North East (England)","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Black","North East (England)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Black","North West (England)","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Black","North West (England)","AA/AO","AO","255","240","21580","21260"
"In post","2022","Black","North West (England)","EO","EO","300","290","26940","27570"
"In post","2022","Black","North West (England)","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Black","North West (England)","G6/G7","G7","60","55","52330","50810"
"In post","2022","Black","North West (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","North West (England)","SEO/HEO","HEO","155","155","32480","33080"
"In post","2022","Black","North West (England)","SEO/HEO","SEO","90","90","39320","38730"
"In post","2022","Black","North West (England)","Unknown","Unknown","55","50","29440","24090"
"In post","2022","Black","Northern Ireland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Northern Ireland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","EO","EO","15","15","[c]","[c]"
"In post","2022","Black","Overseas","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Black","Overseas","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Black","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Overseas","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Black","Overseas","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Black","Overseas","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Scotland","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Black","Scotland","AA/AO","AO","100","95","21580","21250"
"In post","2022","Black","Scotland","EO","EO","90","90","27940","27570"
"In post","2022","Black","Scotland","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Black","Scotland","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Black","Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Scotland","SEO/HEO","HEO","40","40","33310","33300"
"In post","2022","Black","Scotland","SEO/HEO","SEO","35","35","47450","40350"
"In post","2022","Black","Scotland","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","South East (England)","AA/AO","AA","75","70","22230","21790"
"In post","2022","Black","South East (England)","AA/AO","AO","250","235","26900","25110"
"In post","2022","Black","South East (England)","EO","EO","320","300","28610","28880"
"In post","2022","Black","South East (England)","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Black","South East (England)","G6/G7","G7","35","35","53100","53050"
"In post","2022","Black","South East (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","South East (England)","SEO/HEO","HEO","100","100","34170","33000"
"In post","2022","Black","South East (England)","SEO/HEO","SEO","65","65","42840","40580"
"In post","2022","Black","South East (England)","Unknown","Unknown","65","60","28630","25900"
"In post","2022","Black","South West (England)","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Black","South West (England)","AA/AO","AO","75","70","22360","21260"
"In post","2022","Black","South West (England)","EO","EO","125","115","25930","26820"
"In post","2022","Black","South West (England)","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","South West (England)","G6/G7","G7","40","40","51780","50130"
"In post","2022","Black","South West (England)","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","South West (England)","SEO/HEO","HEO","150","145","31890","32330"
"In post","2022","Black","South West (England)","SEO/HEO","SEO","140","135","40030","40000"
"In post","2022","Black","South West (England)","Unknown","Unknown","40","40","31560","28200"
"In post","2022","Black","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Black","Unknown","EO","EO","30","30","29860","31060"
"In post","2022","Black","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Black","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Black","Wales","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Wales","AA/AO","AO","60","55","21720","21250"
"In post","2022","Black","Wales","EO","EO","75","75","27100","27320"
"In post","2022","Black","Wales","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Wales","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Black","Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Wales","SEO/HEO","HEO","45","40","32400","31990"
"In post","2022","Black","Wales","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2022","Black","Wales","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Black","West Midlands (England)","AA/AO","AA","45","40","20580","20060"
"In post","2022","Black","West Midlands (England)","AA/AO","AO","400","365","21970","21260"
"In post","2022","Black","West Midlands (England)","EO","EO","445","420","27080","27570"
"In post","2022","Black","West Midlands (England)","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Black","West Midlands (England)","G6/G7","G7","55","55","52910","52030"
"In post","2022","Black","West Midlands (England)","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Black","West Midlands (England)","SEO/HEO","HEO","185","180","32460","32310"
"In post","2022","Black","West Midlands (England)","SEO/HEO","SEO","100","95","40410","40060"
"In post","2022","Black","West Midlands (England)","Unknown","Unknown","180","170","29060","28200"
"In post","2022","Black","Yorkshire and The Humber","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Black","Yorkshire and The Humber","AA/AO","AO","160","150","22080","21260"
"In post","2022","Black","Yorkshire and The Humber","EO","EO","215","205","26790","27570"
"In post","2022","Black","Yorkshire and The Humber","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Black","Yorkshire and The Humber","G6/G7","G7","40","40","50800","49860"
"In post","2022","Black","Yorkshire and The Humber","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Yorkshire and The Humber","SEO/HEO","HEO","80","80","32470","31990"
"In post","2022","Black","Yorkshire and The Humber","SEO/HEO","SEO","60","55","39160","37710"
"In post","2022","Black","Yorkshire and The Humber","Unknown","Unknown","45","45","29260","28200"
"In post","2022","Mixed","East Midlands (England)","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Mixed","East Midlands (England)","AA/AO","AO","140","130","22630","21260"
"In post","2022","Mixed","East Midlands (England)","EO","EO","120","110","27180","27570"
"In post","2022","Mixed","East Midlands (England)","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Mixed","East Midlands (England)","G6/G7","G7","20","20","[c]","[c]"
