"Status","Year","Function_of_post","Region_london","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Counter Fraud","London","SEO/HEO","SEO","450","440","43580","43810"
"In post","2022","Counter Fraud","Outside London","AA/AO","AA","15","15","21280","21500"
"In post","2022","Counter Fraud","Outside London","AA/AO","AO","2155","1865","21650","21260"
"In post","2022","Counter Fraud","Outside London","EO","EO","5985","5465","27530","27570"
"In post","2022","Counter Fraud","Outside London","G6/G7","G6","205","200","67820","67910"
"In post","2022","Counter Fraud","Outside London","G6/G7","G7","680","650","54640","55210"
"In post","2022","Counter Fraud","Outside London","SCS level","SCS level","20","20","79440","77600"
"In post","2022","Counter Fraud","Outside London","SEO/HEO","HEO","3140","2970","33430","33370"
"In post","2022","Counter Fraud","Outside London","SEO/HEO","SEO","1210","1160","40200","40520"
"In post","2022","Counter Fraud","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","EO","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Debt","London","AA/AO","AO","315","275","25810","25900"
"In post","2022","Debt","London","EO","EO","130","120","31820","32530"
"In post","2022","Debt","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Debt","London","G6/G7","G7","10","10","61040","62120"
"In post","2022","Debt","London","SEO/HEO","HEO","25","25","38120","37930"
"In post","2022","Debt","London","SEO/HEO","SEO","15","15","45920","46210"
"In post","2022","Debt","Outside London","AA/AO","AA","40","30","20430","20480"
"In post","2022","Debt","Outside London","AA/AO","AO","4770","4205","21340","21250"
"In post","2022","Debt","Outside London","EO","EO","1075","970","27290","26820"
"In post","2022","Debt","Outside London","G6/G7","G6","10","10","67780","67910"
"In post","2022","Debt","Outside London","G6/G7","G7","25","25","54160","55210"
"In post","2022","Debt","Outside London","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Outside London","SEO/HEO","HEO","245","220","32990","33180"
"In post","2022","Debt","Outside London","SEO/HEO","SEO","80","75","39330","40520"
"In post","2022","Debt","Unknown","AA/AO","AO","60","45","24520","25110"
"In post","2022","Debt","Unknown","EO","EO","10","10","[c]","[c]"
"In post","2022","Debt","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","London","AA/AO","AO","125","120","24730","24470"
"In post","2022","Digital, Data & Technology","London","EO","EO","470","460","29660","29640"
"In post","2022","Digital, Data & Technology","London","G6/G7","G6","410","405","69520","68050"
"In post","2022","Digital, Data & Technology","London","G6/G7","G7","1380","1355","57550","55550"
"In post","2022","Digital, Data & Technology","London","SCS level","SCS level","160","155","94920","90000"
"In post","2022","Digital, Data & Technology","London","SEO/HEO","HEO","815","800","35480","34610"
"In post","2022","Digital, Data & Technology","London","SEO/HEO","SEO","940","925","43130","41750"
"In post","2022","Digital, Data & Technology","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Outside London","AA/AO","AA","90","85","19460","19380"
"In post","2022","Digital, Data & Technology","Outside London","AA/AO","AO","720","695","21690","21380"
"In post","2022","Digital, Data & Technology","Outside London","EO","EO","3295","3145","27330","26820"
"In post","2022","Digital, Data & Technology","Outside London","G6/G7","G6","970","950","67000","66120"
"In post","2022","Digital, Data & Technology","Outside London","G6/G7","G7","3220","3150","53570","52670"
"In post","2022","Digital, Data & Technology","Outside London","SCS level","SCS level","175","170","90090","83650"
"In post","2022","Digital, Data & Technology","Outside London","SEO/HEO","HEO","4500","4355","33330","33180"
"In post","2022","Digital, Data & Technology","Outside London","SEO/HEO","SEO","4580","4455","40650","40180"
"In post","2022","Digital, Data & Technology","Outside London","Unknown","Unknown","70","70","34360","32460"
"In post","2022","Digital, Data & Technology","Overseas","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Overseas","EO","EO","20","20","27910","26670"
"In post","2022","Digital, Data & Technology","Overseas","SEO/HEO","HEO","30","30","33740","33300"
"In post","2022","Digital, Data & Technology","Overseas","SEO/HEO","SEO","15","15","39010","39650"
"In post","2022","Digital, Data & Technology","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","EO","EO","10","10","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","G6/G7","G7","20","15","52910","52310"
"In post","2022","Digital, Data & Technology","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Unknown","SEO/HEO","HEO","15","15","32490","32000"
"In post","2022","Digital, Data & Technology","Unknown","SEO/HEO","SEO","15","15","38470","37300"
"In post","2022","Finance","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","AA/AO","AO","110","100","25000","25330"
"In post","2022","Finance","London","EO","EO","360","350","29550","30060"
"In post","2022","Finance","London","G6/G7","G6","335","325","69880","69420"
"In post","2022","Finance","London","G6/G7","G7","685","670","57860","57420"
"In post","2022","Finance","London","SCS level","SCS level","170","170","89290","81700"
"In post","2022","Finance","London","SEO/HEO","HEO","615","605","36250","36540"
"In post","2022","Finance","London","SEO/HEO","SEO","720","705","43470","42900"
"In post","2022","Finance","Outside London","AA/AO","AA","85","65","20650","21250"
"In post","2022","Finance","Outside London","AA/AO","AO","1525","1295","21610","21260"
"In post","2022","Finance","Outside London","EO","EO","1720","1625","26310","26670"
"In post","2022","Finance","Outside London","G6/G7","G6","460","445","65620","65670"
"In post","2022","Finance","Outside London","G6/G7","G7","1285","1250","53020","52240"
"In post","2022","Finance","Outside London","SCS level","SCS level","130","130","85010","78530"
"In post","2022","Finance","Outside London","SEO/HEO","HEO","2020","1925","32570","32690"
"In post","2022","Finance","Outside London","SEO/HEO","SEO","2045","1970","39920","40000"
"In post","2022","Finance","Outside London","Unknown","Unknown","55","55","50720","44130"
"In post","2022","Finance","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","EO","EO","10","10","27410","26670"
"In post","2022","Finance","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","SEO/HEO","HEO","15","15","35730","33300"
"In post","2022","Finance","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Finance","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Finance","Unknown","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","London","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Grants Management","Outside London","AA/AO","AO","1285","1170","21280","21300"
"In post","2022","Grants Management","Outside London","EO","EO","605","555","25440","25190"
"In post","2022","Grants Management","Outside London","G6/G7","G6","15","15","60030","59960"
"In post","2022","Grants Management","Outside London","G6/G7","G7","50","45","48980","48370"
"In post","2022","Grants Management","Outside London","SCS level","SCS level","10","5","[c]","[c]"
"In post","2022","Grants Management","Outside London","SEO/HEO","HEO","245","230","30380","30230"
"In post","2022","Grants Management","Outside London","SEO/HEO","SEO","115","105","37430","36970"
"In post","2022","Human Resources","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Human Resources","London","AA/AO","AO","85","80","24730","24420"
"In post","2022","Human Resources","London","EO","EO","490","475","29020","28500"
"In post","2022","Human Resources","London","G6/G7","G6","305","300","68930","68070"
"In post","2022","Human Resources","London","G6/G7","G7","635","615","56610","55510"
"In post","2022","Human Resources","London","SCS level","SCS level","150","145","88370","80430"
"In post","2022","Human Resources","London","SEO/HEO","HEO","715","700","35340","35460"
"In post","2022","Human Resources","London","SEO/HEO","SEO","510","495","43440","42270"
"In post","2022","Human Resources","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outside London","AA/AO","AA","60","55","19890","19810"
"In post","2022","Human Resources","Outside London","AA/AO","AO","1480","1335","21610","21250"
"In post","2022","Human Resources","Outside London","EO","EO","2085","1940","26880","26820"
"In post","2022","Human Resources","Outside London","G6/G7","G6","325","320","64980","64340"
"In post","2022","Human Resources","Outside London","G6/G7","G7","1060","1020","52890","52650"
"In post","2022","Human Resources","Outside London","SCS level","SCS level","110","110","85000","78400"
"In post","2022","Human Resources","Outside London","SEO/HEO","HEO","2160","2045","32600","32890"
"In post","2022","Human Resources","Outside London","SEO/HEO","SEO","1430","1360","39760","40000"
"In post","2022","Human Resources","Outside London","Unknown","Unknown","35","35","43400","43470"
"In post","2022","Human Resources","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Human Resources","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","SEO/HEO","HEO","15","15","34020","33300"
"In post","2022","Human Resources","Overseas","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Human Resources","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","SEO/HEO","HEO","10","10","30060","29990"
"In post","2022","Human Resources","Unknown","SEO/HEO","SEO","10","10","38440","37460"
"In post","2022","Internal Audit","London","AA/AO","AO","15","15","30590","35900"
"In post","2022","Internal Audit","London","EO","EO","10","10","30490","30300"
"In post","2022","Internal Audit","London","G6/G7","G6","25","25","71950","70780"
"In post","2022","Internal Audit","London","G6/G7","G7","45","45","57200","56350"
"In post","2022","Internal Audit","London","SCS level","SCS level","20","20","95010","90690"
"In post","2022","Internal Audit","London","SEO/HEO","HEO","40","40","36590","37000"
"In post","2022","Internal Audit","London","SEO/HEO","SEO","70","70","47520","47150"
"In post","2022","Internal Audit","Outside London","AA/AO","AO","10","10","24660","21840"
"In post","2022","Internal Audit","Outside London","EO","EO","35","35","27010","26670"
"In post","2022","Internal Audit","Outside London","G6/G7","G6","50","45","64750","63220"
"In post","2022","Internal Audit","Outside London","G6/G7","G7","90","85","52290","51770"
"In post","2022","Internal Audit","Outside London","SCS level","SCS level","10","10","84750","76090"
"In post","2022","Internal Audit","Outside London","SEO/HEO","HEO","105","100","33320","33300"
"In post","2022","Internal Audit","Outside London","SEO/HEO","SEO","235","215","42690","42200"
"In post","2022","Internal Audit","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Unknown","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Legal","London","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Legal","London","AA/AO","AO","445","415","23810","23770"
"In post","2022","Legal","London","EO","EO","775","740","28950","29280"
"In post","2022","Legal","London","G6/G7","G6","1160","1070","69760","67950"
"In post","2022","Legal","London","G6/G7","G7","1840","1720","56120","53050"
"In post","2022","Legal","London","SCS level","SCS level","365","350","88120","82260"
"In post","2022","Legal","London","SEO/HEO","HEO","415","405","36810","36240"
"In post","2022","Legal","London","SEO/HEO","SEO","140","135","41400","40610"
"In post","2022","Legal","Outside London","AA/AO","AA","10","10","20310","20840"
"In post","2022","Legal","Outside London","AA/AO","AO","1160","1060","22410","22200"
"In post","2022","Legal","Outside London","EO","EO","1355","1250","27470","27230"
"In post","2022","Legal","Outside London","G6/G7","G6","330","315","70630","69790"
"In post","2022","Legal","Outside London","G6/G7","G7","2660","2430","55770","55610"
"In post","2022","Legal","Outside London","SCS level","SCS level","90","90","87000","83230"
"In post","2022","Legal","Outside London","SEO/HEO","HEO","880","835","34450","33370"
"In post","2022","Legal","Outside London","SEO/HEO","SEO","760","725","46410","41750"
"In post","2022","Legal","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Overseas","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Legal","Overseas","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Overseas","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","No function","London","AA/AO","AA","1060","975","23580","24080"
"In post","2022","No function","London","AA/AO","AO","6295","5905","27270","25110"
"In post","2022","No function","London","EO","EO","11530","10995","30680","31060"
"In post","2022","No function","London","G6/G7","G6","3690","3560","67690","66090"
"In post","2022","No function","London","G6/G7","G7","8690","8470","55740","54370"
"In post","2022","No function","London","SCS level","SCS level","2275","2180","89080","79930"
"In post","2022","No function","London","SEO/HEO","HEO","10605","10410","34990","34260"
"In post","2022","No function","London","SEO/HEO","SEO","6435","6285","42760","41750"
"In post","2022","No function","London","Unknown","Unknown","2340","2230","34600","33700"
"In post","2022","No function","Outside London","AA/AO","AA","9810","8570","20500","20890"
"In post","2022","No function","Outside London","AA/AO","AO","76495","68345","23010","21260"
"In post","2022","No function","Outside London","EO","EO","64895","59445","27970","27570"
"In post","2022","No function","Outside London","G6/G7","G6","2790","2660","68600","67150"
"In post","2022","No function","Outside London","G6/G7","G7","8760","8460","54090","52690"
"In post","2022","No function","Outside London","SCS level","SCS level","805","770","93080","89030"
"In post","2022","No function","Outside London","SEO/HEO","HEO","24755","23500","33340","33080"
"In post","2022","No function","Outside London","SEO/HEO","SEO","13845","13190","42020","40440"
"In post","2022","No function","Outside London","Unknown","Unknown","16805","15500","29470","28200"
"In post","2022","No function","Overseas","AA/AO","AO","20","20","23360","23250"
"In post","2022","No function","Overseas","EO","EO","45","45","28060","27950"
"In post","2022","No function","Overseas","G6/G7","G6","245","240","64920","64480"
"In post","2022","No function","Overseas","G6/G7","G7","450","445","55830","54470"
"In post","2022","No function","Overseas","SCS level","SCS level","240","240","86340","76670"
"In post","2022","No function","Overseas","SEO/HEO","HEO","520","520","34880","33950"
"In post","2022","No function","Overseas","SEO/HEO","SEO","230","230","49260","42380"
"In post","2022","No function","Unknown","AA/AO","AA","10","10","20550","20890"
"In post","2022","No function","Unknown","AA/AO","AO","90","85","21620","21260"
"In post","2022","No function","Unknown","EO","EO","335","310","28620","27570"
"In post","2022","No function","Unknown","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","No function","Unknown","G6/G7","G7","35","35","53580","53360"
"In post","2022","No function","Unknown","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","No function","Unknown","SEO/HEO","HEO","320","320","31880","29250"
"In post","2022","No function","Unknown","SEO/HEO","SEO","30","30","41110","40600"
"In post","2022","No function","Unknown","Unknown","Unknown","55","45","32870","28260"
"In post","2022","Project Delivery","London","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","London","AA/AO","AO","150","125","24410","25110"
"In post","2022","Project Delivery","London","EO","EO","330","315","30260","30630"
"In post","2022","Project Delivery","London","G6/G7","G6","760","730","70200","70410"
"In post","2022","Project Delivery","London","G6/G7","G7","1295","1255","57130","56380"
"In post","2022","Project Delivery","London","SCS level","SCS level","335","325","94930","87760"
"In post","2022","Project Delivery","London","SEO/HEO","HEO","795","770","36910","37640"
"In post","2022","Project Delivery","London","SEO/HEO","SEO","755","735","43250","43500"
"In post","2022","Project Delivery","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Outside London","AA/AO","AA","10","10","19430","19080"
"In post","2022","Project Delivery","Outside London","AA/AO","AO","470","415","21310","21260"
"In post","2022","Project Delivery","Outside London","EO","EO","3100","2925","24280","25350"
"In post","2022","Project Delivery","Outside London","G6/G7","G6","1190","1160","67010","67180"
"In post","2022","Project Delivery","Outside London","G6/G7","G7","3560","3465","52740","54160"
"In post","2022","Project Delivery","Outside London","SCS level","SCS level","230","225","90350","80540"
"In post","2022","Project Delivery","Outside London","SEO/HEO","HEO","5415","5165","31790","32990"
"In post","2022","Project Delivery","Outside London","SEO/HEO","SEO","5960","5735","40310","40520"
"In post","2022","Project Delivery","Outside London","Unknown","Unknown","1590","1550","41100","39850"
"In post","2022","Project Delivery","Overseas","EO","EO","5","5","[c]","[c]"
"In post","2022","Project Delivery","Overseas","G6/G7","G6","155","155","67040","66680"
"In post","2022","Project Delivery","Overseas","G6/G7","G7","280","280","54760","55060"
"In post","2022","Project Delivery","Overseas","SCS level","SCS level","25","25","78730","76460"
"In post","2022","Project Delivery","Overseas","SEO/HEO","HEO","50","50","34950","33300"
"In post","2022","Project Delivery","Overseas","SEO/HEO","SEO","60","60","42440","41670"
"In post","2022","Project Delivery","Overseas","Unknown","Unknown","20","20","38480","33080"
"In post","2022","Project Delivery","Unknown","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","EO","EO","5","5","[c]","[c]"
"In post","2022","Project Delivery","Unknown","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Project Delivery","Unknown","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Property","London","AA/AO","AA","35","35","19630","18980"
"In post","2022","Property","London","AA/AO","AO","90","80","25780","25750"
"In post","2022","Property","London","EO","EO","430","405","27770","29610"
"In post","2022","Property","London","G6/G7","G6","150","150","68770","66590"
"In post","2022","Property","London","G6/G7","G7","295","290","58620","57680"
"In post","2022","Property","London","SCS level","SCS level","50","50","97150","95000"
"In post","2022","Property","London","SEO/HEO","HEO","350","340","35000","35680"
"In post","2022","Property","London","SEO/HEO","SEO","290","285","45490","45330"
"In post","2022","Property","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Property","Outside London","AA/AO","AA","560","540","18520","17480"
"In post","2022","Property","Outside London","AA/AO","AO","1145","1065","22670","22010"
"In post","2022","Property","Outside London","EO","EO","1455","1375","26460","26670"
"In post","2022","Property","Outside London","G6/G7","G6","365","360","65600","65000"
"In post","2022","Property","Outside London","G6/G7","G7","895","865","53710","54240"
"In post","2022","Property","Outside London","SCS level","SCS level","65","65","88860","79260"
"In post","2022","Property","Outside London","SEO/HEO","HEO","1665","1610","32920","33300"
"In post","2022","Property","Outside London","SEO/HEO","SEO","1435","1370","41850","41100"
"In post","2022","Property","Outside London","Unknown","Unknown","45","45","21730","21600"
"In post","2022","Property","Overseas","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Property","Overseas","EO","EO","30","30","27480","27360"
"In post","2022","Property","Overseas","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Property","Overseas","G6/G7","G7","20","20","55330","54540"
"In post","2022","Property","Overseas","SEO/HEO","HEO","75","75","35790","34610"
"In post","2022","Property","Overseas","SEO/HEO","SEO","50","50","43260","42050"
"In post","2022","Property","Unknown","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Property","Unknown","SEO/HEO","HEO","25","25","38660","39000"
"In post","2022","Property","Unknown","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Security","London","AA/AO","AA","120","120","22270","22900"
"In post","2022","Security","London","AA/AO","AO","200","195","31060","28250"
"In post","2022","Security","London","EO","EO","340","330","30340","29250"
"In post","2022","Security","London","G6/G7","G6","90","90","69710","68200"
"In post","2022","Security","London","G6/G7","G7","235","235","57710","57400"
"In post","2022","Security","London","SCS level","SCS level","45","45","86970","78810"
"In post","2022","Security","London","SEO/HEO","HEO","475","465","36960","37000"
"In post","2022","Security","London","SEO/HEO","SEO","405","400","45710","44500"
"In post","2022","Security","London","Unknown","Unknown","35","35","36990","33950"
"In post","2022","Security","Outside London","AA/AO","AA","2355","2295","20650","19810"
"In post","2022","Security","Outside London","AA/AO","AO","2970","2905","31840","33200"
