"Status","Year","Age","Organisation","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Scottish Government","AO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Scottish Government","AA","25","20","21430","21050"
"In post","2022","16-19","Scottish Government (excl. agencies)","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Scottish Government","EO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Scottish Government","AO","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Scottish Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Scottish Government","AA","15","15","21110","21050"
"In post","2022","16-19","Social Security Scotland","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Student Awards Agency for Scotland","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Ministry of Defence","Unknown","15","15","18160","17140"
"In post","2022","16-19","The Insolvency Service","Department for Business, Energy and Industrial Strategy","AO","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Department of Health and Social Care","AA","10","5","21050","22350"
"In post","2022","16-19","UK Health Security Agency","Department of Health and Social Care","AO","5","5","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","AA","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","AO","10","10","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","EO","10","10","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","HM Revenue and Customs","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","HM Revenue and Customs","EO","10","10","25900","26030"
"In post","2022","16-19","Vehicle Certification Agency","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Vehicle Certification Agency","Department for Transport","AO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Welsh Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Scottish Government","AA","5","5","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","AO","10","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","EO","60","60","24550","24250"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","HEO","20","20","31980","30950"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","AO","225","220","22310","21300"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","EO","210","210","26020","24920"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","HEO","70","70","31010","30640"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","SEO","20","20","36850","35900"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","AO","145","140","21900","21050"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","EO","425","425","26590","27500"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","G6","55","55","65900","64500"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","G7","415","415","55320","54700"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","HEO","2030","2030","30710","29250"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","SEO","290","290","40140","40600"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","AO","25","25","21250","21510"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","EO","50","50","25230","25010"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","HEO","35","35","29710","29750"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","AO","15","10","17360","17140"
"In post","2022","20-29","Charity Commission","Charity Commission","EO","30","30","24560","24440"
"In post","2022","20-29","Charity Commission","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","HEO","25","25","28750","29160"
"In post","2022","20-29","Charity Commission","Charity Commission","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","AO","80","75","20230","20100"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","EO","45","45","26880","24500"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","HEO","25","25","33240","33000"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","AO","15","15","22580","22520"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","EO","25","25","27410","26750"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","G7","40","40","55310","54320"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","HEO","55","55","33630","33120"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","SEO","10","10","43140","41670"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","AO","15","15","20970","20970"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","EO","10","10","25120","25120"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","AO","15","15","20370","20330"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","EO","40","40","25820","25520"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","G7","5","5","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","HEO","55","55","30600","30420"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","SEO","35","35","37000","38980"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","AO","265","255","21920","21050"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","EO","140","135","28040","27230"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","HEO","45","45","32050","31540"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","SEO","105","105","42780","41750"
"In post","2022","20-29","Crown Prosecution Service","Attorney General's Departments","AO","470","465","22460","22200"
"In post","2022","20-29","Crown Prosecution Service","Attorney General's Departments","EO","340","340","26270","26090"
"In post","2022","20-29","Crown Prosecution Service","Attorney General's Departments","G7","85","85","50520","48080"
"In post","2022","20-29","Crown Prosecution Service","Attorney General's Departments","HEO","130","130","34640","32080"
"In post","2022","20-29","Crown Prosecution Service","Attorney General's Departments","SEO","20","20","39300","39750"
"In post","2022","20-29","Defence Electronics and Components Agency","Ministry of Defence","AA","25","25","20000","19450"
"In post","2022","20-29","Defence Electronics and Components Agency","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","Ministry of Defence","EO","5","5","[c]","[c]"
"In post","2022","20-29","Defence Electronics and Components Agency","Ministry of Defence","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","Ministry of Defence","EO","895","890","23090","23250"
"In post","2022","20-29","Defence Equipment and Support","Ministry of Defence","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","Ministry of Defence","G7","5","5","[c]","[c]"
"In post","2022","20-29","Defence Equipment and Support","Ministry of Defence","HEO","780","770","28970","29610"
"In post","2022","20-29","Defence Equipment and Support","Ministry of Defence","SEO","220","220","36710","37400"
"In post","2022","20-29","Defence Science and Technology Laboratory","Ministry of Defence","AA","40","40","18150","17790"
"In post","2022","20-29","Defence Science and Technology Laboratory","Ministry of Defence","AO","90","90","21120","22230"
"In post","2022","20-29","Defence Science and Technology Laboratory","Ministry of Defence","EO","105","105","24800","23490"
"In post","2022","20-29","Defence Science and Technology Laboratory","Ministry of Defence","G7","15","15","47390","47010"
"In post","2022","20-29","Defence Science and Technology Laboratory","Ministry of Defence","HEO","655","655","29650","29230"
"In post","2022","20-29","Defence Science and Technology Laboratory","Ministry of Defence","SEO","155","155","38640","38070"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","AO","25","25","24030","24900"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","EO","190","190","27480","27680"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G6","30","30","65910","64700"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","G7","530","525","54880","53380"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","HEO","715","715","34020","33570"
"In post","2022","20-29","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","SEO","545","545","40840","40050"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","EO","115","110","26610","26180"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G6","10","10","62180","62600"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","G7","195","195","53160","51730"
"In post","2022","20-29","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","HEO","445","445","35030","34020"
"In post","2022","20-29","Department for Education (excl. agencies)","Department for Education","AO","25","25","21880","21250"
"In post","2022","20-29","Department for Education (excl. agencies)","Department for Education","EO","330","325","26230","25000"
"In post","2022","20-29","Department for Education (excl. agencies)","Department for Education","G6","20","20","63150","64180"
"In post","2022","20-29","Department for Education (excl. agencies)","Department for Education","G7","225","220","52240","53420"
"In post","2022","20-29","Department for Education (excl. agencies)","Department for Education","HEO","430","425","31740","32870"
"In post","2022","20-29","Department for Education (excl. agencies)","Department for Education","SEO","365","365","39280","40230"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","AO","35","30","22150","21620"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","EO","235","235","26200","25170"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G6","10","10","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","G7","170","170","52070","52290"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","HEO","700","700","32020","32560"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","SEO","305","300","38330","38750"
"In post","2022","20-29","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Department for International Trade","EO","145","145","27020","26250"
"In post","2022","20-29","Department for International Trade","Department for International Trade","G6","10","10","62300","62170"
"In post","2022","20-29","Department for International Trade","Department for International Trade","G7","230","230","52490","51710"
"In post","2022","20-29","Department for International Trade","Department for International Trade","HEO","380","380","32380","31800"
"In post","2022","20-29","Department for International Trade","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for International Trade","Department for International Trade","SEO","260","260","39110","38160"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","AO","20","20","24630","23320"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","EO","165","160","27220","27850"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G6","15","15","63340","63470"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","G7","215","210","52720","53130"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","HEO","350","350","32540","33210"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","SEO","205","205","39360","39600"
"In post","2022","20-29","Department for Transport (excl. agencies)","Department for Transport","AO","20","20","23720","23790"
"In post","2022","20-29","Department for Transport (excl. agencies)","Department for Transport","EO","165","165","28480","29970"
"In post","2022","20-29","Department for Transport (excl. agencies)","Department for Transport","G6","30","30","65160","65440"
"In post","2022","20-29","Department for Transport (excl. agencies)","Department for Transport","G7","165","165","53900","54110"
"In post","2022","20-29","Department for Transport (excl. agencies)","Department for Transport","HEO","365","365","33910","34710"
"In post","2022","20-29","Department for Transport (excl. agencies)","Department for Transport","SEO","200","200","41990","42470"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","AO","3805","3695","21620","21260"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","EO","5865","5780","28390","27570"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G6","10","10","[c]","[c]"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","G7","135","135","54140","54070"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","HEO","640","640","33730","31990"
"In post","2022","20-29","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","SEO","270","270","38450","37880"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","AO","25","25","22070","23170"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","EO","240","235","26620","27270"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G6","30","30","65580","66230"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","G7","285","285","52990","53360"
"In post","2022","20-29","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","HEO","430","430","32200","32790"
