"Status","Year","Age","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","15","15","19500","22230"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Department for Education","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Education (excl. agencies)","Department for Education","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Policy","20","15","23760","25170"
"In post","2022","16-19","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Department for International Trade","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for International Trade","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","Policy","10","10","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Department for Transport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Department for Transport","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Department for Transport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Department for Transport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Transport (excl. agencies)","Department for Transport","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Counter Fraud","10","10","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Operational Delivery","90","85","23130","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Other","35","35","22730","21260"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","10","10","21790","21260"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Disclosure Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Licensing Agency","Department for Transport","Operational Delivery","75","60","19130","18310"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Department for Transport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Department for Transport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Department for Transport","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Driver and Vehicle Standards Agency","Department for Transport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Department for Education","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Education and Skills Funding Agency","Department for Education","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Property","15","15","19130","16630"
"In post","2022","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","FCDO Services","Foreign, Commonwealth and Development Office","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Food Standards Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Forestry and Land Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Actuary's Department","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Attorney General's Departments","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Government Legal Department","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Health and Safety Executive","Department for Work and Pensions","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Courts and Tribunals Service","Ministry of Justice","Operational Delivery","25","25","21480","20970"
"In post","2022","16-19","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","HM Land Registry","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","HM Land Registry","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Ministry of Justice","Operational Delivery","165","165","23270","23140"
"In post","2022","16-19","HM Prison and Probation Service","Ministry of Justice","Security","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Finance","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Legal","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Operational Delivery","110","105","21560","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Tax","65","60","21680","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","15","10","23740","21250"
"In post","2022","16-19","HM Treasury (excl. agencies)","HM Treasury","Economics","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","HM Treasury","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","HM Treasury","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","HM Treasury","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Home Office","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Home Office","Operational Delivery","45","45","23160","21680"
"In post","2022","16-19","Home Office","Home Office","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Home Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Ministry of Defence","Security","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","National Crime Agency","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Chancellor's other departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","HM Treasury","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Other","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Economics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Office of Rail and Road","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Ministry of Justice","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Scottish Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Ministry of Defence","Other","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","10","10","21070","21300"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Scottish Government","Operational Delivery","10","10","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Scottish Government","Unknown","30","30","22550","21050"
"In post","2022","16-19","Scottish Prison Service","Scottish Government","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Scottish Government","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Scottish Government","Unknown","20","20","21450","21050"
"In post","2022","16-19","Student Awards Agency for Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Ministry of Defence","Science and Engineering","15","15","18160","17140"
"In post","2022","16-19","The Insolvency Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","5","5","[c]","[c]"
"In post","2022","16-19","The National Archives","The National Archives","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Scottish Government","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Department of Health and Social Care","Operational Delivery","15","10","21350","22350"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","Economics","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","Operational Delivery","15","10","19500","19860"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","UK Statistics Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","HM Revenue and Customs","Property","15","15","25100","25000"
"In post","2022","16-19","Vehicle Certification Agency","Department for Transport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Welsh Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Welsh Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Welsh Government","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Scottish Government","Unknown","10","10","25660","23230"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Human Resources","5","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Delivery","70","70","26150","24250"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Operational Delivery","385","380","25110","24920"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Science and Engineering","125","125","26770","27960"
"In post","2022","20-29","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","Veterinarian","15","15","29380","29180"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","Legal","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Attorney General's Departments","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Policy","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Cabinet Office","Unknown","3355","3345","34310","32000"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","15","15","26570","25460"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Economics","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Finance","5","5","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Project Delivery","15","15","25250","25010"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","Science and Engineering","75","75","25890","25460"
"In post","2022","20-29","Charity Commission","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","Operational Delivery","55","50","24910","24440"
"In post","2022","20-29","Charity Commission","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","20","20","21830","20100"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","35","35","31770","32640"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Finance","10","10","28290","20100"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","70","70","21450","20100"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","5","5","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","Communications","10","10","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","15","15","47080","42290"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","Economics","30","30","41180","34640"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","Human Resources","10","10","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","Legal","25","25","37060","33530"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","55","55","37330","33120"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","35","35","23950","20970"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","Commercial","75","75","31550","30420"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","25","25","33650","30420"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","Operational Delivery","40","40","27840","25520"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","15","15","28060","27230"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","145","145","38160","41750"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","375","360","24140","23230"
"In post","2022","20-29","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","5","5","[c]","[c]"
