"Status","Year","Age","Organisation","Profession_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","HM Land Registry","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Land Registry","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","16-19","HM Prison and Probation Service","Operational Delivery","Outside London","155","155","23000","23140"
"In post","2022","16-19","HM Prison and Probation Service","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Finance","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Operational Delivery","Outside London","105","105","21400","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Tax","Outside London","65","60","21680","21250"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Revenue and Customs (excl. agencies)","Unknown","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Economics","London","5","5","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","HM Treasury (excl. agencies)","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Operational Delivery","Outside London","45","40","22650","21680"
"In post","2022","16-19","Home Office","Operational Research","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Home Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Intellectual Property Office","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal Aid Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Maritime and Coastguard Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Met Office","Digital, Data and Technology","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Science and Engineering","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Defence (excl. agencies)","Security","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Ministry of Justice (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Crime Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","National Savings and Investments","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Budget Responsibility","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office for Standards in Education, Children's Services and Skills","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Gas and Electricity Markets","Economics","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Qualifications and Examinations Regulation","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of Rail and Road","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Office of the Public Guardian","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Registers of Scotland","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Royal Fleet Auxiliary","Other","Unknown","35","35","17940","16450"
"In post","2022","16-19","Rural Payments Agency","Operational Delivery","Outside London","10","10","21070","21300"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Courts and Tribunals Service","Operational Delivery","Outside London","10","10","[c]","[c]"
"In post","2022","16-19","Scottish Government (excl. agencies)","Unknown","Outside London","30","30","22550","21050"
"In post","2022","16-19","Scottish Prison Service","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scottish Prison Service","Operational Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","Scottish Public Pensions Agency","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Serious Fraud Office","Commercial","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Social Security Scotland","Unknown","Outside London","20","20","21450","21050"
"In post","2022","16-19","Student Awards Agency for Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Submarine Delivery Agency","Science and Engineering","Outside London","15","15","18160","17140"
"In post","2022","16-19","The Insolvency Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The Insolvency Service","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","The National Archives","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Transport Scotland","Unknown","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","16-19","UK Health Security Agency","Operational Delivery","Outside London","10","10","20500","19880"
"In post","2022","16-19","UK Statistics Authority","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Economics","Outside London","5","5","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Operational Delivery","Outside London","15","10","19500","19860"
"In post","2022","16-19","UK Statistics Authority","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","UK Statistics Authority","Statistics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Property","London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Valuation Office Agency","Property","Outside London","15","15","24780","25000"
"In post","2022","16-19","Vehicle Certification Agency","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Welsh Government (excl. agencies)","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Accountant in Bankruptcy","Unknown","Outside London","10","10","25660","23230"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","London","5","5","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Operational Delivery","Outside London","65","65","25810","24250"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Operational Research","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Project Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Advisory, Conciliation and Arbitration Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Operational Delivery","London","20","20","29610","28140"
"In post","2022","20-29","Animal and Plant Health Agency","Operational Delivery","Outside London","365","360","24850","24920"
"In post","2022","20-29","Animal and Plant Health Agency","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Science and Engineering","Outside London","125","125","26770","27960"
"In post","2022","20-29","Animal and Plant Health Agency","Veterinarian","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Animal and Plant Health Agency","Veterinarian","Outside London","15","15","28710","27050"
"In post","2022","20-29","Attorney General's Office","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Legal","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Attorney General's Office","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Other","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Policy","London","5","5","[c]","[c]"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","London","2390","2390","35890","32000"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","Outside London","685","680","29980","28000"
"In post","2022","20-29","Cabinet Office (excl. agencies)","Unknown","Unknown","280","280","31440","29250"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Commercial","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Digital, Data and Technology","Outside London","15","15","26570","25460"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Economics","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Finance","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Operational Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Project Delivery","Outside London","15","15","25250","25010"
"In post","2022","20-29","Centre for Environment, Fisheries and Aquaculture Science","Science and Engineering","Outside London","75","75","25890","25460"
"In post","2022","20-29","Charity Commission","Communications","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Digital, Data and Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Legal","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Operational Delivery","London","10","10","[c]","[c]"
"In post","2022","20-29","Charity Commission","Operational Delivery","Outside London","45","40","23670","24440"
"In post","2022","20-29","Charity Commission","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Charity Commission","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Counter Fraud","Outside London","20","20","21830","20100"
"In post","2022","20-29","Companies House","Digital, Data and Technology","Outside London","35","35","31770","32640"
"In post","2022","20-29","Companies House","Finance","Outside London","10","10","28290","20100"
"In post","2022","20-29","Companies House","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Knowledge and Information Management","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Operational Delivery","Outside London","70","70","21400","20100"
"In post","2022","20-29","Companies House","Other","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Property","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Statistics","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Companies House","Statistics","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Communications","London","10","10","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Corporate Finance","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Digital, Data and Technology","London","15","15","47080","42290"
"In post","2022","20-29","Competition and Markets Authority","Economics","London","30","30","41180","34640"
"In post","2022","20-29","Competition and Markets Authority","Human Resources","London","10","10","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Knowledge and Information Management","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Legal","London","25","25","36410","33460"
"In post","2022","20-29","Competition and Markets Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Policy","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Competition and Markets Authority","Project Delivery","London","50","50","35240","33120"
"In post","2022","20-29","Competition and Markets Authority","Project Delivery","Outside London","5","5","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Legal","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Criminal Injuries Compensation Authority","Operational Delivery","Outside London","35","35","23950","20970"
"In post","2022","20-29","Crown Commercial Service","Commercial","London","5","5","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Commercial","Outside London","70","70","31430","30420"
"In post","2022","20-29","Crown Commercial Service","Communications","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Digital, Data and Technology","London","5","5","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Digital, Data and Technology","Outside London","20","20","30760","30420"
"In post","2022","20-29","Crown Commercial Service","Finance","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Operational Delivery","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Operational Delivery","Outside London","35","35","25740","25520"
"In post","2022","20-29","Crown Commercial Service","Policy","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Crown Commercial Service","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
