"Status","Year","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Water Services Regulation Authority","45","40","60330","51630"
"In post","2022","Analysis","Welsh Government","5","5","[c]","[c]"
"In post","2022","Commercial","Attorney General's Departments","45","45","38880","38180"
"In post","2022","Commercial","Cabinet Office","2020","1985","63520","61710"
"In post","2022","Commercial","Chancellor's other departments","20","20","54850","49530"
"In post","2022","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy","280","270","44240","44630"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","35","35","41070","34020"
"In post","2022","Commercial","Department for Education","265","260","38500","36500"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs","215","200","36050","35900"
"In post","2022","Commercial","Department for International Trade","30","30","37490","38160"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities","40","40","40390","39600"
"In post","2022","Commercial","Department for Transport","400","380","39060","34710"
"In post","2022","Commercial","Department for Work and Pensions","45","45","40360","36350"
"In post","2022","Commercial","Department of Health and Social Care","430","420","48650","49530"
"In post","2022","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","15","15","36700","34440"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office","160","155","42320","39630"
"In post","2022","Commercial","HM Land Registry","20","20","42440","38550"
"In post","2022","Commercial","HM Revenue and Customs","150","145","38420","35980"
"In post","2022","Commercial","HM Treasury","15","15","53970","39310"
"In post","2022","Commercial","Ministry of Defence","1730","1680","38410","35320"
"In post","2022","Commercial","Ministry of Justice","250","250","34920","34260"
"In post","2022","Commercial","National Crime Agency","20","20","45660","45920"
"In post","2022","Commercial","Office for Standards in Education, Children's Services and Skills","15","15","37610","35930"
"In post","2022","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Scottish Government","105","100","32850","26900"
"In post","2022","Commercial","The National Archives","40","35","30070","24150"
"In post","2022","Commercial","UK Export Finance","215","210","52350","47150"
"In post","2022","Commercial","UK Statistics Authority","35","35","44460","37570"
"In post","2022","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Attorney General's Departments","70","70","42260","37730"
"In post","2022","Communications","Cabinet Office","375","370","47840","41310"
"In post","2022","Communications","Chancellor's other departments","25","25","43900","43670"
"In post","2022","Communications","Charity Commission","20","20","41880","37910"
"In post","2022","Communications","Competition and Markets Authority","35","30","49220","41670"
"In post","2022","Communications","Department for Business, Energy and Industrial Strategy","245","235","43420","39910"
"In post","2022","Communications","Department for Digital, Culture, Media and Sport","35","35","50520","43370"
"In post","2022","Communications","Department for Education","240","230","39960","36570"
"In post","2022","Communications","Department for Environment, Food and Rural Affairs","300","280","39500","36970"
"In post","2022","Communications","Department for International Trade","110","105","43690","38480"
"In post","2022","Communications","Department for Levelling Up, Housing and Communities","115","110","44990","39600"
"In post","2022","Communications","Department for Transport","230","220","39010","34710"
"In post","2022","Communications","Department for Work and Pensions","200","190","42120","40840"
"In post","2022","Communications","Department of Health and Social Care","485","470","45940","42750"
"In post","2022","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Food Standards Agency","50","50","41300","37350"
"In post","2022","Communications","Foreign, Commonwealth and Development Office","105","100","49390","46030"
"In post","2022","Communications","HM Land Registry","25","25","40240","37290"
"In post","2022","Communications","HM Revenue and Customs","4645","4490","30460","26820"
"In post","2022","Communications","HM Treasury","50","45","48430","44140"
"In post","2022","Communications","Ministry of Defence","615","595","36160","33300"
"In post","2022","Communications","Ministry of Justice","180","175","44620","41750"
"In post","2022","Communications","National Crime Agency","30","30","44220","45480"
"In post","2022","Communications","Northern Ireland Office","20","20","48050","38630"
"In post","2022","Communications","Office for Standards in Education, Children's Services and Skills","35","35","43280","39850"
"In post","2022","Communications","Office of Gas and Electricity Markets","45","45","45530","40410"
"In post","2022","Communications","Office of Qualifications and Examinations Regulation","10","10","44270","39910"
"In post","2022","Communications","Office of Rail and Road","20","20","46630","41160"
"In post","2022","Communications","Office of the Secretary of State for Scotland","5","5","[c]","[c]"
"In post","2022","Communications","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2022","Communications","Scottish Government","40","40","38940","37710"
"In post","2022","Communications","The National Archives","20","15","33960","29780"
"In post","2022","Communications","UK Export Finance","65","65","56560","52500"
"In post","2022","Communications","UK Statistics Authority","65","65","39150","36840"
"In post","2022","Communications","UK Supreme Court","5","5","[c]","[c]"
"In post","2022","Communications","Water Services Regulation Authority","15","15","48930","38910"
"In post","2022","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Attorney General's Departments","240","235","46740","40270"
"In post","2022","Counter Fraud","Cabinet Office","130","130","46590","43890"
"In post","2022","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Department for Business, Energy and Industrial Strategy","415","390","33520","34050"
"In post","2022","Counter Fraud","Department for Digital, Culture, Media and Sport","20","20","48600","51730"
"In post","2022","Counter Fraud","Department for Transport","55","50","30940","30730"
"In post","2022","Counter Fraud","Department for Work and Pensions","6385","5695","27570","27570"
"In post","2022","Counter Fraud","Food Standards Agency","55","55","38260","37350"
"In post","2022","Counter Fraud","HM Revenue and Customs","9680","9140","35120","33370"
"In post","2022","Counter Fraud","HM Treasury","35","30","39770","38090"
"In post","2022","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Debt","Department for Work and Pensions","2510","2140","22610","21260"
"In post","2022","Debt","HM Revenue and Customs","4295","3895","24350","21250"
"In post","2022","Debt","HM Treasury","15","15","59190","49590"
"In post","2022","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Attorney General's Departments","195","195","40360","38180"
"In post","2022","Digital, Data & Technology","Cabinet Office","1275","1255","49890","54700"
"In post","2022","Digital, Data & Technology","Chancellor's other departments","15","15","52430","47500"
"In post","2022","Digital, Data & Technology","Charity Commission","55","55","34230","29160"
"In post","2022","Digital, Data & Technology","Competition and Markets Authority","75","75","57160","57000"
"In post","2022","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","2075","1990","40190","39650"
"In post","2022","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","15","15","61740","62380"
"In post","2022","Digital, Data & Technology","Department for Education","990","960","41920","37780"
"In post","2022","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","925","905","42530","40730"
"In post","2022","Digital, Data & Technology","Department for International Trade","165","160","47710","47000"
"In post","2022","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","180","170","45360","41360"
"In post","2022","Digital, Data & Technology","Department for Transport","1275","1255","39550","37660"
"In post","2022","Digital, Data & Technology","Department for Work and Pensions","4125","3960","42120","36890"
"In post","2022","Digital, Data & Technology","Department of Health and Social Care","460","450","43480","40070"
"In post","2022","Digital, Data & Technology","Food Standards Agency","60","60","45710","41220"
"In post","2022","Digital, Data & Technology","Foreign, Commonwealth and Development Office","345","340","42340","39190"
"In post","2022","Digital, Data & Technology","HM Land Registry","705","675","37870","38450"
"In post","2022","Digital, Data & Technology","HM Revenue and Customs","3015","2920","41860","40180"
"In post","2022","Digital, Data & Technology","HM Treasury","70","65","49160","45000"
"In post","2022","Digital, Data & Technology","Ministry of Defence","3215","3140","34480","33290"
"In post","2022","Digital, Data & Technology","Ministry of Justice","1275","1255","46450","43050"
"In post","2022","Digital, Data & Technology","National Crime Agency","270","260","42780","40170"
"In post","2022","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","75","75","46280","39850"
"In post","2022","Digital, Data & Technology","Office of Gas and Electricity Markets","75","75","53930","50580"
"In post","2022","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","20","20","41830","39540"
"In post","2022","Digital, Data & Technology","Office of Rail and Road","5","5","[c]","[c]"
"In post","2022","Digital, Data & Technology","Scottish Government","245","240","39460","36360"
"In post","2022","Digital, Data & Technology","The National Archives","130","130","40430","40000"
"In post","2022","Digital, Data & Technology","UK Export Finance","30","30","56420","52940"
"In post","2022","Digital, Data & Technology","UK Statistics Authority","665","645","41900","37570"
"In post","2022","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data & Technology","Water Services Regulation Authority","25","20","46600","45360"
"In post","2022","Digital, Data & Technology","Welsh Government","10","10","[c]","[c]"
"In post","2022","Finance","Attorney General's Departments","145","140","35470","29030"
"In post","2022","Finance","Cabinet Office","140","140","47590","43090"
"In post","2022","Finance","Chancellor's other departments","35","30","48610","45860"
"In post","2022","Finance","Charity Commission","10","10","36620","33810"
"In post","2022","Finance","Competition and Markets Authority","15","15","46330","38060"
"In post","2022","Finance","Department for Business, Energy and Industrial Strategy","345","330","44470","41630"
"In post","2022","Finance","Department for Digital, Culture, Media and Sport","75","75","52150","56360"
"In post","2022","Finance","Department for Education","1275","1235","40690","36780"
"In post","2022","Finance","Department for Environment, Food and Rural Affairs","455","440","41400","37250"
"In post","2022","Finance","Department for International Trade","95","90","47580","44720"
"In post","2022","Finance","Department for Levelling Up, Housing and Communities","140","135","49680","48200"
"In post","2022","Finance","Department for Transport","470","455","40890","39040"
"In post","2022","Finance","Department for Work and Pensions","1960","1835","38170","35310"
"In post","2022","Finance","Department of Health and Social Care","645","630","42240","40650"
"In post","2022","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Food Standards Agency","50","50","42980","38340"
"In post","2022","Finance","Foreign, Commonwealth and Development Office","315","305","44480","40600"
"In post","2022","Finance","HM Land Registry","50","50","49170","44900"
"In post","2022","Finance","HM Revenue and Customs","2765","2505","34580","31020"
"In post","2022","Finance","HM Treasury","125","120","51060","52840"
"In post","2022","Finance","Ministry of Defence","2075","1995","38130","33300"
"In post","2022","Finance","Ministry of Justice","710","690","42470","41100"
"In post","2022","Finance","National Crime Agency","60","55","37940","36740"
"In post","2022","Finance","Northern Ireland Office","10","10","51120","44510"
"In post","2022","Finance","Office for Standards in Education, Children's Services and Skills","35","30","41400","32010"
"In post","2022","Finance","Office of Gas and Electricity Markets","30","30","45520","42200"
"In post","2022","Finance","Office of Qualifications and Examinations Regulation","10","10","31960","23720"
"In post","2022","Finance","Office of Rail and Road","10","10","[c]","[c]"
"In post","2022","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Scottish Government","150","145","35880","32380"
"In post","2022","Finance","The National Archives","10","10","43840","45000"
"In post","2022","Finance","UK Export Finance","65","65","47310","39960"
"In post","2022","Finance","UK Statistics Authority","55","50","36440","30210"
"In post","2022","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Water Services Regulation Authority","30","30","61760","62220"
"In post","2022","Finance","Welsh Government","10","10","40030","29430"
"In post","2022","Grants Management","Department for Environment, Food and Rural Affairs","2320","2130","25170","21300"
"In post","2022","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Attorney General's Departments","260","250","40260","33900"
"In post","2022","Human Resources","Cabinet Office","1185","1130","39610","35590"
"In post","2022","Human Resources","Chancellor's other departments","15","15","44310","42500"
"In post","2022","Human Resources","Charity Commission","20","15","33830","29220"
"In post","2022","Human Resources","Competition and Markets Authority","40","40","50060","45340"
"In post","2022","Human Resources","Department for Business, Energy and Industrial Strategy","390","370","41360","39820"
"In post","2022","Human Resources","Department for Digital, Culture, Media and Sport","80","75","43900","35520"
"In post","2022","Human Resources","Department for Education","165","160","35920","30260"
"In post","2022","Human Resources","Department for Environment, Food and Rural Affairs","325","310","41240","37340"
"In post","2022","Human Resources","Department for International Trade","125","125","44620","40540"
"In post","2022","Human Resources","Department for Levelling Up, Housing and Communities","100","95","41460","35600"
"In post","2022","Human Resources","Department for Transport","450","425","35680","32180"
"In post","2022","Human Resources","Department for Work and Pensions","1620","1515","34590","31880"
"In post","2022","Human Resources","Department of Health and Social Care","460","445","41830","36330"
"In post","2022","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Food Standards Agency","40","35","41160","37350"
"In post","2022","Human Resources","Foreign, Commonwealth and Development Office","340","330","46730","40330"
"In post","2022","Human Resources","HM Land Registry","105","95","39260","33840"
"In post","2022","Human Resources","HM Revenue and Customs","1770","1650","37070","33370"
"In post","2022","Human Resources","HM Treasury","110","105","41920","39200"
"In post","2022","Human Resources","Ministry of Defence","2190","2055","32600","26930"
"In post","2022","Human Resources","Ministry of Justice","1170","1135","41160","36170"
"In post","2022","Human Resources","National Crime Agency","175","165","40590","39800"
"In post","2022","Human Resources","Northern Ireland Office","5","5","[c]","[c]"
"In post","2022","Human Resources","Office for Standards in Education, Children's Services and Skills","60","60","39860","32010"
"In post","2022","Human Resources","Office of Gas and Electricity Markets","40","40","41530","37230"
"In post","2022","Human Resources","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2022","Human Resources","Office of Rail and Road","10","10","48400","51390"
"In post","2022","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Scottish Government","250","235","36130","35000"
"In post","2022","Human Resources","The National Archives","20","20","36180","30140"
"In post","2022","Human Resources","UK Export Finance","30","30","47220","41100"
"In post","2022","Human Resources","UK Statistics Authority","145","135","38660","33520"
"In post","2022","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Water Services Regulation Authority","15","10","41340","40000"
"In post","2022","Human Resources","Welsh Government","5","5","[c]","[c]"
"In post","2022","Internal Audit","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","Department for Transport","20","20","38060","35410"
"In post","2022","Internal Audit","Food Standards Agency","10","10","[c]","[c]"
"In post","2022","Internal Audit","Foreign, Commonwealth and Development Office","50","50","44920","39840"
"In post","2022","Internal Audit","HM Land Registry","10","10","[c]","[c]"
"In post","2022","Internal Audit","HM Revenue and Customs","65","65","47280","43430"
"In post","2022","Internal Audit","HM Treasury","365","350","49340","47060"
"In post","2022","Internal Audit","Ministry of Defence","150","145","39160","36460"
"In post","2022","Internal Audit","Ministry of Justice","60","60","48200","48410"
"In post","2022","Internal Audit","Scottish Government","15","10","45720","46020"
"In post","2022","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Attorney General's Departments","8905","8275","45520","48830"
"In post","2022","Legal","Cabinet Office","60","55","79770","79760"
"In post","2022","Legal","Charity Commission","25","25","52960","51070"
"In post","2022","Legal","Competition and Markets Authority","170","160","68110","71370"
"In post","2022","Legal","Department for Business, Energy and Industrial Strategy","125","120","47900","43740"
"In post","2022","Legal","Department for Education","80","80","52270","54400"
"In post","2022","Legal","Department for Transport","15","15","37470","36000"
"In post","2022","Legal","Department for Work and Pensions","85","75","35310","27570"
"In post","2022","Legal","Department of Health and Social Care","20","20","45500","40450"
"In post","2022","Legal","Food Standards Agency","25","25","51310","56130"
"In post","2022","Legal","Foreign, Commonwealth and Development Office","130","110","57090","57540"
"In post","2022","Legal","HM Land Registry","270","250","49180","56750"
"In post","2022","Legal","HM Revenue and Customs","1365","1285","42710","35690"
"In post","2022","Legal","HM Treasury","5","5","[c]","[c]"
"In post","2022","Legal","Ministry of Defence","55","55","55390","54480"
"In post","2022","Legal","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Legal","National Crime Agency","55","50","55030","60960"
"In post","2022","Legal","Office for Standards in Education, Children's Services and Skills","20","15","60340","62810"
"In post","2022","Legal","Office of Gas and Electricity Markets","85","80","63160","64320"
"In post","2022","Legal","Office of Qualifications and Examinations Regulation","15","15","55150","50050"
"In post","2022","Legal","Office of Rail and Road","15","15","66100","67750"
"In post","2022","Legal","Scottish Government","790","750","53520","53490"
"In post","2022","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Export Finance","30","30","67510","75000"
"In post","2022","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Legal","UK Supreme Court","35","35","39460","33420"
"In post","2022","Legal","Water Services Regulation Authority","15","15","69470","70000"
"In post","2022","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","No function","Attorney General's Departments","55","55","44270","38390"
"In post","2022","No function","Cabinet Office","4210","4175","41080","32790"
"In post","2022","No function","Chancellor's other departments","60","60","55990","40800"
"In post","2022","No function","Charity Commission","310","290","31430","29160"
"In post","2022","No function","Department for Business, Energy and Industrial Strategy","8800","8440","41730","39820"
"In post","2022","No function","Department for Digital, Culture, Media and Sport","1585","1560","46650","51730"
"In post","2022","No function","Department for Education","4780","4590","44290","40230"
"In post","2022","No function","Department for Environment, Food and Rural Affairs","6830","6550","37640","34000"
"In post","2022","No function","Department for International Trade","2015","1995","47110","42460"
"In post","2022","No function","Department for Levelling Up, Housing and Communities","3155","3030","45000","40720"
"In post","2022","No function","Department for Transport","12100","11090","30650","26780"
"In post","2022","No function","Department for Work and Pensions","72980","65275","27010","27570"
"In post","2022","No function","Department of Health and Social Care","8520","7995","45140","40070"
"In post","2022","No function","Food Standards Agency","1060","1030","35970","30810"
"In post","2022","No function","Foreign, Commonwealth and Development Office","3595","3550","48330","40450"
"In post","2022","No function","HM Land Registry","5220","4695","28670","27130"
"In post","2022","No function","HM Revenue and Customs","33815","30955","30630","26820"
"In post","2022","No function","HM Treasury","1845","1805","47970","52500"
"In post","2022","No function","Ministry of Defence","3755","3625","38410","38070"
"In post","2022","No function","Ministry of Justice","80995","75700","29550","27120"
"In post","2022","No function","National Crime Agency","4775","4665","40370","37560"
"In post","2022","No function","Northern Ireland Office","120","120","46610","41750"
"In post","2022","No function","Office for Standards in Education, Children's Services and Skills","1410","1360","52600","51360"
"In post","2022","No function","Office of Gas and Electricity Markets","870","860","40300","33400"
"In post","2022","No function","Office of Qualifications and Examinations Regulation","220","210","45260","40370"
"In post","2022","No function","Office of Rail and Road","240","230","55150","55000"
"In post","2022","No function","Office of the Secretary of State for Scotland","40","40","46460","41750"
"In post","2022","No function","Office of the Secretary of State for Wales","30","30","43300","34260"
"In post","2022","No function","Scottish Government","8050","7495","30550","30450"
"In post","2022","No function","The National Archives","335","325","33940","30300"
"In post","2022","No function","UK Statistics Authority","2615","2125","27030","23430"
"In post","2022","No function","Water Services Regulation Authority","100","95","54190","51630"
"In post","2022","No function","Welsh Government","30","30","41170","36670"
"In post","2022","Project Delivery","Attorney General's Departments","45","45","47840","41950"
"In post","2022","Project Delivery","Cabinet Office","215","210","64860","54700"
"In post","2022","Project Delivery","Chancellor's other departments","25","25","48380","50500"
"In post","2022","Project Delivery","Charity Commission","20","20","33900","37910"
"In post","2022","Project Delivery","Competition and Markets Authority","375","365","61910","56640"
"In post","2022","Project Delivery","Department for Business, Energy and Industrial Strategy","855","825","43540","40220"
"In post","2022","Project Delivery","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Project Delivery","Department for Education","90","90","43910","41460"
"In post","2022","Project Delivery","Department for Environment, Food and Rural Affairs","325","305","33300","29720"
"In post","2022","Project Delivery","Department for International Trade","60","60","49490","51710"
"In post","2022","Project Delivery","Department for Levelling Up, Housing and Communities","190","185","44560","40840"
"In post","2022","Project Delivery","Department for Transport","595","580","46770","42520"
"In post","2022","Project Delivery","Department for Work and Pensions","1490","1325","35090","32250"
"In post","2022","Project Delivery","Department of Health and Social Care","15","15","48020","53360"
"In post","2022","Project Delivery","Estyn","95","85","65310","75480"
"In post","2022","Project Delivery","Food Standards Agency","35","35","42870","37910"
"In post","2022","Project Delivery","Foreign, Commonwealth and Development Office","1890","1835","52020","53000"
"In post","2022","Project Delivery","HM Land Registry","180","175","38710","38550"
"In post","2022","Project Delivery","HM Revenue and Customs","5065","4825","45960","40520"
"In post","2022","Project Delivery","HM Treasury","40","40","48800","48730"
"In post","2022","Project Delivery","Ministry of Defence","14185","13725","39030","37640"
"In post","2022","Project Delivery","Ministry of Justice","290","285","41840","41420"
"In post","2022","Project Delivery","National Crime Agency","90","90","45130","45480"
"In post","2022","Project Delivery","Northern Ireland Office","10","10","[c]","[c]"
"In post","2022","Project Delivery","Office for Standards in Education, Children's Services and Skills","35","35","43570","39850"
"In post","2022","Project Delivery","Office of Gas and Electricity Markets","20","20","52320","49580"
"In post","2022","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Scottish Government","30","30","47380","47490"
"In post","2022","Project Delivery","UK Export Finance","15","15","46520","41250"
"In post","2022","Project Delivery","UK Statistics Authority","255","245","41100","36840"
"In post","2022","Project Delivery","Water Services Regulation Authority","15","15","47080","45810"
"In post","2022","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Property","Attorney General's Departments","25","25","34930","32430"
"In post","2022","Property","Cabinet Office","425","415","50540","49700"
"In post","2022","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Property","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Property","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Property","Department for Business, Energy and Industrial Strategy","80","80","35900","28750"
"In post","2022","Property","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Property","Department for Education","570","560","51080","50630"
"In post","2022","Property","Department for Environment, Food and Rural Affairs","415","395","38880","35900"
"In post","2022","Property","Department for International Trade","10","10","[c]","[c]"
"In post","2022","Property","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Property","Department for Transport","140","130","34050","30730"
"In post","2022","Property","Department for Work and Pensions","205","195","42650","37800"
"In post","2022","Property","Department of Health and Social Care","80","75","40100","38200"
"In post","2022","Property","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Property","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Property","Foreign, Commonwealth and Development Office","430","425","42380","40090"
"In post","2022","Property","HM Land Registry","20","20","41960","39980"
"In post","2022","Property","HM Revenue and Customs","3740","3505","34580","31000"
"In post","2022","Property","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Property","Ministry of Defence","2460","2390","31300","33000"
"In post","2022","Property","Ministry of Justice","560","545","42860","40330"
"In post","2022","Property","National Crime Agency","30","30","42630","39510"
"In post","2022","Property","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office for Standards in Education, Children's Services and Skills","10","10","31380","25880"
"In post","2022","Property","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Property","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Property","Scottish Government","270","265","32520","30260"
"In post","2022","Property","The National Archives","15","10","38280","34480"
"In post","2022","Property","UK Statistics Authority","15","15","37470","36840"
"In post","2022","Property","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Property","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Security","Attorney General's Departments","55","50","35090","31180"
"In post","2022","Security","Cabinet Office","990","950","33900","33000"
"In post","2022","Security","Chancellor's other departments","10","10","[c]","[c]"
"In post","2022","Security","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Security","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Security","Department for Business, Energy and Industrial Strategy","50","50","42940","40140"
"In post","2022","Security","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Security","Department for Education","35","35","44220","49860"
"In post","2022","Security","Department for International Trade","25","25","44030","43160"
"In post","2022","Security","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Security","Department for Transport","235","230","38260","36160"
"In post","2022","Security","Department for Work and Pensions","130","120","31250","31530"
"In post","2022","Security","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Security","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Security","Food Standards Agency","10","10","[c]","[c]"
"In post","2022","Security","Foreign, Commonwealth and Development Office","620","605","39570","34770"
"In post","2022","Security","HM Revenue and Customs","195","185","43600","40520"
"In post","2022","Security","HM Treasury","5","5","[c]","[c]"
"In post","2022","Security","Ministry of Defence","7355","7200","30700","27370"
"In post","2022","Security","Ministry of Justice","835","825","39610","37790"
"In post","2022","Security","National Crime Agency","45","45","33490","32280"
"In post","2022","Security","Northern Ireland Office","10","10","[c]","[c]"
"In post","2022","Security","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Security","Scottish Government","5","5","[c]","[c]"
"In post","2022","Security","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Security","UK Statistics Authority","60","55","37580","32030"
"In post","2022","Security","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Attorney General's Departments","165","155","46760","39750"
"In post","2022","Unknown","Cabinet Office","5","5","[c]","[c]"
"In post","2022","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy","20","20","38810","28030"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","160","155","41200","38750"
"In post","2022","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
