"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Black","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Chancellor's other departments","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Black","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Competition and Markets Authority","EO","5","5","[c]","[c]"
"In post","2022","Black","Competition and Markets Authority","G6/G7","10","10","[c]","[c]"
"In post","2022","Black","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Competition and Markets Authority","SEO/HEO","20","20","[c]","[c]"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy","AA/AO","40","40","22790","21810"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy","EO","80","80","27880","27680"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy","G6/G7","95","95","55960","53600"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy","SCS level","10","10","[c]","[c]"
"In post","2022","Black","Department for Business, Energy and Industrial Strategy","SEO/HEO","265","260","36610","35120"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","EO","25","25","[c]","[c]"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","G6/G7","30","30","[c]","[c]"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Digital, Culture, Media and Sport","SEO/HEO","50","50","34530","34020"
"In post","2022","Black","Department for Education","AA/AO","10","10","[c]","[c]"
"In post","2022","Black","Department for Education","EO","55","55","27860","28500"
"In post","2022","Black","Department for Education","G6/G7","85","85","54700","53420"
"In post","2022","Black","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Department for Education","SEO/HEO","165","160","36360","36500"
"In post","2022","Black","Department for Environment, Food and Rural Affairs","AA/AO","40","40","23490","24370"
