"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Internal Audit","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","20-29","International Trade","EO","Female","25","25","[c]","[c]"
"In post","2022","20-29","International Trade","EO","Male","30","30","[c]","[c]"
"In post","2022","20-29","International Trade","G6/G7","Female","60","60","52520","51710"
"In post","2022","20-29","International Trade","G6/G7","Male","55","55","53580","51970"
"In post","2022","20-29","International Trade","SEO/HEO","Female","170","170","35040","34020"
"In post","2022","20-29","International Trade","SEO/HEO","Male","170","165","35520","38040"
"In post","2022","20-29","Knowledge and Information Management","AA/AO","Female","35","35","22000","21170"
"In post","2022","20-29","Knowledge and Information Management","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","EO","Female","55","55","27290","27380"
"In post","2022","20-29","Knowledge and Information Management","EO","Male","35","35","26090","26670"
"In post","2022","20-29","Knowledge and Information Management","G6/G7","Female","15","15","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","SEO/HEO","Female","60","60","34070","33290"
"In post","2022","20-29","Knowledge and Information Management","SEO/HEO","Male","50","50","33660","33300"
"In post","2022","20-29","Knowledge and Information Management","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","Unknown","Male","5","5","[c]","[c]"
"In post","2022","20-29","Legal","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","20-29","Legal","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","20-29","Legal","EO","Female","320","320","28070","26970"
"In post","2022","20-29","Legal","EO","Male","235","235","28360","26820"
"In post","2022","20-29","Legal","G6/G7","Female","135","135","51160","50500"
"In post","2022","20-29","Legal","G6/G7","Male","70","70","52690","50500"
"In post","2022","20-29","Legal","SEO/HEO","Female","360","360","37070","37930"
"In post","2022","20-29","Legal","SEO/HEO","Male","185","185","36780","37540"
"In post","2022","20-29","Medicine","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","20-29","Medicine","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","EO","Female","30","25","[c]","[c]"
"In post","2022","20-29","Medicine","EO","Male","15","15","[c]","[c]"
"In post","2022","20-29","Medicine","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","20-29","Medicine","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","20-29","Medicine","SEO/HEO","Female","45","40","35150","34170"
"In post","2022","20-29","Medicine","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","20-29","Operational Delivery","AA/AO","Female","10870","10460","22810","21680"
"In post","2022","20-29","Operational Delivery","AA/AO","Male","8870","8765","23410","21680"
"In post","2022","20-29","Operational Delivery","EO","Female","7005","6870","27810","27570"
"In post","2022","20-29","Operational Delivery","EO","Male","4655","4635","27740","27570"
"In post","2022","20-29","Operational Delivery","G6/G7","Female","155","155","54480","53360"
"In post","2022","20-29","Operational Delivery","G6/G7","Male","135","135","54230","53360"
"In post","2022","20-29","Operational Delivery","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","SEO/HEO","Female","1990","1970","34220","33370"
"In post","2022","20-29","Operational Delivery","SEO/HEO","Male","1325","1320","34460","33370"
"In post","2022","20-29","Operational Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","Unknown","Female","2895","2840","25500","24090"
"In post","2022","20-29","Operational Delivery","Unknown","Male","515","505","24850","23850"
"In post","2022","20-29","Operational Research","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","20-29","Operational Research","EO","Female","15","15","[c]","[c]"
"In post","2022","20-29","Operational Research","EO","Male","15","15","[c]","[c]"
"In post","2022","20-29","Operational Research","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","20-29","Operational Research","G6/G7","Male","15","15","[c]","[c]"
"In post","2022","20-29","Operational Research","SEO/HEO","Female","115","115","34430","34710"
"In post","2022","20-29","Operational Research","SEO/HEO","Male","140","140","34490","35120"
"In post","2022","20-29","Operational Research","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","AA/AO","Female","655","630","21590","21260"
"In post","2022","20-29","Other","AA/AO","Male","500","495","21510","21260"
"In post","2022","20-29","Other","EO","Female","775","760","26960","27570"
"In post","2022","20-29","Other","EO","Male","535","530","26060","27570"
"In post","2022","20-29","Other","G6/G7","Female","50","50","52680","52780"
"In post","2022","20-29","Other","G6/G7","Male","45","45","54350","54940"
"In post","2022","20-29","Other","SEO/HEO","Female","360","355","33150","33300"
"In post","2022","20-29","Other","SEO/HEO","Male","295","295","32220","32880"
"In post","2022","20-29","Other","Unknown","Female","60","60","25730","27540"
"In post","2022","20-29","Other","Unknown","Male","310","310","28740","28980"
"In post","2022","20-29","Planning","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","EO","Female","10","10","[c]","[c]"
"In post","2022","20-29","Planning","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","20-29","Planning","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","AA/AO","Female","105","100","23090","22960"
"In post","2022","20-29","Policy","AA/AO","Male","60","55","23820","24370"
"In post","2022","20-29","Policy","EO","Female","640","635","27380","27680"
"In post","2022","20-29","Policy","EO","Male","445","440","27290","27680"
"In post","2022","20-29","Policy","G6/G7","Female","1045","1045","54510","53380"
"In post","2022","20-29","Policy","G6/G7","Male","865","860","54880","53380"
"In post","2022","20-29","Policy","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","SEO/HEO","Female","3125","3110","35860","34710"
"In post","2022","20-29","Policy","SEO/HEO","Male","2350","2345","35770","34710"
"In post","2022","20-29","Policy","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Project Delivery","AA/AO","Female","40","35","22220","22410"
"In post","2022","20-29","Project Delivery","AA/AO","Male","30","30","[c]","[c]"
"In post","2022","20-29","Project Delivery","EO","Female","225","225","26310","26350"
"In post","2022","20-29","Project Delivery","EO","Male","195","195","25690","25500"
"In post","2022","20-29","Project Delivery","G6/G7","Female","95","95","54420","54070"
"In post","2022","20-29","Project Delivery","G6/G7","Male","75","75","55100","54110"
"In post","2022","20-29","Project Delivery","SEO/HEO","Female","705","700","35050","34020"
"In post","2022","20-29","Project Delivery","SEO/HEO","Male","590","590","35000","34020"
"In post","2022","20-29","Project Delivery","Unknown","Female","30","30","30920","31600"
"In post","2022","20-29","Project Delivery","Unknown","Male","45","45","28780","28900"
"In post","2022","20-29","Property","AA/AO","Female","50","50","20260","19010"
"In post","2022","20-29","Property","AA/AO","Male","45","45","20760","21230"
"In post","2022","20-29","Property","EO","Female","145","145","26330","26030"
"In post","2022","20-29","Property","EO","Male","175","170","26710","26130"
"In post","2022","20-29","Property","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","20-29","Property","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","20-29","Property","SEO/HEO","Female","165","165","34050","32940"
"In post","2022","20-29","Property","SEO/HEO","Male","205","205","34750","33300"
"In post","2022","20-29","Property","Unknown","Female","5","5","[c]","[c]"
"In post","2022","20-29","Property","Unknown","Male","25","25","[c]","[c]"
"In post","2022","20-29","Psychology","AA/AO","Female","35","35","21380","20740"
"In post","2022","20-29","Psychology","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Psychology","EO","Female","140","140","26200","25830"
"In post","2022","20-29","Psychology","EO","Male","10","10","[c]","[c]"
"In post","2022","20-29","Psychology","SEO/HEO","Female","195","195","29940","29060"
"In post","2022","20-29","Psychology","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","20-29","Science and Engineering","AA/AO","Female","145","145","21730","21430"
"In post","2022","20-29","Science and Engineering","AA/AO","Male","180","180","20890","21230"
"In post","2022","20-29","Science and Engineering","EO","Female","310","305","25780","26370"
"In post","2022","20-29","Science and Engineering","EO","Male","510","510","25690","26370"
"In post","2022","20-29","Science and Engineering","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","20-29","Science and Engineering","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","20-29","Science and Engineering","SEO/HEO","Female","540","530","33360","32330"
"In post","2022","20-29","Science and Engineering","SEO/HEO","Male","925","925","32520","31540"
"In post","2022","20-29","Science and Engineering","Unknown","Female","35","35","29880","28010"
"In post","2022","20-29","Science and Engineering","Unknown","Male","225","225","28680","27540"
"In post","2022","20-29","Security","AA/AO","Female","165","165","24450","23540"
"In post","2022","20-29","Security","AA/AO","Male","625","625","25740","25540"
"In post","2022","20-29","Security","EO","Female","50","50","27140","26350"
"In post","2022","20-29","Security","EO","Male","55","55","28990","26820"
"In post","2022","20-29","Security","G6/G7","Female","5","5","[c]","[c]"
"In post","2022","20-29","Security","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","20-29","Security","SEO/HEO","Female","100","100","35470","34710"
"In post","2022","20-29","Security","SEO/HEO","Male","90","90","35550","34640"
"In post","2022","20-29","Security","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","Unknown","Male","20","20","[c]","[c]"
"In post","2022","20-29","Social Research","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","20-29","Social Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Social Research","EO","Female","35","35","31320","33650"
"In post","2022","20-29","Social Research","EO","Male","10","10","[c]","[c]"
"In post","2022","20-29","Social Research","G6/G7","Female","25","25","[c]","[c]"
"In post","2022","20-29","Social Research","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","20-29","Social Research","SEO/HEO","Female","340","335","35230","33710"
"In post","2022","20-29","Social Research","SEO/HEO","Male","120","120","34810","33710"
"In post","2022","20-29","Social Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Statistics","AA/AO","Female","35","35","21960","22460"
"In post","2022","20-29","Statistics","AA/AO","Male","30","25","[c]","[c]"
"In post","2022","20-29","Statistics","EO","Female","50","50","27970","27850"
"In post","2022","20-29","Statistics","EO","Male","80","80","27740","27850"
"In post","2022","20-29","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Statistics","G6/G7","Female","45","45","55010","53600"
"In post","2022","20-29","Statistics","G6/G7","Male","40","40","55010","53210"
"In post","2022","20-29","Statistics","SEO/HEO","Female","270","270","35980","35490"
