"Status","Year","Age","Disability","Function_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","50-59","Declared non-disabled","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Communications","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Communications","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Communications","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Communications","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Counter Fraud","AA/AO","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Counter Fraud","EO","25","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Counter Fraud","SEO/HEO","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Debt","AA/AO","25","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Debt","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Digital, Data & Technology","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Digital, Data & Technology","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Digital, Data & Technology","G6/G7","40","[c]","59140","56750"
"Leaver CS","2022","50-59","Declared non-disabled","Digital, Data & Technology","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Digital, Data & Technology","SEO/HEO","50","[c]","40810","39860"
"Leaver CS","2022","50-59","Declared non-disabled","Finance","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Finance","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Finance","G6/G7","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Finance","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Finance","SEO/HEO","30","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Finance","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Grants Management","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Grants Management","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Human Resources","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Human Resources","EO","15","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Human Resources","G6/G7","25","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Human Resources","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Human Resources","SEO/HEO","25","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Declared non-disabled","Internal Audit","EO","[c]","[c]","[c]","[c]"
