"Status","Year","Age","Organisation","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Other","EO","30","25","26150","25880"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Other","SEO/HEO","15","15","34310","32010"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Policy","SEO/HEO","10","10","39430","41350"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Project Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Social Research","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Social Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Office for Standards in Education, Children's Services and Skills","Statistics","SEO/HEO","15","15","37390","39850"
"In post","2022","40-49","Office of Gas and Electricity Markets","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Communications","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Digital, Data and Technology","G6/G7","15","15","63550","64000"
"In post","2022","40-49","Office of Gas and Electricity Markets","Digital, Data and Technology","SEO/HEO","15","15","40770","42000"
"In post","2022","40-49","Office of Gas and Electricity Markets","Economics","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Legal","G6/G7","25","20","66200","66310"
"In post","2022","40-49","Office of Gas and Electricity Markets","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Operational Delivery","EO","20","20","24170","23700"
"In post","2022","40-49","Office of Gas and Electricity Markets","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Operational Delivery","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Other","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Other","EO","15","15","28650","29690"
"In post","2022","40-49","Office of Gas and Electricity Markets","Other","G6/G7","65","65","58670","57000"
"In post","2022","40-49","Office of Gas and Electricity Markets","Other","SCS level","20","20","102980","91590"
"In post","2022","40-49","Office of Gas and Electricity Markets","Other","SEO/HEO","35","35","36450","35880"
"In post","2022","40-49","Office of Gas and Electricity Markets","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Policy","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Gas and Electricity Markets","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Communications","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Communications","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Economics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Economics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Operational Delivery","G6/G7","15","15","50610","47880"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Operational Delivery","SCS level","5","5","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Operational Delivery","SEO/HEO","20","20","36670","38000"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Operational Research","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Policy","G6/G7","10","10","51540","48350"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Qualifications and Examinations Regulation","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Economics","G6/G7","10","10","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Legal","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Operational Delivery","G6/G7","20","20","58460","56820"
"In post","2022","40-49","Office of Rail and Road","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Operational Delivery","SEO/HEO","10","10","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Policy","G6/G7","15","15","61930","59300"
"In post","2022","40-49","Office of Rail and Road","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Policy","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Science and Engineering","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Statistics","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Office of Rail and Road","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Public Guardian","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Public Guardian","Legal","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Office of the Public Guardian","Operational Delivery","AA/AO","140","120","21020","20970"
"In post","2022","40-49","Office of the Public Guardian","Operational Delivery","EO","75","75","25240","25120"
"In post","2022","40-49","Office of the Public Guardian","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Public Guardian","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Public Guardian","Operational Delivery","SEO/HEO","30","30","32650","30450"
"In post","2022","40-49","Office of the Public Guardian","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Public Guardian","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Scottish Charity Regulator","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Scottish Charity Regulator","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Scottish Charity Regulator","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Scottish Charity Regulator","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Wales","Communications","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Wales","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Wales","Operational Delivery","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Wales","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Wales","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Office of the Secretary of State for Wales","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Digital, Data and Technology","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Digital, Data and Technology","SEO/HEO","10","10","37810","40720"
"In post","2022","40-49","Planning Inspectorate","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Human Resources","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Knowledge and Information Management","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Knowledge and Information Management","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Operational Delivery","AA/AO","30","25","22020","22560"
"In post","2022","40-49","Planning Inspectorate","Operational Delivery","EO","20","20","26640","26050"
"In post","2022","40-49","Planning Inspectorate","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Operational Delivery","SEO/HEO","10","10","35510","34860"
"In post","2022","40-49","Planning Inspectorate","Other","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Other","SEO/HEO","10","10","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Planning","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Planning","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Planning Inspectors","G6/G7","110","100","53250","47660"
"In post","2022","40-49","Planning Inspectorate","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Planning Inspectors","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Planning Inspectorate","Statistics","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Queen Elizabeth II Centre","Digital, Data and Technology","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Queen Elizabeth II Centre","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Queen Elizabeth II Centre","Operational Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Queen Elizabeth II Centre","Operational Delivery","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Queen Elizabeth II Centre","Operational Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Queen Elizabeth II Centre","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Digital, Data and Technology","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Digital, Data and Technology","EO","10","10","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Digital, Data and Technology","SEO/HEO","15","15","42640","40340"
"In post","2022","40-49","Registers of Scotland","Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Legal","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Legal","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Operational Delivery","AA/AO","75","70","24780","25050"
"In post","2022","40-49","Registers of Scotland","Operational Delivery","EO","65","60","30840","30840"
"In post","2022","40-49","Registers of Scotland","Operational Delivery","G6/G7","10","10","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Operational Delivery","SEO/HEO","70","70","39260","37710"
"In post","2022","40-49","Registers of Scotland","Operational Research","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Project Delivery","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Security","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Statistics","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Registers of Scotland","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Revenue Scotland","Unknown","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Revenue Scotland","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Revenue Scotland","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Revenue Scotland","Unknown","SEO/HEO","10","10","38930","36130"
"In post","2022","40-49","Royal Fleet Auxiliary","Other","Unknown","350","350","41040","35380"
"In post","2022","40-49","Rural Payments Agency","Operational Delivery","AA/AO","345","305","21300","21300"
"In post","2022","40-49","Rural Payments Agency","Operational Delivery","EO","195","175","25440","25190"
"In post","2022","40-49","Rural Payments Agency","Operational Delivery","G6/G7","25","25","50340","48370"
"In post","2022","40-49","Rural Payments Agency","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Rural Payments Agency","Operational Delivery","SEO/HEO","155","145","32560","30860"
"In post","2022","40-49","Rural Payments Agency","Project Delivery","EO","5","5","[c]","[c]"
"In post","2022","40-49","Rural Payments Agency","Project Delivery","G6/G7","10","10","[c]","[c]"
"In post","2022","40-49","Rural Payments Agency","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Rural Payments Agency","Project Delivery","SEO/HEO","35","30","33890","35900"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Digital, Data and Technology","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Digital, Data and Technology","SEO/HEO","10","10","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Finance","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Human Resources","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Legal","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Operational Delivery","AA/AO","145","130","22750","23780"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Operational Delivery","EO","105","95","29470","30450"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Operational Delivery","G6/G7","15","15","59980","60820"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Operational Delivery","SEO/HEO","65","65","37410","36360"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Policy","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Policy","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Property","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Courts and Tribunals Service","Statistics","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Fiscal Commission","Unknown","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Fiscal Commission","Unknown","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Scottish Forestry","Unknown","AA/AO","5","5","[c]","[c]"
"In post","2022","40-49","Scottish Forestry","Unknown","EO","20","20","31190","31060"
"In post","2022","40-49","Scottish Forestry","Unknown","G6/G7","5","5","[c]","[c]"
"In post","2022","40-49","Scottish Forestry","Unknown","SEO/HEO","25","20","41070","39520"
"In post","2022","40-49","Scottish Government (excl. agencies)","Unknown","AA/AO","125","115","25560","24400"
"In post","2022","40-49","Scottish Government (excl. agencies)","Unknown","EO","210","195","29490","30040"
"In post","2022","40-49","Scottish Government (excl. agencies)","Unknown","G6/G7","905","855","63980","62170"
"In post","2022","40-49","Scottish Government (excl. agencies)","Unknown","SCS level","80","80","87240","83230"
"In post","2022","40-49","Scottish Government (excl. agencies)","Unknown","SEO/HEO","965","920","40990","40130"
"In post","2022","40-49","Scottish Housing Regulator","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2022","40-49","Scottish Housing Regulator","Unknown","SEO/HEO","5","5","[c]","[c]"
"In post","2022","40-49","Scottish Prison Service","Commercial","AA/AO","15","10","25280","26900"
