"Status","Year","Age","Function_of_post","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Unknown","Unknown","35","35","17940","16450"
"In post","2022","20-29","Analysis","London","1560","1555","39240","36650"
"In post","2022","20-29","Analysis","Outside London","1440","1430","32440","30710"
"In post","2022","20-29","Analysis","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","London","385","385","42040","40650"
"In post","2022","20-29","Commercial","Outside London","690","685","31180","29750"
"In post","2022","20-29","Commercial","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Commercial","Unknown","20","20","34600","32000"
"In post","2022","20-29","Communications","London","695","690","37110","34710"
"In post","2022","20-29","Communications","Outside London","1525","1515","28290","26820"
"In post","2022","20-29","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Counter Fraud","London","485","485","33200","31020"
"In post","2022","20-29","Counter Fraud","Outside London","1540","1525","28140","26820"
"In post","2022","20-29","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Debt","London","45","40","27950","25330"
"In post","2022","20-29","Debt","Outside London","1245","1205","22070","21250"
"In post","2022","20-29","Digital, Data & Technology","London","790","785","39250","36650"
"In post","2022","20-29","Digital, Data & Technology","Outside London","2405","2390","31870","30930"
"In post","2022","20-29","Digital, Data & Technology","Overseas","20","20","30940","30930"
"In post","2022","20-29","Digital, Data & Technology","Unknown","15","15","35790","32400"
"In post","2022","20-29","Finance","London","515","515","40250","38590"
"In post","2022","20-29","Finance","Outside London","1235","1210","29340","27570"
"In post","2022","20-29","Finance","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","Outside London","375","370","22350","21300"
"In post","2022","20-29","Human Resources","London","590","585","35990","32790"
"In post","2022","20-29","Human Resources","Outside London","1050","1040","28280","26820"
"In post","2022","20-29","Human Resources","Overseas","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Unknown","15","15","30750","28000"
"In post","2022","20-29","Internal Audit","London","25","25","34690","33420"
"In post","2022","20-29","Internal Audit","Outside London","30","30","32630","32380"
"In post","2022","20-29","Legal","London","720","710","34380","29280"
"In post","2022","20-29","Legal","Outside London","980","975","29960","26090"
"In post","2022","20-29","No function","London","14240","14140","36050","33210"
"In post","2022","20-29","No function","Outside London","34220","33550","25890","25000"
"In post","2022","20-29","No function","Overseas","190","190","35650","33230"
"In post","2022","20-29","No function","Unknown","320","320","29680","29250"
"In post","2022","20-29","Project Delivery","London","670","665","40220","38600"
"In post","2022","20-29","Project Delivery","Outside London","3070","3050","29590","28730"
"In post","2022","20-29","Project Delivery","Overseas","35","35","40370","38600"
"In post","2022","20-29","Project Delivery","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Property","London","210","210","34630","32000"
"In post","2022","20-29","Property","Outside London","905","890","27840","26030"
"In post","2022","20-29","Property","Overseas","5","5","[c]","[c]"
"In post","2022","20-29","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Security","London","390","390","34090","33210"
"In post","2022","20-29","Security","Outside London","1105","1105","26560","25830"
"In post","2022","20-29","Security","Overseas","10","10","35040","33230"
"In post","2022","20-29","Security","Unknown","15","15","27150","27370"
"In post","2022","20-29","Unknown","London","2635","2620","37110","35050"
"In post","2022","20-29","Unknown","Outside London","7675","7535","27180","24890"
"In post","2022","20-29","Unknown","Overseas","40","40","34660","33000"
"In post","2022","20-29","Unknown","Unknown","385","385","28300","28980"
"In post","2022","30-39","Analysis","London","1005","970","53550","54110"
"In post","2022","30-39","Analysis","Outside London","1340","1280","40170","38340"
"In post","2022","30-39","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Commercial","London","435","425","56360","54700"
"In post","2022","30-39","Commercial","Outside London","1165","1125","39940","37480"
"In post","2022","30-39","Commercial","Overseas","15","15","42970","41940"
"In post","2022","30-39","Commercial","Unknown","15","15","49690","53110"
"In post","2022","30-39","Communications","London","760","745","49140","46070"
"In post","2022","30-39","Communications","Outside London","1940","1870","31450","27570"
"In post","2022","30-39","Communications","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Counter Fraud","London","605","590","38060","37300"
"In post","2022","30-39","Counter Fraud","Outside London","2555","2455","31530","27570"
"In post","2022","30-39","Counter Fraud","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Debt","London","25","25","31660","25330"
"In post","2022","30-39","Debt","Outside London","1270","1155","22980","21260"
"In post","2022","30-39","Digital, Data & Technology","London","1205","1185","50480","53760"
"In post","2022","30-39","Digital, Data & Technology","Outside London","4030","3945","39020","36840"
"In post","2022","30-39","Digital, Data & Technology","Overseas","15","15","35210","33300"
"In post","2022","30-39","Digital, Data & Technology","Unknown","15","15","39230","37300"
"In post","2022","30-39","Finance","London","680","665","50420","51610"
"In post","2022","30-39","Finance","Outside London","1820","1735","36480","33370"
"In post","2022","30-39","Finance","Overseas","5","5","[c]","[c]"
"In post","2022","30-39","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Grants Management","Outside London","435","405","24050","21300"
"In post","2022","30-39","Human Resources","London","665","650","46150","41750"
"In post","2022","30-39","Human Resources","Outside London","1950","1850","33780","31740"
"In post","2022","30-39","Human Resources","Overseas","10","10","43980","34770"
"In post","2022","30-39","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Internal Audit","London","35","35","50030","45200"
"In post","2022","30-39","Internal Audit","Outside London","90","85","40730","40040"
"In post","2022","30-39","Legal","London","1390","1335","51990","51830"
"In post","2022","30-39","Legal","Outside London","1490","1410","42990","46960"
"In post","2022","30-39","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","30-39","No function","London","12935","12560","44710","40230"
"In post","2022","30-39","No function","Outside London","45790","42950","29260","27570"
"In post","2022","30-39","No function","Overseas","490","485","47420","51950"
"In post","2022","30-39","No function","Unknown","160","155","32090","29250"
"In post","2022","30-39","Project Delivery","London","1155","1130","52330","53130"
"In post","2022","30-39","Project Delivery","Outside London","4640","4485","38080","37370"
"In post","2022","30-39","Project Delivery","Overseas","230","230","50660","52430"
"In post","2022","30-39","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Property","London","245","240","44830","41750"
"In post","2022","30-39","Property","Outside London","1270","1230","34310","32220"
"In post","2022","30-39","Property","Overseas","25","25","39600","36450"
"In post","2022","30-39","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","London","430","425","42220","40450"
"In post","2022","30-39","Security","Outside London","1585","1570","31650","30750"
"In post","2022","30-39","Security","Overseas","45","45","43950","40490"
"In post","2022","30-39","Security","Unknown","20","20","30370","27500"
"In post","2022","30-39","Unknown","London","3635","3515","43330","41950"
"In post","2022","30-39","Unknown","Outside London","13250","12585","32540","28980"
"In post","2022","30-39","Unknown","Overseas","195","195","42050","40120"
"In post","2022","30-39","Unknown","Unknown","420","420","37400","34460"
"In post","2022","40-49","Analysis","London","655","615","60460","59740"
"In post","2022","40-49","Analysis","Outside London","1005","940","43310","40170"
"In post","2022","40-49","Analysis","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Commercial","London","475","465","67090","63340"
"In post","2022","40-49","Commercial","Outside London","1225","1185","47020","41070"
"In post","2022","40-49","Commercial","Overseas","10","10","[c]","[c]"
"In post","2022","40-49","Commercial","Unknown","20","20","60570","54700"
"In post","2022","40-49","Communications","London","540","520","55340","53760"
"In post","2022","40-49","Communications","Outside London","1355","1300","33960","33080"
"In post","2022","40-49","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Counter Fraud","London","755","710","38950","37610"
"In post","2022","40-49","Counter Fraud","Outside London","3020","2840","31960","28570"
"In post","2022","40-49","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Debt","London","80","75","29740","26400"
"In post","2022","40-49","Debt","Outside London","1215","1060","23570","21260"
"In post","2022","40-49","Debt","Unknown","10","10","25000","25110"
"In post","2022","40-49","Digital, Data & Technology","London","1135","1110","53830","54270"
"In post","2022","40-49","Digital, Data & Technology","Outside London","4810","4685","42540","39840"
"In post","2022","40-49","Digital, Data & Technology","Overseas","10","10","33060","33300"
"In post","2022","40-49","Digital, Data & Technology","Unknown","15","15","40810","37300"
"In post","2022","40-49","Finance","London","740","720","52360","49060"
"In post","2022","40-49","Finance","Outside London","2405","2290","39400","36050"
"In post","2022","40-49","Finance","Overseas","10","10","[c]","[c]"
"In post","2022","40-49","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Grants Management","Outside London","685","620","25650","21300"
"In post","2022","40-49","Human Resources","London","710","685","50600","47580"
"In post","2022","40-49","Human Resources","Outside London","2215","2085","37450","33370"
"In post","2022","40-49","Human Resources","Overseas","5","5","[c]","[c]"
"In post","2022","40-49","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Internal Audit","London","55","50","55390","53070"
"In post","2022","40-49","Internal Audit","Outside London","135","130","44660","42630"
"In post","2022","40-49","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Legal","London","1420","1295","58120","61860"
"In post","2022","40-49","Legal","Outside London","1945","1785","45570","48080"
"In post","2022","40-49","Legal","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","40-49","No function","London","10395","9885","47020","40650"
"In post","2022","40-49","No function","Outside London","48725","44895","30890","27570"
"In post","2022","40-49","No function","Overseas","555","555","56290","56590"
"In post","2022","40-49","No function","Unknown","160","155","33920","27570"
"In post","2022","40-49","Project Delivery","London","1070","1025","58120","58030"
"In post","2022","40-49","Project Delivery","Outside London","5015","4830","42610","40520"
"In post","2022","40-49","Project Delivery","Overseas","185","185","58550","58030"
"In post","2022","40-49","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Property","London","375","365","45740","41750"
"In post","2022","40-49","Property","Outside London","1655","1595","37340","33300"
"In post","2022","40-49","Property","Overseas","55","55","37480","36450"
"In post","2022","40-49","Property","Unknown","15","15","43670","42630"
"In post","2022","40-49","Security","London","400","390","47320","44490"
"In post","2022","40-49","Security","Outside London","1725","1700","32850","33150"
"In post","2022","40-49","Security","Overseas","30","30","42220","34610"
"In post","2022","40-49","Security","Unknown","25","25","31020","27750"
"In post","2022","40-49","Unknown","London","3965","3765","43690","37640"
"In post","2022","40-49","Unknown","Outside London","14765","13975","36100","30830"
"In post","2022","40-49","Unknown","Overseas","285","280","44880","41600"
"In post","2022","40-49","Unknown","Unknown","395","390","40910","35380"
"In post","2022","50-59","Analysis","London","415","395","61840","60000"
"In post","2022","50-59","Analysis","Outside London","670","640","42310","38870"
"In post","2022","50-59","Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Commercial","London","445","440","68330","59540"
"In post","2022","50-59","Commercial","Outside London","1265","1235","47600","42080"
"In post","2022","50-59","Commercial","Overseas","10","10","[c]","[c]"
"In post","2022","50-59","Commercial","Unknown","10","10","65830","58910"
"In post","2022","50-59","Communications","London","325","320","51570","45780"
"In post","2022","50-59","Communications","Outside London","1015","965","33620","30430"
"In post","2022","50-59","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Counter Fraud","London","1275","1220","38780","37610"
"In post","2022","50-59","Counter Fraud","Outside London","4545","4240","31890","28920"
"In post","2022","50-59","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Debt","London","210","195","30490","26400"
"In post","2022","50-59","Debt","Outside London","1685","1490","24110","21260"
"In post","2022","50-59","Debt","Unknown","30","25","25510","25110"
"In post","2022","50-59","Digital, Data & Technology","London","915","905","49080","45000"
"In post","2022","50-59","Digital, Data & Technology","Outside London","4995","4855","41700","38550"
"In post","2022","50-59","Digital, Data & Technology","Overseas","20","20","32510","33300"
"In post","2022","50-59","Digital, Data & Technology","Unknown","10","10","47380","49700"
"In post","2022","50-59","Finance","London","815","800","50080","44020"
"In post","2022","50-59","Finance","Outside London","2975","2800","37830","33820"
"In post","2022","50-59","Finance","Overseas","10","10","34980","33300"
"In post","2022","50-59","Finance","Unknown","5","5","[c]","[c]"
"In post","2022","50-59","Grants Management","Outside London","565","525","27390","24920"
"In post","2022","50-59","Human Resources","London","745","730","49970","45000"
"In post","2022","50-59","Human Resources","Outside London","2690","2560","36840","33300"
"In post","2022","50-59","Human Resources","Overseas","10","10","42580","38520"
"In post","2022","50-59","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Internal Audit","London","90","85","56410","53050"
"In post","2022","50-59","Internal Audit","Outside London","225","220","46760","43710"
"In post","2022","50-59","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","50-59","Legal","London","1235","1170","57570","62120"
"In post","2022","50-59","Legal","Outside London","2215","2050","44940","48080"
"In post","2022","50-59","Legal","Overseas","5","5","[c]","[c]"
"In post","2022","50-59","No function","London","11140","10730","42480","35900"
"In post","2022","50-59","No function","Outside London","63910","58600","30500","27570"
"In post","2022","50-59","No function","Overseas","440","435","60080","58990"
"In post","2022","50-59","No function","Unknown","185","175","32180","30290"
"In post","2022","50-59","Project Delivery","London","1175","1135","57390","56520"
"In post","2022","50-59","Project Delivery","Outside London","6555","6355","43080","40520"
"In post","2022","50-59","Project Delivery","Overseas","120","120","61780","64130"
"In post","2022","50-59","Project Delivery","Unknown","10","10","[c]","[c]"
"In post","2022","50-59","Property","London","570","555","45460","40600"
"In post","2022","50-59","Property","Outside London","2645","2560","37620","33350"
"In post","2022","50-59","Property","Overseas","65","65","40700","40580"
"In post","2022","50-59","Property","Unknown","15","15","43900","39400"
"In post","2022","50-59","Security","London","530","520","42050","38860"
"In post","2022","50-59","Security","Outside London","3005","2960","32130","31990"
"In post","2022","50-59","Security","Overseas","60","60","38180","34260"
"In post","2022","50-59","Security","Unknown","40","40","30700","27370"
"In post","2022","50-59","Unknown","London","4260","4095","41260","35200"
"In post","2022","50-59","Unknown","Outside London","18095","17255","34480","28990"
"In post","2022","50-59","Unknown","Overseas","220","220","40060","34910"
"In post","2022","50-59","Unknown","Unknown","545","545","42120","37300"
"In post","2022","60-64","Analysis","London","75","70","53410","47200"
"In post","2022","60-64","Analysis","Outside London","160","135","40450","37320"
"In post","2022","60-64","Commercial","London","90","85","62040","55460"
"In post","2022","60-64","Commercial","Outside London","250","220","41740","39580"
"In post","2022","60-64","Commercial","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Commercial","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Communications","London","70","70","47920","41580"
"In post","2022","60-64","Communications","Outside London","200","170","31770","28920"
"In post","2022","60-64","Communications","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Counter Fraud","London","360","295","36970","32000"
"In post","2022","60-64","Counter Fraud","Outside London","1320","985","30270","27570"
"In post","2022","60-64","Counter Fraud","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Debt","London","90","75","29670","26400"
"In post","2022","60-64","Debt","Outside London","610","470","23590","21680"
"In post","2022","60-64","Debt","Unknown","20","15","26530","25110"
"In post","2022","60-64","Digital, Data & Technology","London","200","185","46410","41010"
"In post","2022","60-64","Digital, Data & Technology","Outside London","1055","925","38630","35880"
"In post","2022","60-64","Digital, Data & Technology","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Finance","London","170","160","45870","41140"
"In post","2022","60-64","Finance","Outside London","700","575","34180","29640"
"In post","2022","60-64","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Grants Management","London","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Grants Management","Outside London","175","145","25160","21300"
"In post","2022","60-64","Human Resources","London","150","135","49310","43870"
"In post","2022","60-64","Human Resources","Outside London","670","550","32690","29210"
"In post","2022","60-64","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Internal Audit","London","20","20","50360","49600"
"In post","2022","60-64","Internal Audit","Outside London","50","40","42040","42720"
"In post","2022","60-64","Internal Audit","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Legal","London","260","235","53620","60500"
"In post","2022","60-64","Legal","Outside London","470","385","44320","41380"
"In post","2022","60-64","No function","London","2935","2630","39170","31880"
"In post","2022","60-64","No function","Outside London","19885","15665","28340","26900"
"In post","2022","60-64","No function","Overseas","70","70","70420","67860"
"In post","2022","60-64","No function","Unknown","55","45","31560","30330"
"In post","2022","60-64","Project Delivery","London","260","225","51870","45200"
"In post","2022","60-64","Project Delivery","Outside London","1665","1450","40460","38860"
"In post","2022","60-64","Project Delivery","Overseas","20","20","63220","64490"
"In post","2022","60-64","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Property","London","200","180","41750","35290"
"In post","2022","60-64","Property","Outside London","840","750","34410","33300"
"In post","2022","60-64","Property","Overseas","25","25","41780","41160"
"In post","2022","60-64","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","60-64","Security","London","135","130","40230","38010"
"In post","2022","60-64","Security","Outside London","795","715","27640","21850"
"In post","2022","60-64","Security","Overseas","10","10","35780","34260"
"In post","2022","60-64","Security","Unknown","10","10","[c]","[c]"
"In post","2022","60-64","Unknown","London","1160","1035","37000","30370"
"In post","2022","60-64","Unknown","Outside London","5140","4535","31620","26670"
"In post","2022","60-64","Unknown","Overseas","35","35","41240","33300"
"In post","2022","60-64","Unknown","Unknown","130","130","39790","35700"
"In post","2022","65+","Analysis","London","30","25","61330","59060"
"In post","2022","65+","Analysis","Outside London","45","35","37640","28920"
"In post","2022","65+","Commercial","London","30","25","51320","44280"
"In post","2022","65+","Commercial","Outside London","55","45","36820","36050"
"In post","2022","65+","Communications","London","20","15","45970","42850"
"In post","2022","65+","Communications","Outside London","50","40","30640","28920"
"In post","2022","65+","Counter Fraud","London","120","90","34850","31880"
"In post","2022","65+","Counter Fraud","Outside London","405","275","29420","27570"
"In post","2022","65+","Debt","London","55","40","28960","26400"
"In post","2022","65+","Debt","Outside London","170","120","23600","21260"
"In post","2022","65+","Debt","Unknown","10","5","[c]","[c]"
"In post","2022","65+","Digital, Data & Technology","London","60","55","43600","39250"
"In post","2022","65+","Digital, Data & Technology","Outside London","300","245","36550","33840"
"In post","2022","65+","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Finance","London","75","65","38220","35570"
"In post","2022","65+","Finance","Outside London","155","120","31990","27570"
"In post","2022","65+","Finance","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Grants Management","Outside London","65","50","24520","21300"
"In post","2022","65+","Human Resources","London","30","25","45830","45110"
"In post","2022","65+","Human Resources","Outside London","150","115","30510","27860"
"In post","2022","65+","Internal Audit","London","5","5","[c]","[c]"
"In post","2022","65+","Internal Audit","Outside London","5","5","[c]","[c]"
"In post","2022","65+","Legal","London","105","85","52440","60900"
"In post","2022","65+","Legal","Outside London","125","90","45990","53430"
"In post","2022","65+","No function","London","1205","1000","36650","31060"
"In post","2022","65+","No function","Outside London","5800","4180","27840","25810"
"In post","2022","65+","No function","Overseas","10","5","[c]","[c]"
"In post","2022","65+","No function","Unknown","10","5","[c]","[c]"
"In post","2022","65+","Project Delivery","London","90","75","48120","40910"
"In post","2022","65+","Project Delivery","Outside London","460","370","39440","37610"
"In post","2022","65+","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Property","London","90","85","36920","30620"
"In post","2022","65+","Property","Outside London","285","240","31280","27570"
"In post","2022","65+","Property","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","65+","Security","London","55","45","38310","39090"
"In post","2022","65+","Security","Outside London","240","205","26780","21830"
"In post","2022","65+","Security","Overseas","5","5","[c]","[c]"
"In post","2022","65+","Security","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","65+","Unknown","London","460","375","33020","29080"
"In post","2022","65+","Unknown","Outside London","1760","1470","30470","25580"
"In post","2022","65+","Unknown","Overseas","10","10","[c]","[c]"
"In post","2022","65+","Unknown","Unknown","30","30","37210","32700"
"In post","2022","Unknown","Counter Fraud","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Debt","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Human Resources","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","London","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","No function","Outside London","15","10","25370","27570"
"In post","2022","Unknown","Project Delivery","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Commercial","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Debt","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Digital, Data & Technology","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Digital, Data & Technology","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Digital, Data & Technology","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Grants Management","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Legal","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","No function","London","20","[c]","22850","21120"
"Leaver CS","2022","16-19","No function","Outside London","90","[c]","20650","21050"
"Leaver CS","2022","16-19","No function","Unknown","15","[c]","19340","18310"
"Leaver CS","2022","16-19","Project Delivery","Outside London","5","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Property","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Property","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Security","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Outside London","45","[c]","22130","21260"
"Leaver CS","2022","16-19","Unknown","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Analysis","London","165","[c]","31810","31260"
"Leaver CS","2022","20-29","Analysis","Outside London","105","[c]","25370","21260"
"Leaver CS","2022","20-29","Analysis","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Commercial","London","35","[c]","35290","28430"
"Leaver CS","2022","20-29","Commercial","Outside London","60","[c]","28380","26120"
"Leaver CS","2022","20-29","Commercial","Unknown","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Communications","London","100","[c]","33300","33570"
"Leaver CS","2022","20-29","Communications","Outside London","35","[c]","26570","25000"
"Leaver CS","2022","20-29","Communications","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Counter Fraud","London","15","[c]","29940","27150"
"Leaver CS","2022","20-29","Counter Fraud","Outside London","15","[c]","23170","21260"
"Leaver CS","2022","20-29","Debt","London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Debt","Outside London","45","[c]","21410","21260"
"Leaver CS","2022","20-29","Digital, Data & Technology","London","105","[c]","34860","32940"
"Leaver CS","2022","20-29","Digital, Data & Technology","Outside London","215","[c]","30380","29600"
"Leaver CS","2022","20-29","Digital, Data & Technology","Unknown","15","[c]","30690","26130"
"Leaver CS","2022","20-29","Finance","London","40","[c]","30040","28370"
"Leaver CS","2022","20-29","Finance","Outside London","60","[c]","27350","25280"
"Leaver CS","2022","20-29","Finance","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Grants Management","Outside London","45","[c]","21910","21300"
"Leaver CS","2022","20-29","Human Resources","London","80","[c]","30630","27680"
"Leaver CS","2022","20-29","Human Resources","Outside London","80","[c]","24510","22880"
"Leaver CS","2022","20-29","Human Resources","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Internal Audit","Outside London","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Legal","London","80","[c]","32480","27350"
"Leaver CS","2022","20-29","Legal","Outside London","70","[c]","26910","22200"
"Leaver CS","2022","20-29","No function","London","1875","[c]","30510","30850"
"Leaver CS","2022","20-29","No function","Outside London","4400","[c]","23650","21260"
"Leaver CS","2022","20-29","No function","Unknown","180","[c]","22430","21840"
"Leaver CS","2022","20-29","Project Delivery","London","50","[c]","38360","34020"
"Leaver CS","2022","20-29","Project Delivery","Outside London","215","[c]","26560","25670"
"Leaver CS","2022","20-29","Project Delivery","Overseas","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Property","London","10","[c]","29640","26250"
"Leaver CS","2022","20-29","Property","Outside London","80","[c]","24520","23330"
"Leaver CS","2022","20-29","Security","London","30","[c]","31720","29250"
"Leaver CS","2022","20-29","Security","Outside London","95","[c]","26090","25680"
