"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Intelligence Analysis","EO","EO","270","270","27360","26750"
"In post","2022","20-29","Intelligence Analysis","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","SEO/HEO","HEO","165","165","34790","35500"
"In post","2022","20-29","Intelligence Analysis","SEO/HEO","SEO","35","35","42630","43430"
"In post","2022","20-29","Intelligence Analysis","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","EO","10","10","[c]","[c]"
"In post","2022","20-29","Internal Audit","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","HEO","30","30","33280","33420"
"In post","2022","20-29","Internal Audit","SEO/HEO","SEO","10","10","41990","40180"
"In post","2022","20-29","International Trade","EO","EO","55","55","26940","26250"
"In post","2022","20-29","International Trade","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","International Trade","G6/G7","G7","110","110","52650","51710"
"In post","2022","20-29","International Trade","SEO/HEO","HEO","190","190","32500","31800"
"In post","2022","20-29","International Trade","SEO/HEO","SEO","150","150","38830","38160"
"In post","2022","20-29","Knowledge and Information Management","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","AA/AO","AO","55","55","22240","21170"
"In post","2022","20-29","Knowledge and Information Management","EO","EO","90","90","26820","26820"
"In post","2022","20-29","Knowledge and Information Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Knowledge and Information Management","G6/G7","G7","25","25","54830","54070"
"In post","2022","20-29","Knowledge and Information Management","SEO/HEO","HEO","85","85","32450","33000"
"In post","2022","20-29","Knowledge and Information Management","SEO/HEO","SEO","25","25","39010","39780"
"In post","2022","20-29","Knowledge and Information Management","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","AA/AO","AO","35","35","22170","21290"
"In post","2022","20-29","Legal","EO","EO","555","550","28190","26820"
"In post","2022","20-29","Legal","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","20-29","Legal","G6/G7","G7","200","200","51320","50500"
"In post","2022","20-29","Legal","SEO/HEO","HEO","400","400","35340","34260"
"In post","2022","20-29","Legal","SEO/HEO","SEO","140","140","41620","41750"
"In post","2022","20-29","Medicine","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","AA/AO","AO","25","25","23470","23280"
"In post","2022","20-29","Medicine","EO","EO","45","40","29190","27780"
"In post","2022","20-29","Medicine","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Medicine","G6/G7","G7","15","10","58530","54760"
"In post","2022","20-29","Medicine","SEO/HEO","HEO","45","40","33760","33600"
"In post","2022","20-29","Medicine","SEO/HEO","SEO","10","10","40490","40750"
"In post","2022","20-29","Operational Delivery","AA/AO","AA","1755","1695","20680","20890"
"In post","2022","20-29","Operational Delivery","AA/AO","AO","17980","17530","23310","21740"
"In post","2022","20-29","Operational Delivery","EO","EO","11665","11510","27780","27570"
"In post","2022","20-29","Operational Delivery","G6/G7","G6","30","30","64870","64290"
"In post","2022","20-29","Operational Delivery","G6/G7","G7","260","260","53240","53360"
"In post","2022","20-29","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","SEO/HEO","HEO","2535","2515","32690","33000"
"In post","2022","20-29","Operational Delivery","SEO/HEO","SEO","780","770","39600","40070"
"In post","2022","20-29","Operational Delivery","Unknown","Unknown","3410","3345","25400","24090"
"In post","2022","20-29","Operational Research","AA/AO","AO","10","10","22930","23580"
"In post","2022","20-29","Operational Research","EO","EO","30","30","28780","28650"
"In post","2022","20-29","Operational Research","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Research","G6/G7","G7","25","25","57070","57620"
"In post","2022","20-29","Operational Research","SEO/HEO","HEO","195","195","32960","33080"
"In post","2022","20-29","Operational Research","SEO/HEO","SEO","55","55","39800","38070"
"In post","2022","20-29","Operational Research","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","AA/AO","AA","140","140","19810","19810"
"In post","2022","20-29","Other","AA/AO","AO","1015","990","21800","21260"
"In post","2022","20-29","Other","EO","EO","1305","1290","26600","27570"
"In post","2022","20-29","Other","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","20-29","Other","G6/G7","G7","90","90","52820","52650"
"In post","2022","20-29","Other","SEO/HEO","HEO","520","515","31240","31990"
"In post","2022","20-29","Other","SEO/HEO","SEO","135","135","38490","38750"
"In post","2022","20-29","Other","Unknown","Unknown","370","370","28250","28980"
"In post","2022","20-29","Planning","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","EO","EO","10","10","26480","27850"
"In post","2022","20-29","Planning","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","SEO/HEO","HEO","15","15","32220","33210"
"In post","2022","20-29","Planning","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","AA/AO","AA","10","10","17360","17860"
"In post","2022","20-29","Policy","AA/AO","AO","150","145","23840","24250"
