"Status","Year","Age","Function_of_post","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Finance","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for Environment, Food and Rural Affairs","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for Environment, Food and Rural Affairs","HEO","15","15","31040","29720"
"In post","2022","20-29","Finance","Department for Environment, Food and Rural Affairs","SEO","10","10","[c]","[c]"
"In post","2022","20-29","Finance","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for International Trade","G7","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Department for International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for International Trade","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for Levelling Up, Housing and Communities","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for Levelling Up, Housing and Communities","G7","10","10","[c]","[c]"
"In post","2022","20-29","Finance","Department for Levelling Up, Housing and Communities","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for Levelling Up, Housing and Communities","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department for Transport","AO","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Department for Transport","EO","20","20","26000","26130"
"In post","2022","20-29","Finance","Department for Transport","G6","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Department for Transport","G7","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Department for Transport","HEO","10","10","32260","31380"
"In post","2022","20-29","Finance","Department for Transport","SEO","10","10","41550","42470"
"In post","2022","20-29","Finance","Department for Work and Pensions","AO","15","15","21780","21260"
"In post","2022","20-29","Finance","Department for Work and Pensions","EO","55","55","27800","27570"
"In post","2022","20-29","Finance","Department for Work and Pensions","G7","15","15","55330","55650"
"In post","2022","20-29","Finance","Department for Work and Pensions","HEO","60","60","33480","31990"
"In post","2022","20-29","Finance","Department for Work and Pensions","SEO","25","25","37380","35310"
"In post","2022","20-29","Finance","Department of Health and Social Care","EO","40","40","25130","23690"
"In post","2022","20-29","Finance","Department of Health and Social Care","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Department of Health and Social Care","G7","20","20","52220","53360"
"In post","2022","20-29","Finance","Department of Health and Social Care","HEO","60","60","31900","32790"
"In post","2022","20-29","Finance","Department of Health and Social Care","SEO","50","50","39640","40650"
"In post","2022","20-29","Finance","Estyn","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Food Standards Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Food Standards Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Foreign, Commonwealth and Development Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Foreign, Commonwealth and Development Office","EO","10","10","[c]","[c]"
"In post","2022","20-29","Finance","Foreign, Commonwealth and Development Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Foreign, Commonwealth and Development Office","G7","10","10","51580","51500"
"In post","2022","20-29","Finance","Foreign, Commonwealth and Development Office","HEO","20","20","34890","33290"
"In post","2022","20-29","Finance","Foreign, Commonwealth and Development Office","SEO","10","10","39000","40770"
"In post","2022","20-29","Finance","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","HM Land Registry","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","HM Land Registry","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","HM Land Registry","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","HM Revenue and Customs","AO","170","155","21340","21250"
"In post","2022","20-29","Finance","HM Revenue and Customs","EO","55","55","26990","26820"
"In post","2022","20-29","Finance","HM Revenue and Customs","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","HM Revenue and Customs","G7","20","20","56300","58600"
"In post","2022","20-29","Finance","HM Revenue and Customs","HEO","60","60","34220","33370"
"In post","2022","20-29","Finance","HM Revenue and Customs","SEO","40","40","41650","42520"
"In post","2022","20-29","Finance","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","HM Treasury","EO","10","10","25030","24300"
"In post","2022","20-29","Finance","HM Treasury","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","HM Treasury","G7","5","5","[c]","[c]"
"In post","2022","20-29","Finance","HM Treasury","HEO","10","10","37170","34960"
"In post","2022","20-29","Finance","Ministry of Defence","AO","15","15","21790","21170"
"In post","2022","20-29","Finance","Ministry of Defence","EO","155","155","24140","25000"
"In post","2022","20-29","Finance","Ministry of Defence","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Ministry of Defence","G7","10","10","[c]","[c]"
"In post","2022","20-29","Finance","Ministry of Defence","HEO","95","95","33280","33000"
"In post","2022","20-29","Finance","Ministry of Defence","SEO","35","35","43410","44500"
"In post","2022","20-29","Finance","Ministry of Defence","Unknown","15","15","29580","30420"
"In post","2022","20-29","Finance","Ministry of Justice","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Ministry of Justice","EO","15","15","26500","25120"
"In post","2022","20-29","Finance","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Ministry of Justice","G7","10","10","[c]","[c]"
"In post","2022","20-29","Finance","Ministry of Justice","HEO","10","10","31980","31010"
"In post","2022","20-29","Finance","Ministry of Justice","SEO","15","15","40010","41750"
"In post","2022","20-29","Finance","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","National Crime Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","National Crime Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office for Standards in Education, Children's Services and Skills","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Gas and Electricity Markets","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Gas and Electricity Markets","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Scottish Government","AO","10","10","24530","25050"
"In post","2022","20-29","Finance","Scottish Government","EO","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Scottish Government","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Finance","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","The National Archives","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","UK Export Finance","EO","5","5","[c]","[c]"
"In post","2022","20-29","Finance","UK Export Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","UK Export Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","UK Export Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","UK Export Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","UK Statistics Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Water Services Regulation Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Water Services Regulation Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","Welsh Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","Department for Environment, Food and Rural Affairs","AO","290","285","21250","21300"
"In post","2022","20-29","Grants Management","Department for Environment, Food and Rural Affairs","EO","70","70","24860","24920"
"In post","2022","20-29","Grants Management","Department for Environment, Food and Rural Affairs","HEO","10","10","29270","29180"
"In post","2022","20-29","Grants Management","Department for Environment, Food and Rural Affairs","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Grants Management","The National Archives","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Attorney General's Departments","AO","15","15","22000","22200"
"In post","2022","20-29","Human Resources","Attorney General's Departments","EO","30","30","26200","25920"
"In post","2022","20-29","Human Resources","Attorney General's Departments","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Attorney General's Departments","HEO","15","15","30730","30660"
"In post","2022","20-29","Human Resources","Attorney General's Departments","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Cabinet Office","AO","55","55","21110","21050"
"In post","2022","20-29","Human Resources","Cabinet Office","EO","75","75","25730","25040"
"In post","2022","20-29","Human Resources","Cabinet Office","G6","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Cabinet Office","G7","20","20","54100","54700"
"In post","2022","20-29","Human Resources","Cabinet Office","HEO","70","70","32080","32000"
"In post","2022","20-29","Human Resources","Cabinet Office","SEO","25","25","38890","37650"
"In post","2022","20-29","Human Resources","Chancellor's other departments","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Competition and Markets Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Business, Energy and Industrial Strategy","AO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Business, Energy and Industrial Strategy","EO","20","20","25600","24570"
"In post","2022","20-29","Human Resources","Department for Business, Energy and Industrial Strategy","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Business, Energy and Industrial Strategy","G7","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Business, Energy and Industrial Strategy","HEO","10","10","32030","32000"
"In post","2022","20-29","Human Resources","Department for Business, Energy and Industrial Strategy","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Digital, Culture, Media and Sport","EO","10","10","26520","26180"
"In post","2022","20-29","Human Resources","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Digital, Culture, Media and Sport","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Digital, Culture, Media and Sport","HEO","10","10","35260","34490"
"In post","2022","20-29","Human Resources","Department for Education","AO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Education","EO","15","15","25180","25000"
"In post","2022","20-29","Human Resources","Department for Education","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Education","HEO","15","15","30270","29360"
"In post","2022","20-29","Human Resources","Department for Education","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Environment, Food and Rural Affairs","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Environment, Food and Rural Affairs","EO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Environment, Food and Rural Affairs","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Environment, Food and Rural Affairs","HEO","15","15","29660","29180"
"In post","2022","20-29","Human Resources","Department for Environment, Food and Rural Affairs","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for International Trade","EO","10","10","27050","26250"
"In post","2022","20-29","Human Resources","Department for International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for International Trade","G7","10","10","51820","51710"
"In post","2022","20-29","Human Resources","Department for International Trade","HEO","15","15","31780","31800"
"In post","2022","20-29","Human Resources","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for International Trade","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Levelling Up, Housing and Communities","AO","10","10","22820","23320"
"In post","2022","20-29","Human Resources","Department for Levelling Up, Housing and Communities","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Levelling Up, Housing and Communities","HEO","10","10","31450","30190"
"In post","2022","20-29","Human Resources","Department for Levelling Up, Housing and Communities","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Transport","AA","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Transport","AO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Transport","EO","15","15","26900","26350"
"In post","2022","20-29","Human Resources","Department for Transport","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Transport","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Transport","HEO","20","20","31260","30730"
"In post","2022","20-29","Human Resources","Department for Transport","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Work and Pensions","AO","10","10","21680","21260"
"In post","2022","20-29","Human Resources","Department for Work and Pensions","EO","75","75","28090","27570"
"In post","2022","20-29","Human Resources","Department for Work and Pensions","G7","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Department for Work and Pensions","HEO","50","50","31460","31990"
"In post","2022","20-29","Human Resources","Department for Work and Pensions","SEO","10","10","36700","35310"
"In post","2022","20-29","Human Resources","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department of Health and Social Care","AO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Department of Health and Social Care","EO","55","55","26940","27270"
"In post","2022","20-29","Human Resources","Department of Health and Social Care","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Department of Health and Social Care","G7","15","15","52330","53360"
"In post","2022","20-29","Human Resources","Department of Health and Social Care","HEO","45","45","31850","32790"
"In post","2022","20-29","Human Resources","Department of Health and Social Care","SEO","25","25","39770","40650"
"In post","2022","20-29","Human Resources","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Foreign, Commonwealth and Development Office","AO","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Foreign, Commonwealth and Development Office","EO","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Foreign, Commonwealth and Development Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Foreign, Commonwealth and Development Office","HEO","30","30","35570","37560"
"In post","2022","20-29","Human Resources","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","HM Land Registry","EO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","HM Land Registry","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","HM Land Registry","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","HM Land Registry","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","HM Revenue and Customs","AO","35","30","21280","21250"
"In post","2022","20-29","Human Resources","HM Revenue and Customs","EO","40","40","26580","26590"
"In post","2022","20-29","Human Resources","HM Revenue and Customs","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","HM Revenue and Customs","G7","15","15","58900","62120"
"In post","2022","20-29","Human Resources","HM Revenue and Customs","HEO","65","60","32610","33080"
"In post","2022","20-29","Human Resources","HM Revenue and Customs","SEO","25","25","39620","40180"
"In post","2022","20-29","Human Resources","HM Treasury","AO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","HM Treasury","EO","10","10","25430","26750"
"In post","2022","20-29","Human Resources","HM Treasury","G7","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","HM Treasury","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Ministry of Defence","AA","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Ministry of Defence","AO","80","80","21350","21170"
"In post","2022","20-29","Human Resources","Ministry of Defence","EO","60","60","25360","26350"
"In post","2022","20-29","Human Resources","Ministry of Defence","G7","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Ministry of Defence","HEO","70","70","31280","33000"
"In post","2022","20-29","Human Resources","Ministry of Defence","SEO","15","15","40610","43000"
"In post","2022","20-29","Human Resources","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Ministry of Justice","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Ministry of Justice","AO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Ministry of Justice","EO","20","20","26750","26790"
"In post","2022","20-29","Human Resources","Ministry of Justice","G7","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","Ministry of Justice","HEO","60","60","31350","30450"
"In post","2022","20-29","Human Resources","Ministry of Justice","SEO","15","15","41900","41750"
"In post","2022","20-29","Human Resources","National Crime Agency","AO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","National Crime Agency","EO","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","National Crime Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","National Crime Agency","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","National Crime Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office for Standards in Education, Children's Services and Skills","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Gas and Electricity Markets","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Gas and Electricity Markets","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Qualifications and Examinations Regulation","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of Rail and Road","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Scottish Government","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Scottish Government","AO","15","15","22730","22340"
"In post","2022","20-29","Human Resources","Scottish Government","EO","15","15","29650","27970"
"In post","2022","20-29","Human Resources","Scottish Government","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Human Resources","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","The National Archives","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","UK Export Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","UK Statistics Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","UK Statistics Authority","HEO","10","10","[c]","[c]"
"In post","2022","20-29","Human Resources","UK Statistics Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","Water Services Regulation Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Department for Transport","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Foreign, Commonwealth and Development Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Foreign, Commonwealth and Development Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Foreign, Commonwealth and Development Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","HM Revenue and Customs","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","HM Revenue and Customs","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","HM Treasury","HEO","15","15","32780","33420"
"In post","2022","20-29","Internal Audit","HM Treasury","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Ministry of Defence","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Ministry of Defence","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Internal Audit","Ministry of Defence","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Ministry of Justice","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","Scottish Government","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","UK Export Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Attorney General's Departments","AO","450","445","22520","22200"
"In post","2022","20-29","Legal","Attorney General's Departments","EO","450","445","27140","26950"
"In post","2022","20-29","Legal","Attorney General's Departments","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Attorney General's Departments","G7","165","160","50450","50500"
"In post","2022","20-29","Legal","Attorney General's Departments","HEO","165","165","37630","38000"
"In post","2022","20-29","Legal","Attorney General's Departments","SEO","10","10","39000","39750"
"In post","2022","20-29","Legal","Cabinet Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Cabinet Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Competition and Markets Authority","AO","5","5","[c]","[c]"
"In post","2022","20-29","Legal","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Competition and Markets Authority","G7","10","10","55620","54320"
"In post","2022","20-29","Legal","Competition and Markets Authority","HEO","10","10","[c]","[c]"
"In post","2022","20-29","Legal","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department for Business, Energy and Industrial Strategy","EO","5","5","[c]","[c]"
"In post","2022","20-29","Legal","Department for Business, Energy and Industrial Strategy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department for Business, Energy and Industrial Strategy","SEO","5","5","[c]","[c]"
"In post","2022","20-29","Legal","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department for Education","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department for Education","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department for Education","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department for Work and Pensions","EO","5","5","[c]","[c]"
"In post","2022","20-29","Legal","Department for Work and Pensions","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department for Work and Pensions","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department of Health and Social Care","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Department of Health and Social Care","SEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Foreign, Commonwealth and Development Office","AO","5","5","[c]","[c]"
"In post","2022","20-29","Legal","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Foreign, Commonwealth and Development Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Foreign, Commonwealth and Development Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Foreign, Commonwealth and Development Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","HM Land Registry","EO","15","15","27380","27130"
"In post","2022","20-29","Legal","HM Land Registry","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","HM Land Registry","HEO","5","5","[c]","[c]"
"In post","2022","20-29","Legal","HM Revenue and Customs","AO","15","15","22270","21250"
"In post","2022","20-29","Legal","HM Revenue and Customs","EO","55","55","28210","26820"
"In post","2022","20-29","Legal","HM Revenue and Customs","G6","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","HM Revenue and Customs","G7","30","30","58010","58600"
"In post","2022","20-29","Legal","HM Revenue and Customs","HEO","60","60","34900","33370"
"In post","2022","20-29","Legal","HM Revenue and Customs","SEO","10","10","42090","43430"
"In post","2022","20-29","Legal","HM Treasury","G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Ministry of Defence","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Ministry of Justice","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","National Crime Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","National Crime Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Office for Standards in Education, Children's Services and Skills","AA","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Office for Standards in Education, Children's Services and Skills","HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Legal","Office of Gas and Electricity Markets","G7","5","5","[c]","[c]"
