"Status","Year","Age","Ethnicity","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","40-49","Mixed","East of England","95","90","33850","29290"
"In post","2022","40-49","Mixed","London","685","655","47400","41970"
"In post","2022","40-49","Mixed","North East (England)","60","55","30810","27570"
"In post","2022","40-49","Mixed","North West (England)","215","200","32200","27570"
"In post","2022","40-49","Mixed","Northern Ireland","5","5","[c]","[c]"
"In post","2022","40-49","Mixed","Overseas","35","35","56910","58460"
"In post","2022","40-49","Mixed","Scotland","70","65","39780","33370"
"In post","2022","40-49","Mixed","South East (England)","155","150","35570","31370"
"In post","2022","40-49","Mixed","South West (England)","155","145","35250","32720"
"In post","2022","40-49","Mixed","Unknown","5","5","[c]","[c]"
"In post","2022","40-49","Mixed","Wales","85","80","33690","28390"
"In post","2022","40-49","Mixed","West Midlands (England)","120","110","34090","27570"
"In post","2022","40-49","Mixed","Yorkshire and The Humber","130","115","34130","27660"
"In post","2022","40-49","Other ethnicity","East Midlands (England)","25","25","[c]","[c]"
"In post","2022","40-49","Other ethnicity","East of England","30","30","34840","33520"
"In post","2022","40-49","Other ethnicity","London","295","280","43610","37210"
"In post","2022","40-49","Other ethnicity","North East (England)","15","15","[c]","[c]"
"In post","2022","40-49","Other ethnicity","North West (England)","45","40","33270","27570"
"In post","2022","40-49","Other ethnicity","Northern Ireland","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Other ethnicity","Overseas","20","20","[c]","[c]"
"In post","2022","40-49","Other ethnicity","Scotland","25","25","[c]","[c]"
"In post","2022","40-49","Other ethnicity","South East (England)","40","40","33620","27800"
"In post","2022","40-49","Other ethnicity","South West (England)","50","50","34180","29110"
"In post","2022","40-49","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Other ethnicity","Wales","35","35","35950","29820"
"In post","2022","40-49","Other ethnicity","West Midlands (England)","30","30","31840","27570"
"In post","2022","40-49","Other ethnicity","Yorkshire and The Humber","25","20","[c]","[c]"
"In post","2022","40-49","Undeclared","East Midlands (England)","245","230","32930","29360"
"In post","2022","40-49","Undeclared","East of England","235","225","33500","30470"
"In post","2022","40-49","Undeclared","London","1020","975","44920","40650"
"In post","2022","40-49","Undeclared","North East (England)","285","265","31570","27570"
"In post","2022","40-49","Undeclared","North West (England)","585","555","31810","27570"
"In post","2022","40-49","Undeclared","Northern Ireland","30","30","[c]","[c]"
"In post","2022","40-49","Undeclared","Overseas","70","65","50700","53080"
"In post","2022","40-49","Undeclared","Scotland","370","360","33900","30730"
"In post","2022","40-49","Undeclared","South East (England)","495","470","35170","31420"
"In post","2022","40-49","Undeclared","South West (England)","520","505","39870","38830"
"In post","2022","40-49","Undeclared","Unknown","10","10","[c]","[c]"
"In post","2022","40-49","Undeclared","Wales","320","305","35360","30530"
"In post","2022","40-49","Undeclared","West Midlands (England)","270","255","33960","29080"
"In post","2022","40-49","Undeclared","Yorkshire and The Humber","370","350","33780","30450"
"In post","2022","40-49","Unknown","East Midlands (England)","605","565","30890","26970"
"In post","2022","40-49","Unknown","East of England","440","415","32310","28200"
"In post","2022","40-49","Unknown","London","2870","2755","50830","47280"
"In post","2022","40-49","Unknown","North East (England)","910","835","30520","26710"
"In post","2022","40-49","Unknown","North West (England)","1655","1555","31700","26820"
"In post","2022","40-49","Unknown","Northern Ireland","165","155","30550","26590"
"In post","2022","40-49","Unknown","Overseas","175","170","51550","49200"
"In post","2022","40-49","Unknown","Scotland","2045","1935","33980","30450"
"In post","2022","40-49","Unknown","South East (England)","850","800","34660","29290"
