"Status","Year","Ethnicity","Organisation","Region_ITL1","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","West Midlands (England)","Outside London","60","55","35410","31410"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","Yorkshire and The Humber","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","London","London","295","290","46070","42470"
"In post","2022","Asian","Department for Transport (excl. agencies)","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","West Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","Yorkshire and The Humber","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","East Midlands (England)","Outside London","635","560","24810","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","East of England","Outside London","355","320","27840","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","London","London","2545","2315","31380","31060"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","North East (England)","Outside London","225","210","30390","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","North West (England)","Outside London","1145","1045","26240","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Scotland","Outside London","125","115","24370","21260"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","South East (England)","Outside London","415","370","28250","29290"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","South West (England)","Outside London","85","75","26680","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Unknown","Unknown","135","115","28770","29290"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Wales","Outside London","75","75","25630","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","West Midlands (England)","Outside London","1460","1325","25620","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","Outside London","940","860","27450","27570"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","London","London","200","195","43890","40650"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","Outside London","60","60","38280","32790"
"In post","2022","Asian","Disclosure Scotland","Scotland","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","London","London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Wales","Outside London","60","55","29620","21840"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","West Midlands (England)","Outside London","30","30","22990","21840"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","Yorkshire and The Humber","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","East Midlands (England)","Outside London","30","30","29870","27980"
"In post","2022","Asian","Driver and Vehicle Standards Agency","East of England","Outside London","15","15","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","London","London","35","35","30810","30700"
"In post","2022","Asian","Driver and Vehicle Standards Agency","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","North West (England)","Outside London","5","5","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","South West (England)","Outside London","10","5","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","West Midlands (England)","Outside London","25","25","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","Yorkshire and The Humber","Outside London","15","10","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","East Midlands (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","East of England","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","London","London","50","50","43680","40870"
"In post","2022","Asian","Education and Skills Funding Agency","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","North West (England)","Outside London","35","35","36960","30200"
"In post","2022","Asian","Education and Skills Funding Agency","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","South East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","West Midlands (England)","Outside London","100","95","37970","36600"
"In post","2022","Asian","Education and Skills Funding Agency","Yorkshire and The Humber","Outside London","35","30","38620","36500"
"In post","2022","Asian","Education Scotland","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","South West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Wales","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","West Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","London","London","10","10","[c]","[c]"
"In post","2022","Asian","FCDO Services","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","South East (England)","Outside London","45","45","34000","29600"
"In post","2022","Asian","Food Standards Agency","East Midlands (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","East of England","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","London","London","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","North East (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","North West (England)","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Northern Ireland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Scotland","Outside London","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","South East (England)","Outside London","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","South West (England)","Outside London","5","5","[c]","[c]"
