"Status","Year","Disability","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Unknown","Other ethnicity","Communications","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Attorney General's Departments","15","10","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Department for Education","10","10","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Department of Health and Social Care","40","40","52640","43900"
"In post","2022","Unknown","Other ethnicity","No function","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","HM Revenue and Customs","15","10","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","National Crime Agency","25","25","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","No function","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Foreign, Commonwealth and Development Office","5","5","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Property","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Other ethnicity","Property","Charity Commission","[c]","[c]","[c]","[c]"
