"Status","Year","Function_of_post","Parent_department","Region_ITL2","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester","Greater Manchester South West","10","10","33120","27470"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Greater Manchester","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - East","Hackney and Newham","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Inner London - West","Westminster","260","255","44210","37890"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Lincolnshire","Lincolnshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Merseyside","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Northern Ireland","Ards and North Down","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","Outer London - South","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","West Midlands","Birmingham","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","West Yorkshire","Calderdale and Kirklees","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Greater Manchester","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","Inner London - West","Westminster","135","135","48540","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","Derbyshire and Nottinghamshire","Nottingham","10","10","41670","41990"
"In post","2022","Analysis","Department for Education","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","20","20","37340","39240"
"In post","2022","Analysis","Department for Education","Greater Manchester","Manchester","25","25","38800","37590"
"In post","2022","Analysis","Department for Education","Inner London - West","Westminster","70","65","49030","45940"
"In post","2022","Analysis","Department for Education","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","South Yorkshire","Sheffield","60","55","45780","49860"
"In post","2022","Analysis","Department for Education","Tees Valley and Durham","Darlington","10","10","42030","42580"
"In post","2022","Analysis","Department for Education","West Midlands","Coventry","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cheshire","Cheshire East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cumbria","East Cumbria","10","10","31830","31510"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Cumbria","West Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Devon","Devon CC","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Dorset and Somerset","Dorset","125","120","34110","29990"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","East Anglia","Suffolk CC","325","310","34700","30220"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire","North Yorkshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","North Yorkshire","York","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","Northumberland, and Tyne and Wear","Tyneside","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","Inner London - West","Westminster","250","250","44110","40270"
"In post","2022","Analysis","Department for International Trade","Tees Valley and Durham","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Inner London - West","Westminster","200","195","48100","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","Tees Valley and Durham","Darlington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","West Midlands","Birmingham","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","West Midlands","Wolverhampton","15","10","35660","30190"
"In post","2022","Analysis","Department for Transport","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Derbyshire and Nottinghamshire","East Derbyshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Derbyshire and Nottinghamshire","North Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Derbyshire and Nottinghamshire","Nottingham","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","15","15","32820","31380"
"In post","2022","Analysis","Department for Transport","Greater Manchester","Greater Manchester North East","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Hampshire and Isle of Wight","Portsmouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Inner London - West","Westminster","320","310","48130","54110"
"In post","2022","Analysis","Department for Transport","Kent","East Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Northumberland, and Tyne and Wear","Tyneside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Outer London - South","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Shropshire and Staffordshire","Staffordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Southern Scotland","East Ayrshire and North Ayrshire mainland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Surrey, East and West Sussex","East Sussex CC","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","Surrey, East and West Sussex","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","West Midlands","Birmingham","10","10","30770","26130"
"In post","2022","Analysis","Department for Transport","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","West Yorkshire","Leeds","20","20","31500","28780"
"In post","2022","Analysis","Department for Work and Pensions","Bedfordshire and Hertfordshire","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Derbyshire and Nottinghamshire","South and West Derbyshire","20","15","41820","34990"
"In post","2022","Analysis","Department for Work and Pensions","Derbyshire and Nottinghamshire","South Nottinghamshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Greater Manchester","Manchester","40","40","32890","31990"
"In post","2022","Analysis","Department for Work and Pensions","Inner London - East","Tower Hamlets","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Inner London - West","Westminster","250","240","46070","40270"
"In post","2022","Analysis","Department for Work and Pensions","Lancashire","Blackpool","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Lancashire","East Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Merseyside","Sefton","20","20","42880","39390"
"In post","2022","Analysis","Department for Work and Pensions","Northumberland, and Tyne and Wear","Sunderland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Northumberland, and Tyne and Wear","Tyneside","105","100","40060","36320"
"In post","2022","Analysis","Department for Work and Pensions","South Yorkshire","Barnsley, Doncaster and Rotherham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","South Yorkshire","Sheffield","145","135","45580","40700"
"In post","2022","Analysis","Department for Work and Pensions","Tees Valley and Durham","Hartlepool and Stockton-on-Tees","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","West Wales and The Valleys","Central Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","West Yorkshire","Leeds","75","70","37540","35450"
"In post","2022","Analysis","Department of Health and Social Care","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Inner London - East","Lewisham and Southwark","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Inner London - East","Tower Hamlets","40","40","48830","47060"
"In post","2022","Analysis","Department of Health and Social Care","Inner London - West","Westminster","310","300","52370","53360"
"In post","2022","Analysis","Department of Health and Social Care","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Merseyside","Liverpool","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Surrey, East and West Sussex","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","West Yorkshire","Leeds","85","85","46320","49530"
"In post","2022","Analysis","Estyn","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Bedfordshire and Hertfordshire","Luton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Berkshire, Buckinghamshire and Oxfordshire","Berkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Berkshire, Buckinghamshire and Oxfordshire","Milton Keynes","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Devon","Torbay","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Dorset and Somerset","Bournemouth, Christchurch and Poole","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","East Wales","Monmouthshire and Newport","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Essex","Heart of Essex","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Inner London - East","Haringey and Islington","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Inner London - East","Lambeth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Inner London - West","Westminster","15","15","36280","32350"
"In post","2022","Analysis","Food Standards Agency","Kent","Kent Thames Gateway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Kent","Mid Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Kent","West Kent","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","North Yorkshire","York","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Outer London - East and North East","Barking & Dagenham and Havering","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Outer London - South","Merton, Kingston upon Thames and Sutton","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Outer London - West and North West","Harrow and Hillingdon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Tees Valley and Durham","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Wales and The Valleys","Gwent Valleys","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","West Yorkshire","Wakefield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Inner London - West","Westminster","55","55","59450","61400"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Merseyside","Wirral","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Outer London - South","Croydon","15","15","50690","50590"
"In post","2022","Analysis","HM Land Registry","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Tees Valley and Durham","Durham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","West Midlands","Coventry","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","East Anglia","Suffolk CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Eastern Scotland","City of Edinburgh","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Essex","Southend-on-Sea","20","20","47660","40520"
"In post","2022","Analysis","HM Revenue and Customs","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Greater Manchester","Greater Manchester South West","15","15","40750","40180"
"In post","2022","Analysis","HM Revenue and Customs","Greater Manchester","Manchester","190","180","40690","38080"
"In post","2022","Analysis","HM Revenue and Customs","Inner London - East","Hackney and Newham","155","150","47160","43430"
"In post","2022","Analysis","HM Revenue and Customs","Inner London - East","Tower Hamlets","20","20","49980","46860"
"In post","2022","Analysis","HM Revenue and Customs","Inner London - West","Westminster","175","170","51610","44620"
"In post","2022","Analysis","HM Revenue and Customs","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Merseyside","Liverpool","95","95","41190","40180"
"In post","2022","Analysis","HM Revenue and Customs","Merseyside","Sefton","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Northumberland, and Tyne and Wear","Tyneside","30","30","44230","40180"
"In post","2022","Analysis","HM Revenue and Customs","Outer London - South","Croydon","45","45","52720","50250"
"In post","2022","Analysis","HM Revenue and Customs","Shropshire and Staffordshire","Telford and Wrekin","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","South Yorkshire","Sheffield","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","Surrey, East and West Sussex","West Sussex (South West)","5","5","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","West Central Scotland","Glasgow City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","West Midlands","Birmingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","West Wales and The Valleys","Swansea","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs","West Yorkshire","Leeds","10","10","49370","52080"
"In post","2022","Analysis","HM Treasury","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury","Inner London - West","Camden and City of London","20","20","68210","59590"
"In post","2022","Analysis","HM Treasury","Inner London - West","Westminster","35","35","58950","54640"
"In post","2022","Analysis","HM Treasury","West Yorkshire","Leeds","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Bedfordshire and Hertfordshire","Central Bedfordshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Bedfordshire and Hertfordshire","Hertfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Berkshire, Buckinghamshire and Oxfordshire","Buckinghamshire","10","10","35440","29850"
"In post","2022","Analysis","Ministry of Defence","Berkshire, Buckinghamshire and Oxfordshire","Oxfordshire CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Cornwall and Isles of Scilly","Cornwall and Isles of Scilly","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Devon","Devon CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Dorset and Somerset","Somerset CC","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","East Anglia","Cambridgeshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","East Anglia","North and West Norfolk","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","East Anglia","Suffolk CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","East Wales","Flintshire and Wrexham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Eastern Scotland","Angus and Dundee City","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Eastern Scotland","Clackmannanshire and Fife","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","75","70","38340","36000"
"In post","2022","Analysis","Ministry of Defence","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","130","125","38580","38070"
"In post","2022","Analysis","Ministry of Defence","Hampshire and Isle of Wight","Central Hampshire","400","385","41420","38960"
"In post","2022","Analysis","Ministry of Defence","Hampshire and Isle of Wight","North Hampshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Hampshire and Isle of Wight","Portsmouth","15","15","34430","33000"
"In post","2022","Analysis","Ministry of Defence","Hampshire and Isle of Wight","South Hampshire","10","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Inner London - West","Westminster","100","100","45330","45030"
"In post","2022","Analysis","Ministry of Defence","Kent","Medway","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Lincolnshire","Lincolnshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","North Yorkshire","North Yorkshire CC","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Overseas","Overseas","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Shropshire and Staffordshire","Staffordshire CC","15","15","33380","33000"
"In post","2022","Analysis","Ministry of Defence","Southern Scotland","South Ayrshire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Surrey, East and West Sussex","West Surrey","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Bedfordshire and Hertfordshire","Bedford","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Cumbria","East Cumbria","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Derbyshire and Nottinghamshire","Nottingham","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Devon","Plymouth","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","East Wales","Cardiff and Vale of Glamorgan","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Greater Manchester","Greater Manchester South West","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Greater Manchester","Manchester","5","5","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Inner London - East","Tower Hamlets","380","370","48760","44200"
"In post","2022","Analysis","Ministry of Justice","Inner London - West","Westminster","75","70","47730","42850"
"In post","2022","Analysis","Ministry of Justice","Lancashire","Mid Lancashire","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Leicestershire, Rutland and Northamptonshire","Leicester","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice","Merseyside","East Merseyside","[c]","[c]","[c]","[c]"
