"Status","Year","Age","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Human Resources","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Human Resources","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Internal Audit","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","International Trade","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Knowledge and Information Management","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Legal","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Midlands (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Midlands (England)","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East Midlands (England)","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East of England","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","East of England","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","Undeclared","5","0","[c]","[c]"
"In post","2022","16-19","Operational Delivery","London","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North East (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North East (England)","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North West (England)","Heterosexual / straight","65","65","21770","21260"
"In post","2022","16-19","Operational Delivery","North West (England)","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","North West (England)","Unknown","35","35","21390","21250"
"In post","2022","16-19","Operational Delivery","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Scotland","Unknown","25","20","[c]","[c]"
"In post","2022","16-19","Operational Delivery","South East (England)","Heterosexual / straight","40","40","23220","21790"
"In post","2022","16-19","Operational Delivery","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","South East (England)","Unknown","40","40","23000","21790"
"In post","2022","16-19","Operational Delivery","South West (England)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Operational Delivery","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","South West (England)","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Wales","Heterosexual / straight","45","40","20290","19780"
"In post","2022","16-19","Operational Delivery","Wales","LGBO","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Wales","Undeclared","5","5","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Wales","Unknown","50","45","19620","18310"
"In post","2022","16-19","Operational Delivery","West Midlands (England)","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","16-19","Operational Delivery","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","West Midlands (England)","Unknown","15","15","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Yorkshire and The Humber","Heterosexual / straight","35","35","22380","21260"
"In post","2022","16-19","Operational Delivery","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Delivery","Yorkshire and The Humber","Unknown","30","30","[c]","[c]"
"In post","2022","16-19","Operational Research","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Operational Research","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Other","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Scotland","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Other","South East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Other","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Other","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Unknown","Unknown","35","35","17940","16450"
"In post","2022","16-19","Other","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Yorkshire and The Humber","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Other","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Other","Yorkshire and The Humber","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","16-19","Policy","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","London","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Policy","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Policy","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","South West (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Project Delivery","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","South West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Project Delivery","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","North East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","North West (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","South East (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Property","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Property","Yorkshire and The Humber","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","East of England","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","South West (England)","Heterosexual / straight","40","40","19240","18030"
"In post","2022","16-19","Science and Engineering","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","South West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","South West (England)","Unknown","50","50","17760","17140"
"In post","2022","16-19","Science and Engineering","Wales","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Science and Engineering","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Northern Ireland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Northern Ireland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Northern Ireland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Security","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","North West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Statistics","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","North East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","North East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","North East (England)","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Tax","North West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","16-19","Tax","North West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","North West (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","North West (England)","Unknown","5","5","[c]","[c]"
"In post","2022","16-19","Tax","Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","16-19","Tax","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","South East (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","South East (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Tax","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
