"Status","Year","Function_of_post","Region_ITL3","Region_london","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Gwent Valleys","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","London","EO","10","10","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","London","G6/G7","50","45","62590","62120"
"In post","2022","Analysis","Hackney and Newham","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hackney and Newham","London","SEO/HEO","105","100","39980","37930"
"In post","2022","Analysis","Haringey and Islington","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Harrow and Hillingdon","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hartlepool and Stockton-on-Tees","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Heart of Essex","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hertfordshire CC","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Hertfordshire CC","Outside London","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Analysis","Kent Thames Gateway","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lambeth","London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leeds","Outside London","AA/AO","20","20","21520","21260"
"In post","2022","Analysis","Leeds","Outside London","EO","40","40","25700","25120"
"In post","2022","Analysis","Leeds","Outside London","G6/G7","90","85","54720","52150"
"In post","2022","Analysis","Leeds","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leeds","Outside London","SEO/HEO","105","100","34980","35590"
"In post","2022","Analysis","Leicester","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicester","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire CC and Rutland","Outside London","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Leicestershire CC and Rutland","Outside London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lewisham and Southwark","London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","Outside London","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Lincolnshire CC","Outside London","EO","[c]","[c]","[c]","[c]"
