"Status","Year","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Competition and Markets Authority","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA","Heterosexual / straight","60","55","18520","18990"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA","LGBO","10","10","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA","Undeclared","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","AA","Unknown","40","35","19740","19150"
"In post","2022","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","780","715","21870","21430"
"In post","2022","Department for Business, Energy and Industrial Strategy","AO","LGBO","60","60","21410","21130"
"In post","2022","Department for Business, Energy and Industrial Strategy","AO","Undeclared","75","65","22220","22740"
"In post","2022","Department for Business, Energy and Industrial Strategy","AO","Unknown","470","430","21670","21130"
"In post","2022","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","1280","1215","26580","26290"
"In post","2022","Department for Business, Energy and Industrial Strategy","EO","LGBO","105","105","26190","25420"
"In post","2022","Department for Business, Energy and Industrial Strategy","EO","Undeclared","140","135","26910","26380"
"In post","2022","Department for Business, Energy and Industrial Strategy","EO","Unknown","435","415","26160","24570"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6","Heterosexual / straight","770","740","66400","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6","LGBO","65","60","65380","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6","Undeclared","130","120","66810","64990"
"In post","2022","Department for Business, Energy and Industrial Strategy","G6","Unknown","75","75","66840","65100"
"In post","2022","Department for Business, Energy and Industrial Strategy","G7","Heterosexual / straight","2190","2125","54220","53600"
"In post","2022","Department for Business, Energy and Industrial Strategy","G7","LGBO","180","175","54150","53380"
"In post","2022","Department for Business, Energy and Industrial Strategy","G7","Undeclared","310","300","54010","53380"
"In post","2022","Department for Business, Energy and Industrial Strategy","G7","Unknown","295","285","56410","56380"
"In post","2022","Department for Business, Energy and Industrial Strategy","HEO","Heterosexual / straight","2195","2115","33770","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","HEO","LGBO","195","195","33270","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","HEO","Undeclared","320","310","34820","33820"
"In post","2022","Department for Business, Energy and Industrial Strategy","HEO","Unknown","405","395","33790","33570"
"In post","2022","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","320","305","88610","82480"
"In post","2022","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","25","25","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","SCS level","Undeclared","25","25","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","SCS level","Unknown","25","25","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO","Heterosexual / straight","2175","2105","41710","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO","LGBO","220","215","41110","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO","Undeclared","315","295","41720","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","SEO","Unknown","375","365","42570","41760"
"In post","2022","Department for Digital, Culture, Media and Sport","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","135","135","26810","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","Undeclared","20","20","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","G6","Heterosexual / straight","175","170","64120","63450"
"In post","2022","Department for Digital, Culture, Media and Sport","G6","LGBO","20","20","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","G6","Undeclared","20","20","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","G6","Unknown","20","20","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","G7","Heterosexual / straight","505","495","53520","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","G7","LGBO","80","80","53620","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","G7","Undeclared","40","40","52880","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","G7","Unknown","50","50","54420","52190"
"In post","2022","Department for Digital, Culture, Media and Sport","HEO","Heterosexual / straight","565","560","35410","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","HEO","LGBO","85","85","34920","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","HEO","Undeclared","60","60","35450","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","HEO","Unknown","65","65","36210","34280"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","Heterosexual / straight","100","95","83980","75600"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","LGBO","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Department for Education","AO","Heterosexual / straight","85","80","21910","21250"
"In post","2022","Department for Education","AO","LGBO","15","15","[c]","[c]"
"In post","2022","Department for Education","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Department for Education","AO","Unknown","20","20","[c]","[c]"
"In post","2022","Department for Education","EO","Heterosexual / straight","675","650","26200","25000"
"In post","2022","Department for Education","EO","LGBO","55","55","26040","25000"
"In post","2022","Department for Education","EO","Undeclared","60","55","27140","26000"
"In post","2022","Department for Education","EO","Unknown","145","140","26570","26000"
"In post","2022","Department for Education","G6","Heterosexual / straight","735","705","64220","64180"
"In post","2022","Department for Education","G6","LGBO","60","55","64550","64180"
"In post","2022","Department for Education","G6","Undeclared","70","70","65420","64960"
"In post","2022","Department for Education","G6","Unknown","135","130","65080","64590"
"In post","2022","Department for Education","G7","Heterosexual / straight","1640","1580","52000","50630"
"In post","2022","Department for Education","G7","LGBO","115","115","52660","51860"
"In post","2022","Department for Education","G7","Undeclared","170","165","51970","50630"
"In post","2022","Department for Education","G7","Unknown","320","310","52320","50700"
"In post","2022","Department for Education","HEO","Heterosexual / straight","1275","1235","31080","30090"
"In post","2022","Department for Education","HEO","LGBO","115","110","30740","29360"
"In post","2022","Department for Education","HEO","Undeclared","115","110","31610","30200"
"In post","2022","Department for Education","HEO","Unknown","260","250","31540","31130"
"In post","2022","Department for Education","SCS level","Heterosexual / straight","225","215","82280","74100"
"In post","2022","Department for Education","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Department for Education","SCS level","Undeclared","15","15","[c]","[c]"
"In post","2022","Department for Education","SCS level","Unknown","40","35","84500","75280"
"In post","2022","Department for Education","SEO","Heterosexual / straight","1680","1615","38670","36960"
"In post","2022","Department for Education","SEO","LGBO","145","140","39010","36960"
"In post","2022","Department for Education","SEO","Undeclared","175","170","38710","37100"
"In post","2022","Department for Education","SEO","Unknown","325","315","39140","38060"
"In post","2022","Department for Environment, Food and Rural Affairs","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","AA","Unknown","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","AO","Heterosexual / straight","1250","1140","21880","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","AO","LGBO","105","105","21980","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","AO","Undeclared","140","130","21750","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","AO","Unknown","885","820","21470","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","1475","1400","26250","25310"
"In post","2022","Department for Environment, Food and Rural Affairs","EO","LGBO","125","120","26260","25310"
"In post","2022","Department for Environment, Food and Rural Affairs","EO","Undeclared","155","145","26410","25530"
