"Status","Year","Profession_of_post","Region_london","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Overseas","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Female","Heterosexual / straight","835","805","47360","44140"
"In post","2022","Communications","London","Female","LGBO","70","65","43900","41380"
"In post","2022","Communications","London","Female","Undeclared","165","160","43810","39800"
"In post","2022","Communications","London","Female","Unknown","260","255","44540","41740"
"In post","2022","Communications","London","Male","Heterosexual / straight","515","510","47820","42890"
"In post","2022","Communications","London","Male","LGBO","85","85","45530","43410"
"In post","2022","Communications","London","Male","Undeclared","110","105","48420","43220"
"In post","2022","Communications","London","Male","Unknown","175","175","46970","42710"
"In post","2022","Communications","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","Female","Heterosexual / straight","865","810","37620","36150"
"In post","2022","Communications","Outside London","Female","LGBO","45","40","34320","33000"
"In post","2022","Communications","Outside London","Female","Undeclared","90","85","39910","38160"
"In post","2022","Communications","Outside London","Female","Unknown","150","145","38300","35790"
"In post","2022","Communications","Outside London","Male","Heterosexual / straight","525","520","37640","35000"
"In post","2022","Communications","Outside London","Male","LGBO","50","50","35360","31210"
"In post","2022","Communications","Outside London","Male","Undeclared","90","85","35830","33640"
"In post","2022","Communications","Outside London","Male","Unknown","125","125","36940","33710"
"In post","2022","Communications","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Female","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Male","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Corporate Finance","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Corporate Finance","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Female","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Female","Unknown","40","35","39760","38070"
"In post","2022","Corporate Finance","Outside London","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Male","Unknown","15","15","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","Female","Heterosexual / straight","420","380","31970","31060"
"In post","2022","Counter Fraud","London","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Counter Fraud","London","Female","Undeclared","70","60","31140","30330"
"In post","2022","Counter Fraud","London","Female","Unknown","195","165","31760","31060"
"In post","2022","Counter Fraud","London","Male","Heterosexual / straight","360","350","37320","32910"
"In post","2022","Counter Fraud","London","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Counter Fraud","London","Male","Undeclared","40","40","38340","32490"
"In post","2022","Counter Fraud","London","Male","Unknown","130","125","36400","31880"
"In post","2022","Counter Fraud","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","Female","Heterosexual / straight","2195","1935","27620","27570"
"In post","2022","Counter Fraud","Outside London","Female","LGBO","100","95","27900","27570"
"In post","2022","Counter Fraud","Outside London","Female","Undeclared","285","245","26820","27570"
"In post","2022","Counter Fraud","Outside London","Female","Unknown","615","510","27700","27570"
"In post","2022","Counter Fraud","Outside London","Male","Heterosexual / straight","1390","1305","28870","27570"
"In post","2022","Counter Fraud","Outside London","Male","LGBO","85","80","28230","27570"
"In post","2022","Counter Fraud","Outside London","Male","Undeclared","200","185","28320","27570"
"In post","2022","Counter Fraud","Outside London","Male","Unknown","450","415","28950","27570"
"In post","2022","Counter Fraud","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","Female","Heterosexual / straight","975","945","48400","43900"
"In post","2022","Digital, Data and Technology","London","Female","LGBO","90","85","47460","43490"
"In post","2022","Digital, Data and Technology","London","Female","Undeclared","140","140","48090","44260"
"In post","2022","Digital, Data and Technology","London","Female","Unknown","330","325","46810","43080"
"In post","2022","Digital, Data and Technology","London","Male","Heterosexual / straight","1595","1580","50380","45590"
"In post","2022","Digital, Data and Technology","London","Male","LGBO","125","125","52150","53420"
"In post","2022","Digital, Data and Technology","London","Male","Undeclared","225","225","51360","48760"
"In post","2022","Digital, Data and Technology","London","Male","Unknown","570","570","48870","43850"
"In post","2022","Digital, Data and Technology","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","Female","Heterosexual / straight","3765","3560","38980","35980"
"In post","2022","Digital, Data and Technology","Outside London","Female","LGBO","280","275","36860","33370"
"In post","2022","Digital, Data and Technology","Outside London","Female","Undeclared","500","475","39470","36930"
"In post","2022","Digital, Data and Technology","Outside London","Female","Unknown","910","860","39210","36500"
"In post","2022","Digital, Data and Technology","Outside London","Male","Heterosexual / straight","6830","6730","41380","38450"
"In post","2022","Digital, Data and Technology","Outside London","Male","LGBO","355","350","38000","35310"
"In post","2022","Digital, Data and Technology","Outside London","Male","Undeclared","1110","1090","40220","37420"
"In post","2022","Digital, Data and Technology","Outside London","Male","Unknown","2145","2115","40600","37210"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Male","Heterosexual / straight","30","30","33400","33300"
"In post","2022","Digital, Data and Technology","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Male","Undeclared","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","Female","Heterosexual / straight","430","410","49700","51710"
"In post","2022","Economics","London","Female","LGBO","35","35","46660","51500"
"In post","2022","Economics","London","Female","Undeclared","50","50","47530","52000"
"In post","2022","Economics","London","Female","Unknown","85","80","43980","37790"
"In post","2022","Economics","London","Male","Heterosexual / straight","690","685","50240","51990"
"In post","2022","Economics","London","Male","LGBO","75","75","46520","40980"
"In post","2022","Economics","London","Male","Undeclared","95","95","49860","52500"
"In post","2022","Economics","London","Male","Unknown","180","180","47330","38020"
"In post","2022","Economics","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","Female","Heterosexual / straight","105","100","42070","38500"
"In post","2022","Economics","Outside London","Female","LGBO","20","20","[c]","[c]"
"In post","2022","Economics","Outside London","Female","Undeclared","15","15","[c]","[c]"
"In post","2022","Economics","Outside London","Female","Unknown","20","20","[c]","[c]"
"In post","2022","Economics","Outside London","Male","Heterosexual / straight","170","170","40970","35970"
"In post","2022","Economics","Outside London","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Economics","Outside London","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Economics","Outside London","Male","Unknown","50","50","39110","33000"
"In post","2022","Economics","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Economics","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Economics","Overseas","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Economics","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Economics","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","Female","Heterosexual / straight","1025","990","47470","43120"
"In post","2022","Finance","London","Female","LGBO","40","40","47280","40650"
"In post","2022","Finance","London","Female","Undeclared","180","175","45290","41950"
"In post","2022","Finance","London","Female","Unknown","185","175","46900","42470"
"In post","2022","Finance","London","Male","Heterosexual / straight","1020","1015","50840","46710"
"In post","2022","Finance","London","Male","LGBO","75","75","51070","53130"
"In post","2022","Finance","London","Male","Undeclared","175","175","50380","47590"
"In post","2022","Finance","London","Male","Unknown","205","205","50350","43810"
"In post","2022","Finance","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Outside London","Female","Heterosexual / straight","4135","3885","36660","33300"
"In post","2022","Finance","Outside London","Female","LGBO","130","125","36610","33300"
"In post","2022","Finance","Outside London","Female","Undeclared","530","495","35850","33300"
"In post","2022","Finance","Outside London","Female","Unknown","600","550","35160","33000"
"In post","2022","Finance","Outside London","Male","Heterosexual / straight","2845","2790","40240","36460"
"In post","2022","Finance","Outside London","Male","LGBO","145","145","39470","33870"
"In post","2022","Finance","Outside London","Male","Undeclared","395","385","40190","36500"
"In post","2022","Finance","Outside London","Male","Unknown","525","510","36750","33370"
"In post","2022","Finance","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Female","Heterosexual / straight","30","30","34730","31180"
"In post","2022","Finance","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Female","Undeclared","10","10","[c]","[c]"
"In post","2022","Finance","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Finance","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Finance","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Male","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Finance","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Finance","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","Female","Heterosexual / straight","105","100","31310","33000"
"In post","2022","Geography","Outside London","Female","LGBO","10","10","[c]","[c]"
"In post","2022","Geography","Outside London","Female","Undeclared","20","20","[c]","[c]"
"In post","2022","Geography","Outside London","Female","Unknown","35","30","28550","26740"
"In post","2022","Geography","Outside London","Male","Heterosexual / straight","205","200","32140","33290"
"In post","2022","Geography","Outside London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","Male","Undeclared","15","15","[c]","[c]"
"In post","2022","Geography","Outside London","Male","Unknown","85","85","31150","29290"
"In post","2022","Geography","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Female","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Male","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Geography","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","Female","Heterosexual / straight","1460","1400","46900","41970"
"In post","2022","Human Resources","London","Female","LGBO","85","85","44630","40140"
"In post","2022","Human Resources","London","Female","Undeclared","160","155","41890","37560"
"In post","2022","Human Resources","London","Female","Unknown","175","165","43390","39750"
"In post","2022","Human Resources","London","Male","Heterosexual / straight","590","580","47560","42200"
"In post","2022","Human Resources","London","Male","LGBO","110","110","49160","44500"
"In post","2022","Human Resources","London","Male","Undeclared","100","95","43780","40560"
"In post","2022","Human Resources","London","Male","Unknown","80","80","45970","41750"
"In post","2022","Human Resources","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outside London","Female","Heterosexual / straight","3885","3610","36130","33000"
"In post","2022","Human Resources","Outside London","Female","LGBO","140","135","33950","30730"
"In post","2022","Human Resources","Outside London","Female","Undeclared","315","290","32270","29200"
"In post","2022","Human Resources","Outside London","Female","Unknown","535","495","34200","30450"
"In post","2022","Human Resources","Outside London","Male","Heterosexual / straight","1360","1330","37080","33370"
"In post","2022","Human Resources","Outside London","Male","LGBO","165","160","37010","32000"
"In post","2022","Human Resources","Outside London","Male","Undeclared","165","155","35200","32810"
"In post","2022","Human Resources","Outside London","Male","Unknown","240","235","35150","31990"
"In post","2022","Human Resources","Outside London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Female","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Human Resources","Overseas","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Overseas","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Human Resources","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Female","Heterosexual / straight","55","55","58860","51360"
"In post","2022","Inspector of Education and Training","London","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Male","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","Outside London","Female","Heterosexual / straight","535","520","63020","64500"
