"Status","Year","Disability","Parent_department","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Department for Education","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","Heterosexual / straight","225","215","42970","38750"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","LGBO","55","55","44050","37340"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","Heterosexual / straight","800","755","33500","29200"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","LGBO","105","100","32150","29180"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","Undeclared","110","105","33500","30740"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Outside London","Unknown","95","85","27510","24920"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","Heterosexual / straight","130","125","46250","38460"
"In post","2022","Declared disabled","Department for International Trade","London","LGBO","35","35","44140","51710"
"In post","2022","Declared disabled","Department for International Trade","London","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","Heterosexual / straight","175","170","44740","39600"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","LGBO","50","50","41470","39600"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","Heterosexual / straight","140","135","37300","34430"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","LGBO","35","35","36780","32780"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","Heterosexual / straight","150","145","45580","42470"
"In post","2022","Declared disabled","Department for Transport","London","LGBO","30","30","48720","54110"
"In post","2022","Declared disabled","Department for Transport","London","Undeclared","30","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Outside London","Heterosexual / straight","745","650","27870","26580"
"In post","2022","Declared disabled","Department for Transport","Outside London","LGBO","75","70","29490","26470"
"In post","2022","Declared disabled","Department for Transport","Outside London","Undeclared","325","265","25300","21840"
"In post","2022","Declared disabled","Department for Transport","Outside London","Unknown","30","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","London","Heterosexual / straight","1135","1050","33990","31060"
"In post","2022","Declared disabled","Department for Work and Pensions","London","LGBO","130","125","35400","31060"
"In post","2022","Declared disabled","Department for Work and Pensions","London","Undeclared","170","155","31620","31060"
"In post","2022","Declared disabled","Department for Work and Pensions","London","Unknown","165","140","31500","31060"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","Heterosexual / straight","10675","9340","27030","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","LGBO","1085","1020","27010","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","Undeclared","1540","1335","26550","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Outside London","Unknown","1150","955","25790","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","Heterosexual / straight","65","60","32150","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","London","Heterosexual / straight","180","170","43470","39110"
"In post","2022","Declared disabled","Department of Health and Social Care","London","LGBO","60","60","42100","36820"
"In post","2022","Declared disabled","Department of Health and Social Care","London","Undeclared","35","30","47110","46460"
"In post","2022","Declared disabled","Department of Health and Social Care","London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","Heterosexual / straight","235","215","40550","36330"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","LGBO","40","35","32110","28590"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","Heterosexual / straight","65","65","38770","37350"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","Heterosexual / straight","315","305","46810","41090"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","LGBO","40","40","47330","38600"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","Heterosexual / straight","170","165","35320","33930"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","Heterosexual / straight","130","130","49170","49760"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Overseas","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","London","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","Outside London","Heterosexual / straight","460","405","29790","27130"
"In post","2022","Declared disabled","HM Land Registry","Outside London","LGBO","35","35","27920","27130"
"In post","2022","Declared disabled","HM Land Registry","Outside London","Undeclared","75","65","31170","27130"
"In post","2022","Declared disabled","HM Land Registry","Outside London","Unknown","75","65","27250","27130"
"In post","2022","Declared disabled","HM Revenue and Customs","London","Heterosexual / straight","595","555","44460","39790"
"In post","2022","Declared disabled","HM Revenue and Customs","London","LGBO","75","70","47580","40910"
"In post","2022","Declared disabled","HM Revenue and Customs","London","Undeclared","85","80","43470","37930"
"In post","2022","Declared disabled","HM Revenue and Customs","London","Unknown","95","90","40430","37930"
"In post","2022","Declared disabled","HM Revenue and Customs","Outside London","Heterosexual / straight","4060","3655","31750","28570"
"In post","2022","Declared disabled","HM Revenue and Customs","Outside London","LGBO","500","475","31170","28570"
"In post","2022","Declared disabled","HM Revenue and Customs","Outside London","Undeclared","445","400","31210","28920"
"In post","2022","Declared disabled","HM Revenue and Customs","Outside London","Unknown","540","465","27880","22080"
"In post","2022","Declared disabled","HM Treasury","London","Heterosexual / straight","160","155","46700","45270"
"In post","2022","Declared disabled","HM Treasury","London","LGBO","25","25","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","London","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","London","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Outside London","Heterosexual / straight","45","45","42990","39980"
"In post","2022","Declared disabled","HM Treasury","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","London","Heterosexual / straight","895","835","38530","35050"
"In post","2022","Declared disabled","Home Office","London","LGBO","80","80","42800","36550"
"In post","2022","Declared disabled","Home Office","London","Undeclared","170","160","37710","32740"
"In post","2022","Declared disabled","Home Office","London","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Outside London","Heterosexual / straight","1460","1335","27890","25220"
"In post","2022","Declared disabled","Home Office","Outside London","LGBO","145","135","29390","25580"
"In post","2022","Declared disabled","Home Office","Outside London","Undeclared","210","195","28310","25440"
"In post","2022","Declared disabled","Home Office","Outside London","Unknown","35","35","30760","24880"
"In post","2022","Declared disabled","Home Office","Overseas","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","London","Heterosexual / straight","310","300","40650","37500"
"In post","2022","Declared disabled","Ministry of Defence","London","LGBO","35","35","43650","37640"
"In post","2022","Declared disabled","Ministry of Defence","London","Undeclared","45","45","44010","37640"
"In post","2022","Declared disabled","Ministry of Defence","London","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","Heterosexual / straight","3450","3310","32640","30680"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","LGBO","220","210","31180","28450"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","Undeclared","570","545","34480","33290"
"In post","2022","Declared disabled","Ministry of Defence","Outside London","Unknown","235","230","35800","33440"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Justice","London","Heterosexual / straight","1335","1280","35540","33550"
"In post","2022","Declared disabled","Ministry of Justice","London","LGBO","180","175","39270","34680"
"In post","2022","Declared disabled","Ministry of Justice","London","Undeclared","165","160","36650","33700"
"In post","2022","Declared disabled","Ministry of Justice","London","Unknown","55","50","32920","30220"
"In post","2022","Declared disabled","Ministry of Justice","Outside London","Heterosexual / straight","6825","6300","29130","26820"
"In post","2022","Declared disabled","Ministry of Justice","Outside London","LGBO","795","770","28510","26230"
"In post","2022","Declared disabled","Ministry of Justice","Outside London","Undeclared","770","705","29820","27380"
"In post","2022","Declared disabled","Ministry of Justice","Outside London","Unknown","215","190","28860","28550"
"In post","2022","Declared disabled","Ministry of Justice","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Justice","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Justice","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Justice","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","London","Heterosexual / straight","60","55","41310","40170"
"In post","2022","Declared disabled","National Crime Agency","London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","London","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Outside London","Heterosexual / straight","130","125","36740","36410"
"In post","2022","Declared disabled","National Crime Agency","Outside London","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Outside London","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Outside London","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Outside London","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","Heterosexual / straight","105","100","45950","46360"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Outside London","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","London","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","London","LGBO","10","10","[c]","[c]"
