"Status","Year","Disability","Ethnicity","Parent_department","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Chancellor's other departments","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Competition and Markets Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","HEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Business, Energy and Industrial Strategy","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Digital, Culture, Media and Sport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Education","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","EO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for International Trade","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Transport","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","AO","295","245","21950","21260"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","EO","650","590","28940","27570"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","HEO","60","60","34990","35120"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department for Work and Pensions","SEO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","EO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","HEO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Department of Health and Social Care","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Estyn","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","AO","115","100","22550","21400"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","EO","95","85","28550","26820"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","G7","35","30","56860","55210"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","HEO","105","100","35470","33370"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs","SEO","55","55","42400","40520"
"In post","2022","Declared disabled","Asian","HM Treasury","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Treasury","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Home Office","AA","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Home Office","AO","85","75","24100","25630"
"In post","2022","Declared disabled","Asian","Home Office","EO","145","130","28300","28990"
"In post","2022","Declared disabled","Asian","Home Office","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Home Office","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Home Office","HEO","65","60","34760","35070"
"In post","2022","Declared disabled","Asian","Home Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Home Office","SEO","40","40","42500","41970"
"In post","2022","Declared disabled","Asian","Home Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","AO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","HEO","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Justice","AA","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Justice","AO","160","140","23680","21450"
"In post","2022","Declared disabled","Asian","Ministry of Justice","EO","50","50","27210","27380"
"In post","2022","Declared disabled","Asian","Ministry of Justice","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Justice","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Justice","HEO","45","45","34800","34260"
"In post","2022","Declared disabled","Asian","Ministry of Justice","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Justice","SEO","45","45","44670","43610"
"In post","2022","Declared disabled","Asian","Ministry of Justice","Unknown","125","120","30100","28200"
"In post","2022","Declared disabled","Asian","National Crime Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Crime Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Welsh Government","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Welsh Government","EO","[c]","[c]","[c]","[c]"
