"Status","Year","Disability","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Competition and Markets Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Competition and Markets Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","AA","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","AA/AO","AO","130","115","21880","21130"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","EO","EO","200","190","26580","26290"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","G6","75","70","67500","66640"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","G6/G7","G7","235","230","54590","53600"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","SCS level","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","HEO","325","310","33670","33570"
"In post","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","SEO/HEO","SEO","255","250","41720","40220"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","G6/G7","G7","45","45","53900","52130"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Digital, Culture, Media and Sport","SEO/HEO","HEO","70","70","35170","34020"
"In post","2022","Declared disabled","Department for Education","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","EO","EO","100","95","26560","26000"
"In post","2022","Declared disabled","Department for Education","G6/G7","G6","75","70","64660","64180"
"In post","2022","Declared disabled","Department for Education","G6/G7","G7","165","160","52290","50630"
"In post","2022","Declared disabled","Department for Education","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for Education","SEO/HEO","HEO","185","175","31030","30200"
"In post","2022","Declared disabled","Department for Education","SEO/HEO","SEO","225","215","38720","37100"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","AA/AO","AO","270","240","21850","21300"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","EO","EO","285","270","26370","25460"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","G6","65","60","61820","61710"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","G6/G7","G7","205","200","51440","51530"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","SCS level","SCS level","30","30","80980","75630"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","HEO","320","310","31510","30720"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","SEO/HEO","SEO","245","235","38180","37240"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","EO","EO","30","30","27820","27580"
"In post","2022","Declared disabled","Department for International Trade","G6/G7","G6","35","35","64660","64170"
"In post","2022","Declared disabled","Department for International Trade","G6/G7","G7","70","65","53420","51970"
"In post","2022","Declared disabled","Department for International Trade","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","SEO/HEO","HEO","50","50","32860","31800"
"In post","2022","Declared disabled","Department for International Trade","SEO/HEO","SEO","40","40","39780","38160"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","AA/AO","AO","35","30","23160","22560"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","EO","EO","65","65","27880","27850"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","G6","40","35","65100","63470"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","G6/G7","G7","95","95","52340","53130"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","HEO","100","100","32760","33210"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","SEO/HEO","SEO","80","80","39470","39600"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","AA/AO","AA","180","135","18370","18310"
"In post","2022","Declared disabled","Department for Transport","AA/AO","AO","405","340","22410","21840"
"In post","2022","Declared disabled","Department for Transport","EO","EO","385","345","27780","26780"
"In post","2022","Declared disabled","Department for Transport","G6/G7","G6","35","35","69810","66160"
"In post","2022","Declared disabled","Department for Transport","G6/G7","G7","80","80","54890","54110"
"In post","2022","Declared disabled","Department for Transport","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","SEO/HEO","HEO","175","170","33150","32320"
"In post","2022","Declared disabled","Department for Transport","SEO/HEO","SEO","110","110","42490","42470"
"In post","2022","Declared disabled","Department for Work and Pensions","AA/AO","AA","70","55","20370","20480"
"In post","2022","Declared disabled","Department for Work and Pensions","AA/AO","AO","5240","4445","21400","21260"
"In post","2022","Declared disabled","Department for Work and Pensions","EO","EO","8600","7625","28070","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","G6/G7","G6","100","95","67520","66250"
"In post","2022","Declared disabled","Department for Work and Pensions","G6/G7","G7","330","315","53020","52270"
"In post","2022","Declared disabled","Department for Work and Pensions","SCS level","SCS level","30","30","[c]","[c]"
"In post","2022","Declared disabled","Department for Work and Pensions","SEO/HEO","HEO","1215","1120","33580","32470"
"In post","2022","Declared disabled","Department for Work and Pensions","SEO/HEO","SEO","540","505","40130","39060"
"In post","2022","Declared disabled","Department of Health and Social Care","AA/AO","AA","10","10","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","AA/AO","AO","55","50","21500","20400"
"In post","2022","Declared disabled","Department of Health and Social Care","EO","EO","85","80","26430","26900"
"In post","2022","Declared disabled","Department of Health and Social Care","G6/G7","G6","50","45","67020","66230"
"In post","2022","Declared disabled","Department of Health and Social Care","G6/G7","G7","115","110","53090","53360"
"In post","2022","Declared disabled","Department of Health and Social Care","SCS level","SCS level","30","25","[c]","[c]"
"In post","2022","Declared disabled","Department of Health and Social Care","SEO/HEO","HEO","145","135","31940","32330"
"In post","2022","Declared disabled","Department of Health and Social Care","SEO/HEO","SEO","120","115","40040","40070"
"In post","2022","Declared disabled","Estyn","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","EO","EO","30","30","27650","26750"
"In post","2022","Declared disabled","Food Standards Agency","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","SEO/HEO","HEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","SEO/HEO","SEO","30","30","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","AA/AO","AO","70","65","25980","25090"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","EO","EO","110","110","29680","30170"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","G6","80","80","67990","68200"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","G6/G7","G7","175","170","55370","55430"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","SCS level","SCS level","30","30","83320","77060"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","210","210","35860","35700"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","90","90","43010","43300"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","AA/AO","AO","190","175","22620","22600"
"In post","2022","Declared disabled","HM Land Registry","EO","EO","255","220","27370","27130"
"In post","2022","Declared disabled","HM Land Registry","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","G6/G7","G7","20","15","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Land Registry","SEO/HEO","HEO","125","110","34590","33840"
"In post","2022","Declared disabled","HM Land Registry","SEO/HEO","SEO","70","60","41990","40860"
"In post","2022","Declared disabled","HM Revenue and Customs","AA/AO","AA","100","80","21290","21250"
"In post","2022","Declared disabled","HM Revenue and Customs","AA/AO","AO","1880","1590","21910","21690"
"In post","2022","Declared disabled","HM Revenue and Customs","EO","EO","1420","1290","27650","26820"
"In post","2022","Declared disabled","HM Revenue and Customs","G6/G7","G6","175","165","70280","67910"
"In post","2022","Declared disabled","HM Revenue and Customs","G6/G7","G7","575","550","56570","55210"
"In post","2022","Declared disabled","HM Revenue and Customs","SCS level","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","HM Revenue and Customs","SEO/HEO","HEO","1470","1380","34220","33370"
"In post","2022","Declared disabled","HM Revenue and Customs","SEO/HEO","SEO","745","710","41350","40520"
"In post","2022","Declared disabled","HM Treasury","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","EO","EO","25","25","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","G6/G7","G6","35","30","65310","63640"
"In post","2022","Declared disabled","HM Treasury","G6/G7","G7","75","75","54210","52680"
"In post","2022","Declared disabled","HM Treasury","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","SEO/HEO","HEO","105","100","34720","33420"
"In post","2022","Declared disabled","HM Treasury","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Home Office","AA/AO","AA","110","95","19460","18240"
"In post","2022","Declared disabled","Home Office","AA/AO","AO","625","545","22610","21680"
"In post","2022","Declared disabled","Home Office","EO","EO","1145","1055","27040","26160"
"In post","2022","Declared disabled","Home Office","G6/G7","G6","80","80","69840","68720"
"In post","2022","Declared disabled","Home Office","G6/G7","G7","210","205","57110","57460"
"In post","2022","Declared disabled","Home Office","SCS level","SCS level","25","25","[c]","[c]"
"In post","2022","Declared disabled","Home Office","SEO/HEO","HEO","510","480","33430","32830"
"In post","2022","Declared disabled","Home Office","SEO/HEO","SEO","330","325","41220","41950"
"In post","2022","Declared disabled","Home Office","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Ministry of Defence","AA/AO","AA","375","350","19830","19810"
"In post","2022","Declared disabled","Ministry of Defence","AA/AO","AO","900","855","23820","21530"
"In post","2022","Declared disabled","Ministry of Defence","EO","EO","1020","975","27090","26670"
"In post","2022","Declared disabled","Ministry of Defence","G6/G7","G6","120","115","70580","68300"
"In post","2022","Declared disabled","Ministry of Defence","G6/G7","G7","365","355","53640","54540"
"In post","2022","Declared disabled","Ministry of Defence","SCS level","SCS level","35","35","92680","86910"
"In post","2022","Declared disabled","Ministry of Defence","SEO/HEO","HEO","1095","1065","33270","33300"
"In post","2022","Declared disabled","Ministry of Defence","SEO/HEO","SEO","815","785","41700","40680"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","Unknown","205","200","39290","37400"
"In post","2022","Declared disabled","Ministry of Justice","AA/AO","AA","865","785","21130","20890"
"In post","2022","Declared disabled","Ministry of Justice","AA/AO","AO","3105","2830","25010","23720"
"In post","2022","Declared disabled","Ministry of Justice","EO","EO","1240","1180","28580","27380"
"In post","2022","Declared disabled","Ministry of Justice","G6/G7","G6","75","75","72530","70950"
"In post","2022","Declared disabled","Ministry of Justice","G6/G7","G7","210","205","58660","58090"
"In post","2022","Declared disabled","Ministry of Justice","SCS level","SCS level","35","35","89240","83240"
"In post","2022","Declared disabled","Ministry of Justice","SEO/HEO","HEO","820","785","34280","34260"
"In post","2022","Declared disabled","Ministry of Justice","SEO/HEO","SEO","690","670","45130","43870"
"In post","2022","Declared disabled","Ministry of Justice","Unknown","Unknown","3305","3080","30770","28300"
"In post","2022","Declared disabled","National Crime Agency","AA/AO","AO","25","20","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","EO","EO","120","120","33970","34060"
"In post","2022","Declared disabled","National Crime Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","SEO/HEO","HEO","65","60","41430","40210"
"In post","2022","Declared disabled","National Crime Agency","SEO/HEO","SEO","30","30","49710","48900"
"In post","2022","Declared disabled","Northern Ireland Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","EO","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","35","35","69860","70500"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","SEO/HEO","SEO","50","50","47250","51360"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","EO","EO","30","30","25940","25750"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scottish Government","AA/AO","AA","185","175","22170","22140"
"In post","2022","Declared disabled","Scottish Government","AA/AO","AO","320","300","24930","25050"
"In post","2022","Declared disabled","Scottish Government","EO","EO","520","495","31160","30040"
"In post","2022","Declared disabled","Scottish Government","G6/G7","G6","75","70","73410","75340"
"In post","2022","Declared disabled","Scottish Government","G6/G7","G7","175","165","57630","57190"
"In post","2022","Declared disabled","Scottish Government","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Scottish Government","SEO/HEO","HEO","375","360","35320","35420"
"In post","2022","Declared disabled","Scottish Government","SEO/HEO","SEO","315","300","45270","46020"
"In post","2022","Declared disabled","The National Archives","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","EO","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Statistics Authority","AA/AO","AA","45","25","19700","19300"
"In post","2022","Declared disabled","UK Statistics Authority","AA/AO","AO","115","85","20400","20350"
"In post","2022","Declared disabled","UK Statistics Authority","EO","EO","75","70","25110","23880"
"In post","2022","Declared disabled","UK Statistics Authority","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","UK Statistics Authority","G6/G7","G7","70","65","51680","50210"
"In post","2022","Declared disabled","UK Statistics Authority","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Declared disabled","UK Statistics Authority","SEO/HEO","HEO","135","130","31400","30810"
"In post","2022","Declared disabled","UK Statistics Authority","SEO/HEO","SEO","130","125","38310","38340"
"In post","2022","Declared disabled","UK Supreme Court","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Supreme Court","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Supreme Court","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Supreme Court","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Supreme Court","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Supreme Court","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Supreme Court","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Welsh Government","AA/AO","AO","65","60","24230","24630"
"In post","2022","Declared disabled","Welsh Government","EO","EO","75","70","28730","29430"
"In post","2022","Declared disabled","Welsh Government","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Declared disabled","Welsh Government","G6/G7","G7","35","35","59770","61440"
