"Status","Year","Ethnicity","Organisation","Parent_department","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Charity Commission","Charity Commission","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Corporate Finance","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Legal","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Project Delivery","50","45","47810","35270"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Competition and Markets Authority","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","Ministry of Justice","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Commercial","10","10","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","Cabinet Office","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Legal","30","30","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Operational Delivery","30","25","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","Scottish Government","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Knowledge and Information Management","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Legal","350","320","52870","53050"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Operational Delivery","290","265","26160","24590"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Policy","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Project Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","Attorney General's Departments","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","Ministry of Defence","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Commercial","20","20","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Digital, Data and Technology","10","10","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Finance","25","25","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Other","90","85","26840","22160"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Policy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Project Delivery","75","75","36650","33800"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Science and Engineering","115","115","36230","33120"
"In post","2022","Asian","Defence Equipment and Support","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Corporate Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Economics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Legal","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Medicine","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Operational Research","5","5","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Project Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Psychology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Science and Engineering","40","40","42930","38510"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","Ministry of Defence","Veterinarian","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Economics","30","30","42330","37290"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Finance","30","30","43810","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Delivery","60","60","41710","39700"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Policy","440","435","44280","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Project Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Commercial","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Economics","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Human Resources","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Operational Delivery","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Other","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Planning","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Policy","75","75","44330","39400"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Project Delivery","20","20","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Property","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Science and Engineering","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Commercial","20","20","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Communications","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Digital, Data and Technology","90","90","38830","36500"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Finance","75","75","36710","33740"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Legal","5","5","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Operational Delivery","65","65","38880","36500"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Policy","225","220","42560","40230"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Property","55","55","47250","50400"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Security","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","Department for Education","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Commercial","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Communications","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Digital, Data and Technology","40","40","36470","35900"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Economics","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Finance","35","35","42190","37870"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Other","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Policy","195","190","39610","35140"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","Property","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Communications","5","5","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Digital, Data and Technology","20","20","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Economics","20","20","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Finance","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Human Resources","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","International Trade","120","120","46070","38540"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Operational Delivery","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Other","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Department for International Trade","Planning","[c]","[c]","[c]","[c]"
