"Status","Year","Ethnicity","Parent_department","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Department for Transport","SEO/HEO","HEO","120","120","33890","34710"
"In post","2022","Asian","Department for Transport","SEO/HEO","SEO","115","115","44670","42470"
"In post","2022","Asian","Department for Work and Pensions","AA/AO","AA","30","25","20310","20450"
"In post","2022","Asian","Department for Work and Pensions","AA/AO","AO","2390","2030","21970","21260"
"In post","2022","Asian","Department for Work and Pensions","EO","EO","4925","4550","28910","27570"
"In post","2022","Asian","Department for Work and Pensions","G6/G7","G6","30","30","68360","66250"
"In post","2022","Asian","Department for Work and Pensions","G6/G7","G7","145","140","55420","54070"
"In post","2022","Asian","Department for Work and Pensions","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","SEO/HEO","HEO","450","435","34880","36650"
"In post","2022","Asian","Department for Work and Pensions","SEO/HEO","SEO","230","230","42170","40000"
"In post","2022","Asian","Department of Health and Social Care","AA/AO","AA","30","20","21440","22350"
"In post","2022","Asian","Department of Health and Social Care","AA/AO","AO","110","95","22450","23080"
"In post","2022","Asian","Department of Health and Social Care","EO","EO","245","225","26830","27140"
"In post","2022","Asian","Department of Health and Social Care","G6/G7","G6","70","65","72370","66870"
"In post","2022","Asian","Department of Health and Social Care","G6/G7","G7","185","180","54110","53360"
"In post","2022","Asian","Department of Health and Social Care","SCS level","SCS level","80","75","103710","100490"
"In post","2022","Asian","Department of Health and Social Care","SEO/HEO","HEO","295","290","32570","32650"
"In post","2022","Asian","Department of Health and Social Care","SEO/HEO","SEO","265","255","40840","40650"
"In post","2022","Asian","Estyn","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","EO","EO","30","30","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","SEO/HEO","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","AA/AO","AO","45","40","27210","28250"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","EO","EO","95","95","30220","30500"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","G6/G7","G6","35","35","67610","65710"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","G6/G7","G7","95","90","56130","55510"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","HEO","150","145","36280","36360"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","SEO/HEO","SEO","40","40","43610","43300"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","HM Land Registry","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","AA/AO","AO","80","75","23100","22600"
"In post","2022","Asian","HM Land Registry","EO","EO","80","70","27770","27130"
"In post","2022","Asian","HM Land Registry","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Asian","HM Land Registry","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","SEO/HEO","HEO","35","35","35180","33840"
"In post","2022","Asian","HM Land Registry","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","AA/AO","AA","20","15","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","AA/AO","AO","1625","1445","21970","21250"
"In post","2022","Asian","HM Revenue and Customs","EO","EO","1465","1400","28020","26820"
"In post","2022","Asian","HM Revenue and Customs","G6/G7","G6","110","110","70770","70860"
"In post","2022","Asian","HM Revenue and Customs","G6/G7","G7","445","440","57690","58090"
"In post","2022","Asian","HM Revenue and Customs","SCS level","SCS level","25","25","[c]","[c]"
"In post","2022","Asian","HM Revenue and Customs","SEO/HEO","HEO","1555","1515","34780","33370"
"In post","2022","Asian","HM Revenue and Customs","SEO/HEO","SEO","600","590","41860","40520"
"In post","2022","Asian","HM Treasury","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Asian","HM Treasury","EO","EO","35","35","26820","26850"
"In post","2022","Asian","HM Treasury","G6/G7","G6","35","35","68720","66000"
"In post","2022","Asian","HM Treasury","G6/G7","G7","75","75","55330","53380"
"In post","2022","Asian","HM Treasury","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","HM Treasury","SEO/HEO","HEO","120","120","35420","33780"
"In post","2022","Asian","HM Treasury","SEO/HEO","SEO","30","25","[c]","[c]"
"In post","2022","Asian","Home Office","AA/AO","AA","135","115","21420","22460"
"In post","2022","Asian","Home Office","AA/AO","AO","955","840","23820","25630"
"In post","2022","Asian","Home Office","EO","EO","1820","1690","27960","28670"
"In post","2022","Asian","Home Office","G6/G7","G6","60","60","70660","68720"
"In post","2022","Asian","Home Office","G6/G7","G7","260","255","58810","57460"
"In post","2022","Asian","Home Office","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Home Office","SEO/HEO","HEO","770","740","34450","35070"
"In post","2022","Asian","Home Office","SEO/HEO","SEO","455","445","42400","41970"
"In post","2022","Asian","Home Office","Unknown","Unknown","35","35","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","AA/AO","AA","120","120","20580","19810"
"In post","2022","Asian","Ministry of Defence","AA/AO","AO","235","220","24670","23280"
"In post","2022","Asian","Ministry of Defence","EO","EO","280","270","26280","26670"
"In post","2022","Asian","Ministry of Defence","G6/G7","G6","45","45","74830","72040"
"In post","2022","Asian","Ministry of Defence","G6/G7","G7","105","100","57930","56960"
"In post","2022","Asian","Ministry of Defence","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Ministry of Defence","SEO/HEO","HEO","320","310","33610","33300"
"In post","2022","Asian","Ministry of Defence","SEO/HEO","SEO","280","275","43040","42540"
"In post","2022","Asian","Ministry of Defence","Unknown","Unknown","55","50","37860","34890"
"In post","2022","Asian","Ministry of Justice","AA/AO","AA","255","235","21560","21650"
"In post","2022","Asian","Ministry of Justice","AA/AO","AO","1690","1530","23760","21490"
"In post","2022","Asian","Ministry of Justice","EO","EO","595","575","27610","28310"
"In post","2022","Asian","Ministry of Justice","G6/G7","G6","30","30","[c]","[c]"
"In post","2022","Asian","Ministry of Justice","G6/G7","G7","175","170","57920","56520"
"In post","2022","Asian","Ministry of Justice","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Ministry of Justice","SEO/HEO","HEO","535","495","34540","34260"
"In post","2022","Asian","Ministry of Justice","SEO/HEO","SEO","415","395","43630","41750"
"In post","2022","Asian","Ministry of Justice","Unknown","Unknown","745","695","29360","27980"
"In post","2022","Asian","National Crime Agency","AA/AO","AO","30","30","23960","24470"
"In post","2022","Asian","National Crime Agency","EO","EO","125","120","33890","32770"
"In post","2022","Asian","National Crime Agency","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Asian","National Crime Agency","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","National Crime Agency","SEO/HEO","HEO","80","75","40420","40170"
"In post","2022","Asian","National Crime Agency","SEO/HEO","SEO","30","30","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Northern Ireland Office","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","EO","EO","10","10","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Office for Standards in Education, Children's Services and Skills","SEO/HEO","HEO","25","25","[c]","[c]"
