"Status","Year","Disability","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Cheshire East","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cheshire West and Chester","Heterosexual / straight","75","65","26790","27570"
"In post","2022","Declared disabled","Cheshire West and Chester","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Cheshire West and Chester","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Cheshire West and Chester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Chorley and West Lancashire","Heterosexual / straight","110","100","29790","27570"
"In post","2022","Declared disabled","Chorley and West Lancashire","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Chorley and West Lancashire","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Chorley and West Lancashire","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","City of Edinburgh","Heterosexual / straight","810","770","38050","33370"
"In post","2022","Declared disabled","City of Edinburgh","LGBO","190","185","35580","31540"
"In post","2022","Declared disabled","City of Edinburgh","Undeclared","85","80","38400","33060"
"In post","2022","Declared disabled","City of Edinburgh","Unknown","130","120","34880","30650"
"In post","2022","Declared disabled","Clackmannanshire and Fife","Heterosexual / straight","115","100","31240","27570"
"In post","2022","Declared disabled","Clackmannanshire and Fife","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Clackmannanshire and Fife","Undeclared","20","15","[c]","[c]"
"In post","2022","Declared disabled","Clackmannanshire and Fife","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Conwy and Denbighshire","Heterosexual / straight","65","60","30630","27570"
"In post","2022","Declared disabled","Conwy and Denbighshire","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Conwy and Denbighshire","Undeclared","10","5","[c]","[c]"
"In post","2022","Declared disabled","Conwy and Denbighshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","Heterosexual / straight","185","170","27440","27570"
"In post","2022","Declared disabled","Cornwall and Isles of Scilly","LGBO","25","20","[c]","[c]"
