"Status","Year","Ethnicity","Region_ITL2","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","SEO","5","5","[c]","[c]"
"In post","2022","Asian","East Yorkshire and Northern Lincolnshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","AA","20","20","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","AO","80","70","22320","21260"
"In post","2022","Asian","Eastern Scotland","EO","60","60","27750","27230"
"In post","2022","Asian","Eastern Scotland","G6","5","5","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","G7","20","20","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","HEO","45","45","33500","32150"
"In post","2022","Asian","Eastern Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Eastern Scotland","SEO","40","40","45150","41750"
"In post","2022","Asian","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Essex","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Essex","AO","45","40","24000","24250"
"In post","2022","Asian","Essex","EO","90","80","28410","29290"
"In post","2022","Asian","Essex","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Essex","G7","15","10","[c]","[c]"
"In post","2022","Asian","Essex","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Essex","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Essex","SEO","20","20","[c]","[c]"
"In post","2022","Asian","Essex","Unknown","10","10","[c]","[c]"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","AA","10","10","[c]","[c]"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","AO","95","85","21910","21260"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","EO","170","160","25540","26670"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","G6","20","20","[c]","[c]"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","G7","85","80","53200","52510"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","HEO","200","190","31700","32550"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","SEO","155","150","40710","40520"
"In post","2022","Asian","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","50","50","38450","35980"
"In post","2022","Asian","Greater Manchester","AA","25","20","[c]","[c]"
"In post","2022","Asian","Greater Manchester","AO","475","430","21280","21250"
"In post","2022","Asian","Greater Manchester","EO","600","575","26660","26820"
"In post","2022","Asian","Greater Manchester","G6","25","25","[c]","[c]"
"In post","2022","Asian","Greater Manchester","G7","120","120","53070","53000"
"In post","2022","Asian","Greater Manchester","HEO","380","370","32510","33080"
"In post","2022","Asian","Greater Manchester","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Greater Manchester","SEO","170","170","39310","40180"
"In post","2022","Asian","Greater Manchester","Unknown","40","40","30100","25140"
"In post","2022","Asian","Hampshire and Isle of Wight","AA","40","35","20500","19810"
"In post","2022","Asian","Hampshire and Isle of Wight","AO","90","75","22210","21260"
"In post","2022","Asian","Hampshire and Isle of Wight","EO","90","85","27070","26930"
"In post","2022","Asian","Hampshire and Isle of Wight","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Hampshire and Isle of Wight","G7","30","30","[c]","[c]"
"In post","2022","Asian","Hampshire and Isle of Wight","HEO","55","50","32260","31930"
"In post","2022","Asian","Hampshire and Isle of Wight","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Hampshire and Isle of Wight","SEO","35","35","41360","39250"
"In post","2022","Asian","Hampshire and Isle of Wight","Unknown","10","5","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","AA","5","5","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","AO","70","60","22150","21260"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","EO","75","70","27070","27570"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Herefordshire, Worcestershire and Warwickshire","Unknown","30","25","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Highlands and Islands","HEO","[c]","[c]","[c]","[c]"
