"Status","Year","Disability","Region_ITL1","Region_ITL3","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","South East (England)","Berkshire","335","315","33480","29290"
"In post","2022","Declared disabled","South East (England)","Brighton and Hove","110","100","29900","27570"
"In post","2022","Declared disabled","South East (England)","Buckinghamshire","190","180","31460","28670"
"In post","2022","Declared disabled","South East (England)","Central Hampshire","360","345","33770","33000"
"In post","2022","Declared disabled","South East (England)","East Kent","475","435","29000","27370"
"In post","2022","Declared disabled","South East (England)","East Surrey","100","95","32450","31020"
"In post","2022","Declared disabled","South East (England)","East Sussex CC","295","260","26080","26140"
"In post","2022","Declared disabled","South East (England)","Isle of Wight","130","120","27500","26330"
"In post","2022","Declared disabled","South East (England)","Kent Thames Gateway","195","180","29720","29290"
"In post","2022","Declared disabled","South East (England)","Medway","175","165","31520","29290"
"In post","2022","Declared disabled","South East (England)","Mid Kent","120","110","30900","29290"
"In post","2022","Declared disabled","South East (England)","Milton Keynes","235","220","30680","27570"
"In post","2022","Declared disabled","South East (England)","North Hampshire","115","105","30020","27570"
"In post","2022","Declared disabled","South East (England)","Oxfordshire CC","280","265","33230","30450"
"In post","2022","Declared disabled","South East (England)","Portsmouth","435","395","29350","27570"
"In post","2022","Declared disabled","South East (England)","South Hampshire","460","390","30890","27570"
"In post","2022","Declared disabled","South East (England)","Southampton","155","140","29450","27570"
"In post","2022","Declared disabled","South East (England)","West Kent","30","30","30880","29290"
"In post","2022","Declared disabled","South East (England)","West Surrey","260","245","33340","29560"
"In post","2022","Declared disabled","South East (England)","West Sussex (North East)","95","85","29740","27570"
"In post","2022","Declared disabled","South East (England)","West Sussex (South West)","175","155","30930","27570"
"In post","2022","Declared disabled","South West (England)","Bath and North East Somerset, North Somerset and South Gloucestershire","1395","1335","36470","33380"
"In post","2022","Declared disabled","South West (England)","Bournemouth, Christchurch and Poole","130","115","26220","27370"
"In post","2022","Declared disabled","South West (England)","Bristol, City of","760","700","33130","28920"
"In post","2022","Declared disabled","South West (England)","Cornwall and Isles of Scilly","250","225","26730","27570"
"In post","2022","Declared disabled","South West (England)","Devon CC","615","550","29470","27570"
"In post","2022","Declared disabled","South West (England)","Dorset","260","240","29790","27570"
"In post","2022","Declared disabled","South West (England)","Gloucestershire CC","185","165","29160","27570"
"In post","2022","Declared disabled","South West (England)","Plymouth","365","330","29370","27570"
"In post","2022","Declared disabled","South West (England)","Somerset CC","270","245","30720","27570"
"In post","2022","Declared disabled","South West (England)","Swindon","80","70","29430","27570"
"In post","2022","Declared disabled","South West (England)","Torbay","75","65","26720","27570"
"In post","2022","Declared disabled","South West (England)","Wiltshire","605","580","35750","33300"
"In post","2022","Declared disabled","Unknown","Unknown","150","140","32460","28000"
"In post","2022","Declared disabled","Wales","Bridgend and Neath Port Talbot","105","90","27300","27570"
"In post","2022","Declared disabled","Wales","Cardiff and Vale of Glamorgan","1100","1010","32960","27570"
"In post","2022","Declared disabled","Wales","Central Valleys","330","300","27930","27570"
"In post","2022","Declared disabled","Wales","Conwy and Denbighshire","80","75","30560","27570"
"In post","2022","Declared disabled","Wales","Flintshire and Wrexham","240","220","27780","26780"
"In post","2022","Declared disabled","Wales","Gwent Valleys","150","135","26910","27570"
"In post","2022","Declared disabled","Wales","Gwynedd","95","85","24330","21260"
"In post","2022","Declared disabled","Wales","Isle of Anglesey","25","25","[c]","[c]"
"In post","2022","Declared disabled","Wales","Monmouthshire and Newport","500","470","33080","30770"
"In post","2022","Declared disabled","Wales","Powys","50","50","30210","27570"
"In post","2022","Declared disabled","Wales","South West Wales","190","170","29720","27570"
"In post","2022","Declared disabled","Wales","Swansea","950","800","25370","21840"
"In post","2022","Declared disabled","West Midlands (England)","Birmingham","1465","1340","30570","27570"
"In post","2022","Declared disabled","West Midlands (England)","Coventry","275","255","33400","29730"
"In post","2022","Declared disabled","West Midlands (England)","Dudley","170","150","25460","25190"
"In post","2022","Declared disabled","West Midlands (England)","Herefordshire, County of","40","35","29100","27570"
"In post","2022","Declared disabled","West Midlands (England)","Sandwell","65","60","29140","27570"
"In post","2022","Declared disabled","West Midlands (England)","Shropshire","145","135","29670","27570"
"In post","2022","Declared disabled","West Midlands (England)","Solihull","110","105","29010","27570"
"In post","2022","Declared disabled","West Midlands (England)","Staffordshire CC","525","485","30780","27570"
"In post","2022","Declared disabled","West Midlands (England)","Stoke-on-Trent","240","215","26220","22960"
"In post","2022","Declared disabled","West Midlands (England)","Telford and Wrekin","265","235","31630","27570"
"In post","2022","Declared disabled","West Midlands (England)","Walsall","100","85","25290","27570"
"In post","2022","Declared disabled","West Midlands (England)","Warwickshire CC","185","165","27810","27380"
"In post","2022","Declared disabled","West Midlands (England)","Wolverhampton","190","170","27670","27570"
"In post","2022","Declared disabled","West Midlands (England)","Worcestershire CC","255","240","29600","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","Barnsley, Doncaster and Rotherham","455","400","27230","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","Bradford","335","285","25800","22510"
"In post","2022","Declared disabled","Yorkshire and The Humber","Calderdale and Kirklees","195","175","28680","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","East Riding of Yorkshire","175","170","28990","27380"
"In post","2022","Declared disabled","Yorkshire and The Humber","Kingston upon Hull, City of","270","230","27100","27130"
"In post","2022","Declared disabled","Yorkshire and The Humber","Leeds","1300","1210","33520","28920"
"In post","2022","Declared disabled","Yorkshire and The Humber","North and North East Lincolnshire","100","90","27210","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","North Yorkshire CC","180","165","30070","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","Sheffield","860","775","32390","28430"
"In post","2022","Declared disabled","Yorkshire and The Humber","Wakefield","180","165","31300","27570"
"In post","2022","Declared disabled","Yorkshire and The Humber","York","310","295","32660","29180"
"In post","2022","Declared non-disabled","East Midlands (England)","Derby","775","685","27440","25120"
"In post","2022","Declared non-disabled","East Midlands (England)","East Derbyshire","295","255","28400","27570"
"In post","2022","Declared non-disabled","East Midlands (England)","Leicester","1795","1635","28060","26850"
"In post","2022","Declared non-disabled","East Midlands (England)","Leicestershire CC and Rutland","1350","1255","30080","27370"
"In post","2022","Declared non-disabled","East Midlands (England)","Lincolnshire CC","2095","1975","28880","26930"
"In post","2022","Declared non-disabled","East Midlands (England)","North Northamptonshire","375","335","26220","26700"
"In post","2022","Declared non-disabled","East Midlands (England)","North Nottinghamshire","710","670","30870","27570"
"In post","2022","Declared non-disabled","East Midlands (England)","Nottingham","5495","5145","33400","29360"
"In post","2022","Declared non-disabled","East Midlands (England)","South and West Derbyshire","880","800","34810","28920"
"In post","2022","Declared non-disabled","East Midlands (England)","South Nottinghamshire","740","690","32550","28550"
"In post","2022","Declared non-disabled","East Midlands (England)","West Northamptonshire","770","715","28330","26170"
"In post","2022","Declared non-disabled","East of England","Bedford","575","540","31030","28140"
"In post","2022","Declared non-disabled","East of England","Breckland and South Norfolk","375","355","29630","27120"
"In post","2022","Declared non-disabled","East of England","Cambridgeshire CC","2255","2160","33470","31420"
"In post","2022","Declared non-disabled","East of England","Central Bedfordshire","310","300","30910","27800"
"In post","2022","Declared non-disabled","East of England","Essex Haven Gateway","680","640","31960","29290"
"In post","2022","Declared non-disabled","East of England","Essex Thames Gateway","705","635","28150","28200"
"In post","2022","Declared non-disabled","East of England","Heart of Essex","815","775","33320","29950"
"In post","2022","Declared non-disabled","East of England","Hertfordshire CC","1870","1760","35800","30810"
"In post","2022","Declared non-disabled","East of England","Luton","395","355","27780","27570"
"In post","2022","Declared non-disabled","East of England","North and West Norfolk","700","650","28490","27570"
"In post","2022","Declared non-disabled","East of England","Norwich and East Norfolk","1385","1260","29040","27570"
"In post","2022","Declared non-disabled","East of England","Peterborough","1170","1050","28800","26640"
"In post","2022","Declared non-disabled","East of England","Southend-on-Sea","640","580","34150","31880"
"In post","2022","Declared non-disabled","East of England","Suffolk CC","2890","2710","29810","27570"
"In post","2022","Declared non-disabled","East of England","Thurrock","250","235","27550","26780"
"In post","2022","Declared non-disabled","East of England","West Essex","505","450","31170","29290"
"In post","2022","Declared non-disabled","London","Barking & Dagenham and Havering","510","470","31650","31060"
"In post","2022","Declared non-disabled","London","Barnet","1170","1095","37310","32330"
"In post","2022","Declared non-disabled","London","Bexley and Greenwich","1155","1095","32670","31790"
"In post","2022","Declared non-disabled","London","Brent","445","410","32360","31060"
"In post","2022","Declared non-disabled","London","Bromley","405","365","31250","31060"
"In post","2022","Declared non-disabled","London","Camden and City of London","1355","1290","39240","31060"
