"Status","Year","Function_of_post","Parent_department","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Chancellor's other departments","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Chancellor's other departments","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G7","Heterosexual / straight","45","40","56850","55860"
"In post","2022","Analysis","Competition and Markets Authority","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","Heterosexual / straight","15","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Competition and Markets Authority","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","Heterosexual / straight","40","40","27870","27680"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G6","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G7","Heterosexual / straight","55","50","57360","57620"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","G7","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Heterosexual / straight","125","125","35110","33880"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Heterosexual / straight","40","40","43710","43990"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Business, Energy and Industrial Strategy","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G7","Heterosexual / straight","50","50","55920","55730"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","HEO","Heterosexual / straight","45","45","37700","38020"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Digital, Culture, Media and Sport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Education","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","G7","Heterosexual / straight","45","40","52370","50630"
"In post","2022","Analysis","Department for Education","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Education","HEO","Heterosexual / straight","35","30","33180","32870"
"In post","2022","Analysis","Department for Education","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","SEO","Heterosexual / straight","50","45","42810","42320"
"In post","2022","Analysis","Department for Education","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Education","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Education","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","AO","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","Heterosexual / straight","50","50","25330","25150"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","EO","Unknown","65","60","25250","25010"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G6","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G7","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","G7","Unknown","35","35","49170","48080"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","HEO","Heterosexual / straight","50","45","29830","29690"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","HEO","Unknown","90","85","29790","29750"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO","Heterosexual / straight","50","45","36990","36580"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Environment, Food and Rural Affairs","SEO","Unknown","60","60","37170","36580"
"In post","2022","Analysis","Department for International Trade","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G6","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G7","Heterosexual / straight","65","60","53280","51970"
"In post","2022","Analysis","Department for International Trade","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","G7","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","HEO","Heterosexual / straight","55","55","32380","31800"
"In post","2022","Analysis","Department for International Trade","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","HEO","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for International Trade","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G6","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G7","Heterosexual / straight","70","70","54500","53130"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","HEO","Heterosexual / straight","50","45","32460","33210"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Levelling Up, Housing and Communities","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","AO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Transport","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","EO","Unknown","15","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G6","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G7","Heterosexual / straight","80","80","54780","54650"
"In post","2022","Analysis","Department for Transport","G7","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G7","Undeclared","15","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","G7","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport","HEO","Heterosexual / straight","50","50","33820","34710"
"In post","2022","Analysis","Department for Transport","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","HEO","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SEO","Heterosexual / straight","55","50","42350","42470"
"In post","2022","Analysis","Department for Transport","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Transport","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","AO","Heterosexual / straight","35","35","22670","21260"
"In post","2022","Analysis","Department for Work and Pensions","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","AO","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","EO","Heterosexual / straight","30","30","28510","27660"
"In post","2022","Analysis","Department for Work and Pensions","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G6","Heterosexual / straight","45","40","69350","66370"
"In post","2022","Analysis","Department for Work and Pensions","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G7","Heterosexual / straight","125","115","56400","57230"
"In post","2022","Analysis","Department for Work and Pensions","G7","LGBO","10","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G7","Undeclared","10","5","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","G7","Unknown","25","25","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","HEO","Heterosexual / straight","165","165","34560","35000"
"In post","2022","Analysis","Department for Work and Pensions","HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","HEO","Unknown","20","15","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","SEO","Heterosexual / straight","95","85","38790","37380"
"In post","2022","Analysis","Department for Work and Pensions","SEO","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department for Work and Pensions","SEO","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","EO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","G6","Heterosexual / straight","50","50","66770","66230"
"In post","2022","Analysis","Department of Health and Social Care","G6","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","G6","Undeclared","25","20","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","G7","Heterosexual / straight","125","120","53590","53360"
"In post","2022","Analysis","Department of Health and Social Care","G7","LGBO","15","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","G7","Undeclared","50","50","54020","53360"
"In post","2022","Analysis","Department of Health and Social Care","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","HEO","Heterosexual / straight","35","35","31900","32790"
"In post","2022","Analysis","Department of Health and Social Care","HEO","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","HEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","SCS level","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","SEO","Heterosexual / straight","35","35","40080","40650"
"In post","2022","Analysis","Department of Health and Social Care","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Department of Health and Social Care","SEO","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Estyn","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","EO","LGBO","[c]","[c]","[c]","[c]"
