"Status","Year","Parent_department","Profession_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Attorney General's Departments","Other","SEO/HEO","HEO","95","95","32260","31180"
"In post","2022","Attorney General's Departments","Other","SEO/HEO","SEO","30","30","38590","38290"
"In post","2022","Attorney General's Departments","Policy","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","EO","EO","15","15","27630","27710"
"In post","2022","Attorney General's Departments","Policy","G6/G7","G6","20","20","68950","69310"
"In post","2022","Attorney General's Departments","Policy","G6/G7","G7","50","50","56050","54760"
"In post","2022","Attorney General's Departments","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Policy","SEO/HEO","SEO","15","15","39720","39090"
"In post","2022","Attorney General's Departments","Project Delivery","EO","EO","15","15","27810","27440"
"In post","2022","Attorney General's Departments","Project Delivery","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Attorney General's Departments","Project Delivery","G6/G7","G7","20","15","53800","52810"
"In post","2022","Attorney General's Departments","Project Delivery","SEO/HEO","HEO","35","35","31800","31560"
"In post","2022","Attorney General's Departments","Project Delivery","SEO/HEO","SEO","25","25","40370","39370"
"In post","2022","Attorney General's Departments","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Property","SEO/HEO","HEO","20","20","31960","32050"
"In post","2022","Attorney General's Departments","Property","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Departments","Security","SEO/HEO","HEO","20","20","31500","31540"
"In post","2022","Attorney General's Departments","Security","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","EO","EO","45","45","26100","25740"
"In post","2022","Cabinet Office","Commercial","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","G6/G7","G7","15","15","44560","41410"
"In post","2022","Cabinet Office","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Commercial","SEO/HEO","HEO","130","130","31060","30940"
"In post","2022","Cabinet Office","Commercial","SEO/HEO","SEO","150","145","39520","39360"
"In post","2022","Cabinet Office","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Communications","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Communications","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","EO","EO","20","20","26580","25950"
"In post","2022","Cabinet Office","Digital, Data and Technology","G6/G7","G6","20","20","68530","68370"
"In post","2022","Cabinet Office","Digital, Data and Technology","G6/G7","G7","50","50","53580","51800"
"In post","2022","Cabinet Office","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Digital, Data and Technology","SEO/HEO","HEO","20","20","31200","30940"
"In post","2022","Cabinet Office","Digital, Data and Technology","SEO/HEO","SEO","40","35","39390","38980"
"In post","2022","Cabinet Office","Finance","EO","EO","10","10","25940","25520"
"In post","2022","Cabinet Office","Finance","G6/G7","G6","10","10","69260","69220"
"In post","2022","Cabinet Office","Finance","G6/G7","G7","20","20","55390","54700"
"In post","2022","Cabinet Office","Finance","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Finance","SEO/HEO","HEO","15","15","33460","32960"
"In post","2022","Cabinet Office","Finance","SEO/HEO","SEO","30","30","40690","39800"
"In post","2022","Cabinet Office","Human Resources","EO","EO","10","10","25750","25740"
"In post","2022","Cabinet Office","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","G6/G7","G7","15","15","54010","53660"
"In post","2022","Cabinet Office","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Human Resources","SEO/HEO","HEO","15","10","31880","32000"
"In post","2022","Cabinet Office","Human Resources","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Internal Audit","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","AA/AO","AO","30","30","20880","20330"
"In post","2022","Cabinet Office","Operational Delivery","EO","EO","35","35","25210","25520"
"In post","2022","Cabinet Office","Operational Delivery","G6/G7","G6","20","20","65730","65420"
"In post","2022","Cabinet Office","Operational Delivery","G6/G7","G7","60","60","52590","51790"
"In post","2022","Cabinet Office","Operational Delivery","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Operational Delivery","SEO/HEO","HEO","20","20","31800","30420"
"In post","2022","Cabinet Office","Operational Delivery","SEO/HEO","SEO","40","40","37350","38330"
"In post","2022","Cabinet Office","Other","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","EO","EO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Other","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Other","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Other","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Other","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","G6/G7","G7","15","15","55130","54700"
"In post","2022","Cabinet Office","Policy","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Policy","SEO/HEO","SEO","10","10","41010","40600"
"In post","2022","Cabinet Office","Project Delivery","EO","EO","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","G6/G7","G6","15","15","68220","67320"
"In post","2022","Cabinet Office","Project Delivery","G6/G7","G7","20","20","50920","51600"
"In post","2022","Cabinet Office","Project Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Project Delivery","SEO/HEO","HEO","15","15","32430","32000"
"In post","2022","Cabinet Office","Project Delivery","SEO/HEO","SEO","10","10","36150","37300"
"In post","2022","Cabinet Office","Property","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Property","EO","EO","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Property","G6/G7","G6","25","25","64880","65310"
"In post","2022","Cabinet Office","Property","G6/G7","G7","55","55","54520","54700"
"In post","2022","Cabinet Office","Property","SCS level","SCS level","15","15","86610","81330"
"In post","2022","Cabinet Office","Property","SEO/HEO","HEO","20","20","34940","35590"
"In post","2022","Cabinet Office","Property","SEO/HEO","SEO","25","25","39100","37460"
"In post","2022","Cabinet Office","Security","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Statistics","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","AA/AO","AO","460","430","21830","21050"
"In post","2022","Cabinet Office","Unknown","EO","EO","910","880","26670","27500"
"In post","2022","Cabinet Office","Unknown","G6/G7","G6","1015","1005","69630","65960"
"In post","2022","Cabinet Office","Unknown","G6/G7","G7","2615","2565","56560","54700"
"In post","2022","Cabinet Office","Unknown","SCS level","SCS level","730","715","100500","93000"
"In post","2022","Cabinet Office","Unknown","SEO/HEO","HEO","3115","3080","31670","32000"
"In post","2022","Cabinet Office","Unknown","SEO/HEO","SEO","1030","1015","40190","40600"
"In post","2022","Chancellor's other departments","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Commercial","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Communications","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Communications","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Communications","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","Communications","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Counter Fraud","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Digital, Data and Technology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Digital, Data and Technology","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","Digital, Data and Technology","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Finance","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Finance","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","Finance","SEO/HEO","SEO","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Human Resources","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Human Resources","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","Knowledge and Information Management","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Knowledge and Information Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Knowledge and Information Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Operational Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Operational Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Operational Delivery","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","Operational Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Operational Research","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Operational Research","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Operational Research","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Operational Research","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Other","AA/AO","AO","10","10","23700","23120"
"In post","2022","Chancellor's other departments","Other","EO","EO","20","20","29660","28230"
"In post","2022","Chancellor's other departments","Other","G6/G7","G6","105","90","92140","84020"
"In post","2022","Chancellor's other departments","Other","G6/G7","G7","35","35","56920","57250"
"In post","2022","Chancellor's other departments","Other","SCS level","SCS level","15","15","123990","114440"
"In post","2022","Chancellor's other departments","Other","SEO/HEO","HEO","45","45","37370","36590"
"In post","2022","Chancellor's other departments","Other","SEO/HEO","SEO","35","35","44800","42980"
"In post","2022","Chancellor's other departments","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Project Delivery","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Project Delivery","G6/G7","G7","15","15","55180","54900"
"In post","2022","Chancellor's other departments","Project Delivery","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Project Delivery","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","Property","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Property","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Property","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Security","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Security","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Security","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Security","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Security","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Communications","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Charity Commission","Communications","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","EO","EO","10","10","25010","24440"
"In post","2022","Charity Commission","Digital, Data and Technology","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Digital, Data and Technology","SEO/HEO","HEO","20","20","29650","29160"
"In post","2022","Charity Commission","Digital, Data and Technology","SEO/HEO","SEO","15","15","36970","37910"
"In post","2022","Charity Commission","Finance","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Finance","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Charity Commission","Human Resources","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Charity Commission","Knowledge and Information Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","G6/G7","G7","20","15","53570","51070"
"In post","2022","Charity Commission","Legal","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Legal","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","AA/AO","AO","25","20","18600","17140"
"In post","2022","Charity Commission","Operational Delivery","EO","EO","85","80","25140","24440"
"In post","2022","Charity Commission","Operational Delivery","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","G6/G7","G7","20","20","49980","51070"
"In post","2022","Charity Commission","Operational Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Operational Delivery","SEO/HEO","HEO","105","100","29010","29160"
"In post","2022","Charity Commission","Operational Delivery","SEO/HEO","SEO","45","45","37520","37910"
"In post","2022","Charity Commission","Other","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Other","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Policy","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Charity Commission","Project Delivery","SEO/HEO","SEO","10","10","38330","37910"
"In post","2022","Charity Commission","Property","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Security","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Commercial","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Communications","AA/AO","AO","[c]","[c]","[c]","[c]"
