"Status","Year","Disability","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","No function","SEO/HEO","SEO","1910","1835","42320","40520"
"In post","2022","Declared disabled","No function","Unknown","Unknown","3290","3065","30760","28290"
"In post","2022","Declared disabled","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Project Delivery","AA/AO","AO","115","95","22240","21300"
"In post","2022","Declared disabled","Project Delivery","EO","EO","405","375","25310","26120"
"In post","2022","Declared disabled","Project Delivery","G6/G7","G6","165","160","68250","67910"
"In post","2022","Declared disabled","Project Delivery","G6/G7","G7","415","405","54040","54540"
"In post","2022","Declared disabled","Project Delivery","SCS level","SCS level","30","30","88260","79060"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","HEO","665","640","32610","33080"
"In post","2022","Declared disabled","Project Delivery","SEO/HEO","SEO","655","620","40470","40520"
"In post","2022","Declared disabled","Project Delivery","Unknown","Unknown","165","160","39430","36550"
"In post","2022","Declared disabled","Property","AA/AO","AA","35","35","18510","17480"
"In post","2022","Declared disabled","Property","AA/AO","AO","115","100","22830","22010"
"In post","2022","Declared disabled","Property","EO","EO","160","155","26630","26670"
"In post","2022","Declared disabled","Property","G6/G7","G6","40","40","65640","64780"
"In post","2022","Declared disabled","Property","G6/G7","G7","105","100","54840","54280"
"In post","2022","Declared disabled","Property","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Declared disabled","Property","SEO/HEO","HEO","185","175","33570","33300"
"In post","2022","Declared disabled","Property","SEO/HEO","SEO","125","120","41820","40590"
"In post","2022","Declared disabled","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Security","AA/AO","AA","135","125","20440","19810"
"In post","2022","Declared disabled","Security","AA/AO","AO","220","215","30320","27680"
"In post","2022","Declared disabled","Security","EO","EO","165","160","30590","27570"
"In post","2022","Declared disabled","Security","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Security","G6/G7","G7","35","35","55830","55030"
"In post","2022","Declared disabled","Security","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","Security","SEO/HEO","HEO","180","175","34870","33370"
"In post","2022","Declared disabled","Security","SEO/HEO","SEO","85","85","44430","43300"
"In post","2022","Declared disabled","Security","Unknown","Unknown","20","20","[c]","[c]"
"In post","2022","Declared disabled","Unknown","AA/AO","AA","480","440","20490","19810"
"In post","2022","Declared disabled","Unknown","AA/AO","AO","1380","1260","22610","21680"
"In post","2022","Declared disabled","Unknown","EO","EO","1895","1775","27610","27230"
"In post","2022","Declared disabled","Unknown","G6/G7","G6","220","210","72040","70480"
"In post","2022","Declared disabled","Unknown","G6/G7","G7","525","505","57020","57430"
"In post","2022","Declared disabled","Unknown","SCS level","SCS level","75","75","89360","83230"
"In post","2022","Declared disabled","Unknown","SEO/HEO","HEO","1210","1155","34320","33900"
"In post","2022","Declared disabled","Unknown","SEO/HEO","SEO","795","775","42610","41970"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","AA/AO","AA","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Analysis","AA/AO","AO","175","170","21890","21510"
"In post","2022","Declared non-disabled","Analysis","EO","EO","575","550","26910","26520"
"In post","2022","Declared non-disabled","Analysis","G6/G7","G6","480","450","72620","68100"
"In post","2022","Declared non-disabled","Analysis","G6/G7","G7","1520","1455","54850","54230"
"In post","2022","Declared non-disabled","Analysis","SCS level","SCS level","145","140","88530","79600"
"In post","2022","Declared non-disabled","Analysis","SEO/HEO","HEO","1605","1570","33370","33080"
"In post","2022","Declared non-disabled","Analysis","SEO/HEO","SEO","1175","1125","40630","40060"
"In post","2022","Declared non-disabled","Commercial","AA/AO","AA","15","10","[c]","[c]"
"In post","2022","Declared non-disabled","Commercial","AA/AO","AO","145","135","21980","21840"
"In post","2022","Declared non-disabled","Commercial","EO","EO","480","460","26590","26490"
"In post","2022","Declared non-disabled","Commercial","G6/G7","G6","295","290","68720","66800"
"In post","2022","Declared non-disabled","Commercial","G6/G7","G7","525","510","53250","53360"
"In post","2022","Declared non-disabled","Commercial","SCS level","SCS level","155","155","111550","100150"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","HEO","760","740","32920","33000"
"In post","2022","Declared non-disabled","Commercial","SEO/HEO","SEO","1000","975","40730","40580"
