"Status","Year","Organisation","Region_london","Responsibility_level_ungrouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G7","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","HEO","Heterosexual / straight","45","40","37560","38670"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO","Heterosexual / straight","35","35","46570","47510"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","AO","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","AO","Unknown","10","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","EO","Heterosexual / straight","180","165","24770","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","EO","LGBO","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","EO","Undeclared","20","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","EO","Unknown","75","70","24340","24250"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","HEO","Heterosexual / straight","270","250","32430","31140"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","HEO","Undeclared","45","45","32830","32050"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","HEO","Unknown","30","30","31320","30950"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","SEO","Heterosexual / straight","85","80","41350","40150"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","SEO","LGBO","5","5","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Advisory, Conciliation and Arbitration Service","Outside London","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","EO","Heterosexual / straight","40","40","30180","31460"
"In post","2022","Animal and Plant Health Agency","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","SEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","SEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","London","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","AA","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","AO","Heterosexual / straight","595","550","22030","21300"
"In post","2022","Animal and Plant Health Agency","Outside London","AO","LGBO","60","60","22250","21300"
"In post","2022","Animal and Plant Health Agency","Outside London","AO","Undeclared","75","70","21780","21300"
"In post","2022","Animal and Plant Health Agency","Outside London","AO","Unknown","110","100","22410","21300"
"In post","2022","Animal and Plant Health Agency","Outside London","EO","Heterosexual / straight","565","545","26100","25190"
"In post","2022","Animal and Plant Health Agency","Outside London","EO","LGBO","45","45","25910","25190"
"In post","2022","Animal and Plant Health Agency","Outside London","EO","Undeclared","70","65","26030","25520"
"In post","2022","Animal and Plant Health Agency","Outside London","EO","Unknown","80","70","26300","26520"
"In post","2022","Animal and Plant Health Agency","Outside London","G6","Heterosexual / straight","40","40","62140","61770"
"In post","2022","Animal and Plant Health Agency","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","G6","Undeclared","15","15","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","G7","Heterosexual / straight","120","115","51250","50560"
"In post","2022","Animal and Plant Health Agency","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","G7","Undeclared","30","30","52590","53870"
"In post","2022","Animal and Plant Health Agency","Outside London","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","HEO","Heterosexual / straight","335","320","30870","30400"
"In post","2022","Animal and Plant Health Agency","Outside London","HEO","LGBO","30","30","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","HEO","Undeclared","60","60","31290","31460"
"In post","2022","Animal and Plant Health Agency","Outside London","HEO","Unknown","25","25","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","SEO","Heterosexual / straight","345","330","39130","37690"
"In post","2022","Animal and Plant Health Agency","Outside London","SEO","LGBO","15","10","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Outside London","SEO","Undeclared","75","70","39940","37930"
"In post","2022","Animal and Plant Health Agency","Outside London","SEO","Unknown","60","55","40400","37910"
"In post","2022","Animal and Plant Health Agency","Unknown","AO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Animal and Plant Health Agency","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Attorney General's Office","London","G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","G7","Unknown","10","10","[c]","[c]"
"In post","2022","Attorney General's Office","London","HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","SEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Attorney General's Office","London","SEO","Unknown","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","AO","Heterosexual / straight","70","65","24250","24490"
"In post","2022","Cabinet Office (excl. agencies)","London","AO","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","AO","Undeclared","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","AO","Unknown","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","EO","Heterosexual / straight","335","330","27720","27500"
"In post","2022","Cabinet Office (excl. agencies)","London","EO","LGBO","35","35","27640","27500"
"In post","2022","Cabinet Office (excl. agencies)","London","EO","Undeclared","45","45","27490","27500"
"In post","2022","Cabinet Office (excl. agencies)","London","EO","Unknown","110","110","27730","27500"
"In post","2022","Cabinet Office (excl. agencies)","London","G6","Heterosexual / straight","420","410","66950","65310"
"In post","2022","Cabinet Office (excl. agencies)","London","G6","LGBO","45","45","66220","64700"
"In post","2022","Cabinet Office (excl. agencies)","London","G6","Undeclared","45","45","66160","64500"
"In post","2022","Cabinet Office (excl. agencies)","London","G6","Unknown","250","245","73100","67650"
"In post","2022","Cabinet Office (excl. agencies)","London","G7","Heterosexual / straight","975","950","55720","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","G7","LGBO","125","125","55370","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","G7","Undeclared","135","130","55840","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","G7","Unknown","630","620","58740","54700"
"In post","2022","Cabinet Office (excl. agencies)","London","HEO","Heterosexual / straight","495","485","34830","34550"
"In post","2022","Cabinet Office (excl. agencies)","London","HEO","LGBO","75","75","34770","34550"
"In post","2022","Cabinet Office (excl. agencies)","London","HEO","Undeclared","55","55","34630","34550"
"In post","2022","Cabinet Office (excl. agencies)","London","HEO","Unknown","1275","1275","30430","29250"
"In post","2022","Cabinet Office (excl. agencies)","London","SCS level","Heterosexual / straight","340","335","97170","87730"
"In post","2022","Cabinet Office (excl. agencies)","London","SCS level","LGBO","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","London","SCS level","Undeclared","40","35","93390","84370"
"In post","2022","Cabinet Office (excl. agencies)","London","SCS level","Unknown","185","185","107680","1e+05"
"In post","2022","Cabinet Office (excl. agencies)","London","SEO","Heterosexual / straight","425","420","41040","40600"
"In post","2022","Cabinet Office (excl. agencies)","London","SEO","LGBO","50","50","40700","40600"
"In post","2022","Cabinet Office (excl. agencies)","London","SEO","Undeclared","65","65","40870","40600"
"In post","2022","Cabinet Office (excl. agencies)","London","SEO","Unknown","140","140","41140","40600"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AO","Heterosexual / straight","230","205","21130","21050"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AO","LGBO","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AO","Undeclared","20","20","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","AO","Unknown","80","80","21220","21110"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","EO","Heterosexual / straight","240","225","25180","24570"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","EO","LGBO","30","30","24620","24100"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","EO","Undeclared","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","EO","Unknown","70","65","25460","26350"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G6","Heterosexual / straight","95","90","65250","64500"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G6","Undeclared","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G6","Unknown","150","150","76390","74990"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G7","Heterosexual / straight","230","225","51450","49700"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G7","LGBO","25","25","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G7","Undeclared","20","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","G7","Unknown","415","410","59550","61710"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","HEO","Heterosexual / straight","400","390","32910","32960"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","HEO","LGBO","35","35","32590","32000"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","HEO","Undeclared","40","40","33170","33300"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","HEO","Unknown","435","430","30260","29250"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SCS level","Heterosexual / straight","60","60","97120","87780"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SCS level","Unknown","65","65","110940","104500"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SEO","Heterosexual / straight","215","210","38370","37300"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SEO","LGBO","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Outside London","SEO","Unknown","75","75","38810","38630"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","EO","Unknown","15","15","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G6","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G7","Heterosexual / straight","35","35","52650","54000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G7","LGBO","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","G7","Unknown","25","25","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","HEO","Heterosexual / straight","50","45","32390","32000"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","HEO","Undeclared","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","HEO","Unknown","240","235","29980","29250"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SCS level","Unknown","10","10","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SEO","Heterosexual / straight","35","30","39120","40250"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office (excl. agencies)","Unknown","SEO","Unknown","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AA","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","AO","Unknown","25","25","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Heterosexual / straight","60","55","25290","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","EO","Unknown","80","75","25250","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G6","Unknown","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","Heterosexual / straight","35","35","48650","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","Undeclared","5","5","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","G7","Unknown","50","45","49250","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","Heterosexual / straight","60","60","29780","29510"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","Undeclared","15","15","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","HEO","Unknown","100","100","29810","29750"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","Heterosexual / straight","55","55","37230","36580"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","Outside London","SEO","Unknown","80","75","37090","36580"
"In post","2022","Charity Commission","London","AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","G6","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","G6","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","G6","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","G6","Unknown","5","5","[c]","[c]"
"In post","2022","Charity Commission","London","G7","Heterosexual / straight","15","15","[c]","[c]"
