"Status","Year","Ethnicity","Function_of_post","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Defence (excl. agencies)","Ministry of Defence","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Ministry of Justice (excl. agencies)","Ministry of Justice","55","50","45120","42010"
"In post","2022","Asian","Analysis","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office for Budget Responsibility","HM Treasury","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","25","25","[c]","[c]"
"In post","2022","Asian","Analysis","Office of Rail and Road","Office of Rail and Road","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Public Guardian","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Export Finance","UK Export Finance","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","UK Statistics Authority","UK Statistics Authority","80","75","36220","33710"
"In post","2022","Asian","Analysis","Valuation Office Agency","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2022","Asian","Analysis","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Analysis","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cabinet Office (excl. agencies)","Cabinet Office","30","30","57920","54700"
"In post","2022","Asian","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Crown Commercial Service","Cabinet Office","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Defence Equipment and Support","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Education (excl. agencies)","Department for Education","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Department for International Trade","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Transport (excl. agencies)","Department for Transport","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Defence (excl. agencies)","Ministry of Defence","30","30","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Justice (excl. agencies)","Ministry of Justice","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Export Finance","UK Export Finance","35","35","51390","44080"
"In post","2022","Asian","Commercial","UK Health Security Agency","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cabinet Office (excl. agencies)","Cabinet Office","25","20","[c]","[c]"
"In post","2022","Asian","Communications","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Crown Prosecution Service","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Defence Equipment and Support","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Education (excl. agencies)","Department for Education","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Department for International Trade","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Transport (excl. agencies)","Department for Transport","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Government Legal Department","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Courts and Tribunals Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Land Registry","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Prison and Probation Service","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","545","530","29250","26820"
"In post","2022","Asian","Communications","HM Treasury (excl. agencies)","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Defence (excl. agencies)","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Justice (excl. agencies)","Ministry of Justice","10","10","[c]","[c]"
"In post","2022","Asian","Communications","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","The Insolvency Service","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","UK Export Finance","UK Export Finance","10","10","[c]","[c]"
"In post","2022","Asian","Communications","UK Health Security Agency","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2022","Asian","Communications","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","UK Statistics Authority","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Valuation Office Agency","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Cabinet Office (excl. agencies)","Cabinet Office","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","645","575","27160","27570"
"In post","2022","Asian","Counter Fraud","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","670","640","34130","33080"
"In post","2022","Asian","Counter Fraud","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Ministry of Justice (excl. agencies)","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Serious Fraud Office","Attorney General's Departments","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","The Insolvency Service","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","310","260","22760","21260"
"In post","2022","Asian","Debt","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","450","400","23810","21250"
"In post","2022","Asian","Debt","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Cabinet Office (excl. agencies)","Cabinet Office","130","125","47850","54700"
"In post","2022","Asian","Digital, Data & Technology","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Companies House","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Competition and Markets Authority","Competition and Markets Authority","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Crown Commercial Service","Cabinet Office","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Crown Prosecution Service","Attorney General's Departments","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Defence Equipment and Support","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Education (excl. agencies)","Department for Education","110","110","39690","36500"
"In post","2022","Asian","Digital, Data & Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","40","40","36440","35900"
"In post","2022","Asian","Digital, Data & Technology","Department for International Trade","Department for International Trade","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Transport (excl. agencies)","Department for Transport","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","225","225","42650","38950"
"In post","2022","Asian","Digital, Data & Technology","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Driver and Vehicle Licensing Agency","Department for Transport","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Driver and Vehicle Standards Agency","Department for Transport","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","FCDO Services","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
