"Status","Year","Function_of_post","Organisation","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Heterosexual / straight","470","445","43360","37380"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","LGBO","40","35","41840","36300"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Undeclared","40","40","40200","37020"
"In post","2022","Analysis","Department for Work and Pensions (excl. agencies)","Unknown","80","80","42500","40140"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","250","240","51850","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","LGBO","30","30","48880","53360"
"In post","2022","Analysis","Department of Health and Social Care (excl. agencies)","Undeclared","130","125","50030","53360"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Heterosexual / straight","45","40","30250","30730"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Driver and Vehicle Standards Agency","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Education and Skills Funding Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Heterosexual / straight","35","35","40880","40350"
"In post","2022","Analysis","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","40","40","60640","61930"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","10","5","[c]","[c]"
"In post","2022","Analysis","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Heterosexual / straight","140","130","72970","69010"
"In post","2022","Analysis","Government Actuary's Department","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Government Actuary's Department","Unknown","20","15","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Internal Audit Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Government Legal Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Heterosexual / straight","35","35","42360","39390"
"In post","2022","Analysis","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Heterosexual / straight","40","35","44010","39770"
"In post","2022","Analysis","HM Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","HM Courts and Tribunals Service","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Land Registry","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Prison and Probation Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","520","500","47110","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","LGBO","65","65","44710","37930"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Undeclared","55","55","46100","40520"
"In post","2022","Analysis","HM Revenue and Customs (excl. agencies)","Unknown","95","95","40780","37930"
"In post","2022","Analysis","HM Treasury (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Heterosexual / straight","30","30","40180","31860"
"In post","2022","Analysis","Intellectual Property Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intellectual Property Office","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Heterosexual / straight","30","30","49960","53100"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Medicines and Healthcare Products Regulatory Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Heterosexual / straight","235","225","39210","36300"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","LGBO","20","20","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Undeclared","30","30","[c]","[c]"
"In post","2022","Analysis","Ministry of Defence (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Heterosexual / straight","325","310","48210","43550"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","LGBO","30","30","42210","41750"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Undeclared","45","40","49420","45900"
"In post","2022","Analysis","Ministry of Justice (excl. agencies)","Unknown","95","95","43060","37280"
"In post","2022","Analysis","National Savings and Investments","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","National Savings and Investments","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Budget Responsibility","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","100","100","41420","39460"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","LGBO","15","10","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Office for Standards in Education, Children's Services and Skills","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Heterosexual / straight","110","110","43200","36500"
"In post","2022","Analysis","Office of Gas and Electricity Markets","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Undeclared","15","15","[c]","[c]"
"In post","2022","Analysis","Office of Gas and Electricity Markets","Unknown","45","45","47310","37930"
"In post","2022","Analysis","Office of Rail and Road","Heterosexual / straight","30","30","50210","51310"
"In post","2022","Analysis","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of Rail and Road","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Office of the Public Guardian","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Public Guardian","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Public Guardian","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Planning Inspectorate","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Registers of Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Rural Payments Agency","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Scottish Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","The Insolvency Service","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Debt Management Office","Unknown","20","20","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","UK Space Agency","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","UK Statistics Authority","Heterosexual / straight","1325","1265","38530","36840"
"In post","2022","Analysis","UK Statistics Authority","LGBO","135","135","35900","33000"
"In post","2022","Analysis","UK Statistics Authority","Undeclared","95","95","35030","31700"
"In post","2022","Analysis","UK Statistics Authority","Unknown","420","400","38320","36840"
"In post","2022","Analysis","Valuation Office Agency","Heterosexual / straight","35","35","47750","52000"
"In post","2022","Analysis","Valuation Office Agency","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Valuation Office Agency","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Water Services Regulation Authority","Unknown","15","15","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Welsh Revenue Authority","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Advisory, Conciliation and Arbitration Service","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","Heterosexual / straight","55","50","32840","30460"
"In post","2022","Commercial","Animal and Plant Health Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Animal and Plant Health Agency","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Heterosexual / straight","315","305","69680","61240"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","LGBO","20","20","[c]","[c]"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Undeclared","35","35","59830","56390"
"In post","2022","Commercial","Cabinet Office (excl. agencies)","Unknown","1295","1280","69810","64500"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Centre for Environment, Fisheries and Aquaculture Science","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Charity Commission","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Companies House","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Companies House","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Commercial","Competition and Markets Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Heterosexual / straight","255","250","35750","33810"
"In post","2022","Commercial","Crown Commercial Service","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Undeclared","20","20","[c]","[c]"
"In post","2022","Commercial","Crown Commercial Service","Unknown","70","65","35520","33180"
"In post","2022","Commercial","Crown Prosecution Service","Heterosexual / straight","35","35","38040","38180"
"In post","2022","Commercial","Crown Prosecution Service","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Crown Prosecution Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Defence Electronics and Components Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Equipment and Support","Heterosexual / straight","335","325","43500","40000"
"In post","2022","Commercial","Defence Equipment and Support","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","Defence Equipment and Support","Undeclared","50","45","44280","42000"
"In post","2022","Commercial","Defence Equipment and Support","Unknown","45","40","37910","33550"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Defence Science and Technology Laboratory","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Defence Science and Technology Laboratory","Unknown","55","55","32000","29230"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Business, Energy and Industrial Strategy (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Digital, Culture, Media and Sport","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Heterosexual / straight","200","195","38100","36500"
"In post","2022","Commercial","Department for Education (excl. agencies)","LGBO","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Education (excl. agencies)","Unknown","25","25","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Heterosexual / straight","100","95","36360","35900"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","20","15","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for International Trade","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Levelling Up, Housing and Communities (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Heterosexual / straight","115","110","48810","42890"
"In post","2022","Commercial","Department for Transport (excl. agencies)","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Department for Transport (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Heterosexual / straight","165","160","51540","53360"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","LGBO","25","25","[c]","[c]"
"In post","2022","Commercial","Department of Health and Social Care (excl. agencies)","Undeclared","100","100","46050","40650"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Heterosexual / straight","120","110","33540","30730"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","LGBO","5","5","[c]","[c]"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Undeclared","40","35","29710","26780"
"In post","2022","Commercial","Driver and Vehicle Licensing Agency","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Heterosexual / straight","30","30","37340","38650"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Undeclared","15","15","[c]","[c]"
"In post","2022","Commercial","Driver and Vehicle Standards Agency","Unknown","10","10","[c]","[c]"
"In post","2022","Commercial","Estyn","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","FCDO Services","Heterosexual / straight","70","70","47250","43350"
"In post","2022","Commercial","FCDO Services","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","FCDO Services","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Heterosexual / straight","35","35","39740","39630"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","20","20","[c]","[c]"
"In post","2022","Commercial","Government Actuary's Department","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Actuary's Department","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Actuary's Department","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Government Internal Audit Agency","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Heterosexual / straight","40","35","40880","39330"
"In post","2022","Commercial","Health and Safety Executive","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Undeclared","5","5","[c]","[c]"
"In post","2022","Commercial","Health and Safety Executive","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Land Registry","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Heterosexual / straight","90","85","37490","33370"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Undeclared","10","10","[c]","[c]"
"In post","2022","Commercial","HM Revenue and Customs (excl. agencies)","Unknown","45","40","37910","36810"
"In post","2022","Commercial","HM Treasury (excl. agencies)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","HM Treasury (excl. agencies)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Institute for Apprenticeships and Technical Education","Unknown","[c]","[c]","[c]","[c]"
