"Status","Year","Parent_department","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Female","Heterosexual / straight","4795","4305","32060","26780"
"In post","2022","Department for Transport","Female","LGBO","295","280","32150","26700"
"In post","2022","Department for Transport","Female","Undeclared","1295","1040","26720","21840"
"In post","2022","Department for Transport","Female","Unknown","1105","1015","29670","26130"
"In post","2022","Department for Transport","Male","Heterosexual / straight","5635","5475","36300","30730"
"In post","2022","Department for Transport","Male","LGBO","365","360","38340","32760"
"In post","2022","Department for Transport","Male","Undeclared","1420","1345","33680","27930"
"In post","2022","Department for Transport","Male","Unknown","1480","1430","32140","26830"
"In post","2022","Department for Transport","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Female","Heterosexual / straight","41815","36545","28040","27570"
"In post","2022","Department for Work and Pensions","Female","LGBO","1900","1785","28080","27570"
"In post","2022","Department for Work and Pensions","Female","Undeclared","4840","4150","27400","27570"
"In post","2022","Department for Work and Pensions","Female","Unknown","11850","9740","26820","27570"
"In post","2022","Department for Work and Pensions","Male","Heterosexual / straight","22325","21525","30120","27570"
"In post","2022","Department for Work and Pensions","Male","LGBO","2125","2065","28820","27570"
"In post","2022","Department for Work and Pensions","Male","Undeclared","2975","2825","29940","27570"
"In post","2022","Department for Work and Pensions","Male","Unknown","6325","6020","29230","27570"
"In post","2022","Department for Work and Pensions","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department for Work and Pensions","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Female","Heterosexual / straight","4600","4275","42580","38200"
"In post","2022","Department of Health and Social Care","Female","LGBO","330","315","40310","36330"
"In post","2022","Department of Health and Social Care","Female","Undeclared","1455","1370","44590","40650"
"In post","2022","Department of Health and Social Care","Female","Unknown","1270","1195","47280","40650"
"In post","2022","Department of Health and Social Care","Male","Heterosexual / straight","2225","2150","46680","40650"
"In post","2022","Department of Health and Social Care","Male","LGBO","275","270","45440","40650"
"In post","2022","Department of Health and Social Care","Male","Undeclared","815","790","48270","43740"
"In post","2022","Department of Health and Social Care","Male","Unknown","835","825","52440","49530"
"In post","2022","Department of Health and Social Care","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Department of Health and Social Care","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Heterosexual / straight","55","50","55510","64520"
"In post","2022","Estyn","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Female","Unknown","5","5","[c]","[c]"
"In post","2022","Estyn","Male","Heterosexual / straight","40","40","65410","75480"
"In post","2022","Estyn","Male","LGBO","5","5","[c]","[c]"
"In post","2022","Estyn","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Male","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Female","Heterosexual / straight","490","480","39290","37350"
"In post","2022","Food Standards Agency","Female","LGBO","35","35","38950","37350"
"In post","2022","Food Standards Agency","Female","Undeclared","50","50","39030","37350"
"In post","2022","Food Standards Agency","Female","Unknown","65","60","37850","32830"
"In post","2022","Food Standards Agency","Male","Heterosexual / straight","535","525","37630","32830"
"In post","2022","Food Standards Agency","Male","LGBO","30","30","42370","37910"
"In post","2022","Food Standards Agency","Male","Undeclared","75","75","38760","37350"
"In post","2022","Food Standards Agency","Male","Unknown","170","160","30430","26750"
"In post","2022","Food Standards Agency","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Heterosexual / straight","2885","2780","46940","42190"
"In post","2022","Foreign, Commonwealth and Development Office","Female","LGBO","150","145","42870","38500"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Undeclared","270","260","47400","43320"
"In post","2022","Foreign, Commonwealth and Development Office","Female","Unknown","725","705","46660","45800"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Heterosexual / straight","2875","2840","48690","44640"
"In post","2022","Foreign, Commonwealth and Development Office","Male","LGBO","260","255","50740","52430"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Undeclared","365","360","50130","44770"
"In post","2022","Foreign, Commonwealth and Development Office","Male","Unknown","720","710","48800","50260"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Foreign, Commonwealth and Development Office","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Female","Heterosexual / straight","2470","2190","31350","27130"
"In post","2022","HM Land Registry","Female","LGBO","85","80","28190","26300"
"In post","2022","HM Land Registry","Female","Undeclared","385","325","31940","27130"
"In post","2022","HM Land Registry","Female","Unknown","1075","960","28220","27130"
"In post","2022","HM Land Registry","Male","Heterosexual / straight","1495","1415","33690","31740"
"In post","2022","HM Land Registry","Male","LGBO","90","90","32090","27130"
"In post","2022","HM Land Registry","Male","Undeclared","265","245","34730","33840"
"In post","2022","HM Land Registry","Male","Unknown","770","735","29580","27130"
"In post","2022","HM Land Registry","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Land Registry","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Female","Heterosexual / straight","22495","20280","33710","31020"
"In post","2022","HM Revenue and Customs","Female","LGBO","1205","1150","33320","33080"
"In post","2022","HM Revenue and Customs","Female","Undeclared","2430","2130","33440","30750"
"In post","2022","HM Revenue and Customs","Female","Unknown","11215","9915","29130","26590"
"In post","2022","HM Revenue and Customs","Male","Heterosexual / straight","19305","18680","35960","33370"
"In post","2022","HM Revenue and Customs","Male","LGBO","1610","1575","34300","31040"
"In post","2022","HM Revenue and Customs","Male","Undeclared","2525","2400","36980","33370"
"In post","2022","HM Revenue and Customs","Male","Unknown","10575","10205","31610","26820"
"In post","2022","HM Revenue and Customs","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","HM Revenue and Customs","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Treasury","Female","Heterosexual / straight","1060","1015","46530","42950"
"In post","2022","HM Treasury","Female","LGBO","95","95","44900","37900"
"In post","2022","HM Treasury","Female","Undeclared","135","130","44240","40850"
"In post","2022","HM Treasury","Female","Unknown","65","60","47080","41890"
"In post","2022","HM Treasury","Male","Heterosexual / straight","1030","1015","50080","52500"
"In post","2022","HM Treasury","Male","LGBO","115","110","47330","47400"
"In post","2022","HM Treasury","Male","Undeclared","155","155","47170","49500"
"In post","2022","HM Treasury","Male","Unknown","115","110","59730","55690"
