"Status","Year","Disability","Region_ITL1","Region_ITL2","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","South East (England)","Kent","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","South East (England)","Kent","SEO/HEO","160","155","38070","37450"
"In post","2022","Declared disabled","South East (England)","Kent","Unknown","95","90","30120","28760"
"In post","2022","Declared disabled","South East (England)","Surrey, East and West Sussex","AA/AO","345","305","23550","21260"
"In post","2022","Declared disabled","South East (England)","Surrey, East and West Sussex","EO","375","335","28190","27570"
"In post","2022","Declared disabled","South East (England)","Surrey, East and West Sussex","G6/G7","55","50","56750","55210"
"In post","2022","Declared disabled","South East (England)","Surrey, East and West Sussex","SCS level","5","5","[c]","[c]"
"In post","2022","Declared disabled","South East (England)","Surrey, East and West Sussex","SEO/HEO","175","165","37220","35820"
"In post","2022","Declared disabled","South East (England)","Surrey, East and West Sussex","Unknown","85","80","29980","28090"
"In post","2022","Declared disabled","South West (England)","Cornwall and Isles of Scilly","AA/AO","105","90","21090","21260"
"In post","2022","Declared disabled","South West (England)","Cornwall and Isles of Scilly","EO","80","75","27420","27570"
"In post","2022","Declared disabled","South West (England)","Cornwall and Isles of Scilly","G6/G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","South West (England)","Cornwall and Isles of Scilly","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","South West (England)","Cornwall and Isles of Scilly","SEO/HEO","30","30","35140","33410"
"In post","2022","Declared disabled","South West (England)","Cornwall and Isles of Scilly","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","South West (England)","Devon","AA/AO","395","345","22150","21260"
"In post","2022","Declared disabled","South West (England)","Devon","EO","305","270","27590","27570"
"In post","2022","Declared disabled","South West (England)","Devon","G6/G7","50","45","55200","51040"
"In post","2022","Declared disabled","South West (England)","Devon","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","South West (England)","Devon","SEO/HEO","225","210","37240","36710"
"In post","2022","Declared disabled","South West (England)","Devon","Unknown","80","70","31380","29270"
"In post","2022","Declared disabled","South West (England)","Dorset and Somerset","AA/AO","200","180","22470","21260"
"In post","2022","Declared disabled","South West (England)","Dorset and Somerset","EO","225","205","27540","27570"
"In post","2022","Declared disabled","South West (England)","Dorset and Somerset","G6/G7","20","15","[c]","[c]"
"In post","2022","Declared disabled","South West (England)","Dorset and Somerset","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","South West (England)","Dorset and Somerset","SEO/HEO","150","140","37560","35570"
"In post","2022","Declared disabled","South West (England)","Dorset and Somerset","Unknown","65","60","29650","28200"
"In post","2022","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","AA/AO","420","375","22130","21260"
"In post","2022","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","EO","685","625","26310","26930"
"In post","2022","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","G6/G7","395","385","55700","54540"
"In post","2022","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","SEO/HEO","1220","1170","36150","35900"
"In post","2022","Declared disabled","South West (England)","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","290","275","34770","32570"
"In post","2022","Declared disabled","Unknown","Unknown","AA/AO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","EO","65","60","28460","27570"
"In post","2022","Declared disabled","Unknown","Unknown","G6/G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Unknown","Unknown","SEO/HEO","35","35","35160","33640"
"In post","2022","Declared disabled","Unknown","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Wales","East Wales","AA/AO","535","475","21790","21260"
"In post","2022","Declared disabled","Wales","East Wales","EO","500","460","27120","27460"
"In post","2022","Declared disabled","Wales","East Wales","G6/G7","190","185","57810","55610"
"In post","2022","Declared disabled","Wales","East Wales","SCS level","20","20","[c]","[c]"
"In post","2022","Declared disabled","Wales","East Wales","SEO/HEO","555","530","36380","35310"
"In post","2022","Declared disabled","Wales","East Wales","Unknown","90","80","30650","29660"
"In post","2022","Declared disabled","Wales","West Wales and The Valleys","AA/AO","905","760","21140","21260"
"In post","2022","Declared disabled","Wales","West Wales and The Valleys","EO","595","535","27340","27570"
"In post","2022","Declared disabled","Wales","West Wales and The Valleys","G6/G7","45","45","62900","60520"
"In post","2022","Declared disabled","Wales","West Wales and The Valleys","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Wales","West Wales and The Valleys","SEO/HEO","240","220","36890","36110"
"In post","2022","Declared disabled","Wales","West Wales and The Valleys","Unknown","140","130","28810","28200"
"In post","2022","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","AA/AO","180","155","22980","21260"
"In post","2022","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","EO","135","125","27320","27570"
"In post","2022","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","G6/G7","25","20","[c]","[c]"
"In post","2022","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","SEO/HEO","70","65","35990","35630"
"In post","2022","Declared disabled","West Midlands (England)","Herefordshire, Worcestershire and Warwickshire","Unknown","75","70","29950","28200"
"In post","2022","Declared disabled","West Midlands (England)","Shropshire and Staffordshire","AA/AO","405","365","22830","21260"
