"Status","Year","Ethnicity","Parent_department","Region_london","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Cabinet Office","Unknown","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","AO","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","EO","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","G6","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","G7","15","15","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","London","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Chancellor's other departments","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","AO","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","EO","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","G6","20","20","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","G7","25","25","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","London","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","AO","25","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","EO","75","70","28400","27690"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","G6","40","40","68130","66830"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","G7","160","155","55250","53600"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","HEO","170","170","34630","33570"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","London","SEO","170","170","41690","40050"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","AA","10","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","AO","70","65","21170","21130"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","EO","60","60","26100","24570"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","G7","20","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","HEO","70","70","32500","30950"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Outside London","SEO","55","50","40520","39820"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","EO","15","15","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","G6","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","G7","50","50","53840","51730"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","HEO","60","60","35800","34060"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","London","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Education","London","EO","40","40","29200","29500"
"In post","2022","Asian","Department for Education","London","G6","30","25","[c]","[c]"
"In post","2022","Asian","Department for Education","London","G7","65","65","54000","53420"
"In post","2022","Asian","Department for Education","London","HEO","60","55","34120","33740"
"In post","2022","Asian","Department for Education","London","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education","London","SEO","90","85","41520","40780"
"In post","2022","Asian","Department for Education","Outside London","AO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education","Outside London","EO","100","95","25230","25000"
"In post","2022","Asian","Department for Education","Outside London","G6","30","30","62840","61680"
"In post","2022","Asian","Department for Education","Outside London","G7","115","110","50570","50080"
"In post","2022","Asian","Department for Education","Outside London","HEO","155","155","30200","29520"
"In post","2022","Asian","Department for Education","Outside London","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education","Outside London","SEO","150","145","37680","36780"
"In post","2022","Asian","Department for Education","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","AO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","EO","45","40","28460","28170"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","G6","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","G7","45","40","54630","53200"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","HEO","75","75","33570","32560"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","SEO","40","40","40570","39910"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","AO","65","60","22070","21300"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","EO","55","55","26100","25190"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","G7","30","30","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","HEO","45","45","31120","30180"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","SEO","45","45","37500","36880"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","London","EO","25","25","[c]","[c]"
"In post","2022","Asian","Department for International Trade","London","G6","15","15","[c]","[c]"
"In post","2022","Asian","Department for International Trade","London","G7","65","65","54800","53580"
"In post","2022","Asian","Department for International Trade","London","HEO","70","70","33010","31800"
"In post","2022","Asian","Department for International Trade","London","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","London","SEO","65","65","40590","38540"
"In post","2022","Asian","Department for International Trade","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Overseas","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","EO","35","35","29290","27850"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","G6","30","30","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","G7","45","45","53770","53130"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","HEO","70","65","34440","33210"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","London","SEO","35","35","40540","39600"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","AO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","EO","15","10","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","G7","15","15","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","HEO","30","30","30650","30190"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","SEO","30","30","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","London","AO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport","London","EO","70","65","30520","30470"
"In post","2022","Asian","Department for Transport","London","G6","30","30","[c]","[c]"
"In post","2022","Asian","Department for Transport","London","G7","70","70","55160","54650"
"In post","2022","Asian","Department for Transport","London","HEO","70","70","35110","34710"
"In post","2022","Asian","Department for Transport","London","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport","London","SEO","70","70","42580","42470"
"In post","2022","Asian","Department for Transport","Outside London","AA","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport","Outside London","AO","100","90","22900","21840"
"In post","2022","Asian","Department for Transport","Outside London","EO","80","80","26970","26470"
"In post","2022","Asian","Department for Transport","Outside London","G6","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport","Outside London","G7","20","20","[c]","[c]"
"In post","2022","Asian","Department for Transport","Outside London","HEO","50","50","31830","30730"
"In post","2022","Asian","Department for Transport","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Outside London","SEO","45","45","48050","45530"
"In post","2022","Asian","Department for Transport","Overseas","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Overseas","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","London","AO","485","405","24560","25110"
"In post","2022","Asian","Department for Work and Pensions","London","EO","1695","1555","31050","31060"
"In post","2022","Asian","Department for Work and Pensions","London","G6","10","10","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","London","G7","50","50","56400","54070"
"In post","2022","Asian","Department for Work and Pensions","London","HEO","220","215","37090","36650"
"In post","2022","Asian","Department for Work and Pensions","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","London","SEO","90","85","41570","40310"
"In post","2022","Asian","Department for Work and Pensions","Outside London","AA","25","20","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Outside London","AO","1860","1590","21230","21260"
"In post","2022","Asian","Department for Work and Pensions","Outside London","EO","3150","2925","27730","27570"
"In post","2022","Asian","Department for Work and Pensions","Outside London","G6","20","20","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Outside London","G7","95","95","54920","53430"
"In post","2022","Asian","Department for Work and Pensions","Outside London","HEO","225","215","32680","31990"
"In post","2022","Asian","Department for Work and Pensions","Outside London","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Outside London","SEO","145","140","42540","38000"
"In post","2022","Asian","Department for Work and Pensions","Unknown","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Unknown","AO","45","35","24500","25110"
"In post","2022","Asian","Department for Work and Pensions","Unknown","EO","80","70","30020","30330"
"In post","2022","Asian","Department for Work and Pensions","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Unknown","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","London","AA","25","10","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","London","AO","50","45","24250","23800"
"In post","2022","Asian","Department of Health and Social Care","London","EO","160","150","27730","27270"
"In post","2022","Asian","Department of Health and Social Care","London","G6","55","50","73700","67080"
"In post","2022","Asian","Department of Health and Social Care","London","G7","135","130","54820","53620"
"In post","2022","Asian","Department of Health and Social Care","London","HEO","200","200","33370","32790"
"In post","2022","Asian","Department of Health and Social Care","London","SCS level","50","50","99310","92500"
"In post","2022","Asian","Department of Health and Social Care","London","SEO","190","185","41330","40650"
"In post","2022","Asian","Department of Health and Social Care","Outside London","AA","10","5","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Outside London","AO","60","50","20870","19950"
"In post","2022","Asian","Department of Health and Social Care","Outside London","EO","80","75","25060","24220"
"In post","2022","Asian","Department of Health and Social Care","Outside London","G6","15","15","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Outside London","G7","50","50","52310","50880"
"In post","2022","Asian","Department of Health and Social Care","Outside London","HEO","95","90","30830","29870"
"In post","2022","Asian","Department of Health and Social Care","Outside London","SCS level","30","30","110440","110420"
"In post","2022","Asian","Department of Health and Social Care","Outside London","SEO","75","70","39570","39290"
"In post","2022","Asian","Department of Health and Social Care","Overseas","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Overseas","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Outside London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Outside London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Outside London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","Outside London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","London","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","London","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Outside London","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Outside London","EO","30","25","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Outside London","G7","5","5","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","Outside London","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","AO","35","30","28370","28250"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","EO","70","65","31300","30670"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","G6","20","20","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","G7","60","60","55910","55620"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","HEO","100","100","37170","37560"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","SEO","25","25","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","AO","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","EO","20","20","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","G7","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Outside London","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Overseas","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Overseas","EO","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Overseas","G6","10","10","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Overseas","G7","25","25","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Overseas","HEO","35","35","34450","34070"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Overseas","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office","Overseas","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","London","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","London","AO","10","10","[c]","[c]"
"In post","2022","Asian","HM Land Registry","London","EO","15","10","[c]","[c]"
"In post","2022","Asian","HM Land Registry","London","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","London","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","London","HEO","15","10","[c]","[c]"
"In post","2022","Asian","HM Land Registry","London","SCS level","[c]","[c]","[c]","[c]"
