"Status","Year","Age","Responsibility_level_grouped","Responsibility_level_ungrouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","30-39","AA/AO","AA","Female","1295","1120","20580","20890"
"In post","2022","30-39","AA/AO","AA","Male","1245","1220","21010","20890"
"In post","2022","30-39","AA/AO","AO","Female","12040","10325","22700","21300"
"In post","2022","30-39","AA/AO","AO","Male","10785","10595","24570","22080"
"In post","2022","30-39","EO","EO","Female","14630","13405","27640","27570"
"In post","2022","30-39","EO","EO","Male","12020","11935","28000","27570"
"In post","2022","30-39","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","G6/G7","G6","Female","2290","2190","66590","65440"
"In post","2022","30-39","G6/G7","G6","Male","2115","2090","67380","66110"
"In post","2022","30-39","G6/G7","G6","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","G6/G7","G7","Female","7280","6965","54180","53600"
"In post","2022","30-39","G6/G7","G7","Male","6935","6890","54660","54270"
"In post","2022","30-39","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","SCS level","SCS level","Female","550","525","79720","75160"
"In post","2022","30-39","SCS level","SCS level","Male","520","515","80230","75640"
"In post","2022","30-39","SEO/HEO","HEO","Female","10275","9760","33270","33080"
"In post","2022","30-39","SEO/HEO","HEO","Male","9355","9300","33680","33300"
"In post","2022","30-39","SEO/HEO","SEO","Female","7725","7385","41000","40310"
"In post","2022","30-39","SEO/HEO","SEO","Male","7130","7085","41160","40520"
"In post","2022","30-39","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Unknown","Unknown","Female","3720","3405","29530","28200"
"In post","2022","30-39","Unknown","Unknown","Male","1610","1585","32950","31420"
"In post","2022","40-49","AA/AO","AA","Female","1445","1255","20580","20890"
"In post","2022","40-49","AA/AO","AA","Male","1425","1395","20820","20560"
"In post","2022","40-49","AA/AO","AO","Female","13640","11395","22380","21260"
"In post","2022","40-49","AA/AO","AO","Male","9315","9075","24650","21840"
"In post","2022","40-49","EO","EO","Female","16305","14540","27770","27570"
"In post","2022","40-49","EO","EO","Male","11610","11475","28220","27570"
"In post","2022","40-49","G6/G7","G6","Female","3345","3115","68490","66870"
"In post","2022","40-49","G6/G7","G6","Male","3250","3220","68800","67550"
"In post","2022","40-49","G6/G7","G7","Female","7640","7150","55100","54370"
"In post","2022","40-49","G6/G7","G7","Male","7160","7095","55610","55000"
"In post","2022","40-49","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","SCS level","SCS level","Female","1485","1405","86210","79390"
"In post","2022","40-49","SCS level","SCS level","Male","1480","1465","89670","82500"
"In post","2022","40-49","SEO/HEO","HEO","Female","9450","8835","33780","33300"
"In post","2022","40-49","SEO/HEO","HEO","Male","7965","7890","34300","33370"
"In post","2022","40-49","SEO/HEO","SEO","Female","8175","7695","41850","40580"
"In post","2022","40-49","SEO/HEO","SEO","Male","7260","7210","42200","40580"
"In post","2022","40-49","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Unknown","Unknown","Female","3820","3475","32880","32100"
"In post","2022","40-49","Unknown","Unknown","Male","1725","1690","36780","34340"
"In post","2022","50-59","AA/AO","AA","Female","2605","2280","20590","20890"
"In post","2022","50-59","AA/AO","AA","Male","3070","2975","20740","20480"
"In post","2022","50-59","AA/AO","AO","Female","20035","17200","22310","21300"
"In post","2022","50-59","AA/AO","AO","Male","12705","12115","25050","22080"
"In post","2022","50-59","EO","EO","Female","22550","20350","27950","27570"
"In post","2022","50-59","EO","EO","Male","16080","15565","28990","27570"
"In post","2022","50-59","G6/G7","G6","Female","2840","2745","69900","67950"
"In post","2022","50-59","G6/G7","G6","Male","3530","3490","70690","68940"
"In post","2022","50-59","G6/G7","G7","Female","6285","6030","55710","55210"
"In post","2022","50-59","G6/G7","G7","Male","7310","7235","56680","55410"
"In post","2022","50-59","G6/G7","G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","50-59","SCS level","SCS level","Female","1175","1145","92510","84110"
"In post","2022","50-59","SCS level","SCS level","Male","1465","1445","98010","90060"
"In post","2022","50-59","SEO/HEO","HEO","Female","10745","10165","34080","33370"
"In post","2022","50-59","SEO/HEO","HEO","Male","10030","9865","35220","33900"
"In post","2022","50-59","SEO/HEO","SEO","Female","8130","7775","41970","40580"
"In post","2022","50-59","SEO/HEO","SEO","Male","8780","8660","43580","41980"
"In post","2022","50-59","Unknown","Unknown","Female","3355","3125","31820","28200"
"In post","2022","50-59","Unknown","Unknown","Male","2340","2255","37660","34340"
"In post","2022","60-64","AA/AO","AA","Female","1410","1090","20440","20080"
"In post","2022","60-64","AA/AO","AA","Male","1585","1425","20580","20310"
"In post","2022","60-64","AA/AO","AO","Female","7515","5860","22160","21380"
"In post","2022","60-64","AA/AO","AO","Male","4270","3635","24160","21840"
"In post","2022","60-64","EO","EO","Female","6450","5020","28080","27570"
"In post","2022","60-64","EO","EO","Male","4855","4035","28840","27570"
"In post","2022","60-64","G6/G7","G6","Female","370","335","70770","69580"
"In post","2022","60-64","G6/G7","G6","Male","695","620","72720","71690"
"In post","2022","60-64","G6/G7","G7","Female","920","800","57020","55610"
"In post","2022","60-64","G6/G7","G7","Male","1505","1340","57550","56790"
"In post","2022","60-64","SCS level","SCS level","Female","150","140","101700","93610"
"In post","2022","60-64","SCS level","SCS level","Male","280","265","104340","95750"
"In post","2022","60-64","SEO/HEO","HEO","Female","2325","1920","34460","33840"
"In post","2022","60-64","SEO/HEO","HEO","Male","2770","2380","35480","34500"
"In post","2022","60-64","SEO/HEO","SEO","Female","1370","1170","42400","41140"
"In post","2022","60-64","SEO/HEO","SEO","Male","2180","1920","44210","43000"
"In post","2022","60-64","Unknown","Unknown","Female","1105","945","30180","28200"
"In post","2022","60-64","Unknown","Unknown","Male","810","730","35930","33700"
"In post","2022","65+","AA/AO","AA","Female","550","390","20400","19900"
"In post","2022","65+","AA/AO","AA","Male","840","690","20590","20390"
"In post","2022","65+","AA/AO","AO","Female","2320","1720","22430","21680"
"In post","2022","65+","AA/AO","AO","Male","1610","1310","23610","21810"
"In post","2022","65+","EO","EO","Female","1645","1200","28240","27570"
"In post","2022","65+","EO","EO","Male","1655","1265","28740","27570"
"In post","2022","65+","G6/G7","G6","Female","80","60","72670","73970"
"In post","2022","65+","G6/G7","G6","Male","215","165","73380","72760"
"In post","2022","65+","G6/G7","G7","Female","180","145","58050","56820"
"In post","2022","65+","G6/G7","G7","Male","445","350","58810","58710"
"In post","2022","65+","SCS level","SCS level","Female","40","30","105340","95570"
"In post","2022","65+","SCS level","SCS level","Male","65","50","113450","104410"
"In post","2022","65+","SEO/HEO","HEO","Female","485","375","34810","34290"
"In post","2022","65+","SEO/HEO","HEO","Male","905","725","35830","35480"
"In post","2022","65+","SEO/HEO","SEO","Female","255","200","43400","43440"
"In post","2022","65+","SEO/HEO","SEO","Male","650","520","45070","43870"
"In post","2022","65+","Unknown","Unknown","Female","345","265","30610","28200"
"In post","2022","65+","Unknown","Unknown","Male","290","230","34160","30720"
"In post","2022","Unknown","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","AA/AO","AO","Female","5","5","[c]","[c]"
"In post","2022","Unknown","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","EO","EO","Female","5","5","[c]","[c]"
"In post","2022","Unknown","EO","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","AA/AO","AA","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","AA/AO","AA","Male","20","[c]","[c]","[c]"
"Leaver CS","2022","16-19","AA/AO","AO","Female","75","[c]","21330","21260"
"Leaver CS","2022","16-19","AA/AO","AO","Male","45","[c]","21630","21260"
"Leaver CS","2022","16-19","EO","EO","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","16-19","EO","EO","Male","20","[c]","[c]","[c]"
"Leaver CS","2022","16-19","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","16-19","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","AA/AO","AA","Female","410","[c]","19540","19100"
"Leaver CS","2022","20-29","AA/AO","AA","Male","360","[c]","19560","19010"
"Leaver CS","2022","20-29","AA/AO","AO","Female","2485","[c]","21590","21260"
"Leaver CS","2022","20-29","AA/AO","AO","Male","2305","[c]","21910","21260"
"Leaver CS","2022","20-29","EO","EO","Female","1455","[c]","27050","27570"
"Leaver CS","2022","20-29","EO","EO","Male","1080","[c]","26420","27500"
"Leaver CS","2022","20-29","EO","EO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","G6/G7","G6","Female","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","G6/G7","G6","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","20-29","G6/G7","G7","Female","100","[c]","53390","53380"
"Leaver CS","2022","20-29","G6/G7","G7","Male","130","[c]","53500","53420"
"Leaver CS","2022","20-29","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","20-29","SEO/HEO","HEO","Female","665","[c]","32110","32330"
"Leaver CS","2022","20-29","SEO/HEO","HEO","Male","675","[c]","32690","32790"
"Leaver CS","2022","20-29","SEO/HEO","SEO","Female","225","[c]","40230","40070"
"Leaver CS","2022","20-29","SEO/HEO","SEO","Male","215","[c]","39920","40050"
"Leaver CS","2022","20-29","Unknown","Unknown","Female","420","[c]","[c]","[c]"
"Leaver CS","2022","20-29","Unknown","Unknown","Male","150","[c]","28860","28980"
"Leaver CS","2022","30-39","AA/AO","AA","Female","190","[c]","19280","19010"
"Leaver CS","2022","30-39","AA/AO","AA","Male","160","[c]","20350","19560"
"Leaver CS","2022","30-39","AA/AO","AO","Female","1170","[c]","21750","21260"
"Leaver CS","2022","30-39","AA/AO","AO","Male","1360","[c]","22810","21260"
"Leaver CS","2022","30-39","EO","EO","Female","930","[c]","27680","27570"
"Leaver CS","2022","30-39","EO","EO","Male","790","[c]","27820","27570"
"Leaver CS","2022","30-39","G6/G7","G6","Female","105","[c]","67920","66440"
"Leaver CS","2022","30-39","G6/G7","G6","Male","125","[c]","68260","66220"
"Leaver CS","2022","30-39","G6/G7","G7","Female","375","[c]","54110","53620"
"Leaver CS","2022","30-39","G6/G7","G7","Male","400","[c]","54910","54180"
"Leaver CS","2022","30-39","SCS level","SCS level","Female","30","[c]","[c]","[c]"
"Leaver CS","2022","30-39","SCS level","SCS level","Male","35","[c]","[c]","[c]"
"Leaver CS","2022","30-39","SEO/HEO","HEO","Female","530","[c]","33200","33000"
"Leaver CS","2022","30-39","SEO/HEO","HEO","Male","470","[c]","33580","33240"
"Leaver CS","2022","30-39","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","30-39","SEO/HEO","SEO","Female","485","[c]","40410","40070"
"Leaver CS","2022","30-39","SEO/HEO","SEO","Male","415","[c]","40850","40240"
"Leaver CS","2022","30-39","Unknown","Unknown","Female","325","[c]","[c]","[c]"
"Leaver CS","2022","30-39","Unknown","Unknown","Male","190","[c]","35930","33270"
"Leaver CS","2022","40-49","AA/AO","AA","Female","140","[c]","20080","19560"
"Leaver CS","2022","40-49","AA/AO","AA","Male","120","[c]","20210","19560"
"Leaver CS","2022","40-49","AA/AO","AO","Female","915","[c]","21890","21260"
"Leaver CS","2022","40-49","AA/AO","AO","Male","730","[c]","22640","21260"
"Leaver CS","2022","40-49","EO","EO","Female","790","[c]","27890","27570"
"Leaver CS","2022","40-49","EO","EO","Male","555","[c]","28120","27570"
"Leaver CS","2022","40-49","G6/G7","G6","Female","165","[c]","68190","66270"
"Leaver CS","2022","40-49","G6/G7","G6","Male","135","[c]","70520","68480"
"Leaver CS","2022","40-49","G6/G7","G7","Female","320","[c]","55310","54250"
"Leaver CS","2022","40-49","G6/G7","G7","Male","300","[c]","56290","55010"
"Leaver CS","2022","40-49","SCS level","SCS level","Female","105","[c]","93400","88830"
"Leaver CS","2022","40-49","SCS level","SCS level","Male","85","[c]","97380","92840"
"Leaver CS","2022","40-49","SEO/HEO","HEO","Female","300","[c]","33350","33080"
"Leaver CS","2022","40-49","SEO/HEO","HEO","Male","245","[c]","33810","33000"
"Leaver CS","2022","40-49","SEO/HEO","SEO","Female","375","[c]","41390","40070"
"Leaver CS","2022","40-49","SEO/HEO","SEO","Male","305","[c]","42070","40600"
"Leaver CS","2022","40-49","SEO/HEO","SEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","Unknown","Female","230","[c]","[c]","[c]"
"Leaver CS","2022","40-49","Unknown","Unknown","Male","95","[c]","38800","39000"
"Leaver CS","2022","50-59","AA/AO","AA","Female","215","[c]","19560","19560"
"Leaver CS","2022","50-59","AA/AO","AA","Male","260","[c]","20240","19810"
"Leaver CS","2022","50-59","AA/AO","AO","Female","1360","[c]","21660","21260"
"Leaver CS","2022","50-59","AA/AO","AO","Male","910","[c]","24020","21260"
"Leaver CS","2022","50-59","EO","EO","Female","1175","[c]","27740","27570"
"Leaver CS","2022","50-59","EO","EO","Male","935","[c]","28690","27570"
"Leaver CS","2022","50-59","G6/G7","G6","Female","165","[c]","71520","68940"
"Leaver CS","2022","50-59","G6/G7","G6","Male","185","[c]","71510","68940"
"Leaver CS","2022","50-59","G6/G7","G7","Female","390","[c]","55840","54200"
"Leaver CS","2022","50-59","G6/G7","G7","Male","335","[c]","57090","55270"
"Leaver CS","2022","50-59","SCS level","SCS level","Female","120","[c]","101460","95140"
"Leaver CS","2022","50-59","SCS level","SCS level","Male","125","[c]","99860","96150"
"Leaver CS","2022","50-59","SEO/HEO","HEO","Female","405","[c]","34220","33300"
"Leaver CS","2022","50-59","SEO/HEO","HEO","Male","450","[c]","34730","33840"
"Leaver CS","2022","50-59","SEO/HEO","SEO","Female","400","[c]","42090","41000"
"Leaver CS","2022","50-59","SEO/HEO","SEO","Male","395","[c]","43000","41530"
"Leaver CS","2022","50-59","Unknown","Unknown","Female","225","[c]","[c]","[c]"
"Leaver CS","2022","50-59","Unknown","Unknown","Male","145","[c]","39200","35590"
"Leaver CS","2022","60-64","AA/AO","AA","Female","160","[c]","19380","19200"
"Leaver CS","2022","60-64","AA/AO","AA","Male","195","[c]","20020","19280"
"Leaver CS","2022","60-64","AA/AO","AO","Female","995","[c]","21650","21260"
"Leaver CS","2022","60-64","AA/AO","AO","Male","620","[c]","24240","21390"
"Leaver CS","2022","60-64","EO","EO","Female","880","[c]","27760","27570"
"Leaver CS","2022","60-64","EO","EO","Male","690","[c]","29250","27570"
"Leaver CS","2022","60-64","G6/G7","G6","Female","105","[c]","71320","70190"
"Leaver CS","2022","60-64","G6/G7","G6","Male","160","[c]","72660","71200"
"Leaver CS","2022","60-64","G6/G7","G7","Female","205","[c]","56190","54730"
"Leaver CS","2022","60-64","G6/G7","G7","Male","280","[c]","58170","57540"
"Leaver CS","2022","60-64","SCS level","SCS level","Female","55","[c]","99330","97740"
"Leaver CS","2022","60-64","SCS level","SCS level","Male","105","[c]","107010","107720"
"Leaver CS","2022","60-64","SCS level","SCS level","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","60-64","SEO/HEO","HEO","Female","405","[c]","34490","34290"
"Leaver CS","2022","60-64","SEO/HEO","HEO","Male","450","[c]","35760","34610"
"Leaver CS","2022","60-64","SEO/HEO","SEO","Female","255","[c]","43220","42770"
"Leaver CS","2022","60-64","SEO/HEO","SEO","Male","405","[c]","44340","43160"
"Leaver CS","2022","60-64","Unknown","Unknown","Female","150","[c]","[c]","[c]"
"Leaver CS","2022","60-64","Unknown","Unknown","Male","140","[c]","43960","41060"
"Leaver CS","2022","65+","AA/AO","AA","Female","235","[c]","19450","19200"
"Leaver CS","2022","65+","AA/AO","AA","Male","300","[c]","19780","19280"
"Leaver CS","2022","65+","AA/AO","AO","Female","975","[c]","21630","21260"
"Leaver CS","2022","65+","AA/AO","AO","Male","680","[c]","22570","21260"
"Leaver CS","2022","65+","EO","EO","Female","670","[c]","27790","27570"
"Leaver CS","2022","65+","EO","EO","Male","600","[c]","28330","27570"
"Leaver CS","2022","65+","G6/G7","G6","Female","25","[c]","[c]","[c]"
"Leaver CS","2022","65+","G6/G7","G6","Male","80","[c]","71660","71610"
"Leaver CS","2022","65+","G6/G7","G7","Female","50","[c]","57250","56830"
"Leaver CS","2022","65+","G6/G7","G7","Male","150","[c]","59820","59590"
"Leaver CS","2022","65+","SCS level","SCS level","Female","20","[c]","[c]","[c]"
"Leaver CS","2022","65+","SCS level","SCS level","Male","30","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","HEO","Female","190","[c]","34310","34290"
"Leaver CS","2022","65+","SEO/HEO","HEO","Male","295","[c]","35010","34610"
"Leaver CS","2022","65+","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","65+","SEO/HEO","SEO","Female","105","[c]","43290","41390"
"Leaver CS","2022","65+","SEO/HEO","SEO","Male","220","[c]","44280","43630"
"Leaver CS","2022","65+","Unknown","Unknown","Female","130","[c]","[c]","[c]"
"Leaver CS","2022","65+","Unknown","Unknown","Male","90","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","AA","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","AO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","SEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","SEO/HEO","SEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Unknown","Unknown","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","AA/AO","AA","Female","5","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","AA/AO","AA","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","AA/AO","AO","Female","10","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","AA/AO","AO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","EO","EO","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","EO","EO","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","16-19","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","AA/AO","AA","Female","80","[c]","20120","19200"
"Leaver Dept.","2022","20-29","AA/AO","AA","Male","40","[c]","20140","19100"
"Leaver Dept.","2022","20-29","AA/AO","AO","Female","775","[c]","21670","21260"
"Leaver Dept.","2022","20-29","AA/AO","AO","Male","500","[c]","21520","21260"
"Leaver Dept.","2022","20-29","EO","EO","Female","1260","[c]","26940","27500"
"Leaver Dept.","2022","20-29","EO","EO","Male","810","[c]","27040","27570"
"Leaver Dept.","2022","20-29","G6/G7","G6","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","G6/G7","G6","Male","25","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","G6/G7","G7","Female","220","[c]","53530","53420"
"Leaver Dept.","2022","20-29","G6/G7","G7","Male","200","[c]","54160","54110"
"Leaver Dept.","2022","20-29","SCS level","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","SCS level","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","SEO/HEO","HEO","Female","1390","[c]","32200","32320"
"Leaver Dept.","2022","20-29","SEO/HEO","HEO","Male","975","[c]","32460","32000"
"Leaver Dept.","2022","20-29","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","SEO/HEO","SEO","Female","450","[c]","39840","40070"
"Leaver Dept.","2022","20-29","SEO/HEO","SEO","Male","280","[c]","40100","40070"
"Leaver Dept.","2022","20-29","Unknown","Unknown","Female","80","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Unknown","Unknown","Male","65","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","AA/AO","AA","Female","30","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","AA/AO","AA","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","AA/AO","AO","Female","420","[c]","21640","21260"
"Leaver Dept.","2022","30-39","AA/AO","AO","Male","340","[c]","21670","21260"
"Leaver Dept.","2022","30-39","EO","EO","Female","805","[c]","26960","27570"
"Leaver Dept.","2022","30-39","EO","EO","Male","615","[c]","27030","27570"
"Leaver Dept.","2022","30-39","G6/G7","G6","Female","210","[c]","67440","65370"
"Leaver Dept.","2022","30-39","G6/G7","G6","Male","160","[c]","67250","65310"
"Leaver Dept.","2022","30-39","G6/G7","G7","Female","670","[c]","53460","53430"
"Leaver Dept.","2022","30-39","G6/G7","G7","Male","525","[c]","54090","53810"
"Leaver Dept.","2022","30-39","SCS level","SCS level","Female","75","[c]","83140","81410"
"Leaver Dept.","2022","30-39","SCS level","SCS level","Male","75","[c]","80730","75500"
"Leaver Dept.","2022","30-39","SEO/HEO","HEO","Female","800","[c]","32260","32330"
"Leaver Dept.","2022","30-39","SEO/HEO","HEO","Male","695","[c]","32930","32330"
"Leaver Dept.","2022","30-39","SEO/HEO","HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","SEO/HEO","SEO","Female","760","[c]","39910","40070"
"Leaver Dept.","2022","30-39","SEO/HEO","SEO","Male","515","[c]","40390","40220"
"Leaver Dept.","2022","30-39","Unknown","Unknown","Female","50","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Unknown","Unknown","Male","35","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","AA/AO","AA","Female","15","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","AA/AO","AA","Male","15","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","AA/AO","AO","Female","325","[c]","21550","21260"
"Leaver Dept.","2022","40-49","AA/AO","AO","Male","205","[c]","22030","21260"
"Leaver Dept.","2022","40-49","EO","EO","Female","610","[c]","27150","27570"
"Leaver Dept.","2022","40-49","EO","EO","Male","330","[c]","27250","27570"
"Leaver Dept.","2022","40-49","G6/G7","G6","Female","275","[c]","68150","66280"
"Leaver Dept.","2022","40-49","G6/G7","G6","Male","215","[c]","68830","66650"
"Leaver Dept.","2022","40-49","G6/G7","G7","Female","595","[c]","53790","53130"
"Leaver Dept.","2022","40-49","G6/G7","G7","Male","430","[c]","54230","53500"
"Leaver Dept.","2022","40-49","SCS level","SCS level","Female","180","[c]","89880","90950"
"Leaver Dept.","2022","40-49","SCS level","SCS level","Male","150","[c]","93570","92950"
"Leaver Dept.","2022","40-49","SEO/HEO","HEO","Female","535","[c]","32570","32310"
"Leaver Dept.","2022","40-49","SEO/HEO","HEO","Male","305","[c]","32860","32170"
"Leaver Dept.","2022","40-49","SEO/HEO","SEO","Female","570","[c]","40260","40070"
"Leaver Dept.","2022","40-49","SEO/HEO","SEO","Male","360","[c]","40770","40580"
"Leaver Dept.","2022","40-49","Unknown","Unknown","Female","45","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Unknown","Unknown","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","AA/AO","AA","Female","25","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","AA/AO","AA","Male","20","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","AA/AO","AO","Female","260","[c]","21500","21260"
"Leaver Dept.","2022","50-59","AA/AO","AO","Male","120","[c]","21870","21300"
"Leaver Dept.","2022","50-59","EO","EO","Female","445","[c]","27260","27570"
"Leaver Dept.","2022","50-59","EO","EO","Male","220","[c]","27290","27570"
"Leaver Dept.","2022","50-59","G6/G7","G6","Female","190","[c]","70320","67640"
"Leaver Dept.","2022","50-59","G6/G7","G6","Male","165","[c]","70940","68400"
