"Status","Year","Profession_of_post","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Digital, Data and Technology","AA/AO","Male","390","385","21990","21380"
"In post","2022","Digital, Data and Technology","EO","Female","1205","1115","27490","27130"
"In post","2022","Digital, Data and Technology","EO","Male","2270","2210","27880","27570"
"In post","2022","Digital, Data and Technology","G6/G7","Female","1920","1855","57000","55210"
"In post","2022","Digital, Data and Technology","G6/G7","Male","3680","3650","59390","57500"
"In post","2022","Digital, Data and Technology","SCS level","Female","95","90","88130","81550"
"In post","2022","Digital, Data and Technology","SCS level","Male","195","195","93760","90000"
"In post","2022","Digital, Data and Technology","SEO/HEO","Female","3495","3335","37010","36500"
"In post","2022","Digital, Data and Technology","SEO/HEO","Male","6450","6360","38240","37710"
"In post","2022","Digital, Data and Technology","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","Male","30","30","[c]","[c]"
"In post","2022","Economics","AA/AO","Female","30","30","22550","22640"
"In post","2022","Economics","AA/AO","Male","45","45","21860","20830"
"In post","2022","Economics","EO","Female","80","75","26990","27270"
"In post","2022","Economics","EO","Male","65","65","27030","27340"
"In post","2022","Economics","G6/G7","Female","330","305","59660","57620"
"In post","2022","Economics","G6/G7","Male","580","570","60130","57950"
"In post","2022","Economics","SCS level","Female","35","30","86040","80000"
"In post","2022","Economics","SCS level","Male","55","55","96340","82890"
"In post","2022","Economics","SEO/HEO","Female","300","295","35640","34290"
"In post","2022","Economics","SEO/HEO","Male","570","565","35430","34320"
"In post","2022","Economics","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Finance","AA/AO","Female","660","570","21990","21380"
"In post","2022","Finance","AA/AO","Male","325","310","22010","21380"
"In post","2022","Finance","EO","Female","1520","1425","26950","26670"
"In post","2022","Finance","EO","Male","855","840","26920","26670"
"In post","2022","Finance","G6/G7","Female","1355","1300","58130","56570"
"In post","2022","Finance","G6/G7","Male","1385","1365","59680","58010"
"In post","2022","Finance","SCS level","Female","140","135","86470","80650"
"In post","2022","Finance","SCS level","Male","195","195","89640","82160"
"In post","2022","Finance","SEO/HEO","Female","3185","3035","37160","36410"
"In post","2022","Finance","SEO/HEO","Male","2635","2595","37930","37100"
"In post","2022","Finance","Unknown","Female","30","30","46710","40720"
"In post","2022","Finance","Unknown","Male","45","45","50120","42140"
"In post","2022","Geography","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","Geography","AA/AO","Male","45","45","20310","20420"
"In post","2022","Geography","EO","Female","65","60","27500","26740"
"In post","2022","Geography","EO","Male","95","90","27560","26740"
"In post","2022","Geography","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Geography","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Geography","SEO/HEO","Female","80","70","35810","33290"
"In post","2022","Geography","SEO/HEO","Male","165","165","35550","33290"
"In post","2022","Human Resources","AA/AO","Female","905","805","21960","21380"
"In post","2022","Human Resources","AA/AO","Male","325","320","22020","21410"
"In post","2022","Human Resources","EO","Female","1245","1150","27260","26880"
"In post","2022","Human Resources","EO","Male","485","475","27720","27380"
"In post","2022","Human Resources","G6/G7","Female","1460","1405","57770","55940"
"In post","2022","Human Resources","G6/G7","Male","635","630","58700","57460"
"In post","2022","Human Resources","SCS level","Female","155","150","86650","79720"
"In post","2022","Human Resources","SCS level","Male","75","75","86460","79500"
"In post","2022","Human Resources","SEO/HEO","Female","2995","2830","36310","35530"
"In post","2022","Human Resources","SEO/HEO","Male","1295","1265","37110","36740"
"In post","2022","Human Resources","Unknown","Female","25","25","[c]","[c]"
"In post","2022","Human Resources","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Inspector of Education and Training","G6/G7","Female","330","320","74790","75500"
"In post","2022","Inspector of Education and Training","G6/G7","Male","215","210","76300","75500"
"In post","2022","Inspector of Education and Training","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Inspector of Education and Training","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Inspector of Education and Training","SEO/HEO","Female","345","330","50340","51360"
"In post","2022","Inspector of Education and Training","SEO/HEO","Male","40","40","50650","51360"
"In post","2022","Intelligence Analysis","AA/AO","Female","75","65","23320","21960"
"In post","2022","Intelligence Analysis","AA/AO","Male","45","40","23230","21750"
"In post","2022","Intelligence Analysis","EO","Female","815","755","27480","27370"
"In post","2022","Intelligence Analysis","EO","Male","770","745","27940","27370"
"In post","2022","Intelligence Analysis","G6/G7","Female","85","85","58840","58230"
"In post","2022","Intelligence Analysis","G6/G7","Male","145","145","60150","58470"
"In post","2022","Intelligence Analysis","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Intelligence Analysis","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Intelligence Analysis","SEO/HEO","Female","500","480","36230","35500"
"In post","2022","Intelligence Analysis","SEO/HEO","Male","775","760","37600","37000"
"In post","2022","Intelligence Analysis","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Intelligence Analysis","Unknown","Male","5","5","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Internal Audit","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","Internal Audit","EO","Female","25","25","[c]","[c]"
"In post","2022","Internal Audit","EO","Male","15","15","[c]","[c]"
"In post","2022","Internal Audit","G6/G7","Female","95","90","58410","55230"
"In post","2022","Internal Audit","G6/G7","Male","115","110","58760","59020"
"In post","2022","Internal Audit","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Internal Audit","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Internal Audit","SEO/HEO","Female","255","235","40180","40120"
"In post","2022","Internal Audit","SEO/HEO","Male","210","205","40810","40580"
"In post","2022","International Trade","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","International Trade","EO","Female","55","55","27100","26510"
"In post","2022","International Trade","EO","Male","50","50","27730","26820"
"In post","2022","International Trade","G6/G7","Female","305","300","55900","52190"
"In post","2022","International Trade","G6/G7","Male","370","365","56440","54420"
"In post","2022","International Trade","SCS level","Female","50","50","82110","75300"
"In post","2022","International Trade","SCS level","Male","70","65","82950","74600"
"In post","2022","International Trade","SEO/HEO","Female","335","330","35900","35370"
"In post","2022","International Trade","SEO/HEO","Male","400","400","36690","38160"
"In post","2022","Knowledge and Information Management","AA/AO","Female","235","220","22240","21380"
"In post","2022","Knowledge and Information Management","AA/AO","Male","135","130","22350","21380"
"In post","2022","Knowledge and Information Management","EO","Female","345","320","27760","27570"
"In post","2022","Knowledge and Information Management","EO","Male","230","225","27670","27570"
"In post","2022","Knowledge and Information Management","G6/G7","Female","160","150","56770","54540"
"In post","2022","Knowledge and Information Management","G6/G7","Male","160","160","58660","57400"
"In post","2022","Knowledge and Information Management","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Knowledge and Information Management","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Knowledge and Information Management","SEO/HEO","Female","550","515","36400","35480"
"In post","2022","Knowledge and Information Management","SEO/HEO","Male","505","500","36910","36610"
"In post","2022","Knowledge and Information Management","Unknown","Female","15","15","[c]","[c]"
"In post","2022","Knowledge and Information Management","Unknown","Male","20","20","[c]","[c]"
"In post","2022","Legal","AA/AO","Female","160","130","22190","22080"
"In post","2022","Legal","AA/AO","Male","110","105","22660","22080"
"In post","2022","Legal","EO","Female","980","920","28330","27130"
"In post","2022","Legal","EO","Male","875","860","28360","26820"
"In post","2022","Legal","G6/G7","Female","3910","3530","58850","57370"
"In post","2022","Legal","G6/G7","Male","2350","2270","60390","59730"
"In post","2022","Legal","SCS level","Female","220","210","86570","82500"
"In post","2022","Legal","SCS level","Male","175","175","89610","83460"
"In post","2022","Legal","SEO/HEO","Female","2185","2020","39850","38890"
"In post","2022","Legal","SEO/HEO","Male","1700","1650","39010","37930"
"In post","2022","Legal","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Legal","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Medicine","AA/AO","Female","315","285","22810","23280"
"In post","2022","Medicine","AA/AO","Male","35","35","21990","21970"
"In post","2022","Medicine","EO","Female","220","190","32150","31530"
"In post","2022","Medicine","EO","Male","90","90","31110","31530"
"In post","2022","Medicine","G6/G7","Female","470","395","72280","74960"
"In post","2022","Medicine","G6/G7","Male","285","255","76270","78190"
"In post","2022","Medicine","SCS level","Female","195","175","103330","100750"
"In post","2022","Medicine","SCS level","Male","145","130","110070","107720"
"In post","2022","Medicine","SEO/HEO","Female","565","500","39880","39030"
"In post","2022","Medicine","SEO/HEO","Male","195","185","40550","39630"
"In post","2022","Operational Delivery","AA/AO","Female","60250","51215","22300","21260"
"In post","2022","Operational Delivery","AA/AO","Male","42905","40755","23930","21840"
"In post","2022","Operational Delivery","EO","Female","50075","44555","27860","27570"
"In post","2022","Operational Delivery","EO","Male","35165","33710","28540","27570"
"In post","2022","Operational Delivery","G6/G7","Female","4170","4030","57530","55130"
"In post","2022","Operational Delivery","G6/G7","Male","3865","3805","59950","57460"
"In post","2022","Operational Delivery","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","SCS level","Female","415","400","89070","80950"
"In post","2022","Operational Delivery","SCS level","Male","460","450","93650","85780"
"In post","2022","Operational Delivery","SEO/HEO","Female","20575","19365","36110","34500"
"In post","2022","Operational Delivery","SEO/HEO","Male","17650","17085","37970","36500"
"In post","2022","Operational Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Delivery","Unknown","Female","14630","13460","29740","28200"
"In post","2022","Operational Delivery","Unknown","Male","4840","4570","31200","28200"
"In post","2022","Operational Research","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","Operational Research","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","Operational Research","EO","Female","25","25","[c]","[c]"
"In post","2022","Operational Research","EO","Male","25","25","[c]","[c]"
"In post","2022","Operational Research","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","G6/G7","Female","165","150","56030","56350"
"In post","2022","Operational Research","G6/G7","Male","335","320","55440","55210"
"In post","2022","Operational Research","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Operational Research","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Operational Research","SEO/HEO","Female","220","215","36890","37930"
"In post","2022","Operational Research","SEO/HEO","Male","310","305","37250","38070"
"In post","2022","Operational Research","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Operational Research","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Other","AA/AO","Female","6460","5800","21510","21260"
"In post","2022","Other","AA/AO","Male","4095","3985","21190","21170"
"In post","2022","Other","EO","Female","4840","4465","27350","27570"
"In post","2022","Other","EO","Male","3915","3830","27070","27570"
"In post","2022","Other","G6/G7","Female","945","895","59040","57320"
"In post","2022","Other","G6/G7","Male","1140","1115","60990","57460"
"In post","2022","Other","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Other","SCS level","Female","155","150","90920","83780"
"In post","2022","Other","SCS level","Male","170","165","101720","92000"
"In post","2022","Other","SEO/HEO","Female","3415","3235","35980","35050"
"In post","2022","Other","SEO/HEO","Male","3295","3220","36440","35430"
"In post","2022","Other","Unknown","Female","260","255","32570","30780"
"In post","2022","Other","Unknown","Male","1700","1695","38030","34460"
"In post","2022","Planning","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Planning","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Planning","EO","Female","15","15","[c]","[c]"
"In post","2022","Planning","EO","Male","10","5","[c]","[c]"
"In post","2022","Planning","G6/G7","Female","30","30","59460","59830"
"In post","2022","Planning","G6/G7","Male","40","40","58030","59500"
"In post","2022","Planning","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Planning","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Planning","SEO/HEO","Female","50","45","38730","38160"
"In post","2022","Planning","SEO/HEO","Male","60","55","38760","39100"
"In post","2022","Planning Inspectors","G6/G7","Female","130","110","56130","58810"
"In post","2022","Planning Inspectors","G6/G7","Male","230","210","57400","58810"
"In post","2022","Planning Inspectors","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","Planning Inspectors","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2022","Planning Inspectors","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Planning Inspectors","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Policy","AA/AO","Female","420","395","23600","23720"
"In post","2022","Policy","AA/AO","Male","235","230","23970","24370"
"In post","2022","Policy","EO","Female","1695","1630","28080","27850"
"In post","2022","Policy","EO","Male","1060","1045","28160","27960"
"In post","2022","Policy","G6/G7","Female","6770","6460","57800","55620"
"In post","2022","Policy","G6/G7","Male","6340","6250","58600","57430"
"In post","2022","Policy","SCS level","Female","940","885","83860","76990"
"In post","2022","Policy","SCS level","Male","965","955","86730","78300"
"In post","2022","Policy","SEO/HEO","Female","8075","7780","37070","36650"
"In post","2022","Policy","SEO/HEO","Male","6405","6335","37330","36740"
"In post","2022","Policy","Unknown","Female","25","25","[c]","[c]"
"In post","2022","Policy","Unknown","Male","25","25","[c]","[c]"
"In post","2022","Project Delivery","AA/AO","Female","330","265","22110","21260"
"In post","2022","Project Delivery","AA/AO","Male","140","135","22060","21260"
"In post","2022","Project Delivery","EO","Female","875","810","27060","26820"
"In post","2022","Project Delivery","EO","Male","535","515","26700","26670"
"In post","2022","Project Delivery","G6/G7","Female","2120","2050","57090","55210"
"In post","2022","Project Delivery","G6/G7","Male","2620","2575","58080","55260"
"In post","2022","Project Delivery","SCS level","Female","170","165","86680","79990"
"In post","2022","Project Delivery","SCS level","Male","205","200","93650","86740"
"In post","2022","Project Delivery","SEO/HEO","Female","4475","4230","36820","36840"
"In post","2022","Project Delivery","SEO/HEO","Male","3925","3845","37810","38600"
"In post","2022","Project Delivery","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Project Delivery","Unknown","Female","175","165","41250","39860"
"In post","2022","Project Delivery","Unknown","Male","320","320","47090","44430"
"In post","2022","Property","AA/AO","Female","445","395","20770","21250"
"In post","2022","Property","AA/AO","Male","540","525","19730","19010"
"In post","2022","Property","EO","Female","760","695","27330","26880"
"In post","2022","Property","EO","Male","775","755","27250","26880"
"In post","2022","Property","G6/G7","Female","515","495","57120","55210"
"In post","2022","Property","G6/G7","Male","1000","980","59080","58090"
"In post","2022","Property","SCS level","Female","30","30","81240","75200"
"In post","2022","Property","SCS level","Male","60","60","93770","90000"
"In post","2022","Property","SEO/HEO","Female","1360","1285","36910","35310"
"In post","2022","Property","SEO/HEO","Male","2070","2010","38280","37100"
"In post","2022","Property","Unknown","Female","10","10","[c]","[c]"
"In post","2022","Property","Unknown","Male","35","35","22090","21600"
"In post","2022","Psychology","AA/AO","Female","75","70","21700","21550"
"In post","2022","Psychology","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Psychology","EO","Female","350","340","27140","26850"
"In post","2022","Psychology","EO","Male","65","65","26840","26850"
"In post","2022","Psychology","G6/G7","Female","90","85","65240","65520"
"In post","2022","Psychology","G6/G7","Male","30","30","[c]","[c]"
"In post","2022","Psychology","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","SEO/HEO","Female","810","775","37100","31600"
"In post","2022","Psychology","SEO/HEO","Male","85","85","36910","34340"
"In post","2022","Psychology","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Psychology","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Science and Engineering","AA/AO","Female","320","305","22060","21580"
"In post","2022","Science and Engineering","AA/AO","Male","780","770","21700","22200"
"In post","2022","Science and Engineering","EO","Female","660","630","26150","26370"
"In post","2022","Science and Engineering","EO","Male","1320","1295","26140","26370"
"In post","2022","Science and Engineering","G6/G7","Female","980","910","55860","53620"
"In post","2022","Science and Engineering","G6/G7","Male","2160","2075","56040","55660"
"In post","2022","Science and Engineering","SCS level","Female","30","25","[c]","[c]"
"In post","2022","Science and Engineering","SCS level","Male","65","65","92680","92290"
"In post","2022","Science and Engineering","SEO/HEO","Female","2290","2120","36340","37000"
"In post","2022","Science and Engineering","SEO/HEO","Male","4545","4435","37580","38070"
"In post","2022","Science and Engineering","Unknown","Female","90","85","39650","33870"
"In post","2022","Science and Engineering","Unknown","Male","715","705","41020","39860"
"In post","2022","Security","AA/AO","Female","855","825","25220","21830"
"In post","2022","Security","AA/AO","Male","4730","4640","27330","23540"
"In post","2022","Security","EO","Female","350","330","29490","27570"
"In post","2022","Security","EO","Male","705","695","35800","33520"
"In post","2022","Security","G6/G7","Female","160","160","58320","56860"
"In post","2022","Security","G6/G7","Male","350","345","59570","58430"
"In post","2022","Security","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Security","SCS level","Male","25","25","[c]","[c]"
"In post","2022","Security","SEO/HEO","Female","725","705","37740","36500"
"In post","2022","Security","SEO/HEO","Male","1190","1170","40380","38160"
"In post","2022","Security","Unknown","Female","45","45","36070","35280"
"In post","2022","Security","Unknown","Male","140","140","31800","28280"
"In post","2022","Social Research","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Social Research","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Social Research","EO","Female","40","40","31540","33650"
"In post","2022","Social Research","EO","Male","20","20","[c]","[c]"
"In post","2022","Social Research","G6/G7","Female","245","230","57390","57290"
"In post","2022","Social Research","G6/G7","Male","125","120","57970","57190"
"In post","2022","Social Research","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Social Research","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Social Research","SEO/HEO","Female","620","590","36560","37610"
"In post","2022","Social Research","SEO/HEO","Male","245","240","36200","37380"
"In post","2022","Social Research","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","AA/AO","Female","45","40","22090","22460"
"In post","2022","Statistics","AA/AO","Male","30","30","22710","22460"
"In post","2022","Statistics","EO","Female","100","95","28150","28310"
"In post","2022","Statistics","EO","Male","150","145","27980","27850"
"In post","2022","Statistics","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","G6/G7","Female","380","350","57590","56500"
"In post","2022","Statistics","G6/G7","Male","395","385","58790","59220"
"In post","2022","Statistics","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Statistics","SCS level","Female","25","25","[c]","[c]"
"In post","2022","Statistics","SCS level","Male","30","30","86350","77960"
"In post","2022","Statistics","SEO/HEO","Female","560","530","37200","37610"
"In post","2022","Statistics","SEO/HEO","Male","685","675","37520","37830"
"In post","2022","Statistics","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Tax","AA/AO","Female","1820","1655","21370","21250"
"In post","2022","Tax","AA/AO","Male","1580","1525","21340","21250"
"In post","2022","Tax","EO","Female","2395","2200","27450","26820"
"In post","2022","Tax","EO","Male","2405","2340","27340","26820"
"In post","2022","Tax","G6/G7","Female","1170","1105","58980","55210"
"In post","2022","Tax","G6/G7","Male","1840","1770","59750","55210"
"In post","2022","Tax","SCS level","Female","40","40","82440","78000"
"In post","2022","Tax","SCS level","Male","40","40","81300","79930"
"In post","2022","Tax","SEO/HEO","Female","3870","3635","36050","33370"
"In post","2022","Tax","SEO/HEO","Male","4440","4315","36140","33370"
"In post","2022","Unknown","AA/AO","Female","2490","2280","22820","22140"
"In post","2022","Unknown","AA/AO","Male","2345","2280","23400","22140"
"In post","2022","Unknown","EO","Female","3040","2900","27930","27230"
"In post","2022","Unknown","EO","Male","2395","2365","28340","27500"
"In post","2022","Unknown","G6/G7","Female","4250","4075","61140","61190"
"In post","2022","Unknown","G6/G7","Male","3850","3815","62330","62120"
"In post","2022","Unknown","SCS level","Female","535","520","92280","83230"
"In post","2022","Unknown","SCS level","Male","685","675","100770","93000"
"In post","2022","Unknown","SEO/HEO","Female","6960","6720","36610","35540"
"In post","2022","Unknown","SEO/HEO","Male","5675","5615","37290","36130"
"In post","2022","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Unknown","Male","10","10","[c]","[c]"
"In post","2022","Veterinarian","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Veterinarian","EO","Female","5","5","[c]","[c]"
"In post","2022","Veterinarian","EO","Male","10","10","[c]","[c]"
"In post","2022","Veterinarian","G6/G7","Female","65","65","54600","54280"
"In post","2022","Veterinarian","G6/G7","Male","70","65","55710","54510"
"In post","2022","Veterinarian","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Veterinarian","SEO/HEO","Female","155","145","39360","37480"
"In post","2022","Veterinarian","SEO/HEO","Male","105","100","40470","37910"
"Leaver CS","2022","Commercial","AA/AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","AA/AO","Male","15","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","EO","Female","35","[c]","25650","25970"
"Leaver CS","2022","Commercial","EO","Male","25","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Female","35","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","G6/G7","Male","40","[c]","59340","58600"
"Leaver CS","2022","Commercial","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SCS level","Male","5","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","SEO/HEO","Female","110","[c]","36260","36120"
"Leaver CS","2022","Commercial","SEO/HEO","Male","120","[c]","37210","37330"
"Leaver CS","2022","Commercial","Unknown","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Commercial","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Female","15","[c]","[c]","[c]"
"Leaver CS","2022","Communications","AA/AO","Male","10","[c]","[c]","[c]"
"Leaver CS","2022","Communications","EO","Female","50","[c]","27550","27680"
"Leaver CS","2022","Communications","EO","Male","30","[c]","[c]","[c]"
"Leaver CS","2022","Communications","G6/G7","Female","35","[c]","[c]","[c]"
"Leaver CS","2022","Communications","G6/G7","Male","30","[c]","[c]","[c]"
"Leaver CS","2022","Communications","SCS level","Female","5","[c]","[c]","[c]"
"Leaver CS","2022","Communications","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","SEO/HEO","Female","115","[c]","37800","37320"
"Leaver CS","2022","Communications","SEO/HEO","Male","75","[c]","38400","37520"
"Leaver CS","2022","Communications","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Communications","Unknown","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","EO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","EO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","G6/G7","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","SCS level","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","SCS level","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Corporate Finance","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","AA/AO","Female","50","[c]","21780","21260"
"Leaver CS","2022","Counter Fraud","AA/AO","Male","30","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","EO","Female","70","[c]","27740","27570"
"Leaver CS","2022","Counter Fraud","EO","Male","60","[c]","27810","27570"
"Leaver CS","2022","Counter Fraud","G6/G7","Female","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Counter Fraud","G6/G7","Male","[c]","[c]","[c]","[c]"
