"Status","Year","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Analysis","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Cabinet Office","40","40","53930","44200"
"In post","2022","Asian","Commercial","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Education","20","20","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2022","Asian","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Transport","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Department of Health and Social Care","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","HM Revenue and Customs","25","25","[c]","[c]"
"In post","2022","Asian","Commercial","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Ministry of Defence","45","45","37120","35000"
"In post","2022","Asian","Commercial","Ministry of Justice","15","15","[c]","[c]"
"In post","2022","Asian","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","UK Export Finance","35","35","51390","44080"
"In post","2022","Asian","Commercial","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Commercial","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Cabinet Office","25","25","[c]","[c]"
"In post","2022","Asian","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Department for Education","15","15","[c]","[c]"
"In post","2022","Asian","Communications","Department for Environment, Food and Rural Affairs","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Transport","5","5","[c]","[c]"
"In post","2022","Asian","Communications","Department for Work and Pensions","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Department of Health and Social Care","30","30","39160","34570"
"In post","2022","Asian","Communications","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","HM Revenue and Customs","545","530","29250","26820"
"In post","2022","Asian","Communications","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Asian","Communications","Ministry of Justice","10","10","[c]","[c]"
"In post","2022","Asian","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","UK Export Finance","10","10","[c]","[c]"
"In post","2022","Asian","Communications","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Communications","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Attorney General's Departments","15","15","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Cabinet Office","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Department for Work and Pensions","645","575","27160","27570"
"In post","2022","Asian","Counter Fraud","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","HM Revenue and Customs","670","640","34130","33080"
"In post","2022","Asian","Counter Fraud","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Counter Fraud","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","Department for Work and Pensions","310","260","22760","21260"
"In post","2022","Asian","Debt","HM Revenue and Customs","450","400","23810","21250"
"In post","2022","Asian","Debt","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Debt","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Attorney General's Departments","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Cabinet Office","135","135","48480","54700"
"In post","2022","Asian","Digital, Data & Technology","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Competition and Markets Authority","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","70","70","39950","37020"
"In post","2022","Asian","Digital, Data & Technology","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Education","115","110","39740","36500"
"In post","2022","Asian","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","40","40","36440","35900"
"In post","2022","Asian","Digital, Data & Technology","Department for International Trade","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Levelling Up, Housing and Communities","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Department for Transport","35","35","35190","30730"
"In post","2022","Asian","Digital, Data & Technology","Department for Work and Pensions","230","225","42990","39260"
"In post","2022","Asian","Digital, Data & Technology","Department of Health and Social Care","90","90","42540","40450"
"In post","2022","Asian","Digital, Data & Technology","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Foreign, Commonwealth and Development Office","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","HM Land Registry","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","HM Revenue and Customs","200","195","41040","37930"
"In post","2022","Asian","Digital, Data & Technology","HM Treasury","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Ministry of Defence","95","95","33550","33000"
"In post","2022","Asian","Digital, Data & Technology","Ministry of Justice","145","145","45160","41750"
"In post","2022","Asian","Digital, Data & Technology","National Crime Agency","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Office of Gas and Electricity Markets","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Scottish Government","5","5","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","The National Archives","20","20","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","UK Export Finance","10","10","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","UK Statistics Authority","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data & Technology","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Attorney General's Departments","20","20","[c]","[c]"
"In post","2022","Asian","Finance","Cabinet Office","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Chancellor's other departments","10","10","[c]","[c]"
"In post","2022","Asian","Finance","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Department for Business, Energy and Industrial Strategy","35","35","40070","39800"
"In post","2022","Asian","Finance","Department for Digital, Culture, Media and Sport","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Department for Education","190","185","37830","36500"
"In post","2022","Asian","Finance","Department for Environment, Food and Rural Affairs","35","35","42190","37870"
"In post","2022","Asian","Finance","Department for International Trade","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Department for Levelling Up, Housing and Communities","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Department for Transport","45","45","48220","47740"
"In post","2022","Asian","Finance","Department for Work and Pensions","130","125","37470","35310"
"In post","2022","Asian","Finance","Department of Health and Social Care","80","80","39020","37450"
"In post","2022","Asian","Finance","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2022","Asian","Finance","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Asian","Finance","HM Revenue and Customs","225","210","34890","31020"
"In post","2022","Asian","Finance","HM Treasury","15","15","[c]","[c]"
"In post","2022","Asian","Finance","Ministry of Defence","105","100","38090","33300"
"In post","2022","Asian","Finance","Ministry of Justice","105","105","40010","41100"
"In post","2022","Asian","Finance","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","UK Export Finance","15","15","[c]","[c]"
"In post","2022","Asian","Finance","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","Water Services Regulation Authority","5","5","[c]","[c]"
"In post","2022","Asian","Finance","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","Department for Environment, Food and Rural Affairs","40","35","24480","21300"
"In post","2022","Asian","Grants Management","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Attorney General's Departments","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Cabinet Office","80","75","37670","35070"
"In post","2022","Asian","Human Resources","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Business, Energy and Industrial Strategy","25","25","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Digital, Culture, Media and Sport","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Education","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Environment, Food and Rural Affairs","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for International Trade","15","15","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Levelling Up, Housing and Communities","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Transport","15","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Department for Work and Pensions","95","90","33090","31060"
"In post","2022","Asian","Human Resources","Department of Health and Social Care","50","50","35240","32330"
"In post","2022","Asian","Human Resources","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Foreign, Commonwealth and Development Office","25","25","[c]","[c]"
"In post","2022","Asian","Human Resources","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","HM Revenue and Customs","105","100","35950","33370"
"In post","2022","Asian","Human Resources","HM Treasury","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Ministry of Defence","70","70","34050","32850"
"In post","2022","Asian","Human Resources","Ministry of Justice","70","70","38410","34260"
"In post","2022","Asian","Human Resources","National Crime Agency","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Asian","Human Resources","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","HM Revenue and Customs","10","10","[c]","[c]"
"In post","2022","Asian","Internal Audit","HM Treasury","60","60","47850","47180"
"In post","2022","Asian","Internal Audit","Ministry of Defence","10","10","[c]","[c]"
"In post","2022","Asian","Internal Audit","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Attorney General's Departments","935","865","43340","48080"
"In post","2022","Asian","Legal","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Competition and Markets Authority","15","15","[c]","[c]"
"In post","2022","Asian","Legal","Department for Business, Energy and Industrial Strategy","10","10","[c]","[c]"
"In post","2022","Asian","Legal","Department for Education","5","5","[c]","[c]"
"In post","2022","Asian","Legal","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2022","Asian","Legal","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Asian","Legal","HM Revenue and Customs","130","125","39730","33370"
"In post","2022","Asian","Legal","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Office of Gas and Electricity Markets","5","5","[c]","[c]"
"In post","2022","Asian","Legal","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Scottish Government","30","30","[c]","[c]"
"In post","2022","Asian","Legal","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","UK Export Finance","10","10","[c]","[c]"
"In post","2022","Asian","Legal","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Cabinet Office","170","165","44610","40600"
"In post","2022","Asian","No function","Chancellor's other departments","5","5","[c]","[c]"
"In post","2022","Asian","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Department for Business, Energy and Industrial Strategy","700","685","39450","36630"
"In post","2022","Asian","No function","Department for Digital, Culture, Media and Sport","115","110","43020","36960"
"In post","2022","Asian","No function","Department for Education","430","415","40500","36780"
"In post","2022","Asian","No function","Department for Environment, Food and Rural Affairs","285","280","36610","32560"
"In post","2022","Asian","No function","Department for International Trade","160","160","44510","38320"
"In post","2022","Asian","No function","Department for Levelling Up, Housing and Communities","215","215","40460","36340"
"In post","2022","Asian","No function","Department for Transport","415","400","37190","30730"
"In post","2022","Asian","No function","Department for Work and Pensions","6490","5885","27520","27570"
"In post","2022","Asian","No function","Department of Health and Social Care","930","865","42150","33350"
"In post","2022","Asian","No function","Food Standards Agency","55","55","33060","29720"
"In post","2022","Asian","No function","Foreign, Commonwealth and Development Office","260","250","41960","35720"
"In post","2022","Asian","No function","HM Land Registry","175","160","27260","27130"
"In post","2022","Asian","No function","HM Revenue and Customs","2805","2640","31290","30750"
"In post","2022","Asian","No function","HM Treasury","185","180","44850","38890"
"In post","2022","Asian","No function","Ministry of Defence","55","50","42420","38460"
"In post","2022","Asian","No function","Ministry of Justice","3935","3630","28500","25120"
"In post","2022","Asian","No function","National Crime Agency","215","210","37470","36740"
"In post","2022","Asian","No function","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Office for Standards in Education, Children's Services and Skills","65","60","42200","39850"
"In post","2022","Asian","No function","Office of Gas and Electricity Markets","95","90","37620","33400"
"In post","2022","Asian","No function","Office of Qualifications and Examinations Regulation","20","20","[c]","[c]"
"In post","2022","Asian","No function","Office of Rail and Road","15","15","[c]","[c]"
"In post","2022","Asian","No function","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Asian","No function","Scottish Government","50","45","27730","25050"
"In post","2022","Asian","No function","The National Archives","20","15","[c]","[c]"
"In post","2022","Asian","No function","UK Statistics Authority","70","55","25460","23430"
"In post","2022","Asian","No function","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2022","Asian","No function","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Attorney General's Departments","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","Cabinet Office","25","25","[c]","[c]"
"In post","2022","Asian","Project Delivery","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Competition and Markets Authority","50","45","47810","35270"
"In post","2022","Asian","Project Delivery","Department for Business, Energy and Industrial Strategy","30","30","44460","40050"
"In post","2022","Asian","Project Delivery","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Education","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for International Trade","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Levelling Up, Housing and Communities","30","25","[c]","[c]"
"In post","2022","Asian","Project Delivery","Department for Transport","50","50","43970","42230"
"In post","2022","Asian","Project Delivery","Department for Work and Pensions","85","70","30310","25110"
"In post","2022","Asian","Project Delivery","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Foreign, Commonwealth and Development Office","100","95","48260","51500"
"In post","2022","Asian","Project Delivery","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","HM Revenue and Customs","385","375","44730","40520"
"In post","2022","Asian","Project Delivery","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Ministry of Defence","405","390","38360","37000"
"In post","2022","Asian","Project Delivery","Ministry of Justice","30","30","40920","39190"
"In post","2022","Asian","Project Delivery","National Crime Agency","10","10","[c]","[c]"
"In post","2022","Asian","Project Delivery","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","UK Statistics Authority","5","5","[c]","[c]"
"In post","2022","Asian","Project Delivery","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Cabinet Office","35","35","44820","39800"
"In post","2022","Asian","Property","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","Charity Commission","[c]","[c]","[c]","[c]"
