"Status","Year","Age","Profession_of_post","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","20-29","Corporate Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Corporate Finance","SEO/HEO","10","10","[c]","[c]"
"In post","2022","20-29","Counter Fraud","AA/AO","190","185","22880","21260"
"In post","2022","20-29","Counter Fraud","EO","360","355","27830","27570"
"In post","2022","20-29","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Counter Fraud","SEO/HEO","95","90","33990","32350"
"In post","2022","20-29","Digital, Data and Technology","AA/AO","185","185","21220","21250"
"In post","2022","20-29","Digital, Data and Technology","EO","905","900","27120","26820"
"In post","2022","20-29","Digital, Data and Technology","G6/G7","245","245","54590","53420"
"In post","2022","20-29","Digital, Data and Technology","SEO/HEO","1590","1585","36030","35050"
"In post","2022","20-29","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Economics","AA/AO","70","70","21920","21250"
"In post","2022","20-29","Economics","EO","105","105","26950","27270"
"In post","2022","20-29","Economics","G6/G7","270","270","55570","54570"
"In post","2022","20-29","Economics","SEO/HEO","725","725","34930","33880"
"In post","2022","20-29","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Finance","AA/AO","175","165","21940","21250"
"In post","2022","20-29","Finance","EO","510","505","25800","26350"
"In post","2022","20-29","Finance","G6/G7","175","175","55180","54070"
"In post","2022","20-29","Finance","SEO/HEO","740","735","35560","34130"
"In post","2022","20-29","Finance","Unknown","15","15","29380","31010"
"In post","2022","20-29","Geography","AA/AO","45","45","20480","20420"
"In post","2022","20-29","Geography","EO","45","45","26730","26740"
"In post","2022","20-29","Geography","SEO/HEO","20","20","33860","33290"
"In post","2022","20-29","Human Resources","AA/AO","235","230","21840","21250"
"In post","2022","20-29","Human Resources","EO","370","365","26600","26750"
"In post","2022","20-29","Human Resources","G6/G7","130","130","54730","53360"
"In post","2022","20-29","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Human Resources","SEO/HEO","605","600","33850","32940"
"In post","2022","20-29","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","AA/AO","15","15","22870","21680"
"In post","2022","20-29","Intelligence Analysis","EO","270","270","27360","26750"
"In post","2022","20-29","Intelligence Analysis","G6/G7","5","5","[c]","[c]"
"In post","2022","20-29","Intelligence Analysis","SEO/HEO","200","200","36150","37000"
"In post","2022","20-29","Intelligence Analysis","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","EO","10","10","[c]","[c]"
"In post","2022","20-29","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Internal Audit","SEO/HEO","40","40","35610","33930"
"In post","2022","20-29","International Trade","EO","55","55","26940","26250"
"In post","2022","20-29","International Trade","G6/G7","115","115","53040","51710"
"In post","2022","20-29","International Trade","SEO/HEO","340","340","35280","34710"
"In post","2022","20-29","Knowledge and Information Management","AA/AO","60","60","22040","21170"
"In post","2022","20-29","Knowledge and Information Management","EO","90","90","26820","26820"
"In post","2022","20-29","Knowledge and Information Management","G6/G7","25","25","55370","54070"
"In post","2022","20-29","Knowledge and Information Management","SEO/HEO","110","110","33880","33300"
"In post","2022","20-29","Knowledge and Information Management","Unknown","10","10","[c]","[c]"
"In post","2022","20-29","Legal","AA/AO","35","35","21860","21250"
"In post","2022","20-29","Legal","EO","555","550","28190","26820"
"In post","2022","20-29","Legal","G6/G7","205","205","51690","50500"
"In post","2022","20-29","Legal","SEO/HEO","545","540","36970","37610"
"In post","2022","20-29","Medicine","AA/AO","30","25","23150","23280"
"In post","2022","20-29","Medicine","EO","45","40","29190","27780"
"In post","2022","20-29","Medicine","G6/G7","15","15","56690","53620"
"In post","2022","20-29","Medicine","SEO/HEO","55","50","35010","34170"
"In post","2022","20-29","Operational Delivery","AA/AO","19740","19225","23080","21680"
"In post","2022","20-29","Operational Delivery","EO","11665","11510","27780","27570"
"In post","2022","20-29","Operational Delivery","G6/G7","290","290","54370","53360"
"In post","2022","20-29","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Operational Delivery","SEO/HEO","3315","3290","34310","33370"
"In post","2022","20-29","Operational Delivery","Unknown","3410","3345","25400","24090"
"In post","2022","20-29","Operational Research","AA/AO","10","10","22930","23580"
"In post","2022","20-29","Operational Research","EO","30","30","28780","28650"
"In post","2022","20-29","Operational Research","G6/G7","25","25","57440","57620"
"In post","2022","20-29","Operational Research","SEO/HEO","250","250","34460","35000"
"In post","2022","20-29","Operational Research","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Other","AA/AO","1160","1125","21550","21260"
"In post","2022","20-29","Other","EO","1305","1290","26600","27570"
"In post","2022","20-29","Other","G6/G7","95","95","53470","53100"
"In post","2022","20-29","Other","SEO/HEO","655","650","32730","33000"
"In post","2022","20-29","Other","Unknown","370","370","28250","28980"
"In post","2022","20-29","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","EO","10","10","26480","27850"
"In post","2022","20-29","Planning","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning","SEO/HEO","20","20","35680","33210"
"In post","2022","20-29","Planning Inspectors","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Planning Inspectors","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","AA/AO","160","160","23350","23170"
"In post","2022","20-29","Policy","EO","1085","1075","27340","27680"
"In post","2022","20-29","Policy","G6/G7","1910","1900","54670","53380"
"In post","2022","20-29","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Policy","SEO/HEO","5475","5450","35820","34710"
"In post","2022","20-29","Policy","Unknown","5","5","[c]","[c]"
"In post","2022","20-29","Project Delivery","AA/AO","65","65","22090","21510"
"In post","2022","20-29","Project Delivery","EO","420","415","26020","26180"
"In post","2022","20-29","Project Delivery","G6/G7","170","170","54720","54110"
"In post","2022","20-29","Project Delivery","SEO/HEO","1295","1290","35030","34020"
"In post","2022","20-29","Project Delivery","Unknown","75","75","29660","29750"
"In post","2022","20-29","Property","AA/AO","95","95","20500","20100"
"In post","2022","20-29","Property","EO","320","310","26540","26030"
"In post","2022","20-29","Property","G6/G7","25","25","52550","52290"
"In post","2022","20-29","Property","SEO/HEO","375","375","34440","33000"
"In post","2022","20-29","Property","Unknown","30","30","24200","24080"
"In post","2022","20-29","Psychology","AA/AO","40","40","21300","20740"
"In post","2022","20-29","Psychology","EO","150","145","26180","25830"
"In post","2022","20-29","Psychology","SEO/HEO","205","205","30030","29060"
"In post","2022","20-29","Science and Engineering","AA/AO","325","325","21260","21430"
"In post","2022","20-29","Science and Engineering","EO","815","815","25730","26370"
"In post","2022","20-29","Science and Engineering","G6/G7","30","30","52630","52610"
"In post","2022","20-29","Science and Engineering","SEO/HEO","1465","1455","32830","31600"
"In post","2022","20-29","Science and Engineering","Unknown","265","260","28850","27540"
"In post","2022","20-29","Security","AA/AO","790","790","25470","25000"
"In post","2022","20-29","Security","EO","105","105","28090","26670"
"In post","2022","20-29","Security","G6/G7","10","10","56050","56530"
"In post","2022","20-29","Security","SEO/HEO","185","185","35510","34640"
"In post","2022","20-29","Security","Unknown","25","25","26240","26000"
"In post","2022","20-29","Social Research","AA/AO","10","10","23210","22890"
"In post","2022","20-29","Social Research","EO","45","45","31050","33650"
"In post","2022","20-29","Social Research","G6/G7","40","40","54030","53130"
"In post","2022","20-29","Social Research","SEO/HEO","460","460","35090","33710"
"In post","2022","20-29","Statistics","AA/AO","60","60","22230","22460"
"In post","2022","20-29","Statistics","EO","135","130","27800","27850"
"In post","2022","20-29","Statistics","G6/G7","85","85","55010","53430"
"In post","2022","20-29","Statistics","SEO/HEO","555","550","36010","35490"
"In post","2022","20-29","Tax","AA/AO","1395","1330","21270","21250"
"In post","2022","20-29","Tax","EO","1415","1410","26740","26590"
"In post","2022","20-29","Tax","G6/G7","260","260","56790","55210"
"In post","2022","20-29","Tax","SEO/HEO","1125","1120","34370","33370"
"In post","2022","20-29","Unknown","AA/AO","1515","1470","22440","21250"
"In post","2022","20-29","Unknown","EO","1820","1810","27490","27230"
"In post","2022","20-29","Unknown","G6/G7","735","735","56610","54700"
"In post","2022","20-29","Unknown","SCS level","5","5","[c]","[c]"
"In post","2022","20-29","Unknown","SEO/HEO","3980","3965","33410","32000"
"In post","2022","20-29","Veterinarian","AA/AO","5","5","[c]","[c]"
"In post","2022","20-29","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Veterinarian","SEO/HEO","10","10","[c]","[c]"
"In post","2022","30-39","Commercial","AA/AO","40","40","22120","21740"
"In post","2022","30-39","Commercial","EO","185","175","26270","26350"
"In post","2022","30-39","Commercial","G6/G7","270","265","54340","53360"
"In post","2022","30-39","Commercial","SCS level","25","25","77220","74580"
"In post","2022","30-39","Commercial","SEO/HEO","955","920","36680","36820"
"In post","2022","30-39","Commercial","Unknown","60","60","37530","37400"
"In post","2022","30-39","Communications","AA/AO","30","25","21720","21290"
"In post","2022","30-39","Communications","EO","95","90","27310","26780"
"In post","2022","30-39","Communications","G6/G7","375","365","58030","57430"
"In post","2022","30-39","Communications","SCS level","15","15","87030","77860"
"In post","2022","30-39","Communications","SEO/HEO","670","650","38120","38160"
"In post","2022","30-39","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Corporate Finance","EO","10","5","[c]","[c]"
"In post","2022","30-39","Corporate Finance","G6/G7","15","15","60410","59650"
"In post","2022","30-39","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Corporate Finance","SEO/HEO","15","15","37340","36780"
"In post","2022","30-39","Counter Fraud","AA/AO","175","155","22400","21260"
"In post","2022","30-39","Counter Fraud","EO","490","455","27810","27570"
"In post","2022","30-39","Counter Fraud","G6/G7","25","25","59750","58820"
"In post","2022","30-39","Counter Fraud","SEO/HEO","195","190","34460","33100"
"In post","2022","30-39","Digital, Data and Technology","AA/AO","130","125","21820","21260"
"In post","2022","30-39","Digital, Data and Technology","EO","655","640","27410","26820"
"In post","2022","30-39","Digital, Data and Technology","G6/G7","1370","1350","57500","55480"
"In post","2022","30-39","Digital, Data and Technology","SCS level","35","35","81760","78080"
"In post","2022","30-39","Digital, Data and Technology","SEO/HEO","2450","2405","37410","36840"
"In post","2022","30-39","Digital, Data and Technology","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Economics","EO","10","10","[c]","[c]"
"In post","2022","30-39","Economics","G6/G7","380","365","59930","57940"
"In post","2022","30-39","Economics","SCS level","30","30","80700","78000"
"In post","2022","30-39","Economics","SEO/HEO","90","90","37880","38160"
"In post","2022","30-39","Finance","AA/AO","145","130","21780","21250"
"In post","2022","30-39","Finance","EO","385","360","26820","26670"
"In post","2022","30-39","Finance","G6/G7","660","640","58090","56500"
"In post","2022","30-39","Finance","SCS level","55","55","80230","75830"
"In post","2022","30-39","Finance","SEO/HEO","1220","1180","37310","36650"
"In post","2022","30-39","Finance","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Geography","AA/AO","10","10","[c]","[c]"
"In post","2022","30-39","Geography","EO","25","25","26920","26740"
"In post","2022","30-39","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Geography","SEO/HEO","75","75","34600","33290"
"In post","2022","30-39","Human Resources","AA/AO","240","215","22000","21250"
"In post","2022","30-39","Human Resources","EO","395","375","26950","26670"
"In post","2022","30-39","Human Resources","G6/G7","445","430","57540","55740"
"In post","2022","30-39","Human Resources","SCS level","35","35","80490","76200"
"In post","2022","30-39","Human Resources","SEO/HEO","1025","990","35980","35310"
"In post","2022","30-39","Human Resources","Unknown","10","10","[c]","[c]"
"In post","2022","30-39","Inspector of Education and Training","G6/G7","35","35","73480","75500"
"In post","2022","30-39","Inspector of Education and Training","SEO/HEO","65","65","49800","51360"
"In post","2022","30-39","Intelligence Analysis","AA/AO","10","10","22950","21680"
"In post","2022","30-39","Intelligence Analysis","EO","360","340","27120","26590"
"In post","2022","30-39","Intelligence Analysis","G6/G7","70","70","57610","57560"
"In post","2022","30-39","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Intelligence Analysis","SEO/HEO","380","375","36700","35500"
"In post","2022","30-39","Intelligence Analysis","Unknown","5","5","[c]","[c]"
"In post","2022","30-39","Internal Audit","AA/AO","5","5","[c]","[c]"
"In post","2022","30-39","Internal Audit","EO","5","5","[c]","[c]"
"In post","2022","30-39","Internal Audit","G6/G7","35","35","53740","52110"
"In post","2022","30-39","Internal Audit","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Internal Audit","SEO/HEO","90","85","38140","39200"
"In post","2022","30-39","International Trade","EO","15","15","27600","26660"
"In post","2022","30-39","International Trade","G6/G7","285","285","55860","53420"
"In post","2022","30-39","International Trade","SCS level","35","35","75810","72600"
"In post","2022","30-39","International Trade","SEO/HEO","185","185","36870","38160"
"In post","2022","30-39","Knowledge and Information Management","AA/AO","50","45","22030","21210"
"In post","2022","30-39","Knowledge and Information Management","EO","95","90","27300","27570"
"In post","2022","30-39","Knowledge and Information Management","G6/G7","65","65","57840","54760"
"In post","2022","30-39","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Knowledge and Information Management","SEO/HEO","215","210","35900","35070"
"In post","2022","30-39","Knowledge and Information Management","Unknown","10","10","31880","33080"
"In post","2022","30-39","Legal","AA/AO","20","20","22260","21250"
"In post","2022","30-39","Legal","EO","490","485","27980","26820"
"In post","2022","30-39","Legal","G6/G7","1675","1600","56380","53050"
"In post","2022","30-39","Legal","SCS level","25","25","83390","82340"
"In post","2022","30-39","Legal","SEO/HEO","915","890","38860","37930"
"In post","2022","30-39","Medicine","AA/AO","115","105","22870","23280"
"In post","2022","30-39","Medicine","EO","80","70","31320","31530"
"In post","2022","30-39","Medicine","G6/G7","155","135","67950","68330"
"In post","2022","30-39","Medicine","SCS level","40","30","88990","87920"
"In post","2022","30-39","Medicine","SEO/HEO","200","180","39460","39030"
"In post","2022","30-39","Operational Delivery","AA/AO","19720","17975","23350","21680"
"In post","2022","30-39","Operational Delivery","EO","17495","16575","27980","27570"
"In post","2022","30-39","Operational Delivery","G6/G7","1435","1405","56100","54160"
"In post","2022","30-39","Operational Delivery","SCS level","85","85","81870","75640"
"In post","2022","30-39","Operational Delivery","SEO/HEO","8490","8255","35930","34600"
"In post","2022","30-39","Operational Delivery","Unknown","4430","4100","29040","27980"
"In post","2022","30-39","Operational Research","AA/AO","10","10","[c]","[c]"
"In post","2022","30-39","Operational Research","EO","5","5","[c]","[c]"
"In post","2022","30-39","Operational Research","G6/G7","170","160","54220","54160"
"In post","2022","30-39","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Operational Research","SEO/HEO","150","145","39710","38220"
"In post","2022","30-39","Other","AA/AO","1435","1310","21460","21260"
"In post","2022","30-39","Other","EO","1520","1435","27050","27570"
"In post","2022","30-39","Other","G6/G7","550","535","57920","55620"
"In post","2022","30-39","Other","SCS level","30","30","83080","82500"
"In post","2022","30-39","Other","SEO/HEO","1370","1320","35510","34770"
"In post","2022","30-39","Other","Unknown","440","440","37330","34460"
"In post","2022","30-39","Planning","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Planning","EO","5","5","[c]","[c]"
"In post","2022","30-39","Planning","G6/G7","15","15","54330","53130"
"In post","2022","30-39","Planning","SEO/HEO","45","45","39240","39350"
"In post","2022","30-39","Planning Inspectors","G6/G7","50","45","50660","47660"
"In post","2022","30-39","Planning Inspectors","SEO/HEO","5","5","[c]","[c]"
"In post","2022","30-39","Policy","AA/AO","95","90","22690","22640"
"In post","2022","30-39","Policy","EO","455","440","27990","27850"
"In post","2022","30-39","Policy","G6/G7","4840","4715","57430","55210"
"In post","2022","30-39","Policy","SCS level","385","375","77140","74100"
"In post","2022","30-39","Policy","SEO/HEO","3730","3630","37340","37000"
"In post","2022","30-39","Policy","Unknown","15","15","[c]","[c]"
"In post","2022","30-39","Project Delivery","AA/AO","55","45","22040","21260"
"In post","2022","30-39","Project Delivery","EO","280","270","26540","26630"
"In post","2022","30-39","Project Delivery","G6/G7","1035","1015","56170","54700"
"In post","2022","30-39","Project Delivery","SCS level","50","45","83280","78230"
"In post","2022","30-39","Project Delivery","SEO/HEO","2115","2050","37030","37550"
"In post","2022","30-39","Project Delivery","Unknown","115","110","40180","39860"
"In post","2022","30-39","Property","AA/AO","80","75","20570","21170"
"In post","2022","30-39","Property","EO","220","215","26680","26590"
"In post","2022","30-39","Property","G6/G7","220","215","56210","54620"
"In post","2022","30-39","Property","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Property","SEO/HEO","575","560","37090","36450"
"In post","2022","30-39","Property","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Psychology","AA/AO","15","15","22190","21640"
"In post","2022","30-39","Psychology","EO","145","140","27890","27380"
"In post","2022","30-39","Psychology","G6/G7","20","20","56520","57420"
"In post","2022","30-39","Psychology","SEO/HEO","420","405","36860","33120"
"In post","2022","30-39","Science and Engineering","AA/AO","130","125","22000","21560"
"In post","2022","30-39","Science and Engineering","EO","270","260","26790","26670"
"In post","2022","30-39","Science and Engineering","G6/G7","555","540","52550","50810"
"In post","2022","30-39","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Science and Engineering","SEO/HEO","1860","1810","37420","38070"
"In post","2022","30-39","Science and Engineering","Unknown","185","185","41780","40490"
"In post","2022","30-39","Security","AA/AO","1025","1015","28780","26610"
"In post","2022","30-39","Security","EO","190","185","33890","30210"
"In post","2022","30-39","Security","G6/G7","110","110","58780","57680"
"In post","2022","30-39","Security","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Security","SEO/HEO","385","385","37890","36840"
"In post","2022","30-39","Security","Unknown","30","30","34320","33950"
"In post","2022","30-39","Social Research","EO","5","5","[c]","[c]"
"In post","2022","30-39","Social Research","G6/G7","150","145","56300","55300"
"In post","2022","30-39","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Social Research","SEO/HEO","245","230","37670","38340"
"In post","2022","30-39","Statistics","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Statistics","EO","45","40","27880","27850"
"In post","2022","30-39","Statistics","G6/G7","280","265","56070","54630"
"In post","2022","30-39","Statistics","SCS level","10","10","[c]","[c]"
"In post","2022","30-39","Statistics","SEO/HEO","365","350","37670","38160"
"In post","2022","30-39","Tax","AA/AO","810","745","21300","21250"
"In post","2022","30-39","Tax","EO","1280","1240","26900","26820"
"In post","2022","30-39","Tax","G6/G7","850","830","57880","55210"
"In post","2022","30-39","Tax","SCS level","15","15","77530","77860"
"In post","2022","30-39","Tax","SEO/HEO","2400","2345","35030","33370"
"In post","2022","30-39","Unknown","AA/AO","1015","960","22830","21260"
"In post","2022","30-39","Unknown","EO","1435","1380","27910","27230"
"In post","2022","30-39","Unknown","G6/G7","2475","2425","59510","57190"
"In post","2022","30-39","Unknown","SCS level","185","185","81070","76370"
"In post","2022","30-39","Unknown","SEO/HEO","3490","3410","37210","36130"
"In post","2022","30-39","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Veterinarian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Veterinarian","EO","[c]","[c]","[c]","[c]"
"In post","2022","30-39","Veterinarian","G6/G7","15","15","51530","52180"
"In post","2022","30-39","Veterinarian","SEO/HEO","80","80","37310","37080"
"In post","2022","40-49","Commercial","AA/AO","65","55","22350","21390"
"In post","2022","40-49","Commercial","EO","145","140","26740","26350"
"In post","2022","40-49","Commercial","G6/G7","410","400","58010","55830"
"In post","2022","40-49","Commercial","SCS level","35","35","85520","80630"
"In post","2022","40-49","Commercial","SEO/HEO","805","775","37630","37400"
"In post","2022","40-49","Commercial","Unknown","50","50","42480","39860"
"In post","2022","40-49","Communications","AA/AO","30","30","22280","21380"
"In post","2022","40-49","Communications","EO","120","110","27820","27270"
"In post","2022","40-49","Communications","G6/G7","395","375","58490","56450"
"In post","2022","40-49","Communications","SCS level","60","55","89030","85900"
"In post","2022","40-49","Communications","SEO/HEO","505","475","39070","39000"
"In post","2022","40-49","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Corporate Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Corporate Finance","G6/G7","15","15","61750","64460"
"In post","2022","40-49","Corporate Finance","SCS level","5","5","[c]","[c]"
"In post","2022","40-49","Corporate Finance","SEO/HEO","15","15","37590","36260"
"In post","2022","40-49","Counter Fraud","AA/AO","305","260","22470","21260"
"In post","2022","40-49","Counter Fraud","EO","740","685","28170","27570"
"In post","2022","40-49","Counter Fraud","G6/G7","50","45","58540","55860"
"In post","2022","40-49","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Counter Fraud","SEO/HEO","325","320","35180","33720"
"In post","2022","40-49","Digital, Data and Technology","AA/AO","105","100","22150","21300"
"In post","2022","40-49","Digital, Data and Technology","EO","735","705","27960","27570"
"In post","2022","40-49","Digital, Data and Technology","G6/G7","1955","1930","59150","57430"
"In post","2022","40-49","Digital, Data and Technology","SCS level","130","130","91880","90000"
"In post","2022","40-49","Digital, Data and Technology","SEO/HEO","2560","2505","38420","38160"
"In post","2022","40-49","Digital, Data and Technology","Unknown","10","10","33630","32380"
"In post","2022","40-49","Economics","EO","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Economics","G6/G7","170","160","63510","61440"
"In post","2022","40-49","Economics","SCS level","35","30","91980","85000"
"In post","2022","40-49","Economics","SEO/HEO","35","30","38520","37650"
"In post","2022","40-49","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Finance","AA/AO","190","170","21870","21260"
"In post","2022","40-49","Finance","EO","520","490","27070","26670"
"In post","2022","40-49","Finance","G6/G7","850","830","59120","57540"
"In post","2022","40-49","Finance","SCS level","135","130","84450","78470"
"In post","2022","40-49","Finance","SEO/HEO","1490","1440","37510","36820"
"In post","2022","40-49","Finance","Unknown","15","15","47010","46140"
"In post","2022","40-49","Geography","AA/AO","5","5","[c]","[c]"
"In post","2022","40-49","Geography","EO","25","20","27700","27520"
"In post","2022","40-49","Geography","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","40-49","Geography","SEO/HEO","65","60","36210","33290"
"In post","2022","40-49","Human Resources","AA/AO","215","190","22120","21380"
"In post","2022","40-49","Human Resources","EO","355","330","27730","27130"
"In post","2022","40-49","Human Resources","G6/G7","675","650","57730","56670"
"In post","2022","40-49","Human Resources","SCS level","105","105","87390","78300"
"In post","2022","40-49","Human Resources","SEO/HEO","1120","1070","36980","36740"
"In post","2022","40-49","Human Resources","Unknown","10","10","46170","46490"
"In post","2022","40-49","Inspector of Education and Training","G6/G7","175","170","74900","75500"
"In post","2022","40-49","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
