"Status","Year","Parent_department","Region_london","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Cabinet Office","Outside London","SEO/HEO","Male","780","770","33980","33250"
"In post","2022","Cabinet Office","Unknown","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","EO","Female","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","EO","Male","25","25","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","G6/G7","Female","40","40","55880","54700"
"In post","2022","Cabinet Office","Unknown","G6/G7","Male","45","45","56390","54700"
"In post","2022","Cabinet Office","Unknown","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Cabinet Office","Unknown","SEO/HEO","Female","190","190","31470","29250"
"In post","2022","Cabinet Office","Unknown","SEO/HEO","Male","155","155","31910","31900"
"In post","2022","Chancellor's other departments","London","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","London","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","London","EO","Female","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","London","EO","Male","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","London","G6/G7","Female","70","60","73890","71620"
"In post","2022","Chancellor's other departments","London","G6/G7","Male","105","105","79030","71500"
"In post","2022","Chancellor's other departments","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","London","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","London","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","London","SEO/HEO","Female","50","50","42160","43060"
"In post","2022","Chancellor's other departments","London","SEO/HEO","Male","65","65","40060","39720"
"In post","2022","Chancellor's other departments","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","EO","Male","5","5","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","SEO/HEO","Female","15","15","[c]","[c]"
"In post","2022","Chancellor's other departments","Outside London","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","Charity Commission","London","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","London","SEO/HEO","Female","25","25","[c]","[c]"
"In post","2022","Charity Commission","London","SEO/HEO","Male","15","15","[c]","[c]"
"In post","2022","Charity Commission","Outside London","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Charity Commission","Outside London","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","Outside London","EO","Female","70","65","24850","24440"
"In post","2022","Charity Commission","Outside London","EO","Male","40","40","25100","24440"
"In post","2022","Charity Commission","Outside London","G6/G7","Female","30","25","[c]","[c]"
"In post","2022","Charity Commission","Outside London","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","Outside London","SEO/HEO","Female","115","110","31960","29260"
"In post","2022","Charity Commission","Outside London","SEO/HEO","Male","90","90","32700","29550"
"In post","2022","Competition and Markets Authority","London","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","London","EO","Female","35","30","27870","27830"
"In post","2022","Competition and Markets Authority","London","EO","Male","30","30","28620","28170"
"In post","2022","Competition and Markets Authority","London","G6/G7","Female","195","185","65880","62980"
"In post","2022","Competition and Markets Authority","London","G6/G7","Male","205","200","66160","62890"
"In post","2022","Competition and Markets Authority","London","SCS level","Female","50","45","105350","99510"
"In post","2022","Competition and Markets Authority","London","SCS level","Male","70","70","109800","100340"
"In post","2022","Competition and Markets Authority","London","SEO/HEO","Female","105","105","37500","35760"
"In post","2022","Competition and Markets Authority","London","SEO/HEO","Male","85","85","37580","35100"
"In post","2022","Competition and Markets Authority","Outside London","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","G6/G7","Female","20","20","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","G6/G7","Male","25","25","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","Outside London","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","AA/AO","Female","85","80","24700","25060"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","AA/AO","Male","55","55","25440","24980"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","EO","Female","245","240","28610","27690"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","EO","Male","160","160","28630","27690"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","G6/G7","Female","1200","1150","58270","55880"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","G6/G7","Male","1350","1330","59180","57620"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","SCS level","Female","155","145","86760","79410"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","SCS level","Male","170","165","89210","82580"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","Female","1285","1260","38100","39980"
"In post","2022","Department for Business, Energy and Industrial Strategy","London","SEO/HEO","Male","1250","1245","38800","40050"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","Female","860","760","21310","21130"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","AA/AO","Male","495","480","21090","21130"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","EO","Female","865","795","25570","24570"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","EO","Male","690","675","26390","24740"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","Female","580","550","54480","52080"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","G6/G7","Male","885","850","55950","57170"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Female","25","25","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","SCS level","Male","50","50","88300","75760"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","Female","1700","1585","36420","36160"
"In post","2022","Department for Business, Energy and Industrial Strategy","Outside London","SEO/HEO","Male","1940","1880","38150","38200"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Department for Business, Energy and Industrial Strategy","Overseas","SEO/HEO","Male","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","London","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","London","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","London","EO","Female","105","100","27170","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","London","EO","Male","55","55","26750","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","London","G6/G7","Female","440","430","56420","53800"
"In post","2022","Department for Digital, Culture, Media and Sport","London","G6/G7","Male","395","395","56610","54970"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SCS level","Female","65","60","83360","75000"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SCS level","Male","50","50","84270","77570"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SEO/HEO","Female","370","365","35690","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","London","SEO/HEO","Male","295","295","35670","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","EO","Female","15","15","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","EO","Male","10","10","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","Female","35","35","52900","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","G6/G7","Male","40","40","53620","51730"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SCS level","Male","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","Female","60","55","33790","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","Outside London","SEO/HEO","Male","55","55","34060","34020"
"In post","2022","Department for Education","London","AA/AO","Female","20","20","[c]","[c]"
"In post","2022","Department for Education","London","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Department for Education","London","EO","Female","140","135","29060","28500"
"In post","2022","Department for Education","London","EO","Male","80","80","29410","29500"
"In post","2022","Department for Education","London","G6/G7","Female","705","665","58460","54400"
"In post","2022","Department for Education","London","G6/G7","Male","460","455","59490","56350"
"In post","2022","Department for Education","London","SCS level","Female","110","105","82480","74240"
"In post","2022","Department for Education","London","SCS level","Male","75","70","85420","75510"
"In post","2022","Department for Education","London","SEO/HEO","Female","615","585","38510","40230"
"In post","2022","Department for Education","London","SEO/HEO","Male","320","315","39330","40230"
"In post","2022","Department for Education","Outside London","AA/AO","Female","65","60","21220","21250"
"In post","2022","Department for Education","Outside London","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","Department for Education","Outside London","EO","Female","455","430","25410","25000"
"In post","2022","Department for Education","Outside London","EO","Male","260","255","25410","25000"
"In post","2022","Department for Education","Outside London","G6/G7","Female","1135","1080","53740","50630"
"In post","2022","Department for Education","Outside London","G6/G7","Male","955","940","54830","50630"
"In post","2022","Department for Education","Outside London","SCS level","Female","60","55","79450","74100"
"In post","2022","Department for Education","Outside London","SCS level","Male","55","55","83580","76160"
"In post","2022","Department for Education","Outside London","SEO/HEO","Female","1870","1770","34430","36500"
"In post","2022","Department for Education","Outside London","SEO/HEO","Male","1285","1275","34610","36500"
"In post","2022","Department for Education","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Education","Overseas","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","London","AA/AO","Female","50","45","24690","24370"
"In post","2022","Department for Environment, Food and Rural Affairs","London","AA/AO","Male","40","40","24000","24370"
"In post","2022","Department for Environment, Food and Rural Affairs","London","EO","Female","185","180","28610","28170"
"In post","2022","Department for Environment, Food and Rural Affairs","London","EO","Male","155","155","28500","28270"
"In post","2022","Department for Environment, Food and Rural Affairs","London","G6/G7","Female","515","485","57120","54650"
"In post","2022","Department for Environment, Food and Rural Affairs","London","G6/G7","Male","425","420","57260","54650"
"In post","2022","Department for Environment, Food and Rural Affairs","London","SCS level","Female","65","60","84100","76720"
"In post","2022","Department for Environment, Food and Rural Affairs","London","SCS level","Male","70","70","83840","77240"
"In post","2022","Department for Environment, Food and Rural Affairs","London","SEO/HEO","Female","750","725","36680","36230"
"In post","2022","Department for Environment, Food and Rural Affairs","London","SEO/HEO","Male","620","615","36680","35290"
"In post","2022","Department for Environment, Food and Rural Affairs","London","Unknown","Female","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","London","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","Female","1425","1265","21620","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","AA/AO","Male","880","855","21610","21300"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","EO","Female","1185","1090","25670","25120"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","EO","Male","760","740","25760","25190"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","Female","845","800","52100","49340"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","G6/G7","Male","905","890","53360","50870"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","SCS level","Female","40","35","82290","74520"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","SCS level","Male","45","45","81540","77550"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","Female","2130","1995","34240","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","SEO/HEO","Male","1630","1600","34480","35900"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Outside London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","EO","Male","5","5","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs","Unknown","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","London","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Department for International Trade","London","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Department for International Trade","London","EO","Female","140","140","27690","26510"
"In post","2022","Department for International Trade","London","EO","Male","110","110","27870","26510"
"In post","2022","Department for International Trade","London","G6/G7","Female","470","460","56130","51970"
"In post","2022","Department for International Trade","London","G6/G7","Male","505","505","57260","54650"
"In post","2022","Department for International Trade","London","SCS level","Female","65","65","82530","75570"
"In post","2022","Department for International Trade","London","SCS level","Male","75","75","91920","81020"
"In post","2022","Department for International Trade","London","SEO/HEO","Female","540","535","36230","35560"
"In post","2022","Department for International Trade","London","SEO/HEO","Male","570","570","36790","38160"
"In post","2022","Department for International Trade","Outside London","AA/AO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","EO","Female","15","10","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","EO","Male","10","10","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","G6/G7","Female","40","40","52110","48220"
"In post","2022","Department for International Trade","Outside London","G6/G7","Male","45","45","53490","50590"
"In post","2022","Department for International Trade","Outside London","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Outside London","SEO/HEO","Female","40","40","33670","31970"
"In post","2022","Department for International Trade","Outside London","SEO/HEO","Male","40","40","32810","34430"
"In post","2022","Department for International Trade","Overseas","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Overseas","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for International Trade","Overseas","G6/G7","Female","30","30","56500","54560"
"In post","2022","Department for International Trade","Overseas","G6/G7","Male","65","65","57220","55360"
"In post","2022","Department for International Trade","Overseas","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Department for International Trade","Overseas","SCS level","Male","20","20","[c]","[c]"
"In post","2022","Department for International Trade","Overseas","SEO/HEO","Female","10","10","[c]","[c]"
"In post","2022","Department for International Trade","Overseas","SEO/HEO","Male","35","35","37560","38300"
"In post","2022","Department for Levelling Up, Housing and Communities","London","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","London","AA/AO","Male","20","20","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","London","EO","Female","120","120","28970","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","London","EO","Male","115","110","28860","27850"
"In post","2022","Department for Levelling Up, Housing and Communities","London","G6/G7","Female","500","480","57740","53870"
"In post","2022","Department for Levelling Up, Housing and Communities","London","G6/G7","Male","510","500","57880","54500"
"In post","2022","Department for Levelling Up, Housing and Communities","London","SCS level","Female","80","75","84180","76680"
"In post","2022","Department for Levelling Up, Housing and Communities","London","SCS level","Male","75","75","86370","78450"
"In post","2022","Department for Levelling Up, Housing and Communities","London","SEO/HEO","Female","425","420","37030","37600"
"In post","2022","Department for Levelling Up, Housing and Communities","London","SEO/HEO","Male","420","420","37170","37600"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","AA/AO","Female","115","100","21890","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","AA/AO","Male","75","70","21980","22560"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","EO","Female","105","95","26070","25940"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","EO","Male","100","100","26380","26050"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","G6/G7","Female","335","305","53820","48810"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","G6/G7","Male","385","365","55080","53130"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","SCS level","Female","20","15","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","SCS level","Male","10","10","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","SEO/HEO","Female","405","385","34350","34680"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","SEO/HEO","Male","320","315","35020","36340"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Outside London","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","EO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Levelling Up, Housing and Communities","Unknown","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","London","AA/AO","Female","35","35","26800","25730"
"In post","2022","Department for Transport","London","AA/AO","Male","110","95","31590","33390"
"In post","2022","Department for Transport","London","EO","Female","220","215","30160","30270"
"In post","2022","Department for Transport","London","EO","Male","320","310","30900","30720"
"In post","2022","Department for Transport","London","G6/G7","Female","515","495","58430","54760"
"In post","2022","Department for Transport","London","G6/G7","Male","715","705","59460","55930"
"In post","2022","Department for Transport","London","SCS level","Female","100","95","83450","76710"
"In post","2022","Department for Transport","London","SCS level","Male","115","115","90630","82000"
"In post","2022","Department for Transport","London","SEO/HEO","Female","545","530","38860","37660"
"In post","2022","Department for Transport","London","SEO/HEO","Male","715","705","39260","38800"
"In post","2022","Department for Transport","Outside London","AA/AO","Female","3305","2685","21070","21840"
"In post","2022","Department for Transport","Outside London","AA/AO","Male","2270","2170","22820","21840"
"In post","2022","Department for Transport","Outside London","EO","Female","1365","1245","26790","26700"
"In post","2022","Department for Transport","Outside London","EO","Male","2360","2245","27840","26780"
"In post","2022","Department for Transport","Outside London","G6/G7","Female","275","260","58120","52300"
"In post","2022","Department for Transport","Outside London","G6/G7","Male","540","530","63050","60140"
"In post","2022","Department for Transport","Outside London","SCS level","Female","20","20","[c]","[c]"
"In post","2022","Department for Transport","Outside London","SCS level","Male","20","15","[c]","[c]"
"In post","2022","Department for Transport","Outside London","SEO/HEO","Female","1110","1060","35430","33350"
"In post","2022","Department for Transport","Outside London","SEO/HEO","Male","1725","1695","37930","36180"
"In post","2022","Department for Transport","Overseas","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Overseas","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Department for Transport","Overseas","SEO/HEO","Female","[c]","[c]","[c]","[c]"
"In post","2022","Department for Transport","Overseas","SEO/HEO","Male","5","5","[c]","[c]"
"In post","2022","Department for Work and Pensions","London","AA/AO","Female","1055","885","24520","25110"
"In post","2022","Department for Work and Pensions","London","AA/AO","Male","470","455","24600","25110"
"In post","2022","Department for Work and Pensions","London","EO","Female","4025","3690","31070","31060"
"In post","2022","Department for Work and Pensions","London","EO","Male","2090","2040","31120","31060"
"In post","2022","Department for Work and Pensions","London","G6/G7","Female","365","345","59510","56370"
"In post","2022","Department for Work and Pensions","London","G6/G7","Male","350","340","61110","58180"
"In post","2022","Department for Work and Pensions","London","SCS level","Female","70","65","87990","79900"
"In post","2022","Department for Work and Pensions","London","SCS level","Male","55","55","95670","85040"
"In post","2022","Department for Work and Pensions","London","SEO/HEO","Female","925","885","38610","37760"
"In post","2022","Department for Work and Pensions","London","SEO/HEO","Male","715","700","39310","38370"
"In post","2022","Department for Work and Pensions","Outside London","AA/AO","Female","18405","15020","21220","21260"
"In post","2022","Department for Work and Pensions","Outside London","AA/AO","Male","9280","8825","21260","21260"
"In post","2022","Department for Work and Pensions","Outside London","EO","Female","27675","24035","27660","27570"
"In post","2022","Department for Work and Pensions","Outside London","EO","Male","14265","13675","27690","27570"
"In post","2022","Department for Work and Pensions","Outside London","G6/G7","Female","1500","1425","54550","52150"
"In post","2022","Department for Work and Pensions","Outside London","G6/G7","Male","1840","1800","58460","56330"
"In post","2022","Department for Work and Pensions","Outside London","SCS level","Female","85","80","82930","77170"
"In post","2022","Department for Work and Pensions","Outside London","SCS level","Male","90","90","87450","81530"
"In post","2022","Department for Work and Pensions","Outside London","SEO/HEO","Female","5930","5450","34660","33650"
"In post","2022","Department for Work and Pensions","Outside London","SEO/HEO","Male","4380","4235","36910","34290"
"In post","2022","Department for Work and Pensions","Unknown","AA/AO","Female","85","70","23340","24290"
"In post","2022","Department for Work and Pensions","Unknown","AA/AO","Male","30","30","22070","21260"
"In post","2022","Department for Work and Pensions","Unknown","EO","Female","215","200","28870","27570"
"In post","2022","Department for Work and Pensions","Unknown","EO","Male","125","120","28500","27570"
"In post","2022","Department for Work and Pensions","Unknown","G6/G7","Female","20","15","[c]","[c]"
"In post","2022","Department for Work and Pensions","Unknown","G6/G7","Male","15","15","[c]","[c]"
