"Status","Year","Age","Disability","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Rural Payments Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Valuation Office Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared disabled","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Animal and Plant Health Agency","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Cabinet Office (excl. agencies)","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Crown Office and Procurator Fiscal Service","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Crown Prosecution Service","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Defence Electronics and Components Agency","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Defence Equipment and Support","50","50","19330","19460"
"In post","2022","16-19","Declared non-disabled","Defence Science and Technology Laboratory","20","20","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Department for Work and Pensions (excl. agencies)","125","125","23070","21260"
"In post","2022","16-19","Declared non-disabled","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Driver and Vehicle Licensing Agency","30","25","19250","18310"
"In post","2022","16-19","Declared non-disabled","Driver and Vehicle Standards Agency","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","FCDO Services","25","25","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Government Legal Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Courts and Tribunals Service","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Land Registry","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","HM Prison and Probation Service","85","85","23510","23140"
"In post","2022","16-19","Declared non-disabled","HM Revenue and Customs (excl. agencies)","85","85","22140","21250"
"In post","2022","16-19","Declared non-disabled","HM Treasury (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Home Office","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Met Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Defence (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Rural Payments Agency","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Courts and Tribunals Service","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Government (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Prison Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Serious Fraud Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Social Security Scotland","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Submarine Delivery Agency","10","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Health Security Agency","15","10","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","UK Statistics Authority","15","15","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Valuation Office Agency","5","5","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Declared non-disabled","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","FCDO Services","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Social Security Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Undeclared","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Cabinet Office (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Companies House","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Crown Prosecution Service","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Defence Equipment and Support","45","45","17720","17140"
"In post","2022","16-19","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Education (excl. agencies)","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","10","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Levelling Up, Housing and Communities (excl. agencies)","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Transport (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department for Work and Pensions (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Driver and Vehicle Licensing Agency","40","35","19090","18310"
"In post","2022","16-19","Unknown","Driver and Vehicle Standards Agency","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Government Actuary's Department","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Health and Safety Executive","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Courts and Tribunals Service","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","HM Prison and Probation Service","70","70","22880","23140"
"In post","2022","16-19","Unknown","HM Revenue and Customs (excl. agencies)","105","100","21780","21250"
"In post","2022","16-19","Unknown","Home Office","45","45","23660","21680"
"In post","2022","16-19","Unknown","Intellectual Property Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Defence (excl. agencies)","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Royal Fleet Auxiliary","35","35","17940","16450"
"In post","2022","16-19","Unknown","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Scottish Government (excl. agencies)","15","15","[c]","[c]"
"In post","2022","16-19","Unknown","Scottish Prison Service","5","5","[c]","[c]"
"In post","2022","16-19","Unknown","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Social Security Scotland","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Submarine Delivery Agency","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","The Insolvency Service","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","UK Health Security Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Unknown","UK Statistics Authority","10","5","[c]","[c]"
"In post","2022","16-19","Unknown","Valuation Office Agency","10","10","[c]","[c]"
"In post","2022","16-19","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Advisory, Conciliation and Arbitration Service","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Animal and Plant Health Agency","50","50","25090","24920"
"In post","2022","20-29","Declared disabled","Attorney General's Office","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Cabinet Office (excl. agencies)","175","175","34320","34550"
"In post","2022","20-29","Declared disabled","Centre for Environment, Fisheries and Aquaculture Science","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Companies House","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Competition and Markets Authority","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Crown Commercial Service","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Crown Office and Procurator Fiscal Service","40","40","25880","21050"
"In post","2022","20-29","Declared disabled","Crown Prosecution Service","60","60","26260","23770"
"In post","2022","20-29","Declared disabled","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Defence Equipment and Support","155","155","26910","26250"
"In post","2022","20-29","Declared disabled","Defence Science and Technology Laboratory","50","50","28440","29230"
"In post","2022","20-29","Declared disabled","Department for Business, Energy and Industrial Strategy (excl. agencies)","160","160","40150","38290"
"In post","2022","20-29","Declared disabled","Department for Digital, Culture, Media and Sport","65","65","37730","34020"
"In post","2022","20-29","Declared disabled","Department for Education (excl. agencies)","105","105","34910","32940"
"In post","2022","20-29","Declared disabled","Department for Environment, Food and Rural Affairs (excl. agencies)","155","150","33820","32560"
"In post","2022","20-29","Declared disabled","Department for International Trade","70","70","37340","34900"
"In post","2022","20-29","Declared disabled","Department for Levelling Up, Housing and Communities (excl. agencies)","110","110","36440","33210"
"In post","2022","20-29","Declared disabled","Department for Transport (excl. agencies)","60","60","40100","34710"
"In post","2022","20-29","Declared disabled","Department for Work and Pensions (excl. agencies)","1210","1185","26510","27570"
"In post","2022","20-29","Declared disabled","Department of Health and Social Care (excl. agencies)","70","70","37360","32790"
"In post","2022","20-29","Declared disabled","Disclosure Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Driver and Vehicle Licensing Agency","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Driver and Vehicle Standards Agency","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Education and Skills Funding Agency","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Education Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","FCDO Services","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Food Standards Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Foreign, Commonwealth and Development Office (excl. agencies)","110","110","35780","35700"
"In post","2022","20-29","Declared disabled","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Government Actuary's Department","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Government Internal Audit Agency","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Government Legal Department","30","30","36540","33460"
"In post","2022","20-29","Declared disabled","Government Property Agency","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Health and Safety Executive","30","30","27070","26370"
"In post","2022","20-29","Declared disabled","HM Courts and Tribunals Service","160","155","24340","20970"
"In post","2022","20-29","Declared disabled","HM Land Registry","65","65","25480","22600"
"In post","2022","20-29","Declared disabled","HM Prison and Probation Service","805","795","26180","24800"
"In post","2022","20-29","Declared disabled","HM Revenue and Customs (excl. agencies)","510","490","29470","26820"
"In post","2022","20-29","Declared disabled","HM Treasury (excl. agencies)","95","95","38140","33020"
"In post","2022","20-29","Declared disabled","Home Office","195","190","29680","25040"
"In post","2022","20-29","Declared disabled","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Intellectual Property Office","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Legal Aid Agency","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Maritime and Coastguard Agency","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Met Office","20","20","[c]","[c]"
"In post","2022","20-29","Declared disabled","Ministry of Defence (excl. agencies)","240","235","30730","28700"
"In post","2022","20-29","Declared disabled","Ministry of Justice (excl. agencies)","95","90","34200","34260"
"In post","2022","20-29","Declared disabled","National Crime Agency","35","35","34490","34060"
"In post","2022","20-29","Declared disabled","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","National Records of Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","National Savings and Investments","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office for Standards in Education, Children's Services and Skills","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office of the Public Guardian","30","30","23200","20970"
"In post","2022","20-29","Declared disabled","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Planning Inspectorate","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Registers of Scotland","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Revenue Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Rural Payments Agency","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Scottish Courts and Tribunals Service","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Scottish Forestry","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Scottish Government (excl. agencies)","135","130","32020","31540"
"In post","2022","20-29","Declared disabled","Scottish Prison Service","15","15","[c]","[c]"
"In post","2022","20-29","Declared disabled","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Serious Fraud Office","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","Social Security Scotland","45","45","25840","22140"
"In post","2022","20-29","Declared disabled","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","Submarine Delivery Agency","40","40","29330","29650"
"In post","2022","20-29","Declared disabled","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","The Insolvency Service","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","The National Archives","10","10","[c]","[c]"
"In post","2022","20-29","Declared disabled","Transport Scotland","5","5","[c]","[c]"
"In post","2022","20-29","Declared disabled","UK Debt Management Office","[c]","[c]","[c]","[c]"
"In post","2022","20-29","Declared disabled","UK Export Finance","5","5","[c]","[c]"
