"Status","Year","Function_of_post","Region_ITL1","Region_london","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","East Midlands (England)","Outside London","Heterosexual / straight","390","380","31020","26820"
"In post","2022","Communications","East Midlands (England)","Outside London","LGBO","40","40","29270","26820"
"In post","2022","Communications","East Midlands (England)","Outside London","Undeclared","30","25","[c]","[c]"
"In post","2022","Communications","East Midlands (England)","Outside London","Unknown","205","200","28850","26820"
"In post","2022","Communications","East of England","Outside London","Heterosexual / straight","55","50","34810","33300"
"In post","2022","Communications","East of England","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Communications","East of England","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","East of England","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","London","London","Heterosexual / straight","1465","1430","48040","43810"
"In post","2022","Communications","London","London","LGBO","170","170","44650","41340"
"In post","2022","Communications","London","London","Undeclared","275","270","45400","40640"
"In post","2022","Communications","London","London","Unknown","510","500","46770","42470"
"In post","2022","Communications","North East (England)","Outside London","Heterosexual / straight","975","920","30290","26820"
"In post","2022","Communications","North East (England)","Outside London","LGBO","70","70","30010","26820"
"In post","2022","Communications","North East (England)","Outside London","Undeclared","75","75","28500","26820"
"In post","2022","Communications","North East (England)","Outside London","Unknown","400","380","28510","26820"
"In post","2022","Communications","North West (England)","Outside London","Heterosexual / straight","440","430","33070","30430"
"In post","2022","Communications","North West (England)","Outside London","LGBO","40","40","29810","26820"
"In post","2022","Communications","North West (England)","Outside London","Undeclared","35","35","35190","33220"
"In post","2022","Communications","North West (England)","Outside London","Unknown","290","285","29600","26820"
"In post","2022","Communications","Northern Ireland","Outside London","Heterosexual / straight","25","20","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Northern Ireland","Outside London","Unknown","10","10","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","Overseas","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","Heterosexual / straight","60","55","37860","37710"
"In post","2022","Communications","Scotland","Outside London","LGBO","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","Undeclared","5","5","[c]","[c]"
"In post","2022","Communications","Scotland","Outside London","Unknown","15","15","[c]","[c]"
"In post","2022","Communications","South East (England)","Outside London","Heterosexual / straight","210","200","34250","33000"
"In post","2022","Communications","South East (England)","Outside London","LGBO","15","15","[c]","[c]"
"In post","2022","Communications","South East (England)","Outside London","Undeclared","25","25","[c]","[c]"
"In post","2022","Communications","South East (England)","Outside London","Unknown","35","35","38400","35900"
"In post","2022","Communications","South West (England)","Outside London","Heterosexual / straight","225","210","36210","33810"
"In post","2022","Communications","South West (England)","Outside London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","South West (England)","Outside London","Undeclared","35","30","34690","33290"
"In post","2022","Communications","South West (England)","Outside London","Unknown","50","45","37570","33180"
"In post","2022","Communications","Unknown","Unknown","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Wales","Outside London","Heterosexual / straight","575","545","31650","26820"
"In post","2022","Communications","Wales","Outside London","LGBO","40","40","33370","26820"
"In post","2022","Communications","Wales","Outside London","Undeclared","55","50","30320","26820"
"In post","2022","Communications","Wales","Outside London","Unknown","270","260","30130","26820"
