"Status","Year","Disability","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","5665","5535","47970","43590"
"In post","2022","Declared non-disabled","HM Land Registry","4150","3725","32730","27130"
"In post","2022","Declared non-disabled","HM Revenue and Customs","41850","39035","34770","33080"
"In post","2022","Declared non-disabled","HM Treasury","1905","1850","48540","49510"
"In post","2022","Declared non-disabled","Home Office","26120","24320","32690","28650"
"In post","2022","Declared non-disabled","Ministry of Defence","39525","38200","34980","33000"
"In post","2022","Declared non-disabled","Ministry of Justice","57235","53760","30800","28010"
"In post","2022","Declared non-disabled","National Crime Agency","1625","1570","43870","41530"
"In post","2022","Declared non-disabled","Northern Ireland Office","105","100","46450","41750"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","1525","1470","51440","51360"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","1175","1155","43790","37230"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","190","180","44130","38760"
"In post","2022","Declared non-disabled","Office of Rail and Road","315","305","54480","54890"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland","45","45","49810","47490"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","30","30","50130","49010"
"In post","2022","Declared non-disabled","Scottish Government","11980","11485","39350","34600"
"In post","2022","Declared non-disabled","The National Archives","365","350","36680","34480"
"In post","2022","Declared non-disabled","UK Export Finance","430","425","52710","47650"
"In post","2022","Declared non-disabled","UK Statistics Authority","2935","2625","35120","30810"
"In post","2022","Declared non-disabled","UK Supreme Court","45","40","38210","31680"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","205","200","54540","49160"
"In post","2022","Declared non-disabled","Welsh Government","5040","4765","42250","38160"
"In post","2022","Undeclared","Attorney General's Departments","160","150","51930","51980"
"In post","2022","Undeclared","Cabinet Office","320","310","44480","40600"
"In post","2022","Undeclared","Chancellor's other departments","5","5","[c]","[c]"
"In post","2022","Undeclared","Competition and Markets Authority","15","15","[c]","[c]"
"In post","2022","Undeclared","Department for Business, Energy and Industrial Strategy","475","460","44430","40050"
"In post","2022","Undeclared","Department for Digital, Culture, Media and Sport","95","95","45140","47070"
"In post","2022","Undeclared","Department for Education","355","345","44000","40230"
"In post","2022","Undeclared","Department for Environment, Food and Rural Affairs","515","495","37300","35900"
"In post","2022","Undeclared","Department for International Trade","65","65","47740","51710"
"In post","2022","Undeclared","Department for Levelling Up, Housing and Communities","195","190","44430","39990"
"In post","2022","Undeclared","Department for Transport","1100","1030","33750","29970"
"In post","2022","Undeclared","Department for Work and Pensions","4305","3975","28640","27570"
"In post","2022","Undeclared","Department of Health and Social Care","120","115","45010","40830"
"In post","2022","Undeclared","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Food Standards Agency","345","340","37950","37350"
"In post","2022","Undeclared","Foreign, Commonwealth and Development Office","330","325","49020","43970"
"In post","2022","Undeclared","HM Land Registry","295","260","33470","33840"
"In post","2022","Undeclared","HM Revenue and Customs","3455","3195","35290","33370"
"In post","2022","Undeclared","HM Treasury","405","400","45650","42070"
"In post","2022","Undeclared","Home Office","1660","1545","33300","29160"
"In post","2022","Undeclared","Ministry of Defence","3970","3835","34120","33000"
"In post","2022","Undeclared","Ministry of Justice","8530","7830","31560","31650"
"In post","2022","Undeclared","Northern Ireland Office","10","10","[c]","[c]"
"In post","2022","Undeclared","Office of Qualifications and Examinations Regulation","10","10","[c]","[c]"
"In post","2022","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","Office of the Secretary of State for Scotland","10","5","[c]","[c]"
"In post","2022","Undeclared","Scottish Government","375","360","40120","36130"
"In post","2022","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Undeclared","UK Export Finance","30","30","61560","56240"
"In post","2022","Undeclared","UK Statistics Authority","140","120","30180","27570"
"In post","2022","Undeclared","Water Services Regulation Authority","10","10","[c]","[c]"
"In post","2022","Undeclared","Welsh Government","185","175","42680","40100"
"In post","2022","Unknown","Attorney General's Departments","1990","1890","43050","40800"
"In post","2022","Unknown","Cabinet Office","4615","4560","45710","34550"
"In post","2022","Unknown","Chancellor's other departments","50","45","57740","53180"
"In post","2022","Unknown","Charity Commission","215","200","32270","29160"
"In post","2022","Unknown","Competition and Markets Authority","75","70","73200","74650"
"In post","2022","Unknown","Department for Business, Energy and Industrial Strategy","2365","2275","36290","33570"
"In post","2022","Unknown","Department for Digital, Culture, Media and Sport","190","185","46480","47540"
"In post","2022","Unknown","Department for Education","2210","2165","38920","36500"
"In post","2022","Unknown","Department for Environment, Food and Rural Affairs","1250","1185","38990","35900"
"In post","2022","Unknown","Department for International Trade","1045","1035","45810","40300"
"In post","2022","Unknown","Department for Levelling Up, Housing and Communities","605","580","44450","40600"
"In post","2022","Unknown","Department for Transport","2630","2505","31200","26700"
"In post","2022","Unknown","Department for Work and Pensions","3370","3225","29930","27570"
"In post","2022","Unknown","Department of Health and Social Care","5930","5705","47480","41020"
"In post","2022","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Unknown","Food Standards Agency","80","80","35290","32640"
"In post","2022","Unknown","Foreign, Commonwealth and Development Office","1460","1435","49210","51500"
"In post","2022","Unknown","HM Land Registry","1525","1465","27610","22600"
"In post","2022","Unknown","HM Revenue and Customs","19670","18310","30290","26820"
"In post","2022","Unknown","HM Treasury","180","175","55520","52500"
"In post","2022","Unknown","Home Office","5720","5560","32590","27370"
"In post","2022","Unknown","Ministry of Defence","9400","9130","34400","32670"
"In post","2022","Unknown","Ministry of Justice","10785","10250","27950","25210"
"In post","2022","Unknown","National Crime Agency","3670","3590","39420","36740"
"In post","2022","Unknown","Northern Ireland Office","55","55","46160","41750"
"In post","2022","Unknown","Office for Standards in Education, Children's Services and Skills","155","145","42760","42660"
"In post","2022","Unknown","Office of Gas and Electricity Markets","95","90","45270","42810"
"In post","2022","Unknown","Office of Qualifications and Examinations Regulation","60","55","49000","46660"
"In post","2022","Unknown","Office of the Secretary of State for Scotland","60","55","46020","42200"
"In post","2022","Unknown","Office of the Secretary of State for Wales","10","10","[c]","[c]"
"In post","2022","Unknown","Scottish Government","10990","10370","35190","31670"
"In post","2022","Unknown","The National Archives","175","165","35120","30820"
"In post","2022","Unknown","UK Export Finance","5","5","[c]","[c]"
"In post","2022","Unknown","UK Statistics Authority","2220","2005","32450","30210"
"In post","2022","Unknown","UK Supreme Court","5","5","[c]","[c]"
"In post","2022","Unknown","Water Services Regulation Authority","35","35","54000","45000"
"In post","2022","Unknown","Welsh Government","390","370","39770","35180"
"Leaver CS","2022","Declared disabled","Attorney General's Departments","60","[c]","41230","33280"
"Leaver CS","2022","Declared disabled","Cabinet Office","55","[c]","41360","37860"
"Leaver CS","2022","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","50","[c]","38130","33120"
"Leaver CS","2022","Declared disabled","Department for Digital, Culture, Media and Sport","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Department for Education","40","[c]","41600","36230"
"Leaver CS","2022","Declared disabled","Department for Environment, Food and Rural Affairs","95","[c]","27160","24920"
"Leaver CS","2022","Declared disabled","Department for International Trade","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Department for Levelling Up, Housing and Communities","25","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Department for Transport","105","[c]","29130","26780"
"Leaver CS","2022","Declared disabled","Department for Work and Pensions","1365","[c]","26710","27570"
"Leaver CS","2022","Declared disabled","Department of Health and Social Care","170","[c]","39470","33220"
"Leaver CS","2022","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Foreign, Commonwealth and Development Office","40","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","HM Land Registry","45","[c]","32430","27130"
"Leaver CS","2022","Declared disabled","HM Revenue and Customs","450","[c]","28280","26610"
"Leaver CS","2022","Declared disabled","HM Treasury","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Home Office","205","[c]","31110","27240"
"Leaver CS","2022","Declared disabled","Ministry of Defence","485","[c]","32350","27640"
"Leaver CS","2022","Declared disabled","Ministry of Justice","980","[c]","25840","21180"
"Leaver CS","2022","Declared disabled","National Crime Agency","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Office of Gas and Electricity Markets","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Scottish Government","110","[c]","34330","34800"
"Leaver CS","2022","Declared disabled","The National Archives","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","UK Export Finance","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","UK Statistics Authority","50","[c]","31670","28560"
"Leaver CS","2022","Declared disabled","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared disabled","Welsh Government","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Attorney General's Departments","420","[c]","46180","50500"
"Leaver CS","2022","Declared non-disabled","Cabinet Office","350","[c]","49820","43000"
"Leaver CS","2022","Declared non-disabled","Chancellor's other departments","40","[c]","53550","46640"
"Leaver CS","2022","Declared non-disabled","Charity Commission","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Competition and Markets Authority","85","[c]","52770","54190"
"Leaver CS","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","485","[c]","40570","39490"
"Leaver CS","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","100","[c]","41200","35510"
"Leaver CS","2022","Declared non-disabled","Department for Education","210","[c]","46270","40510"
"Leaver CS","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","655","[c]","28750","24920"
"Leaver CS","2022","Declared non-disabled","Department for International Trade","95","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","160","[c]","45850","43320"
"Leaver CS","2022","Declared non-disabled","Department for Transport","745","[c]","32770","26780"
"Leaver CS","2022","Declared non-disabled","Department for Work and Pensions","6160","[c]","27510","27570"
"Leaver CS","2022","Declared non-disabled","Department of Health and Social Care","1700","[c]","41110","36330"
"Leaver CS","2022","Declared non-disabled","Estyn","10","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Food Standards Agency","55","[c]","33410","30810"
"Leaver CS","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","250","[c]","48390","45330"
"Leaver CS","2022","Declared non-disabled","HM Land Registry","210","[c]","34730","33840"
"Leaver CS","2022","Declared non-disabled","HM Revenue and Customs","2600","[c]","32150","26700"
"Leaver CS","2022","Declared non-disabled","HM Treasury","160","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Home Office","1420","[c]","32030","27250"
"Leaver CS","2022","Declared non-disabled","Ministry of Defence","3130","[c]","32750","29530"
"Leaver CS","2022","Declared non-disabled","Ministry of Justice","5570","[c]","28250","21490"
"Leaver CS","2022","Declared non-disabled","National Crime Agency","95","[c]","45110","41170"
"Leaver CS","2022","Declared non-disabled","Northern Ireland Office","5","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","150","[c]","54770","51360"
"Leaver CS","2022","Declared non-disabled","Office of Gas and Electricity Markets","205","[c]","44170","38000"
"Leaver CS","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","20","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Office of Rail and Road","30","[c]","52280","51810"
"Leaver CS","2022","Declared non-disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Scottish Government","530","[c]","38340","31540"
"Leaver CS","2022","Declared non-disabled","The National Archives","50","[c]","31820","28460"
"Leaver CS","2022","Declared non-disabled","UK Export Finance","40","[c]","53760","47000"
"Leaver CS","2022","Declared non-disabled","UK Statistics Authority","220","[c]","29810","23880"
"Leaver CS","2022","Declared non-disabled","UK Supreme Court","15","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Water Services Regulation Authority","30","[c]","51640","49500"
"Leaver CS","2022","Declared non-disabled","Welsh Government","205","[c]","42330","37410"
"Leaver CS","2022","Undeclared","Attorney General's Departments","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Cabinet Office","25","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Department for Business, Energy and Industrial Strategy","25","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Department for Digital, Culture, Media and Sport","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Department for Education","20","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Department for Environment, Food and Rural Affairs","25","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Department for International Trade","5","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Department for Levelling Up, Housing and Communities","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Department for Transport","75","[c]","31500","26780"
"Leaver CS","2022","Undeclared","Department for Work and Pensions","315","[c]","27650","27570"
"Leaver CS","2022","Undeclared","Department of Health and Social Care","35","[c]","38080","36760"
"Leaver CS","2022","Undeclared","Food Standards Agency","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Foreign, Commonwealth and Development Office","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","HM Land Registry","10","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","HM Revenue and Customs","255","[c]","32710","28920"
"Leaver CS","2022","Undeclared","HM Treasury","40","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Home Office","95","[c]","33850","30550"
"Leaver CS","2022","Undeclared","Ministry of Defence","335","[c]","33170","31530"
"Leaver CS","2022","Undeclared","Ministry of Justice","775","[c]","28940","22450"
"Leaver CS","2022","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Scottish Government","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","UK Statistics Authority","110","[c]","29750","28560"
"Leaver CS","2022","Undeclared","Welsh Government","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Attorney General's Departments","170","[c]","39840","38000"
"Leaver CS","2022","Unknown","Cabinet Office","390","[c]","50450","40600"
"Leaver CS","2022","Unknown","Chancellor's other departments","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Charity Commission","35","[c]","36310","29270"
"Leaver CS","2022","Unknown","Competition and Markets Authority","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Business, Energy and Industrial Strategy","280","[c]","32190","27680"
"Leaver CS","2022","Unknown","Department for Digital, Culture, Media and Sport","30","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Education","190","[c]","36490","32940"
"Leaver CS","2022","Unknown","Department for Environment, Food and Rural Affairs","170","[c]","32250","25190"
"Leaver CS","2022","Unknown","Department for International Trade","110","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Department for Levelling Up, Housing and Communities","45","[c]","34970","31480"
"Leaver CS","2022","Unknown","Department for Transport","360","[c]","28460","26130"
"Leaver CS","2022","Unknown","Department for Work and Pensions","1030","[c]","26750","27570"
"Leaver CS","2022","Unknown","Department of Health and Social Care","1295","[c]","47870","40650"
"Leaver CS","2022","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Foreign, Commonwealth and Development Office","105","[c]","47140","39410"
"Leaver CS","2022","Unknown","HM Land Registry","135","[c]","30090","27130"
"Leaver CS","2022","Unknown","HM Revenue and Customs","1665","[c]","27490","22080"
"Leaver CS","2022","Unknown","HM Treasury","25","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Home Office","375","[c]","31400","28330"
"Leaver CS","2022","Unknown","Ministry of Defence","1095","[c]","32070","29840"
"Leaver CS","2022","Unknown","Ministry of Justice","2460","[c]","24550","20970"
"Leaver CS","2022","Unknown","National Crime Agency","210","[c]","41510","37750"
"Leaver CS","2022","Unknown","Northern Ireland Office","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office for Standards in Education, Children's Services and Skills","20","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Gas and Electricity Markets","20","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Qualifications and Examinations Regulation","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Secretary of State for Scotland","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Scottish Government","775","[c]","33660","30360"
"Leaver CS","2022","Unknown","The National Archives","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","UK Statistics Authority","200","[c]","24890","20350"
"Leaver CS","2022","Unknown","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Water Services Regulation Authority","10","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Welsh Government","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Attorney General's Departments","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Cabinet Office","130","[c]","39540","34550"
"Leaver Dept.","2022","Declared disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Department for Business, Energy and Industrial Strategy","65","[c]","40190","33720"
"Leaver Dept.","2022","Declared disabled","Department for Digital, Culture, Media and Sport","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Department for Education","35","[c]","43720","36870"
"Leaver Dept.","2022","Declared disabled","Department for Environment, Food and Rural Affairs","50","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Department for International Trade","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Department for Levelling Up, Housing and Communities","40","[c]","37720","33210"
"Leaver Dept.","2022","Declared disabled","Department for Transport","50","[c]","34930","31400"
"Leaver Dept.","2022","Declared disabled","Department for Work and Pensions","395","[c]","29790","27570"
"Leaver Dept.","2022","Declared disabled","Department of Health and Social Care","390","[c]","38300","32790"
"Leaver Dept.","2022","Declared disabled","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Food Standards Agency","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Foreign, Commonwealth and Development Office","35","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","HM Revenue and Customs","105","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","HM Treasury","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Home Office","95","[c]","35920","30150"
"Leaver Dept.","2022","Declared disabled","Ministry of Defence","115","[c]","36780","33300"
"Leaver Dept.","2022","Declared disabled","Ministry of Justice","210","[c]","32630","29660"
"Leaver Dept.","2022","Declared disabled","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Office of Gas and Electricity Markets","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Scottish Government","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","UK Statistics Authority","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Welsh Government","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Attorney General's Departments","155","[c]","41780","32410"
"Leaver Dept.","2022","Declared non-disabled","Cabinet Office","850","[c]","46690","40600"
"Leaver Dept.","2022","Declared non-disabled","Chancellor's other departments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Charity Commission","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Competition and Markets Authority","35","[c]","36790","33610"
"Leaver Dept.","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","490","[c]","44070","40050"
"Leaver Dept.","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","150","[c]","44610","38280"
"Leaver Dept.","2022","Declared non-disabled","Department for Education","315","[c]","43580","40090"
"Leaver Dept.","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","375","[c]","27730","24920"
"Leaver Dept.","2022","Declared non-disabled","Department for International Trade","105","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","265","[c]","41590","36340"
"Leaver Dept.","2022","Declared non-disabled","Department for Transport","410","[c]","37150","34710"
"Leaver Dept.","2022","Declared non-disabled","Department for Work and Pensions","2280","[c]","29700","27570"
"Leaver Dept.","2022","Declared non-disabled","Department of Health and Social Care","4400","[c]","40810","36330"
"Leaver Dept.","2022","Declared non-disabled","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Food Standards Agency","35","[c]","43620","40350"
"Leaver Dept.","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","240","[c]","44050","39630"
"Leaver Dept.","2022","Declared non-disabled","HM Revenue and Customs","735","[c]","35200","28050"
"Leaver Dept.","2022","Declared non-disabled","HM Treasury","160","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Home Office","1035","[c]","35930","28990"
