"Status","Year","Region_ITL2","Responsibility_level_grouped","Sex","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Female","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Male","Unknown","5","5","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SCS level","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","Heterosexual / straight","880","830","37330","35980"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","LGBO","40","35","36610","35970"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","Undeclared","125","115","37350","35630"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Female","Unknown","145","135","38150","37330"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","Heterosexual / straight","890","860","39610","38200"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","LGBO","35","35","36920","37280"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","Undeclared","150","145","39710","38200"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Male","Unknown","175","165","39500","40000"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","SEO/HEO","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","Heterosexual / straight","330","305","30770","30210"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","LGBO","25","25","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","Undeclared","25","25","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Female","Unknown","105","95","26350","24270"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","Heterosexual / straight","125","120","26520","24090"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","LGBO","10","10","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","Undeclared","10","10","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Male","Unknown","30","30","28380","25300"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Berkshire, Buckinghamshire and Oxfordshire","Unknown","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Cheshire","AA/AO","Female","Heterosexual / straight","510","445","22110","21260"
"In post","2022","Cheshire","AA/AO","Female","LGBO","45","40","25110","25210"
"In post","2022","Cheshire","AA/AO","Female","Undeclared","65","55","23150","21380"
"In post","2022","Cheshire","AA/AO","Female","Unknown","180","160","22820","21300"
"In post","2022","Cheshire","AA/AO","Male","Heterosexual / straight","340","330","23720","21440"
"In post","2022","Cheshire","AA/AO","Male","LGBO","20","20","[c]","[c]"
"In post","2022","Cheshire","AA/AO","Male","Undeclared","45","40","24330","21340"
