"Status","Year","Disability","Ethnicity","Organisation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Asian","Food Standards Agency","Food Standards Agency","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","35","35","39780","35700"
"In post","2022","Declared disabled","Asian","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Legal Department","Attorney General's Departments","20","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Courts and Tribunals Service","Ministry of Justice","165","145","26790","23720"
"In post","2022","Declared disabled","Asian","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Land Registry","HM Land Registry","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","HM Prison and Probation Service","Ministry of Justice","220","205","31300","29020"
"In post","2022","Declared disabled","Asian","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","400","370","33540","33080"
"In post","2022","Declared disabled","Asian","HM Treasury (excl. agencies)","HM Treasury","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Home Office","Home Office","375","340","32610","29080"
"In post","2022","Declared disabled","Asian","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Legal Aid Agency","Ministry of Justice","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","10","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Ministry of Defence (excl. agencies)","Ministry of Defence","65","60","37170","33230"
"In post","2022","Declared disabled","Asian","Ministry of Justice (excl. agencies)","Ministry of Justice","55","55","43190","41750"
"In post","2022","Declared disabled","Asian","National Crime Agency","National Crime Agency","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Public Guardian","Ministry of Justice","35","30","22570","20970"
"In post","2022","Declared disabled","Asian","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Rural Payments Agency","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Government (excl. agencies)","Scottish Government","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Serious Fraud Office","Attorney General's Departments","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Social Security Scotland","Scottish Government","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","The Insolvency Service","Department for Business, Energy and Industrial Strategy","15","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Health Security Agency","Department of Health and Social Care","25","20","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Statistics Authority","UK Statistics Authority","10","10","[c]","[c]"
"In post","2022","Declared disabled","Asian","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Valuation Office Agency","HM Revenue and Customs","15","15","[c]","[c]"
"In post","2022","Declared disabled","Asian","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Welsh Government (excl. agencies)","Welsh Government","5","5","[c]","[c]"
"In post","2022","Declared disabled","Asian","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Asian","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Cabinet Office (excl. agencies)","Cabinet Office","30","30","42770","37940"
"In post","2022","Declared disabled","Black","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Competition and Markets Authority","Competition and Markets Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Crown Prosecution Service","Attorney General's Departments","50","45","42840","40400"
"In post","2022","Declared disabled","Black","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Defence Equipment and Support","Ministry of Defence","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Defence Science and Technology Laboratory","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","55","55","43380","40050"
"In post","2022","Declared disabled","Black","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Education (excl. agencies)","Department for Education","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","30","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for International Trade","Department for International Trade","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","25","25","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Transport (excl. agencies)","Department for Transport","15","15","[c]","[c]"
"In post","2022","Declared disabled","Black","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","630","580","29480","30330"
"In post","2022","Declared disabled","Black","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Driver and Vehicle Standards Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Education and Skills Funding Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","35","35","35800","34260"
"In post","2022","Declared disabled","Black","Forestry and Land Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Government Actuary's Department","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Government Internal Audit Agency","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Government Legal Department","Attorney General's Departments","20","20","[c]","[c]"
"In post","2022","Declared disabled","Black","Government Property Agency","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Health and Safety Executive","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Courts and Tribunals Service","Ministry of Justice","110","105","26290","24310"
"In post","2022","Declared disabled","Black","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Land Registry","HM Land Registry","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","HM Prison and Probation Service","Ministry of Justice","390","375","33110","31420"
"In post","2022","Declared disabled","Black","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","170","165","33870","33080"
"In post","2022","Declared disabled","Black","HM Treasury (excl. agencies)","HM Treasury","10","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Home Office","Home Office","180","170","32130","29080"
"In post","2022","Declared disabled","Black","Institute for Apprenticeships and Technical Education","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Legal Aid Agency","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Maritime and Coastguard Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Met Office","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Ministry of Defence (excl. agencies)","Ministry of Defence","55","55","32910","30750"
"In post","2022","Declared disabled","Black","Ministry of Justice (excl. agencies)","Ministry of Justice","45","45","38350","34260"
"In post","2022","Declared disabled","Black","National Crime Agency","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","National Infrastructure Commission","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","National Records of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","National Savings and Investments","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Northern Ireland Office","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office for Budget Responsibility","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of Rail and Road","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Public Guardian","Ministry of Justice","15","10","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Scottish Charity Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Planning Inspectorate","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Queen Elizabeth II Centre","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Registers of Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Revenue Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Royal Fleet Auxiliary","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Rural Payments Agency","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Courts and Tribunals Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Fiscal Commission","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Forestry","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Government (excl. agencies)","Scottish Government","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Housing Regulator","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Prison Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Scottish Public Pensions Agency","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Serious Fraud Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Social Security Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Standards and Testing Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Student Awards Agency for Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Submarine Delivery Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Teaching Regulation Agency","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","The Insolvency Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","The National Archives","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Transport Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Debt Management Office","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Export Finance","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Health Security Agency","Department of Health and Social Care","20","15","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Hydrographic Office","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Space Agency","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Statistics Authority","UK Statistics Authority","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","UK Supreme Court","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Valuation Office Agency","HM Revenue and Customs","5","5","[c]","[c]"
"In post","2022","Declared disabled","Black","Vehicle Certification Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Veterinary Medicines Directorate","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Water Services Regulation Authority","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Welsh Government (excl. agencies)","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Welsh Revenue Authority","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Black","Wilton Park","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Accountant in Bankruptcy","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Advisory, Conciliation and Arbitration Service","Department for Business, Energy and Industrial Strategy","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Animal and Plant Health Agency","Department for Environment, Food and Rural Affairs","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Attorney General's Office","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Cabinet Office (excl. agencies)","Cabinet Office","45","45","44810","40600"
"In post","2022","Declared disabled","Mixed","Centre for Environment, Fisheries and Aquaculture Science","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Charity Commission","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Companies House","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Competition and Markets Authority","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Criminal Injuries Compensation Authority","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Crown Commercial Service","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Crown Office and Procurator Fiscal Service","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Crown Prosecution Service","Attorney General's Departments","30","25","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Defence Electronics and Components Agency","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Defence Equipment and Support","Ministry of Defence","10","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Defence Science and Technology Laboratory","Ministry of Defence","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Business, Energy and Industrial Strategy (excl. agencies)","Department for Business, Energy and Industrial Strategy","30","30","40870","40050"
"In post","2022","Declared disabled","Mixed","Department for Digital, Culture, Media and Sport","Department for Digital, Culture, Media and Sport","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Education (excl. agencies)","Department for Education","20","20","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Environment, Food and Rural Affairs (excl. agencies)","Department for Environment, Food and Rural Affairs","30","25","38420","33630"
"In post","2022","Declared disabled","Mixed","Department for International Trade","Department for International Trade","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Levelling Up, Housing and Communities (excl. agencies)","Department for Levelling Up, Housing and Communities","15","15","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Transport (excl. agencies)","Department for Transport","10","10","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","365","335","28100","27570"
"In post","2022","Declared disabled","Mixed","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Disclosure Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Driver and Vehicle Licensing Agency","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Driver and Vehicle Standards Agency","Department for Transport","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Education and Skills Funding Agency","Department for Education","5","5","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Education Scotland","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Estyn","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","FCDO Services","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Food Standards Agency","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Mixed","Food Standards Scotland","Scottish Government","[c]","[c]","[c]","[c]"
