"Status","Year","Age","Region_ITL1","Region_ITL3","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","North West (England)","Wirral","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Wirral","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","North West (England)","Wirral","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Belfast","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Belfast","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Belfast","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Lisburn and Castlereagh","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Lisburn and Castlereagh","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Lisburn and Castlereagh","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Newry, Mourne and Down","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Northern Ireland","Newry, Mourne and Down","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Aberdeen City and Aberdeenshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Aberdeen City and Aberdeenshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Aberdeen City and Aberdeenshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Aberdeen City and Aberdeenshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Angus and Dundee City","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Angus and Dundee City","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Angus and Dundee City","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","City of Edinburgh","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","16-19","Scotland","City of Edinburgh","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","City of Edinburgh","Unknown","25","20","[c]","[c]"
"In post","2022","16-19","Scotland","Clackmannanshire and Fife","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Clackmannanshire and Fife","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Clackmannanshire and Fife","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","East Ayrshire and North Ayrshire mainland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","East Ayrshire and North Ayrshire mainland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","East Ayrshire and North Ayrshire mainland","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","East Dunbartonshire, West Dunbartonshire, and Helensburgh and Lomond","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Falkirk","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Falkirk","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Falkirk","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Glasgow City","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","16-19","Scotland","Glasgow City","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Glasgow City","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Glasgow City","Unknown","10","10","[c]","[c]"
"In post","2022","16-19","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Inverclyde, East Renfrewshire, and Renfrewshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","Lochaber, Skye and Lochalsh, Arran and Cumbrae, and Argyll and Bute","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","North Lanarkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","North Lanarkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Scotland","North Lanarkshire","Unknown","10","5","[c]","[c]"
