"Status","Year","Disability","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Undeclared","140","130","35120","32560"
"In post","2022","Declared disabled","Department for Environment, Food and Rural Affairs","Unknown","100","90","28230","25190"
"In post","2022","Declared disabled","Department for International Trade","Heterosexual / straight","155","150","47000","41180"
"In post","2022","Declared disabled","Department for International Trade","LGBO","40","40","44820","49840"
"In post","2022","Declared disabled","Department for International Trade","Undeclared","20","20","[c]","[c]"
"In post","2022","Declared disabled","Department for International Trade","Unknown","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Heterosexual / straight","315","305","41410","36340"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","LGBO","85","85","39430","34860"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","Department for Levelling Up, Housing and Communities","Unknown","10","5","[c]","[c]"
"In post","2022","Declared disabled","Department for Transport","Heterosexual / straight","895","800","30860","26780"
"In post","2022","Declared disabled","Department for Transport","LGBO","105","100","35170","30730"
"In post","2022","Declared disabled","Department for Transport","Undeclared","355","295","26720","21840"
"In post","2022","Declared disabled","Department for Transport","Unknown","35","30","26970","26410"
"In post","2022","Declared disabled","Department for Work and Pensions","Heterosexual / straight","11875","10445","27720","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","LGBO","1225","1155","27900","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Undeclared","1715","1495","27050","27570"
"In post","2022","Declared disabled","Department for Work and Pensions","Unknown","1310","1100","26500","27570"
"In post","2022","Declared disabled","Department of Health and Social Care","Heterosexual / straight","415","390","41810","36330"
"In post","2022","Declared disabled","Department of Health and Social Care","LGBO","100","100","38580","32790"
"In post","2022","Declared disabled","Department of Health and Social Care","Undeclared","60","60","43780","40990"
"In post","2022","Declared disabled","Department of Health and Social Care","Unknown","25","20","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Estyn","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Estyn","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Heterosexual / straight","75","75","38870","37350"
"In post","2022","Declared disabled","Food Standards Agency","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Food Standards Agency","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Heterosexual / straight","615","600","44110","38600"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","LGBO","80","80","44690","38600"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Undeclared","50","50","47450","43180"
"In post","2022","Declared disabled","Foreign, Commonwealth and Development Office","Unknown","35","35","44210","39630"
"In post","2022","Declared disabled","HM Land Registry","Heterosexual / straight","480","420","30240","27130"
"In post","2022","Declared disabled","HM Land Registry","LGBO","35","35","29240","27130"
"In post","2022","Declared disabled","HM Land Registry","Undeclared","75","65","31170","27130"
"In post","2022","Declared disabled","HM Land Registry","Unknown","75","70","27510","27130"
"In post","2022","Declared disabled","HM Revenue and Customs","Heterosexual / straight","4650","4215","33370","30750"
"In post","2022","Declared disabled","HM Revenue and Customs","LGBO","575","545","33320","33080"
"In post","2022","Declared disabled","HM Revenue and Customs","Undeclared","535","480","33210","29610"
"In post","2022","Declared disabled","HM Revenue and Customs","Unknown","635","555","29800","26590"
"In post","2022","Declared disabled","HM Treasury","Heterosexual / straight","205","200","45910","43160"
"In post","2022","Declared disabled","HM Treasury","LGBO","35","30","48430","41000"
"In post","2022","Declared disabled","HM Treasury","Undeclared","25","25","[c]","[c]"
"In post","2022","Declared disabled","HM Treasury","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Home Office","Heterosexual / straight","2360","2180","31930","27370"
"In post","2022","Declared disabled","Home Office","LGBO","225","215","34180","30500"
"In post","2022","Declared disabled","Home Office","Undeclared","390","360","32550","28790"
"In post","2022","Declared disabled","Home Office","Unknown","55","55","31680","28650"
"In post","2022","Declared disabled","Ministry of Defence","Heterosexual / straight","3790","3640","33310","31600"
"In post","2022","Declared disabled","Ministry of Defence","LGBO","260","255","33330","30280"
"In post","2022","Declared disabled","Ministry of Defence","Undeclared","625","600","35240","33300"
"In post","2022","Declared disabled","Ministry of Defence","Unknown","255","245","36270","34010"
"In post","2022","Declared disabled","Ministry of Justice","Heterosexual / straight","8165","7585","30180","27980"
"In post","2022","Declared disabled","Ministry of Justice","LGBO","975","950","30460","28140"
"In post","2022","Declared disabled","Ministry of Justice","Undeclared","935","870","31030","28200"
"In post","2022","Declared disabled","Ministry of Justice","Unknown","270","240","29680","28760"
"In post","2022","Declared disabled","National Crime Agency","Heterosexual / straight","195","190","38620","36740"
"In post","2022","Declared disabled","National Crime Agency","LGBO","15","15","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Undeclared","30","30","[c]","[c]"
"In post","2022","Declared disabled","National Crime Agency","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Northern Ireland Office","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","120","115","46820","46360"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","LGBO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Undeclared","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office for Standards in Education, Children's Services and Skills","Unknown","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Heterosexual / straight","45","45","39240","35110"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","LGBO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Gas and Electricity Markets","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of Rail and Road","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Scottish Government","Heterosexual / straight","1260","1205","37600","34600"
"In post","2022","Declared disabled","Scottish Government","LGBO","265","260","34860","31540"
"In post","2022","Declared disabled","Scottish Government","Undeclared","110","100","38210","34600"
"In post","2022","Declared disabled","Scottish Government","Unknown","340","315","34060","35000"
"In post","2022","Declared disabled","The National Archives","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","LGBO","5","5","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared disabled","The National Archives","Unknown","10","10","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Export Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Statistics Authority","Heterosexual / straight","430","380","33130","30710"
"In post","2022","Declared disabled","UK Statistics Authority","LGBO","65","60","34460","31320"
"In post","2022","Declared disabled","UK Statistics Authority","Undeclared","35","30","29750","30710"
"In post","2022","Declared disabled","UK Statistics Authority","Unknown","60","50","32680","30710"
"In post","2022","Declared disabled","UK Supreme Court","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Supreme Court","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Water Services Regulation Authority","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Welsh Government","Heterosexual / straight","270","255","38930","38160"
"In post","2022","Declared disabled","Welsh Government","LGBO","30","30","44900","41980"
"In post","2022","Declared disabled","Welsh Government","Undeclared","45","40","40120","38160"
"In post","2022","Declared disabled","Welsh Government","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Attorney General's Departments","Heterosexual / straight","5370","5030","45210","48830"
"In post","2022","Declared non-disabled","Attorney General's Departments","LGBO","310","300","46630","50500"
"In post","2022","Declared non-disabled","Attorney General's Departments","Undeclared","230","215","47770","51250"
"In post","2022","Declared non-disabled","Attorney General's Departments","Unknown","1070","955","47080","52100"
"In post","2022","Declared non-disabled","Cabinet Office","Heterosexual / straight","4325","4220","48110","40600"
"In post","2022","Declared non-disabled","Cabinet Office","LGBO","380","375","44520","40600"
"In post","2022","Declared non-disabled","Cabinet Office","Undeclared","335","325","49920","49700"
"In post","2022","Declared non-disabled","Cabinet Office","Unknown","170","165","60450","54700"
"In post","2022","Declared non-disabled","Chancellor's other departments","Heterosexual / straight","270","260","60360","49920"
"In post","2022","Declared non-disabled","Chancellor's other departments","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Chancellor's other departments","Undeclared","55","55","60270","51750"
"In post","2022","Declared non-disabled","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Charity Commission","Heterosexual / straight","190","180","35730","29160"
"In post","2022","Declared non-disabled","Charity Commission","LGBO","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Charity Commission","Undeclared","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Charity Commission","Unknown","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Competition and Markets Authority","Heterosexual / straight","620","595","60550","56360"
"In post","2022","Declared non-disabled","Competition and Markets Authority","LGBO","50","50","59360","55860"
"In post","2022","Declared non-disabled","Competition and Markets Authority","Undeclared","50","50","60550","60230"
"In post","2022","Declared non-disabled","Competition and Markets Authority","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","7980","7660","43110","40050"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","LGBO","595","585","42770","40050"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Undeclared","840","800","43840","40050"
"In post","2022","Declared non-disabled","Department for Business, Energy and Industrial Strategy","Unknown","560","520","37860","33720"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Heterosexual / straight","1300","1275","47530","51730"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","LGBO","170","165","46670","51730"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Undeclared","85","80","44310","37930"
"In post","2022","Declared non-disabled","Department for Digital, Culture, Media and Sport","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Department for Education","Heterosexual / straight","4200","4025","45710","42750"
"In post","2022","Declared non-disabled","Department for Education","LGBO","285","280","45900","42220"
"In post","2022","Declared non-disabled","Department for Education","Undeclared","310","300","45940","44250"
"In post","2022","Declared non-disabled","Department for Education","Unknown","555","530","45800","42930"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Heterosexual / straight","6925","6605","37000","33340"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","LGBO","505","490","36330","32560"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Undeclared","595","570","36350","32960"
"In post","2022","Declared non-disabled","Department for Environment, Food and Rural Affairs","Unknown","1570","1470","27780","24920"
"In post","2022","Declared non-disabled","Department for International Trade","Heterosexual / straight","1235","1220","47580","47980"
"In post","2022","Declared non-disabled","Department for International Trade","LGBO","120","120","47050","41750"
"In post","2022","Declared non-disabled","Department for International Trade","Undeclared","80","80","45040","40820"
"In post","2022","Declared non-disabled","Department for International Trade","Unknown","100","95","43630","38540"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Heterosexual / straight","2470","2380","46490","46040"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","LGBO","215","215","45600","42980"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Undeclared","125","120","43830","40720"
"In post","2022","Declared non-disabled","Department for Levelling Up, Housing and Communities","Unknown","110","100","36270","32760"
"In post","2022","Declared non-disabled","Department for Transport","Heterosexual / straight","8820","8305","34870","30130"
"In post","2022","Declared non-disabled","Department for Transport","LGBO","475","465","36070","30730"
"In post","2022","Declared non-disabled","Department for Transport","Undeclared","1780","1545","29930","26780"
"In post","2022","Declared non-disabled","Department for Transport","Unknown","195","175","28980","26780"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Heterosexual / straight","49485","45050","29040","27570"
"In post","2022","Declared non-disabled","Department for Work and Pensions","LGBO","2570","2470","28790","27570"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Undeclared","4995","4450","28400","27570"
"In post","2022","Declared non-disabled","Department for Work and Pensions","Unknown","13310","11290","27260","27570"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Heterosexual / straight","4295","4005","42660","37470"
"In post","2022","Declared non-disabled","Department of Health and Social Care","LGBO","285","275","42510","36820"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Undeclared","460","420","42730","36820"
"In post","2022","Declared non-disabled","Department of Health and Social Care","Unknown","110","105","57800","53100"
"In post","2022","Declared non-disabled","Estyn","Heterosexual / straight","85","80","58800","75480"
"In post","2022","Declared non-disabled","Estyn","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Estyn","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Food Standards Agency","Heterosexual / straight","650","630","38770","36960"
"In post","2022","Declared non-disabled","Food Standards Agency","LGBO","45","45","42020","37350"
"In post","2022","Declared non-disabled","Food Standards Agency","Undeclared","45","45","39210","36210"
"In post","2022","Declared non-disabled","Food Standards Agency","Unknown","185","175","32230","27190"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Heterosexual / straight","4795","4675","48000","43320"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","LGBO","295","290","48220","44880"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Undeclared","365","360","48650","44710"
"In post","2022","Declared non-disabled","Foreign, Commonwealth and Development Office","Unknown","210","205","45720","42890"
"In post","2022","Declared non-disabled","HM Land Registry","Heterosexual / straight","2895","2620","33320","30600"
"In post","2022","Declared non-disabled","HM Land Registry","LGBO","85","80","32330","27130"
"In post","2022","Declared non-disabled","HM Land Registry","Undeclared","395","340","33110","31740"
"In post","2022","Declared non-disabled","HM Land Registry","Unknown","775","685","30380","27130"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Heterosexual / straight","34155","32030","35150","33080"
"In post","2022","Declared non-disabled","HM Revenue and Customs","LGBO","1980","1925","34390","33080"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Undeclared","2215","2025","34620","33080"
"In post","2022","Declared non-disabled","HM Revenue and Customs","Unknown","3500","3055","31390","26820"
"In post","2022","Declared non-disabled","HM Treasury","Heterosexual / straight","1605","1560","48780","49680"
"In post","2022","Declared non-disabled","HM Treasury","LGBO","135","135","47060","50000"
"In post","2022","Declared non-disabled","HM Treasury","Undeclared","130","130","46860","44310"
"In post","2022","Declared non-disabled","HM Treasury","Unknown","30","30","50020","42200"
"In post","2022","Declared non-disabled","Home Office","Heterosexual / straight","22830","21260","32630","28650"
"In post","2022","Declared non-disabled","Home Office","LGBO","810","785","33860","28660"
"In post","2022","Declared non-disabled","Home Office","Undeclared","2365","2165","32930","28650"
"In post","2022","Declared non-disabled","Home Office","Unknown","110","105","31900","28650"
"In post","2022","Declared non-disabled","Ministry of Defence","Heterosexual / straight","31640","30595","34330","32750"
"In post","2022","Declared non-disabled","Ministry of Defence","LGBO","975","960","33930","31890"
"In post","2022","Declared non-disabled","Ministry of Defence","Undeclared","2770","2660","35410","33300"
"In post","2022","Declared non-disabled","Ministry of Defence","Unknown","4140","3980","39880","38070"
"In post","2022","Declared non-disabled","Ministry of Justice","Heterosexual / straight","48020","45210","30710","27700"
"In post","2022","Declared non-disabled","Ministry of Justice","LGBO","2920","2850","30980","27700"
"In post","2022","Declared non-disabled","Ministry of Justice","Undeclared","3565","3295","31400","28310"
"In post","2022","Declared non-disabled","Ministry of Justice","Unknown","2735","2410","31470","31650"
"In post","2022","Declared non-disabled","National Crime Agency","Heterosexual / straight","1400","1350","44160","41870"
"In post","2022","Declared non-disabled","National Crime Agency","LGBO","60","60","41230","37560"
"In post","2022","Declared non-disabled","National Crime Agency","Undeclared","100","100","42510","41340"
"In post","2022","Declared non-disabled","National Crime Agency","Unknown","70","65","42150","40210"
"In post","2022","Declared non-disabled","Northern Ireland Office","Heterosexual / straight","90","90","46910","41750"
"In post","2022","Declared non-disabled","Northern Ireland Office","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Northern Ireland Office","Unknown","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","1315","1270","51950","51360"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","LGBO","105","105","50740","46360"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Undeclared","70","70","47650","46360"
"In post","2022","Declared non-disabled","Office for Standards in Education, Children's Services and Skills","Unknown","30","25","40510","33510"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Heterosexual / straight","630","620","42000","35050"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","LGBO","75","75","37710","32160"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Undeclared","55","55","41640","37120"
"In post","2022","Declared non-disabled","Office of Gas and Electricity Markets","Unknown","415","410","47930","43650"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Heterosexual / straight","165","160","44430","38760"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Qualifications and Examinations Regulation","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Heterosexual / straight","195","190","53240","52500"
"In post","2022","Declared non-disabled","Office of Rail and Road","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","Office of Rail and Road","Undeclared","30","30","53430","53370"
"In post","2022","Declared non-disabled","Office of Rail and Road","Unknown","70","65","59670","60020"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland","Heterosexual / straight","35","35","50760","47490"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Scotland","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","LGBO","5","5","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Office of the Secretary of State for Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Scottish Government","Heterosexual / straight","9220","8845","39740","34600"
"In post","2022","Declared non-disabled","Scottish Government","LGBO","630","620","36860","31540"
"In post","2022","Declared non-disabled","Scottish Government","Undeclared","475","460","40810","36390"
"In post","2022","Declared non-disabled","Scottish Government","Unknown","1650","1555","37680","32040"
"In post","2022","Declared non-disabled","The National Archives","Heterosexual / straight","195","190","38460","34770"
"In post","2022","Declared non-disabled","The National Archives","LGBO","30","30","31040","28250"
"In post","2022","Declared non-disabled","The National Archives","Undeclared","45","45","35910","34140"
"In post","2022","Declared non-disabled","The National Archives","Unknown","90","85","35080","34770"
"In post","2022","Declared non-disabled","UK Export Finance","Heterosexual / straight","375","370","52210","47300"
"In post","2022","Declared non-disabled","UK Export Finance","LGBO","20","20","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Undeclared","25","20","[c]","[c]"
"In post","2022","Declared non-disabled","UK Export Finance","Unknown","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","UK Statistics Authority","Heterosexual / straight","2310","2060","35050","30810"
"In post","2022","Declared non-disabled","UK Statistics Authority","LGBO","120","115","35480","31320"
"In post","2022","Declared non-disabled","UK Statistics Authority","Undeclared","120","110","34980","33710"
"In post","2022","Declared non-disabled","UK Statistics Authority","Unknown","390","340","35500","31860"
"In post","2022","Declared non-disabled","UK Supreme Court","Heterosexual / straight","35","35","39370","31680"
"In post","2022","Declared non-disabled","UK Supreme Court","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","UK Supreme Court","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Heterosexual / straight","150","145","54780","49810"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","LGBO","10","10","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Undeclared","15","15","[c]","[c]"
"In post","2022","Declared non-disabled","Water Services Regulation Authority","Unknown","30","30","56430","51630"
"In post","2022","Declared non-disabled","Welsh Government","Heterosexual / straight","4320","4080","42190","38160"
"In post","2022","Declared non-disabled","Welsh Government","LGBO","190","185","42410","38160"
"In post","2022","Declared non-disabled","Welsh Government","Undeclared","480","450","42550","38160"
"In post","2022","Declared non-disabled","Welsh Government","Unknown","50","45","44320","38160"
"In post","2022","Undeclared","Attorney General's Departments","Heterosexual / straight","85","75","51360","51250"
"In post","2022","Undeclared","Attorney General's Departments","LGBO","10","10","[c]","[c]"
"In post","2022","Undeclared","Attorney General's Departments","Undeclared","50","50","53460","53770"
"In post","2022","Undeclared","Attorney General's Departments","Unknown","15","15","[c]","[c]"
"In post","2022","Undeclared","Cabinet Office","Heterosexual / straight","165","160","45330","40600"
