"Status","Year","Ethnicity","Organisation","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Attorney General's Office","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","AO","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","EO","80","75","27480","27500"
"In post","2022","Asian","Cabinet Office (excl. agencies)","G6","45","45","66880","64500"
"In post","2022","Asian","Cabinet Office (excl. agencies)","G7","150","150","55680","54700"
"In post","2022","Asian","Cabinet Office (excl. agencies)","HEO","110","105","34340","34550"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Cabinet Office (excl. agencies)","SEO","85","80","40550","40600"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Centre for Environment, Fisheries and Aquaculture Science","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Charity Commission","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","AO","10","10","[c]","[c]"
"In post","2022","Asian","Companies House","EO","5","5","[c]","[c]"
"In post","2022","Asian","Companies House","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","HEO","10","5","[c]","[c]"
"In post","2022","Asian","Companies House","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Companies House","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","AO","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","EO","15","15","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G6","20","20","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","G7","25","25","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Competition and Markets Authority","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Criminal Injuries Compensation Authority","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","EO","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","G7","5","5","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Commercial Service","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","AO","20","15","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","EO","10","5","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","G7","5","5","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Office and Procurator Fiscal Service","SEO","20","20","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","AO","170","155","22900","23770"
"In post","2022","Asian","Crown Prosecution Service","EO","135","125","27810","27440"
"In post","2022","Asian","Crown Prosecution Service","G6","10","10","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","G7","290","265","55440","53050"
"In post","2022","Asian","Crown Prosecution Service","HEO","75","70","35270","34490"
"In post","2022","Asian","Crown Prosecution Service","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Crown Prosecution Service","SEO","20","20","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Electronics and Components Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","EO","105","100","22300","21720"
"In post","2022","Asian","Defence Equipment and Support","G6","10","10","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","G7","25","25","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","HEO","120","115","30710","31600"
"In post","2022","Asian","Defence Equipment and Support","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Equipment and Support","SEO","85","85","41200","41470"
"In post","2022","Asian","Defence Equipment and Support","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","G7","20","20","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Defence Science and Technology Laboratory","SEO","20","20","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","70","70","27650","27680"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6","40","40","67600","66640"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","G7","160","160","54940","53600"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","HEO","165","165","34050","33570"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO","165","160","40880","40050"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","EO","20","20","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","G6","10","10","[c]","[c]"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","G7","50","50","53690","51730"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","HEO","70","70","35680","34020"
"In post","2022","Asian","Department for Digital, Culture, Media and Sport","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","EO","100","95","26620","25000"
"In post","2022","Asian","Department for Education (excl. agencies)","G6","45","45","64450","64180"
"In post","2022","Asian","Department for Education (excl. agencies)","G7","125","125","51920","50750"
"In post","2022","Asian","Department for Education (excl. agencies)","HEO","135","130","31630","30320"
"In post","2022","Asian","Department for Education (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Education (excl. agencies)","SEO","145","145","39220","40230"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","AO","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","60","55","27050","26520"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","G6","15","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","G7","65","60","53380","52290"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","HEO","105","105","32760","32560"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO","70","70","39030","38750"
"In post","2022","Asian","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for International Trade","EO","30","30","27120","26510"
"In post","2022","Asian","Department for International Trade","G6","20","20","[c]","[c]"
"In post","2022","Asian","Department for International Trade","G7","70","70","54880","53750"
"In post","2022","Asian","Department for International Trade","HEO","70","70","32960","31800"
"In post","2022","Asian","Department for International Trade","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for International Trade","SEO","70","70","40310","38540"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","45","40","28030","27850"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","G6","30","30","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","G7","60","55","52660","53130"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","HEO","95","95","33160","33210"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO","60","60","38940","39600"
"In post","2022","Asian","Department for Transport (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","AO","5","5","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","EO","45","45","29200","29970"
"In post","2022","Asian","Department for Transport (excl. agencies)","G6","30","30","67350","66090"
"In post","2022","Asian","Department for Transport (excl. agencies)","G7","75","75","54660","54650"
"In post","2022","Asian","Department for Transport (excl. agencies)","HEO","85","85","34290","34710"
"In post","2022","Asian","Department for Transport (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Transport (excl. agencies)","SEO","80","80","42160","42470"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","AA","30","25","20310","20450"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","AO","2385","2025","21970","21260"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","EO","4910","4540","28910","27570"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","G6","30","30","68330","66250"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","G7","130","130","55000","54070"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","HEO","445","425","34890","36650"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department for Work and Pensions (excl. agencies)","SEO","200","195","39550","39960"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","EO","40","35","26840","27270"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","G6","15","15","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","G7","65","65","53910","53360"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","HEO","75","70","32390","32790"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Department of Health and Social Care (excl. agencies)","SEO","65","65","40800","40650"
"In post","2022","Asian","Disclosure Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Disclosure Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","AA","10","10","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","AO","50","45","22020","21840"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","EO","20","20","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","G6","5","5","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Licensing Agency","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","AO","40","40","24890","23040"
"In post","2022","Asian","Driver and Vehicle Standards Agency","EO","80","75","28790","27810"
"In post","2022","Asian","Driver and Vehicle Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Driver and Vehicle Standards Agency","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","EO","30","30","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","G6","10","10","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","G7","40","40","51560","50400"
"In post","2022","Asian","Education and Skills Funding Agency","HEO","70","70","30660","30090"
"In post","2022","Asian","Education and Skills Funding Agency","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Education and Skills Funding Agency","SEO","75","70","38850","37100"
"In post","2022","Asian","Education Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Education Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Estyn","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","AO","10","10","[c]","[c]"
"In post","2022","Asian","FCDO Services","EO","25","25","[c]","[c]"
"In post","2022","Asian","FCDO Services","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","G7","5","5","[c]","[c]"
"In post","2022","Asian","FCDO Services","HEO","10","10","[c]","[c]"
"In post","2022","Asian","FCDO Services","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","FCDO Services","SEO","10","10","[c]","[c]"
"In post","2022","Asian","FCDO Services","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","EO","30","30","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","G7","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Agency","SEO","20","20","[c]","[c]"
"In post","2022","Asian","Food Standards Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Food Standards Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","AO","35","35","27800","28250"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","EO","75","70","30780","30630"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","G6","35","35","67610","65710"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","G7","90","85","55800","55060"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","HEO","140","135","36420","36800"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Foreign, Commonwealth and Development Office (excl. agencies)","SEO","30","30","[c]","[c]"
"In post","2022","Asian","Forestry and Land Scotland","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Forestry and Land Scotland","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Forestry and Land Scotland","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Forestry and Land Scotland","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Forestry and Land Scotland","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Forestry and Land Scotland","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Forestry and Land Scotland","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Forestry and Land Scotland","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","AO","5","5","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","EO","5","5","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","G6","5","5","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","G7","5","5","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","HEO","10","10","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Actuary's Department","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Internal Audit Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Internal Audit Agency","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Internal Audit Agency","G6","5","5","[c]","[c]"
"In post","2022","Asian","Government Internal Audit Agency","G7","10","10","[c]","[c]"
"In post","2022","Asian","Government Internal Audit Agency","HEO","15","15","[c]","[c]"
"In post","2022","Asian","Government Internal Audit Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Internal Audit Agency","SEO","25","20","[c]","[c]"
"In post","2022","Asian","Government Legal Department","AO","10","10","[c]","[c]"
"In post","2022","Asian","Government Legal Department","EO","55","55","27660","26950"
"In post","2022","Asian","Government Legal Department","G6","80","70","66190","64760"
"In post","2022","Asian","Government Legal Department","G7","120","110","51620","51250"
"In post","2022","Asian","Government Legal Department","HEO","25","25","[c]","[c]"
"In post","2022","Asian","Government Legal Department","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Government Legal Department","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Government Property Agency","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Property Agency","EO","5","5","[c]","[c]"
"In post","2022","Asian","Government Property Agency","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Property Agency","G7","5","5","[c]","[c]"
"In post","2022","Asian","Government Property Agency","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Government Property Agency","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Government Property Agency","SEO","5","5","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","EO","15","15","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","G7","15","15","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","HEO","5","5","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Health and Safety Executive","SEO","35","35","57430","48340"
"In post","2022","Asian","HM Courts and Tribunals Service","AA","105","90","20350","19200"
"In post","2022","Asian","HM Courts and Tribunals Service","AO","830","720","22170","21090"
"In post","2022","Asian","HM Courts and Tribunals Service","EO","255","245","27110","28310"
"In post","2022","Asian","HM Courts and Tribunals Service","G6","5","5","[c]","[c]"
"In post","2022","Asian","HM Courts and Tribunals Service","G7","40","35","55320","54420"
"In post","2022","Asian","HM Courts and Tribunals Service","HEO","165","160","32820","34260"
"In post","2022","Asian","HM Courts and Tribunals Service","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Courts and Tribunals Service","SEO","160","145","41920","41750"
"In post","2022","Asian","HM Courts and Tribunals Service","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Crown Prosecution Service Inspectorate","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","AO","80","75","23100","22600"
"In post","2022","Asian","HM Land Registry","EO","80","70","27770","27130"
"In post","2022","Asian","HM Land Registry","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","HM Land Registry","G7","10","10","[c]","[c]"
