"Status","Year","Organisation","Parent_department","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Department for Work and Pensions (excl. agencies)","Department for Work and Pensions","Unknown","17945","15545","27480","27570"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Heterosexual / straight","2250","2165","48400","49530"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","LGBO","280","275","45900","40650"
"In post","2022","Department of Health and Social Care (excl. agencies)","Department of Health and Social Care","Undeclared","1540","1500","46380","41320"
"In post","2022","Disclosure Scotland","Scottish Government","Heterosexual / straight","220","210","30850","25930"
"In post","2022","Disclosure Scotland","Scottish Government","LGBO","20","20","[c]","[c]"
"In post","2022","Disclosure Scotland","Scottish Government","Undeclared","10","10","[c]","[c]"
"In post","2022","Disclosure Scotland","Scottish Government","Unknown","100","95","25670","23230"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","Heterosexual / straight","4020","3625","27070","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","LGBO","185","175","24530","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","Undeclared","1405","1165","25490","21840"
"In post","2022","Driver and Vehicle Licensing Agency","Department for Transport","Unknown","750","670","24360","21840"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","Heterosexual / straight","2885","2735","30360","27930"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","LGBO","165","155","29250","26780"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","Undeclared","830","750","29620","26780"
"In post","2022","Driver and Vehicle Standards Agency","Department for Transport","Unknown","1045","1010","27510","26470"
"In post","2022","Education and Skills Funding Agency","Department for Education","Heterosexual / straight","1345","1300","41230","36960"
"In post","2022","Education and Skills Funding Agency","Department for Education","LGBO","95","95","38760","36500"
"In post","2022","Education and Skills Funding Agency","Department for Education","Undeclared","120","120","42070","37270"
"In post","2022","Education and Skills Funding Agency","Department for Education","Unknown","340","330","42490","39000"
"In post","2022","Education Scotland","Scottish Government","Heterosexual / straight","200","195","59540","65280"
"In post","2022","Education Scotland","Scottish Government","LGBO","10","10","[c]","[c]"
"In post","2022","Education Scotland","Scottish Government","Undeclared","10","5","[c]","[c]"
"In post","2022","Education Scotland","Scottish Government","Unknown","115","110","54580","54340"
"In post","2022","Estyn","Estyn","Heterosexual / straight","95","90","59530","75480"
"In post","2022","Estyn","Estyn","LGBO","5","5","[c]","[c]"
"In post","2022","Estyn","Estyn","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","Estyn","Unknown","10","10","[c]","[c]"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","Heterosexual / straight","845","810","39970","36450"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","LGBO","35","35","32330","27630"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","Undeclared","85","80","44460","41840"
"In post","2022","FCDO Services","Foreign, Commonwealth and Development Office","Unknown","120","120","41080","40570"
"In post","2022","Food Standards Agency","Food Standards Agency","Heterosexual / straight","1025","1000","38430","37350"
"In post","2022","Food Standards Agency","Food Standards Agency","LGBO","70","70","40540","37350"
"In post","2022","Food Standards Agency","Food Standards Agency","Undeclared","125","125","38870","37350"
"In post","2022","Food Standards Agency","Food Standards Agency","Unknown","235","225","32490","27990"
"In post","2022","Food Standards Scotland","Scottish Government","Heterosexual / straight","170","165","36190","31540"
"In post","2022","Food Standards Scotland","Scottish Government","LGBO","10","10","[c]","[c]"
"In post","2022","Food Standards Scotland","Scottish Government","Undeclared","10","10","[c]","[c]"
"In post","2022","Food Standards Scotland","Scottish Government","Unknown","110","105","35260","31540"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Heterosexual / straight","4850","4750","49350","45940"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","LGBO","370","365","49380","50480"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Undeclared","540","535","49980","47340"
"In post","2022","Foreign, Commonwealth and Development Office (excl. agencies)","Foreign, Commonwealth and Development Office","Unknown","1315","1290","48400","51500"
"In post","2022","Forestry and Land Scotland","Scottish Government","Heterosexual / straight","320","305","35010","31060"
"In post","2022","Forestry and Land Scotland","Scottish Government","LGBO","20","15","[c]","[c]"
"In post","2022","Forestry and Land Scotland","Scottish Government","Undeclared","35","35","31880","31060"
"In post","2022","Forestry and Land Scotland","Scottish Government","Unknown","645","625","31990","28980"
"In post","2022","Government Actuary's Department","Chancellor's other departments","Heterosexual / straight","170","160","68040","62730"
"In post","2022","Government Actuary's Department","Chancellor's other departments","LGBO","5","5","[c]","[c]"
"In post","2022","Government Actuary's Department","Chancellor's other departments","Undeclared","25","20","[c]","[c]"
"In post","2022","Government Actuary's Department","Chancellor's other departments","Unknown","20","20","[c]","[c]"
"In post","2022","Government Internal Audit Agency","HM Treasury","Heterosexual / straight","385","365","48510","46360"
"In post","2022","Government Internal Audit Agency","HM Treasury","LGBO","20","15","[c]","[c]"
"In post","2022","Government Internal Audit Agency","HM Treasury","Undeclared","50","50","49370","44590"
"In post","2022","Government Internal Audit Agency","HM Treasury","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Government Legal Department","Attorney General's Departments","Heterosexual / straight","1750","1635","53020","51250"
"In post","2022","Government Legal Department","Attorney General's Departments","LGBO","165","160","52860","51250"
"In post","2022","Government Legal Department","Attorney General's Departments","Undeclared","175","165","54250","52730"
"In post","2022","Government Legal Department","Attorney General's Departments","Unknown","535","485","58430","63730"
"In post","2022","Government Property Agency","Cabinet Office","Heterosexual / straight","245","240","50930","49700"
"In post","2022","Government Property Agency","Cabinet Office","LGBO","15","15","[c]","[c]"
"In post","2022","Government Property Agency","Cabinet Office","Undeclared","15","15","[c]","[c]"
"In post","2022","Government Property Agency","Cabinet Office","Unknown","35","35","50440","43890"
"In post","2022","Health and Safety Executive","Department for Work and Pensions","Heterosexual / straight","1945","1840","43040","39600"
"In post","2022","Health and Safety Executive","Department for Work and Pensions","LGBO","120","115","37950","31710"
"In post","2022","Health and Safety Executive","Department for Work and Pensions","Undeclared","410","385","43680","41480"
"In post","2022","Health and Safety Executive","Department for Work and Pensions","Unknown","230","215","41570","39330"
"In post","2022","HM Courts and Tribunals Service","Ministry of Justice","Heterosexual / straight","11585","10425","26820","23720"
"In post","2022","HM Courts and Tribunals Service","Ministry of Justice","LGBO","560","540","27010","21490"
"In post","2022","HM Courts and Tribunals Service","Ministry of Justice","Undeclared","1835","1660","27420","23720"
"In post","2022","HM Courts and Tribunals Service","Ministry of Justice","Unknown","2125","1980","25840","23720"
"In post","2022","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","HM Crown Prosecution Service Inspectorate","Attorney General's Departments","Unknown","15","15","[c]","[c]"
"In post","2022","HM Land Registry","HM Land Registry","Heterosexual / straight","3965","3605","32240","27130"
"In post","2022","HM Land Registry","HM Land Registry","LGBO","175","170","30220","27130"
"In post","2022","HM Land Registry","HM Land Registry","Undeclared","650","570","33080","31740"
"In post","2022","HM Land Registry","HM Land Registry","Unknown","1840","1695","28790","27130"
"In post","2022","HM Prison and Probation Service","Ministry of Justice","Heterosexual / straight","42815","40510","30610","28200"
"In post","2022","HM Prison and Probation Service","Ministry of Justice","LGBO","3195","3115","30140","28010"
"In post","2022","HM Prison and Probation Service","Ministry of Justice","Undeclared","4200","3930","32160","31650"
"In post","2022","HM Prison and Probation Service","Ministry of Justice","Unknown","11500","10605","28660","27380"
"In post","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Heterosexual / straight","39460","36770","34660","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","LGBO","2675","2585","33890","33080"
"In post","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Undeclared","4605","4205","35090","33370"
"In post","2022","HM Revenue and Customs (excl. agencies)","HM Revenue and Customs","Unknown","20770","19150","30290","26820"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","Heterosexual / straight","1645","1605","48010","52500"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","LGBO","180","180","45690","40360"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","Undeclared","230","225","45140","40850"
"In post","2022","HM Treasury (excl. agencies)","HM Treasury","Unknown","55","55","47210","41890"
"In post","2022","Home Office","Home Office","Heterosexual / straight","27015","25200","32580","28650"
"In post","2022","Home Office","Home Office","LGBO","1185","1145","33810","28670"
"In post","2022","Home Office","Home Office","Undeclared","3905","3595","33220","28850"
"In post","2022","Home Office","Home Office","Unknown","4435","4285","32340","27370"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Heterosexual / straight","175","175","50210","49960"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","LGBO","15","15","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Undeclared","10","10","[c]","[c]"
"In post","2022","Institute for Apprenticeships and Technical Education","Department for Education","Unknown","75","75","45120","49960"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","1025","965","38640","32100"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","LGBO","70","70","35550","30770"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Undeclared","85","80","42590","41480"
"In post","2022","Intellectual Property Office","Department for Business, Energy and Industrial Strategy","Unknown","530","500","37580","30770"
"In post","2022","Legal Aid Agency","Ministry of Justice","Heterosexual / straight","925","860","30430","25120"
"In post","2022","Legal Aid Agency","Ministry of Justice","LGBO","45","45","28980","25120"
"In post","2022","Legal Aid Agency","Ministry of Justice","Undeclared","115","110","30110","25120"
"In post","2022","Legal Aid Agency","Ministry of Justice","Unknown","80","75","25550","20970"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Heterosexual / straight","920","890","37980","34860"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","LGBO","50","45","35660","34390"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Undeclared","160","155","38380","36040"
"In post","2022","Maritime and Coastguard Agency","Department for Transport","Unknown","110","110","31820","26840"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Heterosexual / straight","685","670","47800","41010"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","LGBO","30","30","52370","53620"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Undeclared","120","120","52550","53100"
"In post","2022","Medicines and Healthcare Products Regulatory Agency","Department of Health and Social Care","Unknown","295","280","50740","44430"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Heterosexual / straight","1650","1575","39950","39650"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","LGBO","115","110","35570","37420"
"In post","2022","Met Office","Department for Business, Energy and Industrial Strategy","Undeclared","400","375","39520","39650"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Heterosexual / straight","28495","27520","32640","29200"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","LGBO","970","950","33670","33000"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Undeclared","4130","3990","34340","33300"
"In post","2022","Ministry of Defence (excl. agencies)","Ministry of Defence","Unknown","3780","3650","33290","29250"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Heterosexual / straight","4210","4100","43400","41100"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","LGBO","380","375","44070","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Undeclared","495","475","44360","41750"
"In post","2022","Ministry of Justice (excl. agencies)","Ministry of Justice","Unknown","1080","1060","41270","36290"
"In post","2022","National Crime Agency","National Crime Agency","Heterosexual / straight","4265","4155","40750","37790"
"In post","2022","National Crime Agency","National Crime Agency","LGBO","220","215","37860","36410"
"In post","2022","National Crime Agency","National Crime Agency","Undeclared","360","355","39640","37390"
"In post","2022","National Crime Agency","National Crime Agency","Unknown","705","680","41710","39840"
"In post","2022","National Infrastructure Commission","HM Treasury","Heterosexual / straight","40","35","56560","53500"
"In post","2022","National Infrastructure Commission","HM Treasury","LGBO","5","5","[c]","[c]"
"In post","2022","National Infrastructure Commission","HM Treasury","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","National Records of Scotland","Scottish Government","Heterosexual / straight","205","195","39390","36130"
"In post","2022","National Records of Scotland","Scottish Government","LGBO","25","25","[c]","[c]"
"In post","2022","National Records of Scotland","Scottish Government","Undeclared","15","15","[c]","[c]"
"In post","2022","National Records of Scotland","Scottish Government","Unknown","215","200","33170","27230"
"In post","2022","National Savings and Investments","Chancellor's other departments","Heterosexual / straight","140","135","49730","44840"
"In post","2022","National Savings and Investments","Chancellor's other departments","LGBO","10","10","[c]","[c]"
"In post","2022","National Savings and Investments","Chancellor's other departments","Undeclared","55","55","55370","48750"
"In post","2022","National Savings and Investments","Chancellor's other departments","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","Heterosexual / straight","105","105","46390","41750"
"In post","2022","Northern Ireland Office","Northern Ireland Office","LGBO","5","5","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","Undeclared","5","5","[c]","[c]"
"In post","2022","Northern Ireland Office","Northern Ireland Office","Unknown","60","60","45090","39230"
"In post","2022","Office for Budget Responsibility","HM Treasury","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","Undeclared","5","5","[c]","[c]"
"In post","2022","Office for Budget Responsibility","HM Treasury","Unknown","5","5","[c]","[c]"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Heterosexual / straight","1505","1455","51180","51360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","LGBO","125","120","49730","46360"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Undeclared","100","95","47480","39850"
"In post","2022","Office for Standards in Education, Children's Services and Skills","Office for Standards in Education, Children's Services and Skills","Unknown","100","95","40710","35010"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Heterosexual / straight","705","690","41730","35050"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","LGBO","95","95","36120","30950"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Undeclared","75","75","42610","38500"
"In post","2022","Office of Gas and Electricity Markets","Office of Gas and Electricity Markets","Unknown","475","465","47720","43650"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Heterosexual / straight","195","190","43980","38760"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","LGBO","10","10","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Undeclared","25","25","[c]","[c]"
"In post","2022","Office of Qualifications and Examinations Regulation","Office of Qualifications and Examinations Regulation","Unknown","60","55","49740","46660"
"In post","2022","Office of Rail and Road","Office of Rail and Road","Heterosexual / straight","220","210","52910","51660"
"In post","2022","Office of Rail and Road","Office of Rail and Road","LGBO","25","25","[c]","[c]"
"In post","2022","Office of Rail and Road","Office of Rail and Road","Undeclared","35","35","53220","55430"
"In post","2022","Office of Rail and Road","Office of Rail and Road","Unknown","70","70","59670","60020"
"In post","2022","Office of the Public Guardian","Ministry of Justice","Heterosexual / straight","1000","920","24250","20970"
"In post","2022","Office of the Public Guardian","Ministry of Justice","LGBO","50","50","25280","25120"
"In post","2022","Office of the Public Guardian","Ministry of Justice","Undeclared","125","115","24980","21410"
"In post","2022","Office of the Public Guardian","Ministry of Justice","Unknown","260","240","22360","20970"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","Heterosexual / straight","35","35","38790","31540"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Scottish Charity Regulator","Scottish Government","Unknown","10","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Heterosexual / straight","55","50","50770","49860"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","LGBO","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Undeclared","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","Office of the Secretary of State for Scotland","Unknown","55","55","45540","41750"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","LGBO","5","5","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Office of the Secretary of State for Wales","Office of the Secretary of State for Wales","Unknown","10","10","[c]","[c]"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Heterosexual / straight","545","500","45160","47660"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","LGBO","30","30","41280","37790"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Undeclared","60","55","43800","43740"
"In post","2022","Planning Inspectorate","Department for Levelling Up, Housing and Communities","Unknown","170","150","36460","32780"
