"Status","Year","Organisation","Responsibility_level_grouped","Sex","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Female","25","25","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","AA/AO","Male","20","20","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","EO","Female","90","80","25220","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","EO","Male","60","60","25320","25010"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Female","40","40","51220","48080"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","G6/G7","Male","75","75","52400","49970"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Female","160","150","32850","30440"
"In post","2022","Centre for Environment, Fisheries and Aquaculture Science","SEO/HEO","Male","175","170","33300","30660"
"In post","2022","Charity Commission","AA/AO","Female","20","15","[c]","[c]"
"In post","2022","Charity Commission","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Charity Commission","EO","Female","75","70","25080","24440"
"In post","2022","Charity Commission","EO","Male","40","40","25090","24440"
"In post","2022","Charity Commission","G6/G7","Female","50","45","53710","51070"
"In post","2022","Charity Commission","G6/G7","Male","20","20","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Charity Commission","SEO/HEO","Female","140","135","32310","29300"
"In post","2022","Charity Commission","SEO/HEO","Male","105","105","32810","29550"
"In post","2022","Companies House","AA/AO","Female","300","250","21850","22740"
"In post","2022","Companies House","AA/AO","Male","150","150","21440","21160"
"In post","2022","Companies House","EO","Female","150","135","26480","25100"
"In post","2022","Companies House","EO","Male","150","150","28350","27460"
"In post","2022","Companies House","G6/G7","Female","50","50","56660","54000"
"In post","2022","Companies House","G6/G7","Male","40","40","57770","55830"
"In post","2022","Companies House","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Companies House","SEO/HEO","Female","160","150","37320","36400"
"In post","2022","Companies House","SEO/HEO","Male","170","165","39780","39820"
"In post","2022","Competition and Markets Authority","AA/AO","Female","10","10","[c]","[c]"
"In post","2022","Competition and Markets Authority","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Competition and Markets Authority","EO","Female","35","35","27840","27920"
"In post","2022","Competition and Markets Authority","EO","Male","30","30","28570","28160"
"In post","2022","Competition and Markets Authority","G6/G7","Female","215","200","65550","62890"
"In post","2022","Competition and Markets Authority","G6/G7","Male","230","225","66080","63580"
"In post","2022","Competition and Markets Authority","SCS level","Female","50","50","104770","99060"
"In post","2022","Competition and Markets Authority","SCS level","Male","75","70","109700","100770"
"In post","2022","Competition and Markets Authority","SEO/HEO","Female","115","110","37420","35340"
"In post","2022","Competition and Markets Authority","SEO/HEO","Male","90","90","37660","35400"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","Female","70","60","21030","20970"
"In post","2022","Criminal Injuries Compensation Authority","AA/AO","Male","55","50","20980","21120"
"In post","2022","Criminal Injuries Compensation Authority","EO","Female","45","45","25270","25120"
"In post","2022","Criminal Injuries Compensation Authority","EO","Male","35","35","25460","25120"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","G6/G7","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","Female","45","45","31340","30450"
"In post","2022","Criminal Injuries Compensation Authority","SEO/HEO","Male","50","50","31910","30450"
"In post","2022","Crown Commercial Service","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","EO","Female","70","65","26120","25950"
"In post","2022","Crown Commercial Service","EO","Male","45","45","25760","25520"
"In post","2022","Crown Commercial Service","G6/G7","Female","115","115","54400","52000"
"In post","2022","Crown Commercial Service","G6/G7","Male","90","90","56470","56160"
"In post","2022","Crown Commercial Service","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Crown Commercial Service","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Crown Commercial Service","SEO/HEO","Female","230","220","35260","36910"
"In post","2022","Crown Commercial Service","SEO/HEO","Male","215","210","35810","38330"
"In post","2022","Crown Office and Procurator Fiscal Service","AA/AO","Female","580","520","22550","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","AA/AO","Male","210","200","22440","23230"
"In post","2022","Crown Office and Procurator Fiscal Service","EO","Female","290","275","28540","27940"
"In post","2022","Crown Office and Procurator Fiscal Service","EO","Male","95","95","29060","28990"
"In post","2022","Crown Office and Procurator Fiscal Service","G6/G7","Female","165","155","68700","69780"
"In post","2022","Crown Office and Procurator Fiscal Service","G6/G7","Male","60","60","68010","69780"
"In post","2022","Crown Office and Procurator Fiscal Service","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","SCS level","Male","15","15","[c]","[c]"
"In post","2022","Crown Office and Procurator Fiscal Service","SEO/HEO","Female","630","595","42580","41750"
"In post","2022","Crown Office and Procurator Fiscal Service","SEO/HEO","Male","295","290","43700","41750"
"In post","2022","Crown Prosecution Service","AA/AO","Female","1070","960","22670","22200"
"In post","2022","Crown Prosecution Service","AA/AO","Male","380","370","22620","22200"
"In post","2022","Crown Prosecution Service","EO","Female","1080","985","27690","27760"
"In post","2022","Crown Prosecution Service","EO","Male","380","375","27730","27760"
"In post","2022","Crown Prosecution Service","G6/G7","Female","1870","1690","56550","55610"
"In post","2022","Crown Prosecution Service","G6/G7","Male","1180","1145","58510","55610"
"In post","2022","Crown Prosecution Service","SCS level","Female","50","50","93180","88150"
"In post","2022","Crown Prosecution Service","SCS level","Male","35","35","96590","91020"
"In post","2022","Crown Prosecution Service","SEO/HEO","Female","660","630","35710","35020"
"In post","2022","Crown Prosecution Service","SEO/HEO","Male","340","335","35430","34480"
"In post","2022","Defence Electronics and Components Agency","AA/AO","Female","30","25","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","AA/AO","Male","75","70","20410","20550"
"In post","2022","Defence Electronics and Components Agency","EO","Female","20","20","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","EO","Male","230","220","29070","29470"
"In post","2022","Defence Electronics and Components Agency","G6/G7","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","G6/G7","Male","5","5","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","SEO/HEO","Female","20","15","[c]","[c]"
"In post","2022","Defence Electronics and Components Agency","SEO/HEO","Male","55","55","38170","35100"
"In post","2022","Defence Equipment and Support","EO","Female","920","840","22570","22000"
"In post","2022","Defence Equipment and Support","EO","Male","1435","1415","22490","21560"
"In post","2022","Defence Equipment and Support","G6/G7","Female","520","495","54900","54090"
"In post","2022","Defence Equipment and Support","G6/G7","Male","1270","1250","56740","55220"
"In post","2022","Defence Equipment and Support","SCS level","Female","30","30","94720","91630"
"In post","2022","Defence Equipment and Support","SCS level","Male","80","80","104870","95700"
"In post","2022","Defence Equipment and Support","SEO/HEO","Female","2250","2100","33830","33150"
"In post","2022","Defence Equipment and Support","SEO/HEO","Male","4230","4145","36290","36500"
"In post","2022","Defence Equipment and Support","Unknown","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Equipment and Support","Unknown","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","AA/AO","Female","60","60","19580","18330"
"In post","2022","Defence Science and Technology Laboratory","AA/AO","Male","125","125","20850","18330"
"In post","2022","Defence Science and Technology Laboratory","EO","Female","180","165","24670","23490"
"In post","2022","Defence Science and Technology Laboratory","EO","Male","105","105","25160","23490"
"In post","2022","Defence Science and Technology Laboratory","G6/G7","Female","575","535","51460","47020"
"In post","2022","Defence Science and Technology Laboratory","G6/G7","Male","1370","1325","53280","48090"
"In post","2022","Defence Science and Technology Laboratory","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Defence Science and Technology Laboratory","SEO/HEO","Female","840","790","34400","38070"
"In post","2022","Defence Science and Technology Laboratory","SEO/HEO","Male","1390","1370","34670","38070"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Female","35","35","24180","24900"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","AA/AO","Male","35","35","25290","24900"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Female","270","260","27780","27680"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","EO","Male","160","160","27870","27680"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","Female","1235","1190","57820","55000"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","G6/G7","Male","1395","1375","58720","57040"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Female","165","150","87220","82440"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SCS level","Male","170","165","89130","81560"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","Female","1295","1265","37810","37920"
"In post","2022","Department for Business, Energy and Industrial Strategy (excl. agencies)","SEO/HEO","Male","1255","1250","38390","39140"
"In post","2022","Department for Digital, Culture, Media and Sport","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","Female","120","120","26910","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","EO","Male","65","65","26570","26180"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","Female","475","465","56150","53380"
"In post","2022","Department for Digital, Culture, Media and Sport","G6/G7","Male","435","435","56320","54700"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","Female","70","65","83490","75250"
"In post","2022","Department for Digital, Culture, Media and Sport","SCS level","Male","55","55","83710","77430"
"In post","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","Female","425","420","35430","34020"
"In post","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","Male","350","350","35420","34020"
"In post","2022","Department for Education (excl. agencies)","AA/AO","Female","60","55","22080","21250"
"In post","2022","Department for Education (excl. agencies)","AA/AO","Male","25","25","[c]","[c]"
"In post","2022","Department for Education (excl. agencies)","EO","Female","445","425","26410","25000"
"In post","2022","Department for Education (excl. agencies)","EO","Male","270","265","26510","25000"
"In post","2022","Department for Education (excl. agencies)","G6/G7","Female","1405","1325","55810","53420"
"In post","2022","Department for Education (excl. agencies)","G6/G7","Male","1040","1030","56750","54160"
"In post","2022","Department for Education (excl. agencies)","SCS level","Female","140","135","81230","74100"
"In post","2022","Department for Education (excl. agencies)","SCS level","Male","95","90","84020","74100"
"In post","2022","Department for Education (excl. agencies)","SEO/HEO","Female","1740","1655","35650","36500"
"In post","2022","Department for Education (excl. agencies)","SEO/HEO","Male","1080","1070","35820","36500"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Female","105","90","22820","21510"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","AA/AO","Male","70","65","22960","24370"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Female","390","375","26610","25510"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","EO","Male","255","250","26780","25910"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","Female","1120","1060","54160","52930"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","G6/G7","Male","1055","1040","54750","53200"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","Female","95","90","83740","76390"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SCS level","Male","105","100","83200","77450"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","Female","1870","1780","35220","35900"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","SEO/HEO","Male","1400","1385","35430","35900"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Female","15","15","[c]","[c]"
"In post","2022","Department for Environment, Food and Rural Affairs (excl. agencies)","Unknown","Male","15","15","[c]","[c]"
"In post","2022","Department for International Trade","AA/AO","Female","15","15","[c]","[c]"
"In post","2022","Department for International Trade","AA/AO","Male","10","10","[c]","[c]"
"In post","2022","Department for International Trade","EO","Female","155","155","27370","26510"
"In post","2022","Department for International Trade","EO","Male","115","115","27740","26510"
"In post","2022","Department for International Trade","G6/G7","Female","545","530","55840","51970"
"In post","2022","Department for International Trade","G6/G7","Male","620","615","56970","54600"
"In post","2022","Department for International Trade","SCS level","Female","80","75","82110","75570"
"In post","2022","Department for International Trade","SCS level","Male","95","95","90250","80010"
"In post","2022","Department for International Trade","SEO/HEO","Female","595","590","36070","35560"
"In post","2022","Department for International Trade","SEO/HEO","Male","650","645","36580","38160"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","Female","35","30","24570","23320"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","AA/AO","Male","30","30","25330","26870"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Female","180","175","27700","27850"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","EO","Male","160","155","27970","27850"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","Female","685","655","56070","53130"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","G6/G7","Male","650","640","56350","53360"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","Female","95","90","83170","76000"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","SCS level","Male","85","80","87660","79310"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","Female","750","725","35690","35590"
"In post","2022","Department for Levelling Up, Housing and Communities (excl. agencies)","SEO/HEO","Male","650","645","36120","36340"
"In post","2022","Department for Transport (excl. agencies)","AA/AO","Female","50","45","24680","25730"
"In post","2022","Department for Transport (excl. agencies)","AA/AO","Male","90","75","31160","33390"
"In post","2022","Department for Transport (excl. agencies)","EO","Female","225","220","28580","29970"
"In post","2022","Department for Transport (excl. agencies)","EO","Male","150","150","28540","29970"
"In post","2022","Department for Transport (excl. agencies)","G6/G7","Female","585","560","58240","54760"
"In post","2022","Department for Transport (excl. agencies)","G6/G7","Male","860","850","60560","56730"
"In post","2022","Department for Transport (excl. agencies)","SCS level","Female","105","100","83560","76780"
"In post","2022","Department for Transport (excl. agencies)","SCS level","Male","125","125","91000","82270"
"In post","2022","Department for Transport (excl. agencies)","SEO/HEO","Female","665","645","37970","37660"
"In post","2022","Department for Transport (excl. agencies)","SEO/HEO","Male","810","800","38710","38650"
"In post","2022","Department for Work and Pensions (excl. agencies)","AA/AO","Female","19360","15815","21400","21260"
"In post","2022","Department for Work and Pensions (excl. agencies)","AA/AO","Male","9685","9220","21420","21260"
"In post","2022","Department for Work and Pensions (excl. agencies)","EO","Female","31600","27635","28110","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","EO","Male","16300","15660","28140","27570"
"In post","2022","Department for Work and Pensions (excl. agencies)","G6/G7","Female","1665","1580","55210","52820"
"In post","2022","Department for Work and Pensions (excl. agencies)","G6/G7","Male","1875","1835","58250","56460"
"In post","2022","Department for Work and Pensions (excl. agencies)","SCS level","Female","140","135","84820","77900"
"In post","2022","Department for Work and Pensions (excl. agencies)","SCS level","Male","125","125","91660","84080"
"In post","2022","Department for Work and Pensions (excl. agencies)","SEO/HEO","Female","6270","5800","34730","34290"
"In post","2022","Department for Work and Pensions (excl. agencies)","SEO/HEO","Male","4425","4295","35560","35120"
"In post","2022","Department of Health and Social Care (excl. agencies)","AA/AO","Female","35","35","22180","23170"
"In post","2022","Department of Health and Social Care (excl. agencies)","AA/AO","Male","15","15","[c]","[c]"
"In post","2022","Department of Health and Social Care (excl. agencies)","EO","Female","330","315","26810","27270"
"In post","2022","Department of Health and Social Care (excl. agencies)","EO","Male","140","140","26560","27270"
"In post","2022","Department of Health and Social Care (excl. agencies)","G6/G7","Female","1090","1035","57200","53360"
"In post","2022","Department of Health and Social Care (excl. agencies)","G6/G7","Male","620","610","57380","53360"
"In post","2022","Department of Health and Social Care (excl. agencies)","SCS level","Female","165","160","86940","78420"
"In post","2022","Department of Health and Social Care (excl. agencies)","SCS level","Male","125","125","89600","79010"
"In post","2022","Department of Health and Social Care (excl. agencies)","SEO/HEO","Female","1025","985","36050","36820"
"In post","2022","Department of Health and Social Care (excl. agencies)","SEO/HEO","Male","525","520","36010","36060"
"In post","2022","Disclosure Scotland","AA/AO","Female","105","95","22680","23230"
"In post","2022","Disclosure Scotland","AA/AO","Male","110","105","22620","23230"
"In post","2022","Disclosure Scotland","EO","Female","30","30","30260","30040"
"In post","2022","Disclosure Scotland","EO","Male","30","25","[c]","[c]"
"In post","2022","Disclosure Scotland","G6/G7","Female","10","10","[c]","[c]"
"In post","2022","Disclosure Scotland","G6/G7","Male","10","10","[c]","[c]"
"In post","2022","Disclosure Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Disclosure Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Disclosure Scotland","SEO/HEO","Female","35","30","38320","36130"
"In post","2022","Disclosure Scotland","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","AA/AO","Female","2730","2185","20810","21840"
"In post","2022","Driver and Vehicle Licensing Agency","AA/AO","Male","1405","1335","21130","21840"
"In post","2022","Driver and Vehicle Licensing Agency","EO","Female","515","465","26520","26580"
"In post","2022","Driver and Vehicle Licensing Agency","EO","Male","425","420","26720","26470"
"In post","2022","Driver and Vehicle Licensing Agency","G6/G7","Female","105","95","62370","54810"
"In post","2022","Driver and Vehicle Licensing Agency","G6/G7","Male","180","180","64710","62600"
"In post","2022","Driver and Vehicle Licensing Agency","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Licensing Agency","SEO/HEO","Female","445","415","35240","33260"
"In post","2022","Driver and Vehicle Licensing Agency","SEO/HEO","Male","540","530","39030","39040"
"In post","2022","Driver and Vehicle Standards Agency","AA/AO","Female","390","340","21960","21840"
"In post","2022","Driver and Vehicle Standards Agency","AA/AO","Male","720","695","25890","26830"
"In post","2022","Driver and Vehicle Standards Agency","EO","Female","720","655","27320","26700"
"In post","2022","Driver and Vehicle Standards Agency","EO","Male","1955","1845","28410","26780"
"In post","2022","Driver and Vehicle Standards Agency","G6/G7","Female","55","55","54060","51560"
"In post","2022","Driver and Vehicle Standards Agency","G6/G7","Male","75","75","55120","52770"
"In post","2022","Driver and Vehicle Standards Agency","SCS level","Female","5","5","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Driver and Vehicle Standards Agency","SEO/HEO","Female","345","335","35510","33350"
"In post","2022","Driver and Vehicle Standards Agency","SEO/HEO","Male","655","645","35250","33350"
"In post","2022","Education and Skills Funding Agency","AA/AO","Female","15","10","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","EO","Female","110","105","25970","26000"
"In post","2022","Education and Skills Funding Agency","EO","Male","60","60","25780","25000"
"In post","2022","Education and Skills Funding Agency","G6/G7","Female","315","305","54640","50630"
"In post","2022","Education and Skills Funding Agency","G6/G7","Male","285","280","55340","52780"
"In post","2022","Education and Skills Funding Agency","SCS level","Female","20","20","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","SCS level","Male","25","25","[c]","[c]"
"In post","2022","Education and Skills Funding Agency","SEO/HEO","Female","605","570","34590","36500"
"In post","2022","Education and Skills Funding Agency","SEO/HEO","Male","460","455","34960","36500"
"In post","2022","Education Scotland","AA/AO","Female","30","25","[c]","[c]"
"In post","2022","Education Scotland","AA/AO","Male","5","5","[c]","[c]"
"In post","2022","Education Scotland","EO","Female","15","15","[c]","[c]"
"In post","2022","Education Scotland","EO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Education Scotland","G6/G7","Female","150","150","69270","72480"
"In post","2022","Education Scotland","G6/G7","Male","55","55","70040","75340"
"In post","2022","Education Scotland","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Education Scotland","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Education Scotland","SEO/HEO","Female","45","45","42650","43000"
"In post","2022","Education Scotland","SEO/HEO","Male","25","25","[c]","[c]"
"In post","2022","Estyn","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Estyn","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","EO","Female","15","15","[c]","[c]"
"In post","2022","Estyn","EO","Male","10","10","[c]","[c]"
"In post","2022","Estyn","G6/G7","Female","35","30","73370","75480"
"In post","2022","Estyn","G6/G7","Male","35","35","74380","75480"
"In post","2022","Estyn","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","Female","5","5","[c]","[c]"
"In post","2022","Estyn","SEO/HEO","Male","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","AA/AO","Female","45","45","23850","23370"
"In post","2022","FCDO Services","AA/AO","Male","85","85","25910","23950"
"In post","2022","FCDO Services","EO","Female","75","70","27880","26590"
"In post","2022","FCDO Services","EO","Male","125","125","28790","28170"
"In post","2022","FCDO Services","G6/G7","Female","60","55","63610","60370"
"In post","2022","FCDO Services","G6/G7","Male","155","140","62120","60000"
"In post","2022","FCDO Services","SCS level","Female","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","SCS level","Male","[c]","[c]","[c]","[c]"
"In post","2022","FCDO Services","SEO/HEO","Female","110","110","38840","39430"
"In post","2022","FCDO Services","SEO/HEO","Male","350","340","41330","41670"
"In post","2022","FCDO Services","Unknown","Female","15","15","[c]","[c]"
"In post","2022","FCDO Services","Unknown","Male","55","55","21200","21600"
"In post","2022","Food Standards Agency","AA/AO","Female","5","5","[c]","[c]"
"In post","2022","Food Standards Agency","AA/AO","Male","[c]","[c]","[c]","[c]"
"In post","2022","Food Standards Agency","EO","Female","95","90","26820","26750"
"In post","2022","Food Standards Agency","EO","Male","335","320","27270","26750"
"In post","2022","Food Standards Agency","G6/G7","Female","125","125","55730","55300"
"In post","2022","Food Standards Agency","G6/G7","Male","135","130","56040","55300"
"In post","2022","Food Standards Agency","SCS level","Female","10","10","[c]","[c]"
"In post","2022","Food Standards Agency","SCS level","Male","15","10","[c]","[c]"
"In post","2022","Food Standards Agency","SEO/HEO","Female","405","395","35470","37350"
