"Status","Year","Disability","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2022","Declared disabled","Unknown","1040","[c]","29490","26410"
"Leaver CS","2022","Declared non-disabled","Analysis","300","[c]","39160","35900"
"Leaver CS","2022","Declared non-disabled","Commercial","210","[c]","43840","38200"
"Leaver CS","2022","Declared non-disabled","Communications","220","[c]","41330","37960"
"Leaver CS","2022","Declared non-disabled","Counter Fraud","255","[c]","29810","27570"
"Leaver CS","2022","Declared non-disabled","Debt","160","[c]","22600","21260"
"Leaver CS","2022","Declared non-disabled","Digital, Data & Technology","795","[c]","42880","39650"
"Leaver CS","2022","Declared non-disabled","Finance","305","[c]","40310","36570"
"Leaver CS","2022","Declared non-disabled","Grants Management","145","[c]","23950","21300"
"Leaver CS","2022","Declared non-disabled","Human Resources","405","[c]","36540","33300"
"Leaver CS","2022","Declared non-disabled","Internal Audit","40","[c]","[c]","[c]"
"Leaver CS","2022","Declared non-disabled","Legal","470","[c]","48100","51250"
"Leaver CS","2022","Declared non-disabled","No function","14965","[c]","31590","27570"
"Leaver CS","2022","Declared non-disabled","Project Delivery","860","[c]","39340","36460"
"Leaver CS","2022","Declared non-disabled","Property","355","[c]","35100","31650"
"Leaver CS","2022","Declared non-disabled","Security","460","[c]","32440","29250"
"Leaver CS","2022","Declared non-disabled","Unknown","6270","[c]","32100","27370"
"Leaver CS","2022","Undeclared","Analysis","40","[c]","30820","30770"
"Leaver CS","2022","Undeclared","Commercial","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Communications","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Counter Fraud","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Debt","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Digital, Data & Technology","80","[c]","40020","36850"
"Leaver CS","2022","Undeclared","Finance","25","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Human Resources","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","Legal","15","[c]","[c]","[c]"
"Leaver CS","2022","Undeclared","No function","1305","[c]","30530","27570"
"Leaver CS","2022","Undeclared","Project Delivery","65","[c]","38440","37530"
"Leaver CS","2022","Undeclared","Property","40","[c]","33600","33270"
"Leaver CS","2022","Undeclared","Security","55","[c]","33050","35530"
"Leaver CS","2022","Undeclared","Unknown","520","[c]","31570","27570"
"Leaver CS","2022","Unknown","Analysis","165","[c]","33600","30220"
"Leaver CS","2022","Unknown","Commercial","255","[c]","63880","61710"
"Leaver CS","2022","Unknown","Communications","165","[c]","42250","37520"
"Leaver CS","2022","Unknown","Counter Fraud","20","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Debt","15","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Digital, Data & Technology","410","[c]","39490","36500"
"Leaver CS","2022","Unknown","Finance","135","[c]","39280","34530"
"Leaver CS","2022","Unknown","Human Resources","155","[c]","33250","27570"
"Leaver CS","2022","Unknown","Internal Audit","5","[c]","[c]","[c]"
"Leaver CS","2022","Unknown","Legal","190","[c]","42100","40000"
"Leaver CS","2022","Unknown","No function","5505","[c]","32730","27550"
"Leaver CS","2022","Unknown","Project Delivery","245","[c]","39850","35100"
"Leaver CS","2022","Unknown","Property","170","[c]","27410","22040"
"Leaver CS","2022","Unknown","Security","230","[c]","30820","27680"
"Leaver CS","2022","Unknown","Unknown","3625","[c]","31630","27570"
"Leaver Dept.","2022","Declared disabled","Analysis","35","[c]","39470","35000"
"Leaver Dept.","2022","Declared disabled","Commercial","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Communications","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Counter Fraud","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Debt","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Digital, Data & Technology","50","[c]","39810","34550"
"Leaver Dept.","2022","Declared disabled","Finance","45","[c]","40390","35310"
"Leaver Dept.","2022","Declared disabled","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Human Resources","80","[c]","40770","35520"
"Leaver Dept.","2022","Declared disabled","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Legal","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","No function","1170","[c]","34720","30190"
"Leaver Dept.","2022","Declared disabled","Project Delivery","80","[c]","36180","33930"
"Leaver Dept.","2022","Declared disabled","Property","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Security","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared disabled","Unknown","270","[c]","35640","30780"
"Leaver Dept.","2022","Declared non-disabled","Analysis","265","[c]","43440","39850"
"Leaver Dept.","2022","Declared non-disabled","Commercial","200","[c]","42980","40000"
"Leaver Dept.","2022","Declared non-disabled","Communications","250","[c]","42180","37290"
"Leaver Dept.","2022","Declared non-disabled","Counter Fraud","105","[c]","32020","27570"
"Leaver Dept.","2022","Declared non-disabled","Debt","45","[c]","23290","21260"
"Leaver Dept.","2022","Declared non-disabled","Digital, Data & Technology","440","[c]","42290","37930"
"Leaver Dept.","2022","Declared non-disabled","Finance","325","[c]","41960","37640"
"Leaver Dept.","2022","Declared non-disabled","Grants Management","55","[c]","24630","21300"
"Leaver Dept.","2022","Declared non-disabled","Human Resources","495","[c]","37570","32330"
"Leaver Dept.","2022","Declared non-disabled","Internal Audit","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Declared non-disabled","Legal","130","[c]","44460","36950"
"Leaver Dept.","2022","Declared non-disabled","No function","9135","[c]","37650","31990"
"Leaver Dept.","2022","Declared non-disabled","Project Delivery","475","[c]","39890","36390"
"Leaver Dept.","2022","Declared non-disabled","Property","100","[c]","40900","36640"
"Leaver Dept.","2022","Declared non-disabled","Security","100","[c]","38530","34970"
"Leaver Dept.","2022","Declared non-disabled","Unknown","2285","[c]","35840","29290"
"Leaver Dept.","2022","Undeclared","Analysis","40","[c]","36270","33570"
"Leaver Dept.","2022","Undeclared","Commercial","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Communications","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Counter Fraud","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Digital, Data & Technology","40","[c]","40010","37280"
"Leaver Dept.","2022","Undeclared","Finance","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Human Resources","25","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","No function","525","[c]","34730","31060"
"Leaver Dept.","2022","Undeclared","Project Delivery","45","[c]","40920","40000"
"Leaver Dept.","2022","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Security","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Undeclared","Unknown","115","[c]","34050","30730"
"Leaver Dept.","2022","Unknown","Analysis","200","[c]","36810","33780"
"Leaver Dept.","2022","Unknown","Commercial","225","[c]","49180","49110"
"Leaver Dept.","2022","Unknown","Communications","195","[c]","42160","37860"
"Leaver Dept.","2022","Unknown","Counter Fraud","20","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Debt","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data & Technology","250","[c]","42190","38250"
"Leaver Dept.","2022","Unknown","Finance","210","[c]","41100","38200"
"Leaver Dept.","2022","Unknown","Human Resources","145","[c]","37240","32000"
"Leaver Dept.","2022","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Legal","80","[c]","43670","39560"
"Leaver Dept.","2022","Unknown","No function","3950","[c]","42530","34550"
"Leaver Dept.","2022","Unknown","Project Delivery","90","[c]","43830","40580"
"Leaver Dept.","2022","Unknown","Property","55","[c]","29290","26880"
"Leaver Dept.","2022","Unknown","Security","35","[c]","32170","32000"
"Leaver Dept.","2022","Unknown","Unknown","1065","[c]","35210","30820"
"New entrant CS","2022","Declared disabled","Analysis","115","[c]","30490","30710"
"New entrant CS","2022","Declared disabled","Commercial","55","[c]","32120","29270"
"New entrant CS","2022","Declared disabled","Communications","65","[c]","30250","27270"
"New entrant CS","2022","Declared disabled","Counter Fraud","135","[c]","26970","26590"
"New entrant CS","2022","Declared disabled","Debt","75","[c]","21490","21260"
"New entrant CS","2022","Declared disabled","Digital, Data & Technology","205","[c]","36350","33080"
"New entrant CS","2022","Declared disabled","Finance","60","[c]","32750","29270"
"New entrant CS","2022","Declared disabled","Grants Management","20","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Human Resources","120","[c]","31420","28000"
"New entrant CS","2022","Declared disabled","Internal Audit","5","[c]","[c]","[c]"
"New entrant CS","2022","Declared disabled","Legal","115","[c]","35150","29280"
"New entrant CS","2022","Declared disabled","No function","3540","[c]","28230","26880"
"New entrant CS","2022","Declared disabled","Project Delivery","135","[c]","32840","30250"
"New entrant CS","2022","Declared disabled","Property","55","[c]","32150","28860"
"New entrant CS","2022","Declared disabled","Security","35","[c]","29070","26350"
"New entrant CS","2022","Declared disabled","Unknown","490","[c]","29420","27230"
"New entrant CS","2022","Declared non-disabled","Analysis","940","[c]","33540","30710"
"New entrant CS","2022","Declared non-disabled","Commercial","400","[c]","34130","31900"
"New entrant CS","2022","Declared non-disabled","Communications","750","[c]","30920","26590"
"New entrant CS","2022","Declared non-disabled","Counter Fraud","1040","[c]","26970","26590"
"New entrant CS","2022","Declared non-disabled","Debt","610","[c]","21640","21250"
"New entrant CS","2022","Declared non-disabled","Digital, Data & Technology","1665","[c]","37760","34260"
"New entrant CS","2022","Declared non-disabled","Finance","560","[c]","33750","31060"
"New entrant CS","2022","Declared non-disabled","Grants Management","500","[c]","21680","21300"
"New entrant CS","2022","Declared non-disabled","Human Resources","775","[c]","32730","28000"
"New entrant CS","2022","Declared non-disabled","Internal Audit","35","[c]","41750","42560"
"New entrant CS","2022","Declared non-disabled","Legal","900","[c]","37400","37610"
"New entrant CS","2022","Declared non-disabled","No function","23345","[c]","28130","26140"
"New entrant CS","2022","Declared non-disabled","Project Delivery","1240","[c]","35620","33000"
"New entrant CS","2022","Declared non-disabled","Property","505","[c]","33600","31000"
"New entrant CS","2022","Declared non-disabled","Security","380","[c]","29770","26350"
"New entrant CS","2022","Declared non-disabled","Unknown","3260","[c]","31150","27230"
"New entrant CS","2022","Undeclared","Analysis","45","[c]","37680","33080"
"New entrant CS","2022","Undeclared","Commercial","20","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Communications","30","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Counter Fraud","45","[c]","27330","26590"
"New entrant CS","2022","Undeclared","Debt","25","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Digital, Data & Technology","90","[c]","36270","33370"
"New entrant CS","2022","Undeclared","Finance","25","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Grants Management","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Human Resources","45","[c]","30930","28000"
"New entrant CS","2022","Undeclared","Internal Audit","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Legal","30","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","No function","1230","[c]","28750","27570"
"New entrant CS","2022","Undeclared","Project Delivery","60","[c]","35780","33500"
"New entrant CS","2022","Undeclared","Property","30","[c]","32340","26940"
"New entrant CS","2022","Undeclared","Security","25","[c]","[c]","[c]"
"New entrant CS","2022","Undeclared","Unknown","165","[c]","30320","27230"
"New entrant CS","2022","Unknown","Analysis","380","[c]","34850","30710"
"New entrant CS","2022","Unknown","Commercial","525","[c]","51380","40650"
"New entrant CS","2022","Unknown","Communications","665","[c]","30520","26590"
"New entrant CS","2022","Unknown","Counter Fraud","370","[c]","27900","26590"
"New entrant CS","2022","Unknown","Debt","315","[c]","21680","21250"
"New entrant CS","2022","Unknown","Digital, Data & Technology","935","[c]","37520","33840"
"New entrant CS","2022","Unknown","Finance","525","[c]","34260","30450"
"New entrant CS","2022","Unknown","Human Resources","415","[c]","32890","27770"
"New entrant CS","2022","Unknown","Internal Audit","10","[c]","[c]","[c]"
"New entrant CS","2022","Unknown","Legal","210","[c]","34340","27130"
"New entrant CS","2022","Unknown","No function","13790","[c]","27890","25120"
"New entrant CS","2022","Unknown","Project Delivery","565","[c]","34760","33000"
"New entrant CS","2022","Unknown","Property","520","[c]","31270","25420"
"New entrant CS","2022","Unknown","Security","435","[c]","28090","25000"
"New entrant CS","2022","Unknown","Unknown","5725","[c]","29920","27230"
"Notes","Summary figures are suppressed when information relates to less than 5 civil servants for FTE or Headcount, and less than 10 civil servants for median and mean salary (shown as [c]). Zero responses and salaries for less than 30 civil servants have been suppressed for GPDR special category data. FTE figures are not shown for entrants or leavers due to data quality concerns for these groups. Figures are rounded to the nearest 5, or £10 as appropriate.","","","","","",""
"Data source","All figures are aggregated from the Cabinet Office Annual Civil Service Employment Survey collection. https://www.gov.uk/government/collections/civil-service-statistics","","","","","",""
"Version","Generated on 2023-02-14, with GIT 71a76ea.","","","","","",""
"Data column","Description","","","","","",""
"Status","Employment status of the civil servants.","","","","","",""
"","In post - includes staff that were in post on the reference date (31 March).","","","","","",""
"","New entrant CS - includes new entrants to the Civil Service over the year (1 April to 31 March).","","","","","",""
"","Leaver CS - includes leavers from the Civil Service over the year (1 April to 31 March). This includes employees who have an Unknown leaving cause.","","","","","",""
"","Leaver Dept. - includes leavers from the department over the year (1 April to 31 March), who did not leave the Civil Service.","","","","","",""
"","Five organisations do not report when their employees first entered the Civil Service and so entrants data for these organisations is not available . These are as follows: Foreign Commonwealth and Development Office (excl. agencies), Foreign Commonwealth and Development Office Services, Defence Electronics and Components Agency, Scottish Forestry and Forest and Land Scotland. A further three organisations also could not provide entrants data in 2021. These are as follows: Department for International Development, Foreign and Commonwealth Office (excl. agencies) and Royal Fleet Auxiliary.","","","","","",""
"","Organisation specific notes on status: In late June 2021 around 7,000 employees from Community Rehabilitation Companies were transferred in from the private sector to HM Prison and Probation Service, counting as entrants. HM Land Registry do not record where their departing employees transfer to and so are unable to identify those that transfer to another Civil Service department.","","","","","",""
"Year","Year of data collection (as at 31 March).","","","","","",""
"Function_of_post","Functions relate to the post occupied by the person and are not dependent on qualifications the individual may have.","","","","","",""
"","Home Office, Welsh Government and Royal Fleet Auxiliary did not report any functions information for their employees.","","","","","",""
"","Of the 20 bodies under the Scottish Government, 16 did not report any functions information for their employees.","","","","","",""
"Disability","Self reported disability.","","","","","",""
"","""Undeclared"" accounts for employees who have actively declared that they do not want to disclose their disability status and ""Unknown"" accounts for employees who have not made an active declaration about their disability status.","","","","","",""
"Headcount","Total number of civil servants (rounded to nearest 5).","","","","","",""
"FTE","Total full-time equivalent (FTE) employment numbers (rounded to nearest 5).","","","","","",""
"","FTE figures are not shown for entrants or leavers due to data quality concerns for these groups.","","","","","",""
"Mean_salary","Average salary (mean, rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
"Median_salary","Median salary (rounded to nearest £10). For part-time employees, salaries represent the full-time equivalent earnings, while for full-time employees they are the actual annual gross salaries.","","","","","",""
"","These figures should be interpreted with caution when the total number of employees in a group is small, as they will tend to show more variability than larger groups (i.e. may be much higher or lower than can be explained by the data shown).","","","","","",""
