"Status","Year","Disability","Function_of_post","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Declared disabled","Analysis","Economics","HEO","35","35","34650","34260"
"In post","2022","Declared disabled","Analysis","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Economics","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Geography","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Human Resources","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Internal Audit","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Medicine","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","EO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","HEO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Delivery","SEO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","AO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","G7","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Operational Research","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","G7","15","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","HEO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Policy","SEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Project Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Psychology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","EO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","HEO","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Security","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","G7","20","20","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","HEO","45","40","32490","31000"
"In post","2022","Declared disabled","Analysis","Social Research","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Social Research","SEO","40","40","40080","39850"
"In post","2022","Declared disabled","Analysis","Statistics","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Statistics","EO","25","25","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Statistics","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Statistics","G7","40","35","56180","55210"
"In post","2022","Declared disabled","Analysis","Statistics","HEO","70","70","33560","33370"
"In post","2022","Declared disabled","Analysis","Statistics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Statistics","SEO","65","60","40880","39850"
"In post","2022","Declared disabled","Analysis","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Analysis","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","AO","20","20","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","EO","60","55","26780","26670"
"In post","2022","Declared disabled","Commercial","Commercial","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","G7","40","40","52010","51810"
"In post","2022","Declared disabled","Commercial","Commercial","HEO","75","75","32810","33300"
"In post","2022","Declared disabled","Commercial","Commercial","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Commercial","SEO","125","120","40430","40580"
"In post","2022","Declared disabled","Commercial","Commercial","Unknown","15","15","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Communications","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Corporate Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","International Trade","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Knowledge and Information Management","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","AO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","EO","10","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Operational Delivery","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Project Delivery","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Property","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Property","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Property","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Science and Engineering","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Tax","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Tax","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Tax","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Veterinarian","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Commercial","Veterinarian","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Commercial","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Commercial","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Commercial","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Commercial","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","AA","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","AO","20","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","EO","60","55","28050","27320"
"In post","2022","Declared disabled","Communications","Communications","G6","15","15","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","G7","45","45","53930","53360"
"In post","2022","Declared disabled","Communications","Communications","HEO","75","70","33920","33300"
"In post","2022","Declared disabled","Communications","Communications","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Communications","SEO","55","55","42310","41990"
"In post","2022","Declared disabled","Communications","Communications","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Finance","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Human Resources","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","HEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Knowledge and Information Management","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","AO","35","25","21660","21690"
"In post","2022","Declared disabled","Communications","Operational Delivery","EO","40","40","26670","26820"
"In post","2022","Declared disabled","Communications","Operational Delivery","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","HEO","40","40","33070","33370"
"In post","2022","Declared disabled","Communications","Operational Delivery","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Delivery","SEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Communications","Operational Research","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Other","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Policy","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Project Delivery","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Science and Engineering","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Tax","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Tax","EO","90","85","26760","26820"
"In post","2022","Declared disabled","Communications","Tax","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Tax","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Tax","HEO","45","45","33370","33370"
"In post","2022","Declared disabled","Communications","Tax","SEO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","G6","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","G7","5","5","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Communications","Unknown","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","AA","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","AO","230","195","22500","21260"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","EO","560","495","28210","27570"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","G7","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","HEO","135","125","33930","32660"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Counter Fraud","SEO","30","25","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Digital, Data and Technology","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Digital, Data and Technology","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","EO","5","5","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","G7","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","HEO","10","10","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Intelligence Analysis","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","AO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","EO","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","G6","[c]","[c]","[c]","[c]"
"In post","2022","Declared disabled","Counter Fraud","Knowledge and Information Management","G7","[c]","[c]","[c]","[c]"
