"Status","Year","Parent_department","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Office of the Secretary of State for Wales","SEO/HEO","15","15","37620","36050"
"In post","2022","Scottish Government","AA/AO","6835","6400","23750","23230"
"In post","2022","Scottish Government","EO","6190","5900","30850","30040"
"In post","2022","Scottish Government","G6/G7","3685","3545","63570","62170"
"In post","2022","Scottish Government","SCS level","285","285","88410","83230"
"In post","2022","Scottish Government","SEO/HEO","8330","7960","39950","39660"
"In post","2022","The National Archives","AA/AO","100","90","21560","20900"
"In post","2022","The National Archives","EO","75","70","25130","24630"
"In post","2022","The National Archives","G6/G7","95","95","52640","50840"
"In post","2022","The National Archives","SCS level","10","10","[c]","[c]"
"In post","2022","The National Archives","SEO/HEO","295","290","35930","34770"
"In post","2022","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Export Finance","EO","65","60","29410","29000"
"In post","2022","UK Export Finance","G6/G7","170","170","66020","64890"
"In post","2022","UK Export Finance","SCS level","30","30","116880","101500"
"In post","2022","UK Export Finance","SEO/HEO","230","225","41670","41000"
"In post","2022","UK Statistics Authority","AA/AO","1520","1085","20340","20350"
"In post","2022","UK Statistics Authority","EO","735","690","24600","23880"
"In post","2022","UK Statistics Authority","G6/G7","1080","1050","53810","51210"
"In post","2022","UK Statistics Authority","SCS level","80","80","84820","76380"
"In post","2022","UK Statistics Authority","SEO/HEO","2465","2370","34350","33710"
"In post","2022","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","EO","20","20","27280","27310"
"In post","2022","UK Supreme Court","G6/G7","10","10","59880","57910"
"In post","2022","UK Supreme Court","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","UK Supreme Court","SEO/HEO","20","20","35100","37230"
"In post","2022","Water Services Regulation Authority","AA/AO","5","5","[c]","[c]"
"In post","2022","Water Services Regulation Authority","EO","45","45","29340","28000"
"In post","2022","Water Services Regulation Authority","G6/G7","65","65","81520","77110"
"In post","2022","Water Services Regulation Authority","SCS level","10","10","[c]","[c]"
"In post","2022","Water Services Regulation Authority","SEO/HEO","130","125","47090","45370"
"In post","2022","Welsh Government","AA/AO","870","805","24260","24630"
"In post","2022","Welsh Government","EO","1105","1040","28830","29430"
"In post","2022","Welsh Government","G6/G7","1105","1055","62460","61440"
"In post","2022","Welsh Government","SCS level","195","185","87010","79790"
"In post","2022","Welsh Government","SEO/HEO","2690","2555","41400","38160"
"Leaver CS","2022","Attorney General's Departments","AA/AO","150","[c]","22240","22200"
"Leaver CS","2022","Attorney General's Departments","EO","90","[c]","28110","27350"
"Leaver CS","2022","Attorney General's Departments","G6/G7","305","[c]","58390","55610"
"Leaver CS","2022","Attorney General's Departments","SCS level","25","[c]","91150","84970"
"Leaver CS","2022","Attorney General's Departments","SEO/HEO","95","[c]","37050","38000"
"Leaver CS","2022","Cabinet Office","AA/AO","95","[c]","20330","20070"
"Leaver CS","2022","Cabinet Office","EO","85","[c]","26790","27500"
"Leaver CS","2022","Cabinet Office","G6/G7","305","[c]","62670","60640"
"Leaver CS","2022","Cabinet Office","SCS level","80","[c]","104600","95160"
"Leaver CS","2022","Cabinet Office","SEO/HEO","255","[c]","35350","34640"
"Leaver CS","2022","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","G6/G7","15","[c]","73580","70610"
"Leaver CS","2022","Chancellor's other departments","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Chancellor's other departments","SEO/HEO","30","[c]","43220","43130"
"Leaver CS","2022","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Charity Commission","EO","20","[c]","24600","24440"
"Leaver CS","2022","Charity Commission","G6/G7","15","[c]","57170","57640"
"Leaver CS","2022","Charity Commission","SEO/HEO","20","[c]","33190","29540"
"Leaver CS","2022","Competition and Markets Authority","AA/AO","10","[c]","23000","22770"
"Leaver CS","2022","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","G6/G7","45","[c]","62410","59330"
"Leaver CS","2022","Competition and Markets Authority","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Competition and Markets Authority","SEO/HEO","30","[c]","37350","34870"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","AA/AO","135","[c]","21220","21130"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","EO","125","[c]","26390","26330"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","G6/G7","200","[c]","56710","53600"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","SCS level","25","[c]","86220","75500"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","SEO/HEO","315","[c]","36980","36340"
"Leaver CS","2022","Department for Business, Energy and Industrial Strategy","Unknown","30","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","EO","30","[c]","26150","26180"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","G6/G7","50","[c]","55030","51910"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","Department for Digital, Culture, Media and Sport","SEO/HEO","65","[c]","35420","34020"
"Leaver CS","2022","Department for Education","AA/AO","15","[c]","22310","21250"
"Leaver CS","2022","Department for Education","EO","110","[c]","26470","25000"
"Leaver CS","2022","Department for Education","G6/G7","135","[c]","57060","54400"
"Leaver CS","2022","Department for Education","SCS level","20","[c]","89160","81150"
"Leaver CS","2022","Department for Education","SEO/HEO","175","[c]","36110","36500"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","AA/AO","240","[c]","21660","21300"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","EO","175","[c]","25670","25180"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","G6/G7","115","[c]","56380","54730"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","SCS level","20","[c]","[c]","[c]"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","SEO/HEO","390","[c]","35620","35900"
"Leaver CS","2022","Department for Environment, Food and Rural Affairs","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","AA/AO","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","EO","80","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","G6/G7","60","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","SCS level","10","[c]","[c]","[c]"
"Leaver CS","2022","Department for International Trade","SEO/HEO","60","[c]","[c]","[c]"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","AA/AO","45","[c]","20940","21270"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","EO","30","[c]","28240","27850"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","G6/G7","85","[c]","58290","54710"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","SCS level","10","[c]","89020","82990"
"Leaver CS","2022","Department for Levelling Up, Housing and Communities","SEO/HEO","75","[c]","37320","36340"
"Leaver CS","2022","Department for Transport","AA/AO","500","[c]","21780","21840"
"Leaver CS","2022","Department for Transport","EO","375","[c]","27540","26780"
"Leaver CS","2022","Department for Transport","G6/G7","110","[c]","61390","57840"
"Leaver CS","2022","Department for Transport","SCS level","15","[c]","86040","77890"
"Leaver CS","2022","Department for Transport","SEO/HEO","280","[c]","38320","35950"
"Leaver CS","2022","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Department for Work and Pensions","AA/AO","3400","[c]","21410","21260"
"Leaver CS","2022","Department for Work and Pensions","EO","4520","[c]","28230","27570"
"Leaver CS","2022","Department for Work and Pensions","G6/G7","245","[c]","59160","59590"
"Leaver CS","2022","Department for Work and Pensions","SCS level","20","[c]","88380","80910"
"Leaver CS","2022","Department for Work and Pensions","SEO/HEO","685","[c]","37230","35310"
"Leaver CS","2022","Department of Health and Social Care","AA/AO","290","[c]","21100","19930"
"Leaver CS","2022","Department of Health and Social Care","EO","520","[c]","25740","25700"
"Leaver CS","2022","Department of Health and Social Care","G6/G7","825","[c]","57490","53830"
"Leaver CS","2022","Department of Health and Social Care","SCS level","225","[c]","98990","95140"
"Leaver CS","2022","Department of Health and Social Care","SEO/HEO","1280","[c]","36240","36330"
"Leaver CS","2022","Department of Health and Social Care","Unknown","65","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Estyn","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","AA/AO","5","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","EO","30","[c]","26840","26750"
"Leaver CS","2022","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Food Standards Agency","SEO/HEO","40","[c]","35200","33840"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","AA/AO","75","[c]","23530","22170"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","EO","45","[c]","27660","26360"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","G6/G7","120","[c]","60690","60000"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","SCS level","30","[c]","99010","87590"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","SEO/HEO","140","[c]","37860","38550"
"Leaver CS","2022","Foreign, Commonwealth and Development Office","Unknown","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","AA/AO","110","[c]","22810","22600"
"Leaver CS","2022","HM Land Registry","EO","120","[c]","27750","27130"
"Leaver CS","2022","HM Land Registry","G6/G7","30","[c]","62590","61090"
"Leaver CS","2022","HM Land Registry","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","HM Land Registry","SEO/HEO","145","[c]","37940","37290"
"Leaver CS","2022","HM Revenue and Customs","AA/AO","2770","[c]","21780","22010"
"Leaver CS","2022","HM Revenue and Customs","EO","950","[c]","27250","27000"
"Leaver CS","2022","HM Revenue and Customs","G6/G7","330","[c]","62770","62120"
"Leaver CS","2022","HM Revenue and Customs","SCS level","40","[c]","[c]","[c]"
"Leaver CS","2022","HM Revenue and Customs","SEO/HEO","875","[c]","39500","40520"
"Leaver CS","2022","HM Revenue and Customs","Unknown","5","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","AA/AO","45","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","EO","25","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","G6/G7","75","[c]","60910","59810"
"Leaver CS","2022","HM Treasury","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","HM Treasury","SEO/HEO","95","[c]","39000","41720"
"Leaver CS","2022","Home Office","AA/AO","570","[c]","21990","21680"
"Leaver CS","2022","Home Office","EO","850","[c]","27470","27240"
"Leaver CS","2022","Home Office","G6/G7","185","[c]","62130","60670"
"Leaver CS","2022","Home Office","SCS level","25","[c]","98590","94380"
"Leaver CS","2022","Home Office","SEO/HEO","450","[c]","37520","37190"
"Leaver CS","2022","Home Office","Unknown","15","[c]","[c]","[c]"
"Leaver CS","2022","Ministry of Defence","AA/AO","1675","[c]","23200","21170"
"Leaver CS","2022","Ministry of Defence","EO","985","[c]","26470","26670"
"Leaver CS","2022","Ministry of Defence","G6/G7","380","[c]","59920","56690"
"Leaver CS","2022","Ministry of Defence","SCS level","30","[c]","99230","90030"
"Leaver CS","2022","Ministry of Defence","SEO/HEO","1580","[c]","37270","36960"
"Leaver CS","2022","Ministry of Defence","Unknown","390","[c]","36800","33570"
"Leaver CS","2022","Ministry of Justice","AA/AO","6250","[c]","20640","20970"
"Leaver CS","2022","Ministry of Justice","EO","775","[c]","25530","25120"
"Leaver CS","2022","Ministry of Justice","G6/G7","200","[c]","60090","59000"
"Leaver CS","2022","Ministry of Justice","SCS level","25","[c]","97010","92900"
"Leaver CS","2022","Ministry of Justice","SEO/HEO","735","[c]","37390","36250"
"Leaver CS","2022","Ministry of Justice","Unknown","1805","[c]","36380","31470"
"Leaver CS","2022","National Crime Agency","AA/AO","30","[c]","23670","23100"
"Leaver CS","2022","National Crime Agency","EO","130","[c]","33820","34140"
"Leaver CS","2022","National Crime Agency","G6/G7","30","[c]","68600","65630"
"Leaver CS","2022","National Crime Agency","SCS level","5","[c]","[c]","[c]"
"Leaver CS","2022","National Crime Agency","SEO/HEO","120","[c]","44640","44910"
"Leaver CS","2022","Northern Ireland Office","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Northern Ireland Office","SEO/HEO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","AA/AO","30","[c]","20740","21410"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","EO","10","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","G6/G7","65","[c]","75100","75500"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office for Standards in Education, Children's Services and Skills","SEO/HEO","80","[c]","45520","46360"
"Leaver CS","2022","Office of Gas and Electricity Markets","AA/AO","25","[c]","20040","19750"
"Leaver CS","2022","Office of Gas and Electricity Markets","EO","45","[c]","25700","25600"
"Leaver CS","2022","Office of Gas and Electricity Markets","G6/G7","75","[c]","61810","58120"
"Leaver CS","2022","Office of Gas and Electricity Markets","SCS level","15","[c]","101390","99990"
"Leaver CS","2022","Office of Gas and Electricity Markets","SEO/HEO","80","[c]","37340","36660"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","G6/G7","5","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Qualifications and Examinations Regulation","SEO/HEO","10","[c]","36290","38000"
"Leaver CS","2022","Office of Rail and Road","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","G6/G7","20","[c]","60650","59750"
"Leaver CS","2022","Office of Rail and Road","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of Rail and Road","SEO/HEO","10","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","EO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Scotland","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","AA/AO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","G6/G7","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Office of the Secretary of State for Wales","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver CS","2022","Scottish Government","AA/AO","560","[c]","23800","23230"
"Leaver CS","2022","Scottish Government","EO","325","[c]","31450","30450"
"Leaver CS","2022","Scottish Government","G6/G7","150","[c]","65540","62170"
"Leaver CS","2022","Scottish Government","SCS level","25","[c]","91820","83230"
"Leaver CS","2022","Scottish Government","SEO/HEO","375","[c]","41020","40290"
"Leaver CS","2022","The National Archives","AA/AO","25","[c]","20020","20340"
"Leaver CS","2022","The National Archives","EO","5","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","G6/G7","10","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","SCS level","[c]","[c]","[c]","[c]"
"Leaver CS","2022","The National Archives","SEO/HEO","30","[c]","33240","30450"
