"Status","Year","Age","Ethnicity","Function_of_post","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","16-19","Asian","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Department for Work and Pensions","5","5","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Asian","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","No function","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Project Delivery","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Property","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Security","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Black","Unknown","Welsh Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Analysis","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Commercial","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Counter Fraud","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Debt","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Debt","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Digital, Data & Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Finance","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Grants Management","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Human Resources","Scottish Government","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Internal Audit","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","Legal","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","16-19","Mixed","No function","Charity Commission","[c]","[c]","[c]","[c]"
