"Status","Year","Function_of_post","Profession_of_post","Region_ITL2","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Corporate Finance","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Derbyshire and Nottinghamshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","East Wales","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - East","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","Heterosexual / straight","35","35","48870","46620"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","Undeclared","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Inner London - West","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Central Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Central Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Wales and The Valleys","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Digital, Data and Technology","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Berkshire, Buckinghamshire and Oxfordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","Heterosexual / straight","90","90","33290","30710"
"In post","2022","Analysis","Economics","East Wales","LGBO","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","Undeclared","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","East Wales","Unknown","30","30","[c]","[c]"
"In post","2022","Analysis","Economics","Eastern Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Eastern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","Heterosexual / straight","40","35","41230","38330"
"In post","2022","Analysis","Economics","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Greater Manchester","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Hampshire and Isle of Wight","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Hampshire and Isle of Wight","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Inner London - East","Heterosexual / straight","150","145","57640","56000"
"In post","2022","Analysis","Economics","Inner London - East","LGBO","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Inner London - East","Undeclared","20","20","[c]","[c]"
"In post","2022","Analysis","Economics","Inner London - East","Unknown","30","30","51730","44950"
"In post","2022","Analysis","Economics","Inner London - West","Heterosexual / straight","590","580","47740","42470"
"In post","2022","Analysis","Economics","Inner London - West","LGBO","60","60","43430","38020"
"In post","2022","Analysis","Economics","Inner London - West","Undeclared","80","75","49480","52500"
"In post","2022","Analysis","Economics","Inner London - West","Unknown","125","125","45890","38020"
"In post","2022","Analysis","Economics","Merseyside","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Northumberland, and Tyne and Wear","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Northumberland, and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - South","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - South","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - West and North West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Outer London - West and North West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Surrey, East and West Sussex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Surrey, East and West Sussex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Tees Valley and Durham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Tees Valley and Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Central Scotland","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Economics","West Central Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Central Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Central Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Wales and The Valleys","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Wales and The Valleys","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Wales and The Valleys","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Yorkshire","Heterosexual / straight","20","15","[c]","[c]"
"In post","2022","Analysis","Economics","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Economics","West Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - East","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - East","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - East","Unknown","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Inner London - West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Lancashire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Lancashire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Merseyside","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Merseyside","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Merseyside","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Outer London - South","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Finance","Outer London - South","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Outer London - South","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Shropshire and Staffordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Shropshire and Staffordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Shropshire and Staffordshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Tees Valley and Durham","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Tees Valley and Durham","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Tees Valley and Durham","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Central Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Central Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Berkshire, Buckinghamshire and Oxfordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Devon","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Devon","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Devon","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Dorset and Somerset","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Dorset and Somerset","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Anglia","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Anglia","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Wales","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Eastern Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Gloucestershire, Wiltshire and Bath/Bristol area","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Hampshire and Isle of Wight","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Hampshire and Isle of Wight","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Inner London - West","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Leicestershire, Rutland and Northamptonshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Leicestershire, Rutland and Northamptonshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Leicestershire, Rutland and Northamptonshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Leicestershire, Rutland and Northamptonshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Lincolnshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Lincolnshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","North Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","North Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","North Yorkshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","North Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Shropshire and Staffordshire","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","Shropshire and Staffordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Shropshire and Staffordshire","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Southern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Southern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Southern Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - East","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - East","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - West","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - West","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Inner London - West","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Northumberland, and Tyne and Wear","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Northumberland, and Tyne and Wear","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","South Yorkshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","South Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","South Yorkshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Human Resources","West Yorkshire","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Human Resources","West Yorkshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Bedfordshire and Hertfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Bedfordshire and Hertfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Berkshire, Buckinghamshire and Oxfordshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Derbyshire and Nottinghamshire","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Derbyshire and Nottinghamshire","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Derbyshire and Nottinghamshire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Anglia","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Anglia","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Anglia","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Wales","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Wales","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Wales","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","East Wales","Unknown","5","5","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Eastern Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Eastern Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Essex","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Essex","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Gloucestershire, Wiltshire and Bath/Bristol area","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Greater Manchester","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Greater Manchester","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Greater Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Intelligence Analysis","Hampshire and Isle of Wight","LGBO","[c]","[c]","[c]","[c]"
