"Status","Year","Parent_department","Region_london","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Department for Environment, Food and Rural Affairs","Outside London","275","[c]","27940","24920"
"Leaver Dept.","2022","Department for International Trade","London","215","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for International Trade","Outside London","5","[c]","[c]","[c]"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","London","255","[c]","42480","39600"
"Leaver Dept.","2022","Department for Levelling Up, Housing and Communities","Outside London","125","[c]","38460","34650"
"Leaver Dept.","2022","Department for Transport","London","285","[c]","43660","42470"
"Leaver Dept.","2022","Department for Transport","Outside London","220","[c]","32040","28400"
"Leaver Dept.","2022","Department for Transport","Unknown","150","[c]","28950","26470"
"Leaver Dept.","2022","Department for Work and Pensions","London","480","[c]","36540","31060"
"Leaver Dept.","2022","Department for Work and Pensions","Outside London","2595","[c]","28700","27570"
"Leaver Dept.","2022","Department for Work and Pensions","Unknown","35","[c]","30260","27570"
"Leaver Dept.","2022","Department of Health and Social Care","London","3795","[c]","45380","40070"
"Leaver Dept.","2022","Department of Health and Social Care","Outside London","3880","[c]","40970","36330"
"Leaver Dept.","2022","Department of Health and Social Care","Unknown","195","[c]","[c]","[c]"
"Leaver Dept.","2022","Estyn","Outside London","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Food Standards Agency","London","30","[c]","44130","40350"
"Leaver Dept.","2022","Food Standards Agency","Outside London","35","[c]","38950","37910"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office","London","310","[c]","48240","41740"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office","Outside London","75","[c]","39830","38500"
"Leaver Dept.","2022","Foreign, Commonwealth and Development Office","Overseas","35","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Revenue and Customs","London","245","[c]","46990","41150"
"Leaver Dept.","2022","HM Revenue and Customs","Outside London","1150","[c]","29410","25500"
"Leaver Dept.","2022","HM Revenue and Customs","Unknown","5","[c]","[c]","[c]"
"Leaver Dept.","2022","HM Treasury","London","200","[c]","46000","40230"
"Leaver Dept.","2022","HM Treasury","Outside London","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Home Office","London","680","[c]","44090","40640"
"Leaver Dept.","2022","Home Office","Outside London","705","[c]","27880","24890"
"Leaver Dept.","2022","Home Office","Overseas","15","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","London","180","[c]","45840","41070"
"Leaver Dept.","2022","Ministry of Defence","Outside London","920","[c]","34590","33000"
"Leaver Dept.","2022","Ministry of Defence","Overseas","10","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Defence","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Ministry of Justice","London","630","[c]","38410","34260"
"Leaver Dept.","2022","Ministry of Justice","Outside London","1110","[c]","26730","21490"
"Leaver Dept.","2022","Ministry of Justice","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","National Crime Agency","London","45","[c]","47690","43630"
