"Status","Year","Function_of_post","Profession_of_post","Region_ITL1","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Analysis","Finance","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","South West (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","South West (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","West Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Yorkshire and The Humber","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Finance","Yorkshire and The Humber","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Midlands (England)","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Midlands (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Midlands (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East Midlands (England)","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East of England","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","East of England","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East of England","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","East of England","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","London","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","London","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Overseas","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Scotland","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Scotland","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Scotland","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","South East (England)","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Analysis","Geography","South East (England)","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","South East (England)","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Analysis","Geography","South West (England)","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Analysis","Geography","South West (England)","LGBO","[c]","[c]","[c]","[c]"
