"Status","Year","Profession_of_post","Region_ITL2","Region_ITL3","Responsibility_level_grouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Commercial","Dorset and Somerset","Bournemouth, Christchurch and Poole","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Dorset","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Dorset","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Dorset","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","EO","15","15","26160","26740"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","G6/G7","25","25","59220","56780"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Dorset and Somerset","Somerset CC","SEO/HEO","80","75","37850","35340"
"In post","2022","Commercial","East Anglia","Breckland and South Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Cambridgeshire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Cambridgeshire CC","EO","10","10","26520","26670"
"In post","2022","Commercial","East Anglia","Cambridgeshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Cambridgeshire CC","SEO/HEO","35","35","37710","34800"
"In post","2022","Commercial","East Anglia","North and West Norfolk","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Norwich and East Norfolk","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Norwich and East Norfolk","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Norwich and East Norfolk","SEO/HEO","65","60","35750","38330"
"In post","2022","Commercial","East Anglia","Peterborough","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Peterborough","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Peterborough","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","East Anglia","Peterborough","SEO/HEO","20","20","38620","36970"
"In post","2022","Commercial","East Anglia","Suffolk CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Suffolk CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Suffolk CC","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","East Anglia","Suffolk CC","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Anglia","Suffolk CC","SEO/HEO","15","15","38220","36700"
"In post","2022","Commercial","East Anglia","Suffolk CC","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Cardiff and Vale of Glamorgan","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Cardiff and Vale of Glamorgan","EO","5","5","[c]","[c]"
"In post","2022","Commercial","East Wales","Cardiff and Vale of Glamorgan","G6/G7","15","15","59000","56150"
"In post","2022","Commercial","East Wales","Cardiff and Vale of Glamorgan","SEO/HEO","25","20","35830","34290"
"In post","2022","Commercial","East Wales","Flintshire and Wrexham","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Flintshire and Wrexham","EO","10","10","29510","29470"
"In post","2022","Commercial","East Wales","Flintshire and Wrexham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Flintshire and Wrexham","SEO/HEO","10","10","[c]","[c]"
"In post","2022","Commercial","East Wales","Monmouthshire and Newport","EO","15","15","25650","25520"
"In post","2022","Commercial","East Wales","Monmouthshire and Newport","G6/G7","15","15","53440","51210"
"In post","2022","Commercial","East Wales","Monmouthshire and Newport","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Monmouthshire and Newport","SEO/HEO","65","65","34230","31250"
"In post","2022","Commercial","East Wales","Powys","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Powys","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Wales","Powys","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","East Riding of Yorkshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","Kingston upon Hull, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","East Yorkshire and Northern Lincolnshire","North and North East Lincolnshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Angus and Dundee City","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","City of Edinburgh","AA/AO","15","15","23480","22000"
"In post","2022","Commercial","Eastern Scotland","City of Edinburgh","EO","10","10","29620","29550"
"In post","2022","Commercial","Eastern Scotland","City of Edinburgh","G6/G7","10","10","58780","57960"
"In post","2022","Commercial","Eastern Scotland","City of Edinburgh","SEO/HEO","25","20","40390","37710"
"In post","2022","Commercial","Eastern Scotland","Clackmannanshire and Fife","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Clackmannanshire and Fife","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Clackmannanshire and Fife","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Clackmannanshire and Fife","Unknown","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Falkirk","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Perth and Kinross, and Stirling","AA/AO","10","10","25180","26900"
"In post","2022","Commercial","Eastern Scotland","Perth and Kinross, and Stirling","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","Perth and Kinross, and Stirling","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","West Lothian","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","West Lothian","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Eastern Scotland","West Lothian","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Essex","Heart of Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Essex","West Essex","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","EO","150","145","24170","24000"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","G6/G7","210","200","58410","55000"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","SCS level","20","15","105120","103620"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","SEO/HEO","680","655","35730","35040"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bath and North East Somerset, North Somerset and South Gloucestershire","Unknown","130","125","40540","37500"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","G6/G7","10","10","58080","54940"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","SEO/HEO","55","50","36630","36780"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Bristol, City of","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Gloucestershire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Swindon","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","AA/AO","20","20","23840","21170"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","EO","50","45","26280","26350"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","G6/G7","15","15","52730","51600"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Gloucestershire, Wiltshire and Bath/Bristol area","Wiltshire","SEO/HEO","115","110","37330","38070"
"In post","2022","Commercial","Greater Manchester","Greater Manchester North East","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester North West","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","AA/AO","5","5","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","EO","15","10","27200","26820"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","G6/G7","15","15","59900","63260"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","SEO/HEO","50","45","40110","40520"
"In post","2022","Commercial","Greater Manchester","Greater Manchester South West","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Manchester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Manchester","EO","15","15","25870","25880"
"In post","2022","Commercial","Greater Manchester","Manchester","G6/G7","35","35","54890","50400"
"In post","2022","Commercial","Greater Manchester","Manchester","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Greater Manchester","Manchester","SEO/HEO","95","95","35410","36500"
"In post","2022","Commercial","Greater Manchester","Manchester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Central Hampshire","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Central Hampshire","EO","40","40","25990","26350"
"In post","2022","Commercial","Hampshire and Isle of Wight","Central Hampshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Central Hampshire","SEO/HEO","95","90","37770","38070"
"In post","2022","Commercial","Hampshire and Isle of Wight","Isle of Wight","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","North Hampshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","North Hampshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Portsmouth","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Portsmouth","EO","15","15","26510","26670"
"In post","2022","Commercial","Hampshire and Isle of Wight","Portsmouth","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Portsmouth","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Portsmouth","SEO/HEO","35","35","38060","38050"
"In post","2022","Commercial","Hampshire and Isle of Wight","South Hampshire","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","South Hampshire","SEO/HEO","10","10","33810","33080"
"In post","2022","Commercial","Hampshire and Isle of Wight","Southampton","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Southampton","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Southampton","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Southampton","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Hampshire and Isle of Wight","Southampton","SEO/HEO","15","15","38960","39040"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Herefordshire, County of","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Warwickshire CC","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Herefordshire, Worcestershire and Warwickshire","Worcestershire CC","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Highlands and Islands","Inverness and Nairn, Moray, and Badenoch and Strathspey","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Hackney and Newham","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Hackney and Newham","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Hackney and Newham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Haringey and Islington","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Lambeth","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Lambeth","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Lambeth","G6/G7","20","20","59970","57150"
"In post","2022","Commercial","Inner London - East","Lambeth","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Lambeth","SEO/HEO","15","15","41600","41330"
"In post","2022","Commercial","Inner London - East","Lewisham and Southwark","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Tower Hamlets","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Tower Hamlets","EO","10","10","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Tower Hamlets","G6/G7","10","10","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Tower Hamlets","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - East","Tower Hamlets","SEO/HEO","35","35","42510","41980"
"In post","2022","Commercial","Inner London - West","Camden and City of London","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - West","Camden and City of London","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - West","Kensington & Chelsea and Hammersmith & Fulham","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Inner London - West","Westminster","AA/AO","25","20","23560","23250"
"In post","2022","Commercial","Inner London - West","Westminster","EO","70","70","28950","28360"
"In post","2022","Commercial","Inner London - West","Westminster","G6/G7","275","265","60720","55850"
"In post","2022","Commercial","Inner London - West","Westminster","SCS level","50","45","84010","78400"
"In post","2022","Commercial","Inner London - West","Westminster","SEO/HEO","385","380","39470","40650"
"In post","2022","Commercial","Inner London - West","Westminster","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent","East Kent","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent","East Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent","Kent Thames Gateway","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent","Medway","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent","Medway","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Kent","Mid Kent","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Kent","West Kent","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancashire","Blackburn with Darwen","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancashire","Blackpool","EO","10","10","27570","27570"
"In post","2022","Commercial","Lancashire","Blackpool","G6/G7","10","10","[c]","[c]"
"In post","2022","Commercial","Lancashire","Blackpool","SEO/HEO","20","20","33830","32250"
"In post","2022","Commercial","Lancashire","Chorley and West Lancashire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancashire","Chorley and West Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancashire","Chorley and West Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancashire","East Lancashire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancashire","East Lancashire","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancashire","Lancaster and Wyre","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancashire","Mid Lancashire","EO","5","5","[c]","[c]"
"In post","2022","Commercial","Lancashire","Mid Lancashire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lancashire","Mid Lancashire","SEO/HEO","5","5","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Leicester","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Leicester","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Leicester","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Leicester","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Leicester","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","Leicestershire CC and Rutland","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","North Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Leicestershire, Rutland and Northamptonshire","West Northamptonshire","SEO/HEO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lincolnshire","Lincolnshire CC","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lincolnshire","Lincolnshire CC","G6/G7","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Lincolnshire","Lincolnshire CC","SEO/HEO","10","10","39100","38550"
"In post","2022","Commercial","Merseyside","East Merseyside","AA/AO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Merseyside","East Merseyside","EO","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Merseyside","East Merseyside","G6/G7","5","5","[c]","[c]"
"In post","2022","Commercial","Merseyside","East Merseyside","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Commercial","Merseyside","East Merseyside","SEO/HEO","15","15","37250","36820"
