"Status","Year","Profession_of_post","Region_london","Responsibility_level_grouped","Sexual_orientation","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Communications","Outside London","SEO/HEO","Undeclared","90","85","37520","37620"
"In post","2022","Communications","Outside London","SEO/HEO","Unknown","170","165","35580","34870"
"In post","2022","Communications","Outside London","Unknown","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Communications","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Communications","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","EO","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Corporate Finance","London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","G6/G7","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Corporate Finance","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO/HEO","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","London","SEO/HEO","Unknown","5","5","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","EO","Unknown","5","5","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","G6/G7","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SEO/HEO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Corporate Finance","Outside London","SEO/HEO","Unknown","25","20","[c]","[c]"
"In post","2022","Counter Fraud","London","AA/AO","Heterosexual / straight","230","210","24710","25110"
"In post","2022","Counter Fraud","London","AA/AO","LGBO","5","5","[c]","[c]"
"In post","2022","Counter Fraud","London","AA/AO","Undeclared","35","30","24190","25110"
"In post","2022","Counter Fraud","London","AA/AO","Unknown","105","85","24470","25110"
"In post","2022","Counter Fraud","London","EO","Heterosexual / straight","270","250","30840","31060"
"In post","2022","Counter Fraud","London","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Counter Fraud","London","EO","Undeclared","35","35","31280","31060"
"In post","2022","Counter Fraud","London","EO","Unknown","130","120","31450","31880"
"In post","2022","Counter Fraud","London","G6/G7","Heterosexual / straight","70","65","63830","65090"
"In post","2022","Counter Fraud","London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Counter Fraud","London","G6/G7","Unknown","25","25","[c]","[c]"
"In post","2022","Counter Fraud","London","SCS level","Heterosexual / straight","10","10","[c]","[c]"
"In post","2022","Counter Fraud","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","London","SEO/HEO","Heterosexual / straight","205","195","38370","38440"
"In post","2022","Counter Fraud","London","SEO/HEO","LGBO","10","10","[c]","[c]"
"In post","2022","Counter Fraud","London","SEO/HEO","Undeclared","25","25","[c]","[c]"
"In post","2022","Counter Fraud","London","SEO/HEO","Unknown","65","65","39430","39000"
"In post","2022","Counter Fraud","Outside London","AA/AO","Heterosexual / straight","735","635","21810","21260"
"In post","2022","Counter Fraud","Outside London","AA/AO","LGBO","40","40","21850","21260"
"In post","2022","Counter Fraud","Outside London","AA/AO","Undeclared","130","110","21770","21260"
"In post","2022","Counter Fraud","Outside London","AA/AO","Unknown","205","165","21730","21260"
"In post","2022","Counter Fraud","Outside London","EO","Heterosexual / straight","2110","1905","27690","27570"
"In post","2022","Counter Fraud","Outside London","EO","LGBO","105","100","27880","27570"
"In post","2022","Counter Fraud","Outside London","EO","Undeclared","270","240","27650","27570"
"In post","2022","Counter Fraud","Outside London","EO","Unknown","665","570","27860","27570"
"In post","2022","Counter Fraud","Outside London","G6/G7","Heterosexual / straight","45","45","53430","52150"
"In post","2022","Counter Fraud","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Outside London","SEO/HEO","Heterosexual / straight","690","655","34290","33170"
"In post","2022","Counter Fraud","Outside London","SEO/HEO","LGBO","35","35","34080","32320"
"In post","2022","Counter Fraud","Outside London","SEO/HEO","Undeclared","85","80","34190","33180"
"In post","2022","Counter Fraud","Outside London","SEO/HEO","Unknown","180","175","35320","34290"
"In post","2022","Counter Fraud","Unknown","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Counter Fraud","Unknown","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","AA/AO","Heterosexual / straight","60","60","24910","24470"
"In post","2022","Digital, Data and Technology","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","AA/AO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","AA/AO","Unknown","10","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","EO","Heterosexual / straight","270","265","29750","29540"
"In post","2022","Digital, Data and Technology","London","EO","LGBO","20","20","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","EO","Undeclared","30","30","30040","29500"
"In post","2022","Digital, Data and Technology","London","EO","Unknown","110","105","29850","29580"
"In post","2022","Digital, Data and Technology","London","G6/G7","Heterosexual / straight","975","960","62200","60720"
"In post","2022","Digital, Data and Technology","London","G6/G7","LGBO","100","95","61530","59290"
"In post","2022","Digital, Data and Technology","London","G6/G7","Undeclared","155","150","63100","62810"
"In post","2022","Digital, Data and Technology","London","G6/G7","Unknown","345","340","62680","60960"
"In post","2022","Digital, Data and Technology","London","SCS level","Heterosexual / straight","105","105","97830","93000"
"In post","2022","Digital, Data and Technology","London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","SCS level","Undeclared","10","10","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","SCS level","Unknown","15","15","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","SEO/HEO","Heterosexual / straight","1155","1135","40560","41280"
"In post","2022","Digital, Data and Technology","London","SEO/HEO","LGBO","85","85","39510","40060"
"In post","2022","Digital, Data and Technology","London","SEO/HEO","Undeclared","170","165","40500","41140"
"In post","2022","Digital, Data and Technology","London","SEO/HEO","Unknown","425","420","40170","40050"
"In post","2022","Digital, Data and Technology","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","AA/AO","Heterosexual / straight","400","385","21610","21260"
"In post","2022","Digital, Data and Technology","Outside London","AA/AO","LGBO","35","35","20850","21260"
"In post","2022","Digital, Data and Technology","Outside London","AA/AO","Undeclared","55","55","21630","21380"
"In post","2022","Digital, Data and Technology","Outside London","AA/AO","Unknown","105","100","21600","21260"
"In post","2022","Digital, Data and Technology","Outside London","EO","Heterosexual / straight","1970","1875","27440","26950"
"In post","2022","Digital, Data and Technology","Outside London","EO","LGBO","130","130","27040","26820"
"In post","2022","Digital, Data and Technology","Outside London","EO","Undeclared","300","290","27710","27130"
"In post","2022","Digital, Data and Technology","Outside London","EO","Unknown","620","590","27470","27470"
"In post","2022","Digital, Data and Technology","Outside London","G6/G7","Heterosexual / straight","2745","2695","57100","55210"
"In post","2022","Digital, Data and Technology","Outside London","G6/G7","LGBO","125","120","55790","54350"
"In post","2022","Digital, Data and Technology","Outside London","G6/G7","Undeclared","380","375","57480","55210"
"In post","2022","Digital, Data and Technology","Outside London","G6/G7","Unknown","770","755","57070","55210"
"In post","2022","Digital, Data and Technology","Outside London","SCS level","Heterosexual / straight","120","115","87290","79750"
"In post","2022","Digital, Data and Technology","Outside London","SCS level","LGBO","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","SCS level","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","SCS level","Unknown","25","25","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","SEO/HEO","Heterosexual / straight","5345","5190","37250","36540"
"In post","2022","Digital, Data and Technology","Outside London","SEO/HEO","LGBO","330","325","35900","35310"
"In post","2022","Digital, Data and Technology","Outside London","SEO/HEO","Undeclared","870","845","37690","36970"
"In post","2022","Digital, Data and Technology","Outside London","SEO/HEO","Unknown","1530","1500","37150","36710"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","Heterosexual / straight","30","25","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Outside London","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","AA/AO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","EO","Heterosexual / straight","15","15","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","EO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","G6/G7","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","SEO/HEO","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Overseas","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","EO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","G6/G7","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","G6/G7","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","G6/G7","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SCS level","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SEO/HEO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Digital, Data and Technology","Unknown","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","AA/AO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Economics","London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Economics","London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","EO","Heterosexual / straight","70","70","27430","27680"
"In post","2022","Economics","London","EO","LGBO","5","5","[c]","[c]"
"In post","2022","Economics","London","EO","Undeclared","5","5","[c]","[c]"
"In post","2022","Economics","London","EO","Unknown","25","25","[c]","[c]"
"In post","2022","Economics","London","G6/G7","Heterosexual / straight","520","500","60750","57980"
"In post","2022","Economics","London","G6/G7","LGBO","50","50","58210","56630"
"In post","2022","Economics","London","G6/G7","Undeclared","70","65","61000","59540"
"In post","2022","Economics","London","G6/G7","Unknown","105","100","61120","60490"
"In post","2022","Economics","London","SCS level","Heterosexual / straight","65","65","92530","80290"
"In post","2022","Economics","London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","SCS level","Undeclared","5","5","[c]","[c]"
"In post","2022","Economics","London","SCS level","Unknown","5","5","[c]","[c]"
"In post","2022","Economics","London","SEO/HEO","Heterosexual / straight","440","435","36010","34710"
"In post","2022","Economics","London","SEO/HEO","LGBO","50","50","36240","34710"
"In post","2022","Economics","London","SEO/HEO","Undeclared","60","60","36420","35050"
"In post","2022","Economics","London","SEO/HEO","Unknown","130","130","34790","34260"
"In post","2022","Economics","London","Unknown","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","London","Unknown","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","AA/AO","Heterosexual / straight","30","30","[c]","[c]"
"In post","2022","Economics","Outside London","AA/AO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","AA/AO","Undeclared","5","5","[c]","[c]"
"In post","2022","Economics","Outside London","AA/AO","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","EO","Heterosexual / straight","25","25","[c]","[c]"
"In post","2022","Economics","Outside London","EO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","EO","Undeclared","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","EO","Unknown","10","10","[c]","[c]"
"In post","2022","Economics","Outside London","G6/G7","Heterosexual / straight","100","95","56550","53530"
"In post","2022","Economics","Outside London","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","G6/G7","Undeclared","10","10","[c]","[c]"
"In post","2022","Economics","Outside London","G6/G7","Unknown","20","20","[c]","[c]"
"In post","2022","Economics","Outside London","SCS level","Heterosexual / straight","5","5","[c]","[c]"
"In post","2022","Economics","Outside London","SCS level","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","SCS level","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Outside London","SEO/HEO","Heterosexual / straight","120","115","34830","33080"
"In post","2022","Economics","Outside London","SEO/HEO","LGBO","20","20","[c]","[c]"
"In post","2022","Economics","Outside London","SEO/HEO","Undeclared","10","10","[c]","[c]"
"In post","2022","Economics","Outside London","SEO/HEO","Unknown","35","35","32340","30820"
"In post","2022","Economics","Overseas","G6/G7","Heterosexual / straight","20","20","[c]","[c]"
"In post","2022","Economics","Overseas","G6/G7","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","G6/G7","Unknown","10","10","[c]","[c]"
"In post","2022","Economics","Overseas","SEO/HEO","Heterosexual / straight","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","SEO/HEO","LGBO","[c]","[c]","[c]","[c]"
"In post","2022","Economics","Overseas","SEO/HEO","Unknown","[c]","[c]","[c]","[c]"
