"Status","Year","Ethnicity","Function_of_post","Responsibility_level_grouped","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Finance","SEO/HEO","HEO","295","290","34000","33370"
"In post","2022","Asian","Finance","SEO/HEO","SEO","280","275","41790","41200"
"In post","2022","Asian","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","AA/AO","AO","30","25","[c]","[c]"
"In post","2022","Asian","Grants Management","EO","EO","5","5","[c]","[c]"
"In post","2022","Asian","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Grants Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA/AO","AO","70","65","22170","21250"
"In post","2022","Asian","Human Resources","EO","EO","180","175","28010","27570"
"In post","2022","Asian","Human Resources","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","G6/G7","G7","95","95","55540","54800"
"In post","2022","Asian","Human Resources","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO/HEO","HEO","185","180","34010","33710"
"In post","2022","Asian","Human Resources","SEO/HEO","SEO","100","100","41030","40520"
"In post","2022","Asian","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Asian","Internal Audit","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Asian","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Internal Audit","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Asian","Internal Audit","SEO/HEO","SEO","35","30","45510","44020"
"In post","2022","Asian","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Legal","AA/AO","AO","190","170","23000","23770"
"In post","2022","Asian","Legal","EO","EO","225","210","27970","27350"
"In post","2022","Asian","Legal","G6/G7","G6","110","100","68450","66150"
"In post","2022","Asian","Legal","G6/G7","G7","460","430","54850","53050"
"In post","2022","Asian","Legal","SCS level","SCS level","20","15","[c]","[c]"
"In post","2022","Asian","Legal","SEO/HEO","HEO","130","125","35980","34480"
"In post","2022","Asian","Legal","SEO/HEO","SEO","50","50","43400","41750"
"In post","2022","Asian","No function","AA/AO","AA","370","325","21240","21250"
"In post","2022","Asian","No function","AA/AO","AO","5000","4425","22520","21260"
"In post","2022","Asian","No function","EO","EO","6375","5945","28630","27570"
"In post","2022","Asian","No function","G6/G7","G6","290","280","68580","66090"
"In post","2022","Asian","No function","G6/G7","G7","1010","995","55320","54270"
"In post","2022","Asian","No function","SCS level","SCS level","185","180","92470","87600"
"In post","2022","Asian","No function","SEO/HEO","HEO","2595","2505","34390","33370"
"In post","2022","Asian","No function","SEO/HEO","SEO","1370","1335","42330","40560"
"In post","2022","Asian","No function","Unknown","Unknown","745","690","29380","27980"
"In post","2022","Asian","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Project Delivery","AA/AO","AO","60","45","23630","23460"
"In post","2022","Asian","Project Delivery","EO","EO","170","165","26900","27200"
"In post","2022","Asian","Project Delivery","G6/G7","G6","90","85","69320","68430"
"In post","2022","Asian","Project Delivery","G6/G7","G7","225","225","55880","55210"
"In post","2022","Asian","Project Delivery","SCS level","SCS level","25","25","[c]","[c]"
"In post","2022","Asian","Project Delivery","SEO/HEO","HEO","355","345","34240","33560"
"In post","2022","Asian","Project Delivery","SEO/HEO","SEO","285","280","41520","41040"
"In post","2022","Asian","Project Delivery","Unknown","Unknown","40","40","38890","36260"
"In post","2022","Asian","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Property","AA/AO","AO","45","40","23720","22130"
"In post","2022","Asian","Property","EO","EO","160","150","26330","26820"
"In post","2022","Asian","Property","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Asian","Property","G6/G7","G7","50","50","53990","54200"
"In post","2022","Asian","Property","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Asian","Property","SEO/HEO","HEO","110","105","34580","34260"
"In post","2022","Asian","Property","SEO/HEO","SEO","65","65","43300","43400"
"In post","2022","Asian","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","AA/AO","AA","70","70","20880","19810"
"In post","2022","Asian","Security","AA/AO","AO","60","55","30260","27440"
"In post","2022","Asian","Security","EO","EO","45","45","28680","28700"
"In post","2022","Asian","Security","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Asian","Security","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Asian","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Security","SEO/HEO","HEO","60","60","34270","34550"
"In post","2022","Asian","Security","SEO/HEO","SEO","45","45","43760","44480"
"In post","2022","Asian","Security","Unknown","Unknown","5","5","[c]","[c]"
"In post","2022","Asian","Unknown","AA/AO","AA","210","190","21200","22460"
"In post","2022","Asian","Unknown","AA/AO","AO","1165","1035","23710","24370"
"In post","2022","Asian","Unknown","EO","EO","1975","1840","28020","28670"
"In post","2022","Asian","Unknown","G6/G7","G6","90","90","72580","68980"
"In post","2022","Asian","Unknown","G6/G7","G7","345","335","58720","57460"
"In post","2022","Asian","Unknown","SCS level","SCS level","20","20","[c]","[c]"
"In post","2022","Asian","Unknown","SEO/HEO","HEO","960","925","34530","35070"
"In post","2022","Asian","Unknown","SEO/HEO","SEO","595","585","42680","41970"
"In post","2022","Asian","Unknown","Unknown","Unknown","35","35","[c]","[c]"
"In post","2022","Black","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Black","Analysis","EO","EO","35","35","28410","27850"
"In post","2022","Black","Analysis","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Black","Analysis","G6/G7","G7","40","40","54190","53830"
"In post","2022","Black","Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Analysis","SEO/HEO","HEO","75","75","33980","33650"
"In post","2022","Black","Analysis","SEO/HEO","SEO","50","50","41420","41340"
"In post","2022","Black","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Black","Commercial","EO","EO","25","25","[c]","[c]"
"In post","2022","Black","Commercial","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Black","Commercial","G6/G7","G7","20","20","[c]","[c]"
"In post","2022","Black","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Commercial","SEO/HEO","HEO","40","40","33600","33820"
"In post","2022","Black","Commercial","SEO/HEO","SEO","55","55","41380","40600"
"In post","2022","Black","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Black","Communications","EO","EO","125","120","27400","26820"
"In post","2022","Black","Communications","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Black","Communications","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Black","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Communications","SEO/HEO","HEO","70","70","34510","33370"
"In post","2022","Black","Communications","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Black","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","AA/AO","AO","165","140","24040","25110"
"In post","2022","Black","Counter Fraud","EO","EO","285","270","30160","31020"
"In post","2022","Black","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","G6/G7","G7","10","10","[c]","[c]"
"In post","2022","Black","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Counter Fraud","SEO/HEO","HEO","125","125","36440","37610"
"In post","2022","Black","Counter Fraud","SEO/HEO","SEO","30","30","42700","43430"
"In post","2022","Black","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","AA/AO","AO","165","150","22920","21260"
"In post","2022","Black","Debt","EO","EO","35","30","30830","31020"
"In post","2022","Black","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Debt","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Black","Debt","SEO/HEO","SEO","5","5","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","AA/AO","AO","20","20","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","EO","EO","130","125","28200","27840"
"In post","2022","Black","Digital, Data & Technology","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","G6/G7","G7","125","125","55390","54700"
"In post","2022","Black","Digital, Data & Technology","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Black","Digital, Data & Technology","SEO/HEO","HEO","185","185","33960","33370"
"In post","2022","Black","Digital, Data & Technology","SEO/HEO","SEO","165","160","41010","40580"
"In post","2022","Black","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","AA/AO","AO","35","35","23510","23120"
"In post","2022","Black","Finance","EO","EO","85","80","28630","28920"
"In post","2022","Black","Finance","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Black","Finance","G6/G7","G7","70","70","56250","54760"
"In post","2022","Black","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Finance","SEO/HEO","HEO","125","125","35080","35000"
"In post","2022","Black","Finance","SEO/HEO","SEO","115","115","42430","42000"
"In post","2022","Black","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Black","Grants Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Grants Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","AA/AO","AO","30","30","23310","23570"
"In post","2022","Black","Human Resources","EO","EO","110","105","28070","27570"
"In post","2022","Black","Human Resources","G6/G7","G6","5","5","[c]","[c]"
"In post","2022","Black","Human Resources","G6/G7","G7","45","40","54800","54700"
"In post","2022","Black","Human Resources","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Human Resources","SEO/HEO","HEO","105","100","34320","34290"
"In post","2022","Black","Human Resources","SEO/HEO","SEO","80","75","41700","40900"
"In post","2022","Black","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Black","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Black","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Internal Audit","SEO/HEO","HEO","5","5","[c]","[c]"
"In post","2022","Black","Internal Audit","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Black","Legal","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Legal","AA/AO","AO","125","115","23390","23770"
"In post","2022","Black","Legal","EO","EO","155","150","28460","27760"
"In post","2022","Black","Legal","G6/G7","G6","30","30","71080","70260"
"In post","2022","Black","Legal","G6/G7","G7","205","200","56900","55400"
"In post","2022","Black","Legal","SCS level","SCS level","15","15","[c]","[c]"
"In post","2022","Black","Legal","SEO/HEO","HEO","90","90","36140","35020"
"In post","2022","Black","Legal","SEO/HEO","SEO","20","20","[c]","[c]"
"In post","2022","Black","No function","AA/AO","AA","380","355","23070","21910"
"In post","2022","Black","No function","AA/AO","AO","2530","2375","25220","24210"
"In post","2022","Black","No function","EO","EO","3685","3530","29600","30170"
"In post","2022","Black","No function","G6/G7","G6","85","85","68690","66250"
"In post","2022","Black","No function","G6/G7","G7","410","405","54850","53600"
"In post","2022","Black","No function","SCS level","SCS level","55","55","91960","82510"
"In post","2022","Black","No function","SEO/HEO","HEO","1240","1215","34910","34260"
"In post","2022","Black","No function","SEO/HEO","SEO","670","655","42660","40910"
"In post","2022","Black","No function","Unknown","Unknown","1170","1125","31510","28690"
"In post","2022","Black","Project Delivery","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Project Delivery","AA/AO","AO","45","40","23420","23380"
"In post","2022","Black","Project Delivery","EO","EO","100","100","27790","28270"
"In post","2022","Black","Project Delivery","G6/G7","G6","25","25","[c]","[c]"
"In post","2022","Black","Project Delivery","G6/G7","G7","125","120","56490","56110"
"In post","2022","Black","Project Delivery","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Project Delivery","SEO/HEO","HEO","205","205","33770","33570"
"In post","2022","Black","Project Delivery","SEO/HEO","SEO","170","170","41230","41000"
"In post","2022","Black","Project Delivery","Unknown","Unknown","10","10","[c]","[c]"
"In post","2022","Black","Property","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Black","Property","EO","EO","60","60","27580","28500"
"In post","2022","Black","Property","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Black","Property","G6/G7","G7","25","25","[c]","[c]"
"In post","2022","Black","Property","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Property","SEO/HEO","HEO","50","50","34370","34260"
"In post","2022","Black","Property","SEO/HEO","SEO","45","45","43140","41750"
"In post","2022","Black","Property","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","AA/AO","AA","40","40","21810","22900"
"In post","2022","Black","Security","AA/AO","AO","20","20","[c]","[c]"
"In post","2022","Black","Security","EO","EO","25","25","[c]","[c]"
"In post","2022","Black","Security","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","G6/G7","G7","5","5","[c]","[c]"
"In post","2022","Black","Security","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Black","Security","SEO/HEO","HEO","25","25","[c]","[c]"
"In post","2022","Black","Security","SEO/HEO","SEO","15","15","[c]","[c]"
"In post","2022","Black","Security","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Black","Unknown","AA/AO","AA","85","75","21490","22460"
"In post","2022","Black","Unknown","AA/AO","AO","430","385","24280","25630"
"In post","2022","Black","Unknown","EO","EO","815","770","28590","28810"
"In post","2022","Black","Unknown","G6/G7","G6","40","40","70700","68720"
"In post","2022","Black","Unknown","G6/G7","G7","145","145","58010","57460"
"In post","2022","Black","Unknown","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Black","Unknown","SEO/HEO","HEO","410","400","35060","35070"
"In post","2022","Black","Unknown","SEO/HEO","SEO","285","285","42820","41970"
"In post","2022","Black","Unknown","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Analysis","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Analysis","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Mixed","Analysis","EO","EO","20","20","[c]","[c]"
"In post","2022","Mixed","Analysis","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Mixed","Analysis","G6/G7","G7","55","55","54620","53660"
"In post","2022","Mixed","Analysis","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Analysis","SEO/HEO","HEO","75","70","34080","33670"
"In post","2022","Mixed","Analysis","SEO/HEO","SEO","40","35","41090","40450"
"In post","2022","Mixed","Commercial","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","AA/AO","AO","5","5","[c]","[c]"
"In post","2022","Mixed","Commercial","EO","EO","15","15","[c]","[c]"
"In post","2022","Mixed","Commercial","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","G6/G7","G7","15","15","[c]","[c]"
"In post","2022","Mixed","Commercial","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Commercial","SEO/HEO","HEO","20","20","[c]","[c]"
"In post","2022","Mixed","Commercial","SEO/HEO","SEO","30","30","40240","40650"
"In post","2022","Mixed","Commercial","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","AA/AO","AO","10","10","[c]","[c]"
"In post","2022","Mixed","Communications","EO","EO","60","55","27280","26820"
"In post","2022","Mixed","Communications","G6/G7","G6","10","10","[c]","[c]"
"In post","2022","Mixed","Communications","G6/G7","G7","25","20","[c]","[c]"
"In post","2022","Mixed","Communications","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Communications","SEO/HEO","HEO","55","55","33860","33370"
"In post","2022","Mixed","Communications","SEO/HEO","SEO","35","35","41580","40560"
"In post","2022","Mixed","Communications","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","AA/AO","AO","45","40","23490","23460"
"In post","2022","Mixed","Counter Fraud","EO","EO","115","110","28710","27570"
"In post","2022","Mixed","Counter Fraud","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","G6/G7","G7","25","20","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Counter Fraud","SEO/HEO","HEO","45","45","34480","33370"
"In post","2022","Mixed","Counter Fraud","SEO/HEO","SEO","25","25","[c]","[c]"
"In post","2022","Mixed","Debt","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","AA/AO","AO","70","60","21730","21260"
"In post","2022","Mixed","Debt","EO","EO","15","15","[c]","[c]"
"In post","2022","Mixed","Debt","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Debt","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","EO","EO","55","55","27620","26820"
"In post","2022","Mixed","Digital, Data & Technology","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","G6/G7","G7","95","90","54580","54700"
"In post","2022","Mixed","Digital, Data & Technology","SCS level","SCS level","5","5","[c]","[c]"
"In post","2022","Mixed","Digital, Data & Technology","SEO/HEO","HEO","90","85","33110","33080"
"In post","2022","Mixed","Digital, Data & Technology","SEO/HEO","SEO","70","70","41480","40600"
"In post","2022","Mixed","Digital, Data & Technology","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","AA/AO","AO","15","15","[c]","[c]"
"In post","2022","Mixed","Finance","EO","EO","30","30","26660","26620"
"In post","2022","Mixed","Finance","G6/G7","G6","15","15","[c]","[c]"
"In post","2022","Mixed","Finance","G6/G7","G7","40","40","54100","53430"
"In post","2022","Mixed","Finance","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Finance","SEO/HEO","HEO","55","50","33550","33370"
"In post","2022","Mixed","Finance","SEO/HEO","SEO","45","45","41830","40580"
"In post","2022","Mixed","Finance","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","AA/AO","AO","15","10","[c]","[c]"
"In post","2022","Mixed","Grants Management","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","SCS level","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","SEO/HEO","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Grants Management","SEO/HEO","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Human Resources","AA/AO","AA","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Human Resources","AA/AO","AO","20","15","[c]","[c]"
"In post","2022","Mixed","Human Resources","EO","EO","55","55","27730","27530"
"In post","2022","Mixed","Human Resources","G6/G7","G6","20","20","[c]","[c]"
"In post","2022","Mixed","Human Resources","G6/G7","G7","40","40","54160","54650"
"In post","2022","Mixed","Human Resources","SCS level","SCS level","10","10","[c]","[c]"
"In post","2022","Mixed","Human Resources","SEO/HEO","HEO","70","70","34170","34260"
"In post","2022","Mixed","Human Resources","SEO/HEO","SEO","35","35","40800","40590"
"In post","2022","Mixed","Human Resources","Unknown","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","AA/AO","AO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","EO","EO","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","G6/G7","G6","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","G6/G7","G7","[c]","[c]","[c]","[c]"
"In post","2022","Mixed","Internal Audit","SCS level","SCS level","[c]","[c]","[c]","[c]"
