"Status","Year","Ethnicity","Profession_of_post","Responsibility_level_ungrouped","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","Asian","Digital, Data and Technology","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","AO","25","25","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","EO","255","250","28000","27570"
"In post","2022","Asian","Digital, Data and Technology","G6","75","75","71190","70420"
"In post","2022","Asian","Digital, Data and Technology","G7","335","330","57160","56310"
"In post","2022","Asian","Digital, Data and Technology","HEO","325","320","34070","33640"
"In post","2022","Asian","Digital, Data and Technology","SCS level","15","15","[c]","[c]"
"In post","2022","Asian","Digital, Data and Technology","SEO","370","365","41630","41010"
"In post","2022","Asian","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","AO","15","15","[c]","[c]"
"In post","2022","Asian","Economics","EO","25","25","[c]","[c]"
"In post","2022","Asian","Economics","G6","20","20","[c]","[c]"
"In post","2022","Asian","Economics","G7","70","70","56460","55070"
"In post","2022","Asian","Economics","HEO","85","85","34510","33570"
"In post","2022","Asian","Economics","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Economics","SEO","10","10","[c]","[c]"
"In post","2022","Asian","Economics","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Finance","AO","50","45","22920","22200"
"In post","2022","Asian","Finance","EO","195","190","27470","27270"
"In post","2022","Asian","Finance","G6","45","45","69150","68790"
"In post","2022","Asian","Finance","G7","155","150","56220","56100"
"In post","2022","Asian","Finance","HEO","275","265","34240","33740"
"In post","2022","Asian","Finance","SCS level","25","20","[c]","[c]"
"In post","2022","Asian","Finance","SEO","255","250","42530","42000"
"In post","2022","Asian","Finance","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","AO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","EO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","G7","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","HEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Geography","SEO","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Human Resources","AO","55","50","22810","21760"
"In post","2022","Asian","Human Resources","EO","125","120","28100","27570"
"In post","2022","Asian","Human Resources","G6","20","20","[c]","[c]"
"In post","2022","Asian","Human Resources","G7","75","75","55730","55210"
"In post","2022","Asian","Human Resources","HEO","170","165","34240","34260"
"In post","2022","Asian","Human Resources","SCS level","10","10","[c]","[c]"
"In post","2022","Asian","Human Resources","SEO","95","90","41600","41750"
"In post","2022","Asian","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","G7","10","10","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Inspector of Education and Training","SEO","15","15","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","AA","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","AO","15","15","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","EO","115","110","28360","28850"
"In post","2022","Asian","Intelligence Analysis","G6","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","G7","10","10","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","HEO","40","40","35030","35200"
"In post","2022","Asian","Intelligence Analysis","SCS level","[c]","[c]","[c]","[c]"
"In post","2022","Asian","Intelligence Analysis","SEO","10","10","[c]","[c]"
